21.2.1.12. A bruttó hazai termék (GDP) végsõ felhasználása 2015. évi átlagáron, negyedévente [millió forint];;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Háztartások fogyasztási kiadása;Természetbeni társadalmi juttatás a kormányzattól;Természetbeni társadalmi juttatás a háztartásokat segítõ nonprofit intézményektõl;Háztartások tényleges fogyasztása;Közösségi fogyasztás;Végsõ fogyasztás összesen;Bruttó állóeszköz-felhalmozás;Készletváltozás;Értéktárgyak beszerzésének és eladásának egyenlege;Bruttó felhalmozás összesen;Belföldi felhasználás összesen;Export áruk;Export szolgáltatások;Export összesen;Import áruk;Import szolgáltatások;Import összesen;Egyenleg áruk;Egyenleg szolgáltatások;Egyenleg összesen;Bruttó hazai termék (GDP) összesen
2002.;I.;3 573 346;725 765;119 809;4 422 724;564 375;4 967 145;981 758;x;x;1 753 889;6 700 891;2 102 619;640 231;2 721 822;2 446 551;513 169;2 961 055;x;x;x;6 334 326
;II.;3 571 611;788 196;120 662;4 481 041;611 864;5 076 548;1 410 221;x;x;2 052 143;7 085 712;2 236 360;742 689;2 946 795;2 512 669;545 332;3 058 616;x;x;x;6 918 542
;III.;3 844 466;767 128;121 736;4 739 209;605 993;5 323 939;1 567 696;x;x;1 983 217;7 276 652;2 136 098;848 945;2 931 885;2 470 929;539 577;3 010 975;x;x;x;7 156 384
;IV.;3 960 591;971 142;124 957;5 053 921;789 824;5 834 912;2 356 834;x;x;2 370 595;8 155 081;2 245 398;728 829;2 944 543;2 761 433;617 797;3 379 141;x;x;x;7 473 133
2003.;I.;3 919 444;811 229;128 092;4 860 794;664 430;5 507 436;941 006;x;x;1 501 100;7 033 946;2 206 259;557 210;2 754 076;2 549 667;530 008;3 081 101;x;x;x;6 550 316
;II.;3 906 221;817 382;129 006;4 854 377;662 991;5 499 534;1 415 006;x;x;2 271 028;7 717 500;2 303 465;678 042;2 959 130;2 779 334;520 881;3 303 738;x;x;x;7 202 822
;III.;4 188 324;799 310;130 154;5 121 302;647 244;5 743 302;1 591 565;x;x;2 215 597;7 919 343;2 416 248;764 865;3 150 639;2 841 898;606 594;3 449 533;x;x;x;7 471 124
;IV.;4 196 296;939 539;133 597;5 271 980;772 492;6 031 567;2 441 888;x;x;2 307 756;8 299 715;2 716 664;699 344;3 402 717;3 114 802;629 164;3 746 341;x;x;x;7 794 121
2004.;I.;3 855 649;841 916;142 977;4 842 332;660 641;5 485 091;1 111 497;x;x;1 738 950;7 228 274;2 651 980;637 114;3 280 173;3 002 261;534 997;3 540 880;x;x;x;6 850 610
;II.;4 062 239;860 406;142 688;5 066 838;671 962;5 717 586;1 553 581;x;x;2 660 571;8 284 259;2 973 744;648 379;3 619 552;3 563 115;546 841;4 115 933;x;x;x;7 590 641
;III.;4 352 137;842 331;140 837;5 333 842;656 793;5 961 744;1 790 266;x;x;2 568 922;8 456 557;2 966 112;716 749;3 672 414;3 454 926;636 127;4 094 832;x;x;x;7 856 083
;IV.;4 240 283;920 587;136 473;5 302 420;718 197;6 000 360;2 441 136;x;x;2 824 157;8 722 264;3 281 885;596 092;3 888 588;3 680 587;586 796;4 273 140;x;x;x;8 173 309
2005.;I.;4 000 179;885 353;150 761;5 037 976;655 579;5 670 806;1 150 187;x;x;1 751 292;7 436 854;3 083 939;563 361;3 653 995;3 327 347;572 840;3 904 574;x;x;x;7 074 181
;II.;4 171 410;914 063;149 572;5 237 570;690 515;5 905 627;1 647 942;x;x;2 458 350;8 300 877;3 440 219;656 297;4 101 576;3 706 087;621 533;4 332 834;x;x;x;7 955 832
;III.;4 378 330;863 641;148 623;5 389 709;672 786;6 034 360;1 864 807;x;x;2 628 858;8 584 284;3 435 594;733 079;4 167 015;3 768 293;656 293;4 429 405;x;x;x;8 196 226
;IV.;4 415 829;920 495;148 682;5 486 839;698 471;6 158 468;2 482 889;x;x;2 866 105;8 921 364;3 718 461;672 926;4 400 007;3 991 653;648 648;4 646 329;x;x;x;8 552 898
2006.;I.;4 141 563;985 487;141 898;5 277 657;709 392;5 966 869;1 301 826;x;x;1 744 077;7 746 120;3 674 580;738 120;4 415 467;3 959 829;675 822;4 640 917;x;x;x;7 422 718
;II.;4 245 221;925 731;139 378;5 315 002;681 987;5 971 690;1 648 842;x;x;2 439 554;8 353 148;3 918 190;858 929;4 775 107;4 118 137;693 359;4 817 261;x;x;x;8 245 525
;III.;4 462 305;824 718;131 993;5 417 052;634 764;6 016 773;1 847 794;x;x;2 729 268;8 651 038;3 967 895;963 023;4 922 446;4 230 567;759 691;4 994 740;x;x;x;8 504 827
;IV.;4 417 818;938 606;145 396;5 505 098;716 671;6 197 146;2 400 140;x;x;2 931 880;9 014 937;4 498 171;893 224;5 395 495;4 668 697;802 283;5 477 022;x;x;x;8 860 094
2007.;I.;4 216 216;824 112;140 537;5 178 874;656 531;5 809 420;1 367 172;x;x;1 844 741;7 657 620;4 442 836;820 415;5 271 591;4 567 153;757 772;5 331 756;x;x;x;7 537 799
;II.;4 284 423;822 940;141 769;5 246 236;693 764;5 918 910;1 714 496;x;x;2 405 025;8 267 935;4 632 299;940 175;5 575 303;4 713 586;828 985;5 548 046;x;x;x;8 253 265
;III.;4 477 274;779 861;135 471;5 385 636;682 648;6 041 246;1 876 614;x;x;2 549 154;8 522 548;4 707 330;1 075 518;5 777 411;4 803 494;950 895;5 756 404;x;x;x;8 498 659
;IV.;4 465 815;890 868;150 158;5 505 809;768 536;6 259 589;2 571 791;x;x;2 828 700;8 996 756;5 028 327;992 604;6 025 936;5 148 029;960 929;6 113 072;x;x;x;8 835 064
2008.;I.;4 229 009;822 551;129 206;5 179 908;727 377;5 892 620;1 347 598;x;x;1 788 551;7 707 334;5 211 415;886 986;6 108 391;5 260 685;828 466;6 098 114;x;x;x;7 677 237
;II.;4 331 965;838 354;137 419;5 305 910;741 603;6 031 976;1 732 632;x;x;2 623 750;8 574 278;5 177 961;993 300;6 176 664;5 363 755;851 077;6 223 776;x;x;x;8 470 243
;III.;4 416 688;816 140;135 009;5 364 325;748 122;6 096 494;1 929 493;x;x;2 658 936;8 672 139;4 930 731;1 134 435;6 062 696;5 034 635;989 242;6 026 464;x;x;x;8 660 501
;IV.;4 261 785;834 647;137 867;5 232 734;766 759;5 989 431;2 609 548;x;x;2 724 029;8 616 371;4 770 520;1 048 030;5 818 163;4 740 938;1 000 219;5 741 500;x;x;x;8 649 360
2009.;I.;3 933 247;816 097;136 383;4 885 360;712 405;5 588 086;1 215 150;x;x;1 314 236;6 983 286;4 046 586;950 897;4 996 891;3 944 336;878 634;4 822 946;x;x;x;7 133 724
