21.1.2.2. Egy fõre jutó bruttó hazai termék megye és régió szerint;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Pest;megye, régió;82,7;87,9;88,5;89,1;88,7;90,1;87,6;94,0;87,9;86,1;87,7;84,6;83,3;84,8;83,7;83,5;81,4;79,0;78,9;79,5;79,9
Közép-Magyarország;nagyrégió;153,9;155,5;160,2;157,7;159,3;162,4;163,6;165,2;164,7;168,2;164,3;161,7;162,4;159,1;157,1;152,1;151,6;151,6;150,6;153,3;152,6
Fejér;megye;116,0;102,0;93,6;93,3;96,9;94,3;96,3;94,7;94,7;85,1;87,6;93,5;93,7;96,8;98,8;103,6;105,0;104,3;102,7;99,2;98,8
Komárom-Esztergom;megye;82,0;91,8;92,2;104,9;110,4;114,7;103,9;108,4;105,3;98,7;100,8;100,8;98,0;101,2;98,3;102,4;103,2;100,1;100,4;101,2;96,3
Veszprém;megye;85,8;85,2;79,8;79,7;78,1;75,2;73,8;75,2;74,1;70,0;73,0;71,1;70,5;71,9;73,2;74,3;76,2;74,2;74,7;76,5;75,6
Közép-Dunántúl;régió;96,2;93,5;88,6;92,1;94,5;93,8;91,1;92,2;91,0;84,0;86,6;88,3;87,3;89,9;90,3;93,7;95,1;93,4;93,0;92,5;90,6
Gyõr-Moson-Sopron;megye;135,0;122,7;120,3;121,9;115,9;112,9;119,3;118,8;118,3;111,9;121,3;123,1;116,6;120,6;126,2;130,4;133,7;126,6;123,4;113,7;113,0
Vas;megye;112,3;100,8;97,4;106,1;100,5;94,8;100,1;91,7;86,9;84,1;86,5;89,6;94,1;97,7;98,9;97,5;98,3;95,2;91,9;89,3;86,3
Zala;megye;86,7;88,7;87,1;94,0;91,7;85,9;81,2;80,8;82,7;81,4;86,2;80,5;85,1;76,7;79,1;81,7;76,7;77,2;75,4;74,4;71,8
Nyugat-Dunántúl;régió;114,4;106,7;104,3;109,4;104,7;100,1;103,0;100,6;99,7;95,8;102,1;102,2;101,7;102,2;105,8;108,2;108,7;104,9;102,2;96,9;95,2
Baranya;megye;73,5;73,1;74,1;74,1;72,7;70,2;69,7;69,7;69,0;68,1;66,6;64,2;66,1;65,1;64,4;64,3;65,1;65,9;67,6;67,7;68,5
Somogy;megye;69,7;69,8;67,9;69,4;67,4;65,2;63,2;62,0;62,3;63,2;63,6;63,9;63,3;64,7;61,1;62,5;62,8;64,9;65,6;63,1;64,9
Tolna;megye;82,3;79,3;79,4;71,4;70,0;67,9;66,5;69,7;72,9;75,4;73,9;75,0;77,6;79,9;75,6;75,3;75,8;73,7;77,0;75,9;75,5
Dél-Dunántúl;régió;74,4;73,6;73,4;71,8;70,2;67,9;66,7;67,1;67,7;68,3;67,4;66,8;68,0;68,6;66,0;66,4;67,0;67,5;69,2;68,1;69,0
Dunántúl;nagyrégió;95,1;91,4;88,8;91,3;90,1;87,7;87,3;87,0;86,5;83,0;85,7;86,2;86,1;87,4;88,0;90,2;91,1;89,4;88,9;86,7;85,7
Borsod-Abaúj-Zemplén;megye;63,0;63,5;62,3;62,7;64,9;67,8;65,7;64,6;62,0;59,5;59,9;60,5;60,6;62,5;64,9;71,1;70,0;74,2;73,5;69,1;70,5
Heves;megye;70,7;73,9;73,3;72,3;69,9;68,5;68,4;70,6;69,6;67,6;68,6;67,4;65,6;70,6;69,8;71,6;73,4;73,0;74,2;75,4;75,5
Nógrád;megye;52,3;54,3;53,5;53,6;50,7;49,1;48,9;44,3;44,8;43,9;44,4;44,6;42,6;43,7;43,8;44,3;43,7;44,3;44,5;44,0;45,2
Észak-Magyarország;régió;63,1;64,5;63,6;63,6;63,7;64,8;63,5;62,6;61,0;58,9;59,5;59,6;58,8;61,4;62,6;66,7;66,4;68,9;68,8;66,5;67,5
Hajdú-Bihar;megye;76,5;80,2;78,0;80,3;79,1;76,9;74,6;71,7;71,9;73,2;74,8;75,2;74,7;71,6;72,0;71,2;69,1;71,7;72,2;71,5;71,9
Jász-Nagykun-Szolnok;megye;63,9;67,6;66,0;65,7;64,1;62,4;64,9;62,5;63,9;65,5;61,1;65,2;63,5;64,6;63,9;65,3;65,2;65,5;64,1;63,6;68,2
Szabolcs-Szatmár-Bereg;megye;58,6;60,9;58,8;58,4;56,6;55,8;54,1;52,5;52,1;52,6;54,1;55,3;55,5;55,6;56,4;55,8;56,1;55,6;57,0;58,1;57,9
Észak-Alföld;régió;66,4;69,5;67,5;68,1;66,6;65,1;64,3;62,0;62,3;63,4;63,5;65,1;64,6;63,8;64,0;63,8;63,1;64,0;64,3;64,4;65,6
Bács-Kiskun;megye;71,0;71,6;71,8;70,0;70,4;69,8;69,0;67,5;69,4;67,8;66,6;68,4;71,0;75,2;75,1;78,2;77,3;77,2;81,4;81,1;80,2
Békés;megye;66,7;67,0;65,0;63,3;63,3;60,2;59,1;59,5;59,0;56,6;57,7;59,2;58,3;59,4;58,7;60,7;60,8;59,7;60,4;57,8;59,5
Csongrád-Csanád;megye;82,1;81,7;80,3;78,6;78,1;76,9;76,0;72,9;74,5;75,0;73,8;73,1;75,4;74,4;76,3;75,3;74,2;74,3;73,5;74,1;76,3
Dél-Alföld;régió;73,2;73,4;72,5;70,8;70,8;69,3;68,4;66,9;68,1;67,0;66,4;67,4;68,9;70,6;70,9;72,5;71,8;71,5;73,2;72,6;73,4
Alföld és Észak;nagyrégió;67,6;69,3;67,9;67,6;67,1;66,4;65,4;63,8;63,8;63,2;63,2;64,2;64,2;65,3;65,8;67,5;66,9;67,8;68,5;67,7;68,7
Ország összesen;ország;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Sorrend az egy fõre jutó GDP alapján;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Budapest;régió;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I
Pest ;megye;7;7;6;7;7;6;6;5;5;4;4;6;7;6;6;6;6;6;7;7;7
Pest ;régió;IV;IV;IV;IV;IV;IV;IV;III;IV;III;III;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV
Fejér;megye;3;3;4;6;5;5;5;4;4;5;5;4;5;5;4;3;3;3;3;4;3
Komárom-Esztergom;megye;10;5;5;4;3;2;3;3;3;3;3;3;3;3;5;4;4;4;4;3;4
Veszprém;megye;6;8;9;9;9;10;10;8;9;11;11;11;12;11;11;11;9;11;10;8;9
Közép-Dunántúl;régió;III;III;III;III;III;III;III;IV;III;IV;IV;III;III;III;III;III;III;III;III;III;III
Gyõr-Moson-Sopron;megye;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Vas;megye;4;4;3;3;4;4;4;6;6;6;6;5;4;4;3;5;5;5;5;5;5
Zala;megye;5;6;7;5;6;7;7;7;7;7;7;7;6;8;7;7;8;7;9;11;13
Nyugat-Dunántúl;régió;II;II;II;II;II;II;II;II;II;II;II;II;II;II;II;II;II;II;II;II;II
Baranya;megye;12;13;12;11;11;11;11;12;14;12;13;15;13;14;15;16;16;15;15;15;15
Somogy;megye;15;15;15;15;15;16;17;17;16;16;15;16;16;15;17;17;17;17;16;17;17
Tolna ;megye;8;11;10;13;13;14;14;13;10;8;9;9;8;7;9;9;10;12;8;9;10
Dél-Dunántúl;régió;V;V;V;V;VI;VI;VI;V;VI;V;V;VI;VI;VI;VI;VII;VI;VII;VI;VI;VI
