"13.2.1.19. Az ipar exportértékesítésének volumenindexei alágak szerint, a 2015. év havi átlaga = 100,0%; eredeti, havonta";;;;;;;;;;;;;;;;;;
Év;Idõszak Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
Havonta;;;;;;;;;;;;;;;;;;
;február;29,9;116,0;80,4;134,1;65,9;121,9;114,1;131,2;106,0;154,3;231,2;84,9;110,7;113,0;120,9;113,8;120,8
;március;47,5;127,4;99,2;161,9;87,3;127,7;122,2;150,5;117,6;163,7;256,4;96,0;125,8;122,5;134,8;129,6;134,3
;április;53,9;118,3;78,3;133,6;76,7;118,0;116,0;139,6;110,4;136,6;225,9;82,2;105,8;112,7;116,3;127,5;116,3
;május;63,4;118,5;77,6;148,4;65,6;114,7;112,2;135,7;108,0;132,2;223,6;83,3;99,9;109,0;113,4;103,1;112,6
;június;67,7;126,6;84,4;142,8;71,0;118,7;127,6;137,7;112,8;148,2;247,6;94,1;110,5;117,7;124,5;114,0;124,6
;július;55,3;121,9;78,0;133,6;78,0;119,5;91,3;128,9;103,5;115,0;226,0;83,5;89,4;111,2;107,0;177,9;112,0
;augusztus;49,2;122,6;62,3;132,0;70,6;108,1;81,6;119,7;97,0;125,4;192,7;71,8;59,7;106,0;93,4;172,5;99,3
;szeptember;55,8;143,7;74,4;137,4;70,8;106,2;105,5;134,8;115,0;154,4;242,7;97,0;94,2;123,6;119,4;221,4;129,2
;október;45,6;138,8;67,2;137,7;49,5;101,1;90,8;129,7;116,9;152,4;229,7;76,5;87,6;117,9;111,8;141,9;115,3
;november;67,1;147,0;70,0;143,5;44,0;113,5;107,0;137,1;121,4;168,5;261,9;82,0;101,3;121,6;123,6;163,3;128,5
;december;43,4;121,8;67,7;132,0;52,6;109,5;84,9;108,4;90,0;134,4;223,2;86,9;83,6;121,7;104,0;195,1;112,3
2022.;január;22,1;136,1;76,6;136,1;58,8;121,0;99,8;122,5;104,7;142,9;247,5;80,5;92,6;108,6;112,7;190,5;117,4
;február;39,4;129,5;86,9;140,4;57,6;114,4;106,6;121,7;107,6;152,7;257,9;88,5;113,4;121,5;122,9;177,2;129,7
;március;49,5;150,3;106,6;155,7;80,4;121,5;125,2;142,1;117,5;172,6;322,0;107,3;103,1;130,3;132,4;172,6;137,5
;április;46,9;136,8;84,1;139,5;56,4;106,5;100,8;121,2;110,7;134,9;265,7;91,7;97,4;113,4;113,6;107,0;111,7
;május;59,2;145,1;87,7;154,4;38,6;104,3;109,0;136,0;116,0;145,9;313,2;103,6;113,6;132,0;126,0;118,5;125,4
;június;55,2;138,3;96,8;141,9;40,0;98,0;115,7;126,7;106,2;165,3;325,3;103,8;111,1;126,0;126,9;126,3;128,2
;július;43,4;138,1;74,8;132,0;36,2;90,7;89,8;117,7;93,3;128,9;311,7;78,1;103,8;110,8;111,5;176,5;115,6
;augusztus;40,2;146,9;74,3;143,2;38,5;83,2;92,0;123,4;90,0;160,9;323,8;85,2;100,2;118,0;116,9;233,7;126,8
;szeptember;49,7;147,4;82,1;150,3;29,0;103,4;119,7;136,8;103,2;187,5;394,3;91,3;125,1;136,7;138,3;236,4;146,5
;október;35,3;138,2;76,9;150,5;34,6;94,7;103,9;125,9;95,0;176,9;380,2;84,0;120,2;120,3;130,9;137,8;131,3
;november;;;;;;;;;;;;;;;;;
;december;;;;;;;;;;;;;;;;;
