22.1.3.3. Évközepi népesség száma [millió fõ];;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Svájc;7,18;7,23;7,28;7,34;7,39;7,44;7,48;7,55;7,65;7,74;7,82;7,91;8,00;8,09;8,19;8,28;8,37;8,45;8,51;8,58;8,64
Szerbia;7,52;7,50;7,50;7,48;7,46;7,44;7,41;7,38;7,35;7,32;7,29;7,23;7,20;7,16;7,13;7,10;7,06;7,02;6,98;6,95;6,90
Törökország;65,81;65,17;66,00;66,79;67,60;68,44;69,30;70,16;71,05;72,04;73,14;74,22;75,18;76,15;77,18;78,22;79,28;80,31;81,41;82,58;83,38
India;1 056,58;1 075,00;1 093,32;1 111,52;1 129,62;1 147,61;1 165,49;1 183,21;1 200,67;1 217,73;1 234,28;1 250,29;1 265,78;1 280,84;1 295,60;1 310,15;1 324,52;1 338,68;1 352,64;1 366,42;1 380,00
Izrael;6,29;6,44;6,57;6,69;6,81;6,93;7,05;7,18;7,31;7,49;7,62;7,77;7,91;8,06;8,22;8,38;8,55;8,71;8,88;9,05;9,22
Japán;126,84;127,15;127,45;127,72;127,76;127,77;127,85;128,00;128,06;128,05;128,07;127,83;127,63;127,45;127,28;127,14;126,99;126,79;126,53;126,26;125,84
Kína;1 262,65;1 271,85;1 280,40;1 288,40;1 296,08;1 303,72;1 311,02;1 317,89;1 324,66;1 331,26;1 337,71;1 344,13;1 350,70;1 357,38;1 364,27;1 371,22;1 378,67;1 386,40;1 392,73;1 397,72;1 402,11
Koreai Köztársaság;47,01;47,37;47,64;47,89;48,08;48,18;48,44;48,68;49,05;49,31;49,55;49,94;50,20;50,43;50,75;51,01;51,22;51,36;51,61;51,71;51,78
Dél-afrikai Köztársaság;44,97;45,57;46,15;46,72;47,29;47,88;48,49;49,12;49,78;50,48;51,22;52,00;52,83;53,69;54,54;55,39;56,21;57,01;57,79;58,56;59,31
Egyiptom;68,83;70,15;71,49;72,83;74,17;75,52;76,87;78,23;79,64;81,13;82,76;84,53;86,42;88,40;90,42;92,44;94,45;96,44;98,42;100,39;102,33
Brazília;174,79;177,20;179,54;181,81;184,01;186,13;188,17;190,13;192,03;193,89;195,71;197,51;199,29;201,04;202,76;204,47;206,16;207,83;209,47;211,05;212,56
Egyesült Államok;282,16;284,97;287,63;290,11;292,81;295,52;298,38;301,23;304,09;306,77;309,33;311,58;313,88;316,06;318,39;320,74;323,07;325,12;326,84;328,33;329,48
Kanada;30,69;31,02;31,36;31,64;31,94;32,24;32,57;32,89;33,25;33,63;34,00;34,34;34,71;35,08;35,44;35,70;36,11;36,55;37,07;37,59;38,01
Mexikó;98,90;100,30;101,68;103,08;104,51;106,01;107,56;109,17;110,82;112,46;114,09;115,70;117,27;118,83;120,36;121,86;123,33;124,78;126,19;127,58;128,93
Ausztrália;19,15;19,41;19,65;19,90;20,13;20,39;20,70;20,83;21,25;21,69;22,03;22,34;22,73;23,13;23,48;23,82;24,19;24,60;24,98;25,37;25,69
Új-Zéland;3,86;3,88;3,95;4,03;4,09;4,13;4,18;4,22;4,26;4,30;4,35;4,38;4,41;4,44;4,52;4,61;4,71;4,81;4,90;4,98;5,08
