22.1.1.23. Magyarországon tartózkodó külföldi állampolgárok, az állampolgárság országa és nem szerint, január 1.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Földrész, ország;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
  Horvátország;200;351;452;600;656;719;529;527;434;494;476;439;463;501;534;557;575;424;432;410;534;654;698;796;893;886;772;760
  Ausztria;439;497;627;727;661;697;461;517;504;508;337;979;1 413;1 650;1 915;2 355;2 482;2 115;2 388;2 520;2 557;2 562;2 542;2 386;2 014;2 124;2 578;2 812
Ázsia;6 598;7 437;9 671;10 762;11 276;11 763;7 245;8 199;7 653;8 207;8 455;10 242;10 899;12 371;13 117;13 750;14 390;13 467;14 604;15 487;18 152;20 801;21 130;23 801;26 587;28 779;30 263;30 419
Ebbõl: Kína;2 394;2 891;4 383;5 088;5 132;5 407;3 269;3 852;3 569;3 713;3 781;4 737;4 937;5 606;5 874;6 101;6 494;5 546;6 219;6 749;8 556;10 124;9 695;10 008;9 490;9 909;9 430;9 038
Amerika;1 558;1 781;2 087;2 388;2 559;2 642;1 377;1 434;1 348;1 403;1 435;1 633;1 685;1 949;1 982;2 613;2 826;2 592;2 767;2 903;3 429;3 017;2 960;3 138;3 643;4 052;3 722;3 911
Ebbõl: Egyesült Államok;973;1 151;1 385;1 637;1 813;1 886;932;968;915;979;946;1 081;1 084;1 297;1 319;1 684;1 827;1 675;1 742;1 693;1 709;1 816;1 763;1 790;1 840;1 876;1 647;1 640
Afrika;1 759;1 823;1 990;2 103;2 019;1 983;1 031;1 086;1 002;1 109;1 197;1 386;1 370;1 438;1 512;1 856;2 010;2 393;2 740;3 058;3 402;3 750;4 083;4 222;4 446;4 859;5 112;5 019
Ausztrália és Óceánia;285;354;366;387;426;420;274;280;243;252;286;303;335;400;464;397;536;271;343;327;358;361;358;376;390;392;400;371
Összesen;73 210;74 361;76 408;79 295;77 834;79 101;53 578;56 857;56 650;63 117;68 652;77 361;84 073;89 938;95 824;104 719;109 487;79 915;79 285;78 772;81 763;87 694;85 131;92 838;105 610;117 049;112 602;115 576
Nõ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
