13.1.3.2. A bányászati termelés volumenének alakulása [az elõzõ évhez képest, százalék];;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Ausztria;4,6;-1,9;3,4;-0,1;-5,3;-1,8;10,8;0,1;6,4;-6,6;4,4;8,4;0,1;-7,0;0,6;-9,3;2,5;4,4;4,1;-10,6;-10,6
Belgium;..;2,9;18,6;-2,8;0,3;13,9;7,6;5,6;5,5;-20,4;12,5;3,6;-6,1;-4,9;-0,8;20,2;1,9;2,6;-0,4;-3,8;-4,0
Bulgária;..;-9,2;-0,4;6,2;17,4;-1,0;0,8;-8,0;-5,5;-14,9;1,3;8,2;-2,3;-6,3;-1,0;0,4;2,6;2,8;-5,9;5,1;-1,5
Ciprus;..;-3,9;11,5;4,7;3,1;4,4;-0,9;7,7;8,7;-18,5;9,3;-7,6;-33,9;-34,7;-9,8;1,0;34,7;18,0;11,7;2,4;-5,9
Csehország;..;1,6;-3,4;1,3;-1,0;-4,7;-0,1;-2,3;-3,4;-6,0;-0,5;1,3;-4,0;-10,5;-2,6;-2,4;-6,8;-1,8;-0,8;-6,4;-16,6
Dánia;..;-1,1;5,9;-1,8;5,2;4,8;-6,9;-9,7;-3,3;-8,8;-4,7;-7,9;-6,2;-16,9;-10,5;-2,4;-4,7;-3,3;-13,6;-10,8;-32,3
Észtország;..;3,3;15,5;5,5;-8,9;11,1;9,2;10,6;-7,9;-10,4;13,2;8,5;-4,2;10,9;-3,8;-5,0;-10,9;29,3;5,8;-11,6;-13,3
Finnország;-20,2;27,2;17,0;-4,5;-21,6;21,6;27,8;-22,0;2,2;-11,5;3,8;6,4;-7,4;4,4;-2,0;-19,2;18,6;6,6;15,4;-10,2;-4,6
Franciaország;5,1;-0,5;-3,9;-1,0;-0,4;-1,4;3,3;2,0;-2,9;-12,8;-1,2;0,9;-4,7;-3,4;-4,3;4,3;-0,6;1,9;2,3;-0,5;-11,4
Görögország;..;2,0;10,3;-3,7;-0,3;-7,4;-2,9;-0,3;-4,5;-11,8;-6,5;-2,0;-0,9;-11,5;-0,3;-6,5;-5,7;9,8;0,1;-6,6;-4,2
Hollandia;..;..;..;..;..;..;..;..;..;..;11,6;-8,1;-0,6;6,8;-16,5;-19,5;..;..;..;-13,4;-18,9
Horvátország;1,8;2,1;17,0;2,3;-3,2;-3,0;10,3;2,9;-1,8;-10,7;-9,2;-4,9;-15,4;-2,7;-6,4;4,9;-1,8;-2,5;-9,9;-5,9;-8,9
Írország;23,1;2,0;-3,1;24,0;-0,4;1,6;1,8;-3,0;-6,5;-12,9;-6,7;-15,1;-10,7;43,7;4,7;-21,1;..;..;..;..;..
Lengyelország;..;-5,1;-2,9;-2,1;2,4;-2,3;1,1;-3,1;0,5;-13,3;1,8;2,1;-2,8;3,2;-5,7;0,4;-4,9;-6,1;0,3;0,9;-7,9
Lettország;..;1,5;10,1;5,9;10,3;18,6;9,8;12,9;-1,9;-18,7;12,8;8,1;0,8;3,6;3,0;6,2;0,0;18,3;4,3;-5,0;8,8
Litvánia;8,1;28,7;-2,5;9,8;-6,7;-8,8;1,4;2,2;-7,0;-38,3;11,6;11,3;-3,3;14,0;8,3;-14,1;6,1;28,1;-9,1;1,9;6,2
Luxemburg;..;0,6;-9,5;-10,8;0,1;-2,6;-20,4;2,2;-1,5;-11,3;-23,2;9,0;0,0;-8,1;-0,3;3,4;-13,2;-21,0;-4,7;-3,1;2,7
Magyarország;..;15,6;-9,5;-1,9;7,9;-3,6;16,4;-17,2;35,1;-10,7;-22,4;10,1;8,5;-6,9;-0,3;-14,2;-18,9;25,0;55,0;19,8;-31,0
Málta;..;8,7;5,9;19,0;-14,1;10,9;-14,3;28,1;-39,9;-3,5;-23,4;-10,0;29,5;6,1;-21,9;-2,7;11,8;-7,0;23,6;8,3;-14,2
Németország;-7,2;-6,7;-1,6;-0,8;-3,2;-1,6;-4,1;30,1;-11,6;-15,6;-8,2;0,3;-5,8;-11,4;-1,4;-5,3;-5,8;1,0;-6,5;-13,4;-6,2
Olaszország;-8,5;-8,0;16,8;2,1;-2,5;8,0;-1,6;-6,6;-7,9;-12,3;-1,6;2,3;1,1;-8,6;-2,1;-4,6;-8,7;-0,4;-0,9;-4,7;-8,1
Portugália;..;4,9;-4,9;-4,4;10,4;14,6;-9,3;6,7;0,2;-18,6;-5,9;-6,2;-23,9;-17,6;-10,6;1,0;-0,7;-3,8;15,3;4,9;-4,2
Románia;..;3,7;-7,1;-0,3;0,6;-1,9;2,5;-1,6;0,3;-12,2;-7,0;3,4;10,3;1,9;1,1;-12,6;-11,4;9,9;-0,2;-2,8;-9,6
Spanyolország;4,1;-0,2;-4,1;-0,2;-4,9;-3,4;3,2;0,2;-14,0;-24,0;4,3;-18,4;-23,6;-14,4;-0,3;-8,2;-8,0;5,2;-6,1;1,3;-7,8
Svédország;..;-1,9;1,7;-0,6;8,2;5,1;1,5;6,8;0,3;-4,6;29,4;4,8;-1,5;-2,5;3,6;-1,4;13,5;6,3;-4,2;1,4;0,7
Szlovákia;..;-6,4;9,5;-8,4;7,3;-14,4;-3,3;15,3;-14,4;4,4;-0,3;0,2;-3,0;-1,1;2,1;2,0;-3,7;-5,8;-9,7;5,3;6,5
Szlovénia;-4,0;-6,9;7,2;4,7;-12,5;4,0;7,8;5,5;4,1;-3,0;13,7;-7,1;-5,9;-0,5;-3,7;-0,7;2,9;2,9;-0,3;-4,8;-3,4
EU27_2020;..;-0,6;1,7;-2,4;3,3;-3,6;-1,4;1,6;-2,4;-12,0;1,3;-2,6;-3,7;-3,5;-6,4;-8,3;-5,3;-2,3;-4,6;-5,7;-10,8
Egyesült Királyság;-3,5;-5,1;-0,6;-5,3;-7,4;-7,9;-5,7;-3,2;-5,9;-9,3;7,0;-13,6;-12,1;-5,5;-0,7;2,2;-2,3;0,7;5,3;-1,5;..
Észak-Macedónia;..;-1,8;-24,5;-39,1;-5,0;40,5;11,2;9,9;9,4;-12,4;-3,8;2,6;1,7;3,4;-1,9;-1,4;-7,8;-1,7;-1,4;-1,9;-6,3
Norvégia;5,6;3,1;-1,7;-1,1;-1,2;-3,2;-4,5;-4,6;-0,7;-3,0;-8,4;-8,1;0,0;-3,9;1,5;3,0;-0,6;-0,2;-3,4;-6,7;9,6
Oroszország;..;..;..;..;..;..;..;..;..;..;3,8;1,8;1,0;1,1;1,4;0,3;..;..;..;..;..
Svájc;..;..;..;..;..;..;..;..;..;..;..;..;0,8;2,2;-1,6;-0,7;0,4;5,9;-4,8;-3,0;-1,8
Szerbia;..;-12,3;1,5;0,4;0,4;4,2;4,1;0,2;4,8;-3,4;3,9;9,8;-0,4;5,8;-15,8;12,1;2,7;2,8;-4,8;1,1;2,2
Törökország;-2,6;-8,3;-8,3;-3,4;3,9;10,0;9,8;11,8;6,7;0,6;-2,5;14,5;1,7;0,7;-2,9;1,5;-0,5;11,1;3,2;1,5;-1,7
India;..;..;..;..;..;..;..;..;..;..;5,3;-2,0;-2,3;-0,7;1,5;2,3;..;..;..;..;..
Izrael;..;..;..;..;..;..;..;..;..;..;85,6;-2,9;-8,4;32,2;10,5;-0,2;..;..;..;..;..
Japán;..;..;..;..;..;..;..;..;..;..;-3,9;0,0;1,0;-4,4;-2,3;-4,2;..;..;..;..;..
Koreai Köztársaság;..;..;..;..;..;..;..;..;..;..;-7,2;4,5;-4,5;4,0;-7,9;0,5;..;..;..;..;..
Dél-afrikai Köztársaság;..;..;..;..;..;..;..;..;..;..;4,9;-0,9;-3,2;3,6;-1,4;3,2;..;..;..;..;..
Brazília;..;..;..;..;..;..;..;..;..;..;13,5;2,2;-0,5;-3,6;6,8;3,6;..;..;..;..;..
Egyesült Államok;..;..;..;..;..;..;..;..;..;..;5,2;5,6;7,4;6,5;11,0;-1,7;..;..;..;..;..
Kanada;..;..;..;..;..;..;..;..;..;..;6,2;7,2;-2,1;3,3;6,0;-2,3;..;..;..;..;..
Mexikó;..;..;..;..;..;..;..;..;..;..;0,9;-0,4;0,9;-0,1;-1,5;-5,8;..;..;..;..;..
Ausztrália;..;..;..;..;..;..;..;..;..;..;7,9;2,2;7,5;8,8;9,5;6,5;..;..;..;..;..
