22.1.2.3. A 15 éves és annál idõsebb népesség nem, családi állapot, megye és régió szerint, január 1.;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2001, Nõtlen, hajadon;2001, Házas;2001, Özvegy;2001, Elvált;2001, Összesen;2012, Nõtlen, hajadon;2012, Házas;2012, Özvegy;2012, Elvált;2012, Összesen;2022, Nõtlen, hajadon;2022, Házas;2022, Özvegy;2022, Elvált;2022, Összesen
Nyugat-Dunántúl;régió;135 007;230 165;14 317;22 448;401 937;154 236;201 346;14 574;34 094;404 250;164 001;192 953;14 078;39 444;410 476
Baranya;megye;52 435;88 802;6 196;13 104;160 537;58 374;71 574;6 199;16 631;152 778;56 934;63 964;5 938;16 385;143 221
Somogy;megye;43 242;73 751;5 145;10 079;132 217;50 064;59 731;5 049;13 497;128 341;49 004;53 858;4 902;14 014;121 778
Tolna ;megye;30 667;56 815;3 735;7 385;98 602;35 820;45 002;3 718;9 874;94 414;33 161;40 139;3 440;9 472;86 212
Dél-Dunántúl;régió;126 344;219 368;15 076;30 568;391 356;144 258;176 307;14 966;40 002;375 533;139 099;157 961;14 280;39 871;351 211
Dunántúl;nagyrégió;409 138;696 885;45 317;87 041;1 238 381;472 661;584 122;45 916;118 879;1 221 578;477 132;548 290;43 985;124 540;1 193 947
Borsod-Abaúj-Zemplén;megye;91 164;163 628;11 203;20 503;286 498;107 610;125 360;10 839;27 293;271 102;103 306;110 964;9 467;25 978;249 715
Heves;megye;38 057;75 515;4 733;8 961;127 266;45 270;60 461;4 724;12 259;122 714;45 680;53 731;4 510;12 659;116 580
Nógrád ;megye;25 764;51 000;3 645;6 451;86 860;30 352;39 527;3 379;8 862;82 120;29 969;34 357;3 038;8 918;76 282
Észak-Magyarország;régió;154 985;290 143;19 581;35 915;500 624;183 232;225 348;18 942;48 414;475 936;178 955;199 052;17 015;47 555;442 577
Hajdú-Bihar;megye;68 490;121 614;7 718;15 377;213 199;84 918;103 375;7 832;21 241;217 366;85 866;98 193;7 250;21 224;212 533
Jász-Nagykun-Szolnok;megye;52 824;92 538;6 714;12 258;164 334;62 474;72 218;6 739;16 194;157 625;60 991;63 482;6 195;15 988;146 656
Szabolcs-Szatmár-Bereg;megye;69 973;132 644;7 756;11 730;222 103;85 069;111 257;7 788;17 458;221 572;86 048;106 403;7 383;18 927;218 761
Észak-Alföld;régió;191 287;346 796;22 188;39 365;599 636;232 461;286 850;22 359;54 893;596 563;232 905;268 078;20 828;56 139;577 950
Bács-Kiskun ;megye;69 603;118 082;8 137;17 054;212 876;82 675;96 656;8 034;22 442;209 807;82 710;89 769;7 581;22 252;202 312
Békés;megye;50 486;87 534;7 054;13 675;158 749;58 054;66 638;6 702;16 534;147 928;53 926;58 357;5 764;15 565;133 612
Csongrád-Csanád;megye;56 867;90 218;6 901;14 848;168 834;66 875;73 904;6 661;18 317;165 757;67 901;68 985;6 154;17 338;160 378
Dél-Alföld;régió;176 956;295 834;22 092;45 577;540 459;207 604;237 198;21 397;57 293;523 492;204 537;217 111;19 499;55 155;496 302
Alföld és Észak;nagyrégió;523 228;932 773;63 861;120 857;1 640 719;623 297;749 396;62 698;160 600;1 595 991;616 397;684 241;57 342;158 849;1 516 829
Ország összesen;ország;1 310 072;2 219 431;152 713;303 098;3 985 314;1 561 038;1 868 971;151 992;403 127;3 985 128;1 614 113;1 761 620;142 635;402 305;3 920 673
Nõ;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;219 688;358 888;148 530;117 415;844 521;257 157;304 491;129 095;132 770;823 513;287 905;278 491;108 563;124 307;799 266
Pest ;megye, régió;101 117;237 729;81 173;44 043;464 062;143 436;235 525;87 182;64 630;530 773;165 656;255 223;81 581;72 305;574 765
Közép-Magyarország;nagyrégió;320 805;596 617;229 703;161 458;1 308 583;400 593;540 016;216 277;197 400;1 354 286;453 561;533 714;190 144;196 612;1 374 031
Fejér;megye;39 764;94 495;31 774;18 057;184 090;51 009;80 596;33 169;23 617;188 391;52 046;78 552;29 752;25 362;185 712
Komárom-Esztergom;megye;29 449;69 511;24 770;14 127;137 857;37 107;56 537;24 923;18 253;136 820;38 054;54 093;22 015;18 924;133 086
Veszprém;megye;35 737;84 663;28 796;13 762;162 958;42 057;69 328;28 981;18 762;159 128;40 919;65 234;25 606;20 726;152 485
