20.2.1.3. A 15–64 éves népesség gazdasági aktivitása nemenként, havonta;;;;;;;;;;
Év;Hónap;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–64 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;;
;augusztus;2 409,1;95,4;2 504,5;655,9;3 160,4;155,2;79,2;3,8;76,2
;szeptember;2 431,2;85,7;2 517,0;641,7;3 158,6;149,3;79,7;3,4;77,0
;október;2 453,2;72,4;2 525,6;631,2;3 156,8;134,5;80,0;2,9;77,7
;november;2 389,2;103,4;2 492,5;662,4;3 154,9;167,7;79,0;4,1;75,7
;december;2 404,0;94,3;2 498,3;654,9;3 153,2;167,8;79,2;3,8;76,2
2019.;január;2 448,0;90,6;2 538,6;612,5;3 151,1;146,4;80,6;3,6;77,7
;február;2 438,1;92,2;2 530,3;622,9;3 153,2;156,0;80,2;3,6;77,3
;március;2 416,6;86,0;2 502,6;648,5;3 151,1;157,6;79,4;3,4;76,7
;április;2 433,4;87,4;2 520,9;628,3;3 149,2;145,6;80,0;3,5;77,3
;május;2 447,0;95,8;2 542,8;611,3;3 154,1;155,6;80,6;3,8;77,6
;június;2 406,6;78,7;2 485,3;667,4;3 152,7;155,1;78,8;3,2;76,3
;július;2 448,2;85,0;2 533,2;618,0;3 151,2;148,2;80,4;3,4;77,7
;augusztus;2 470,0;78,3;2 548,3;601,4;3 149,7;136,9;80,9;3,1;78,4
;szeptember;2 402,4;86,9;2 489,3;659,0;3 148,3;146,6;79,1;3,5;76,3
;október;2 442,6;83,7;2 526,3;620,5;3 146,8;135,7;80,3;3,3;77,6
;november;2 471,7;78,4;2 550,1;595,2;3 145,4;132,3;81,1;3,1;78,6
;december;2 405,9;81,1;2 487,0;657,2;3 144,1;155,0;79,1;3,3;76,5
2020.;január;2 398,6;96,6;2 495,2;647,2;3 142,5;167,9;79,4;3,9;76,3
;február;2 448,4;81,2;2 529,7;610,6;3 140,3;144,9;80,6;3,2;78,0
;március;2 397,3;96,3;2 493,7;645,5;3 139,2;188,8;79,4;3,9;76,4
;április;2 365,1;95,5;2 460,6;677,4;3 138,0;205,3;78,4;3,9;75,4
;május;2 393,6;118,7;2 512,3;624,5;3 136,7;194,5;80,1;4,7;76,3
;június;2 396,9;121,2;2 518,1;617,2;3 135,3;215,6;80,3;4,8;76,4
;július;2 406,0;113,0;2 519,0;615,1;3 134,1;199,2;80,4;4,5;76,8
;augusztus;2 462,8;90,8;2 553,6;579,4;3 133,0;154,9;81,5;3,6;78,6
;szeptember;2 425,1;122,4;2 547,4;584,4;3 131,8;195,8;81,3;4,8;77,4
;október;2 408,4;104,4;2 512,8;617,8;3 130,6;177,9;80,3;4,2;76,9
;november;2 468,4;97,7;2 566,1;563,1;3 129,2;160,8;82,0;3,8;78,9
;december;2 421,1;104,0;2 525,1;602,5;3 127,6;188,7;80,7;4,1;77,4
2021.;január;2 384,8;119,3;2 504,1;621,6;3 125,7;216,2;80,1;4,8;76,3
;február;2 417,6;105,4;2 523,0;588,7;3 111,7;201,1;81,1;4,2;77,7
;március;2 418,4;87,2;2 505,7;604,3;3 110,0;162,4;80,6;3,5;77,8
;április;2 365,8;118,8;2 484,6;622,7;3 107,3;206,1;80,0;4,8;76,1
;május;2 432,1;94,4;2 526,5;578,2;3 104,7;182,0;81,4;3,7;78,3
;június;2 431,3;97,9;2 529,3;569,8;3 099,1;155,8;81,6;3,9;78,5
;július;2 447,6;98,9;2 546,6;550,6;3 097,2;..;82,2;3,9;79,0
;augusztus;2 449,9;97,1;2 547,0;548,3;3 095,3;..;82,3;3,8;79,1
;szeptember;2 438,6;103,5;2 542,1;551,3;3 093,4;..;82,2;4,1;78,8
;október;2 444,6;93,8;2 538,4;553,1;3 091,5;..;82,1;3,7;79,1
;november;2 441,6;90,8;2 532,4;557,0;3 089,4;..;82,0;3,6;79,0
;december;2 445,3;95,7;2 541,0;545,8;3 086,8;..;82,3;3,8;79,2
2022.;január;2 417,8;102,1;2 519,9;563,9;3 083,8;..;81,7;4,0;78,4
;február;2 436,3;95,4;2 531,7;557,5;3 089,2;..;82,0;3,8;78,9
;március;2 438,9;88,5;2 527,4;560,8;3 088,2;..;81,8;3,5;79,0
;április;2 419,4;89,6;2 509,0;578,0;3 087,1;..;81,3;3,6;78,4
;május;2 413,1;85,4;2 498,6;587,5;3 086,0;..;81,0;3,4;78,2
;június;2 434,4;83,0;2 517,4;567,6;3 085,0;..;81,6;3,3;78,9
;július;2 422,8;90,7;2 513,4;570,6;3 084,1;..;81,5;3,6;78,6
;augusztus;2 430,0;92,5;2 522,5;560,5;3 083,1;..;81,8;3,7;78,8
;szeptember;2 429,5;96,5;2 526,0;556,1;3 082,1;..;82,0;3,8;78,8
;október;2 421,1;90,0;2 511,1;570,0;3 081,1;..;81,5;3,6;78,6
;november;;;;;;;;;
;december;;;;;;;;;
Nõ;;;;;;;;;;
2009.;január;1 837,8;167,5;2 005,3;1 449,9;3 455,3;301,1;58,0;8,4;53,2
;február;1 849,6;179,0;2 028,6;1 425,7;3 454,3;293,3;58,7;8,8;53,5
;március;1 864,9;188,1;2 053,1;1 400,1;3 453,2;307,3;59,5;9,2;54,0
;április;1 828,1;180,4;2 008,5;1 443,6;3 452,2;314,2;58,2;9,0;53,0
;május;1 872,3;168,8;2 041,1;1 410,0;3 451,1;292,1;59,1;8,3;54,3
;június;1 871,1;179,3;2 050,4;1 399,7;3 450,1;296,6;59,4;8,7;54,2
;július;1 862,0;186,0;2 048,1;1 401,0;3 449,1;320,6;59,4;9,1;54,0
;augusztus;1 861,7;191,1;2 052,9;1 395,2;3 448,0;326,8;59,5;9,3;54,0
;szeptember;1 853,9;197,4;2 051,4;1 395,6;3 446,9;325,8;59,5;9,6;53,8
;október;1 865,0;186,6;2 051,5;1 394,4;3 446,0;327,5;59,5;9,1;54,1
;november;1 850,1;201,4;2 051,5;1 393,4;3 444,9;336,8;59,6;9,8;53,7
;december;1 862,1;197,9;2 060,0;1 383,8;3 443,8;323,9;59,8;9,6;54,1
2010.;január;1 829,9;207,9;2 037,9;1 405,0;3 442,8;348,5;59,2;10,2;53,2
;február;1 863,8;210,8;2 074,7;1 367,1;3 441,8;344,0;60,3;10,2;54,2
;március;1 871,0;213,9;2 084,9;1 355,8;3 440,7;344,0;60,6;10,3;54,4
;április;1 843,9;205,6;2 049,5;1 390,1;3 439,6;344,1;59,6;10,0;53,6
;május;1 864,5;208,2;2 072,7;1 365,9;3 438,7;346,1;60,3;10,0;54,2
;június;1 891,8;197,0;2 088,8;1 348,8;3 437,6;324,2;60,8;9,4;55,0
;július;1 850,8;207,1;2 057,9;1 378,6;3 436,6;347,0;59,9;10,1;53,9
;augusztus;1 858,7;214,7;2 073,4;1 362,2;3 435,5;349,6;60,4;10,4;54,1
;szeptember;1 909,2;205,1;2 114,3;1 320,2;3 434,5;338,6;61,6;9,7;55,6
;október;1 881,9;195,5;2 077,4;1 356,0;3 433,4;327,3;60,5;9,4;54,8
;november;1 852,8;218,9;2 071,7;1 360,7;3 432,4;356,2;60,4;10,6;54,0
;december;1 877,7;203,1;2 080,7;1 350,6;3 431,4;357,3;60,6;9,8;54,7
2011.;január;1 856,1;200,6;2 056,6;1 373,7;3 430,4;335,6;60,0;9,8;54,1
;február;1 824,6;233,8;2 058,4;1 370,8;3 429,3;387,0;60,0;11,4;53,2
;március;1 865,5;217,0;2 082,4;1 345,8;3 428,3;369,6;60,7;10,4;54,4
;április;1 864,0;197,0;2 061,0;1 366,2;3 427,2;327,1;60,1;9,6;54,4
;május;1 854,6;216,8;2 071,4;1 354,8;3 426,2;357,2;60,5;10,5;54,1
;június;1 869,2;225,6;2 094,8;1 330,3;3 425,1;381,9;61,2;10,8;54,6
;július;1 887,7;199,1;2 086,7;1 337,3;3 424,1;339,7;60,9;9,5;55,1
;augusztus;1 866,7;213,2;2 079,9;1 343,2;3 423,1;365,0;60,8;10,2;54,5
;szeptember;1 865,3;226,5;2 091,8;1 330,1;3 422,0;386,6;61,1;10,8;54,5
;október;1 910,5;215,1;2 125,6;1 295,3;3 420,9;350,3;62,1;10,1;55,8
;november;1 881,4;199,4;2 080,8;1 337,1;3 417,9;357,1;60,9;9,6;55,0
;december;1 843,0;221,4;2 064,5;1 350,7;3 415,2;384,0;60,4;10,7;54,0
2012.;január;1 869,7;230,0;2 099,7;1 312,9;3 412,6;381,5;61,5;11,0;54,8
;február;1 864,7;211,7;2 076,4;1 334,1;3 410,5;357,3;60,9;10,2;54,7
;március;1 835,7;233,3;2 069,0;1 339,6;3 408,7;396,4;60,7;11,3;53,9
;április;1 885,4;228,9;2 114,3;1 292,3;3 406,6;397,5;62,1;10,8;55,3
;május;1 917,9;186,7;2 104,6;1 300,1;3 404,7;336,0;61,8;8,9;56,3
;június;1 875,6;198,4;2 074,0;1 328,8;3 402,8;366,0;61,0;9,6;55,1
;július;1 929,5;213,4;2 143,0;1 258,0;3 400,9;396,5;63,0;10,0;56,7
;augusztus;1 920,0;195,0;2 115,0;1 283,9;3 399,0;366,8;62,2;9,2;56,5
;szeptember;1 931,5;198,6;2 130,1;1 267,0;3 397,1;354,1;62,7;9,3;56,9
;október;1 911,5;220,9;2 132,5;1 262,8;3 395,3;393,5;62,8;10,4;56,3
;november;1 895,9;205,5;2 101,5;1 292,0;3 393,4;385,7;61,9;9,8;55,9
;december;1 902,2;196,5;2 098,7;1 292,9;3 391,6;374,6;61,9;9,4;56,1
2013.;január;1 869,2;223,4;2 092,6;1 297,0;3 389,6;411,9;61,7;10,7;55,1
;február;1 858,0;208,7;2 066,7;1 320,1;3 386,7;381,8;61,0;10,1;54,9
;március;1 912,2;202,4;2 114,6;1 269,5;3 384,2;369,7;62,5;9,6;56,5
;április;1 912,8;211,2;2 124,0;1 257,4;3 381,3;392,9;62,8;9,9;56,6
;május;1 877,4;201,2;2 078,6;1 300,1;3 378,7;368,4;61,5;9,7;55,6
;június;1 931,7;197,2;2 129,0;1 247,0;3 376,0;359,4;63,1;9,3;57,2
;július;1 937,9;202,9;2 140,8;1 232,5;3 373,3;370,9;63,5;9,5;57,4
;augusztus;1 885,3;208,9;2 094,2;1 276,4;3 370,6;362,4;62,1;10,0;55,9
;szeptember;1 947,5;188,0;2 135,6;1 232,4;3 367,9;343,6;63,4;8,8;57,8
;október;1 955,0;188,3;2 143,3;1 222,0;3 365,3;349,9;63,7;8,8;58,1
;november;1 895,2;184,6;2 079,8;1 282,8;3 362,6;336,5;61,9;8,9;56,4
;december;1 951,6;187,7;2 139,3;1 220,6;3 359,9;341,8;63,7;8,8;58,1
2014.;január;1 994,6;169,9;2 164,6;1 192,6;3 357,2;326,4;64,5;7,9;59,4
;február;1 936,0;160,7;2 096,7;1 257,2;3 353,9;318,6;62,5;7,7;57,7
;március;1 972,9;181,7;2 154,7;1 196,5;3 351,2;333,4;64,3;8,4;58,9
;április;2 016,2;163,4;2 179,6;1 168,6;3 348,2;289,8;65,1;7,5;60,2
;május;1 926,6;158,4;2 085,0;1 260,4;3 345,4;314,9;62,3;7,6;57,6
;június;1 985,8;179,8;2 165,6;1 176,8;3 342,5;313,7;64,8;8,3;59,4
;július;2 037,7;159,3;2 197,0;1 142,7;3 339,7;275,0;65,8;7,3;61,0
;augusztus;1 954,9;150,9;2 105,8;1 231,0;3 336,8;296,6;63,1;7,2;58,6
;szeptember;2 019,5;165,2;2 184,8;1 149,1;3 333,9;300,1;65,5;7,6;60,6
;október;2 020,0;143,1;2 163,1;1 167,9;3 331,0;263,3;64,9;6,6;60,6
;november;1 988,8;146,8;2 135,6;1 192,4;3 328,1;273,6;64,2;6,9;59,8
;december;2 009,6;150,9;2 160,6;1 164,6;3 325,1;301,5;65,0;7,0;60,4
2015.;január;2 019,7;160,7;2 180,4;1 141,7;3 322,2;290,6;65,6;7,4;60,8
;február;1 980,8;160,5;2 141,3;1 176,9;3 318,2;293,4;64,5;7,5;59,7
;március;2 000,4;161,8;2 162,2;1 153,3;3 315,5;294,7;65,2;7,5;60,3
;április;2 054,6;138,9;2 193,4;1 118,7;3 312,2;251,9;66,2;6,3;62,0
;május;2 020,5;138,5;2 159,0;1 150,3;3 309,3;249,3;65,2;6,4;61,1
;június;2 013,2;162,0;2 175,2;1 135,0;3 310,2;269,0;65,7;7,4;60,8
;július;2 067,7;140,6;2 208,3;1 099,2;3 307,5;249,5;66,8;6,4;62,5
;augusztus;2 051,0;142,9;2 193,9;1 110,8;3 304,7;253,7;66,4;6,5;62,1
;szeptember;2 048,0;138,4;2 186,4;1 115,4;3 301,8;225,7;66,2;6,3;62,0
;október;2 073,7;131,6;2 205,3;1 093,7;3 299,0;224,9;66,8;6,0;62,9
;november;2 064,1;125,4;2 189,5;1 106,7;3 296,2;243,2;66,4;5,7;62,6
;december;2 031,9;145,0;2 176,9;1 116,5;3 293,4;243,2;66,1;6,7;61,7
2016.;január;2 041,8;120,6;2 162,4;1 128,1;3 290,5;233,8;65,7;5,6;62,1
;február;2 073,4;113,4;2 186,7;1 097,9;3 284,7;225,2;66,6;5,2;63,1
;március;2 065,5;142,0;2 207,5;1 074,3;3 281,7;239,1;67,3;6,4;62,9
;április;2 070,3;119,5;2 189,8;1 088,8;3 278,7;209,7;66,8;5,5;63,1
;május;2 116,9;87,4;2 204,3;1 071,3;3 275,7;181,4;67,3;4,0;64,6
;június;2 119,0;99,7;2 218,7;1 058,8;3 277,5;203,8;67,7;4,5;64,7
;július;2 116,6;117,1;2 233,8;1 041,1;3 274,9;191,1;68,2;5,2;64,6
;augusztus;2 127,6;95,3;2 222,9;1 049,3;3 272,2;190,1;67,9;4,3;65,0
;szeptember;2 114,8;98,6;2 213,4;1 056,1;3 269,5;189,5;67,7;4,5;64,7
;október;2 123,3;117,3;2 240,6;1 026,2;3 266,8;187,6;68,6;5,2;65,0
;november;2 134,7;75,2;2 209,8;1 054,2;3 264,1;178,8;67,7;3,4;65,4
;december;2 125,2;90,8;2 216,0;1 045,4;3 261,4;186,3;67,9;4,1;65,2
2017.;január;2 115,3;92,5;2 207,8;1 050,7;3 258,5;176,8;67,8;4,2;64,9
;február;2 080,7;89,7;2 170,4;1 081,6;3 252,0;205,0;66,7;4,1;64,0
;március;2 103,2;110,2;2 213,4;1 036,5;3 249,9;206,3;68,1;5,0;64,7
;április;2 122,6;106,2;2 228,9;1 017,4;3 246,2;181,1;68,7;4,8;65,4
;május;2 085,9;80,2;2 166,1;1 075,7;3 241,8;177,2;66,8;3,7;64,3
;június;2 100,4;101,8;2 202,2;1 036,8;3 239,0;194,4;68,0;4,6;64,8
;július;2 116,2;101,5;2 217,7;1 018,3;3 236,0;191,1;68,5;4,6;65,4
;augusztus;2 121,9;100,0;2 221,8;1 011,1;3 233,0;179,1;68,7;4,5;65,6
;szeptember;2 116,8;89,8;2 206,6;1 023,4;3 230,0;169,7;68,3;4,1;65,5
;október;2 127,8;98,0;2 225,8;1 001,2;3 227,0;177,3;69,0;4,4;65,9
;november;2 119,5;83,7;2 203,2;1 021,3;3 224,5;159,2;68,3;3,8;65,7
;december;2 116,2;94,8;2 211,0;1 010,1;3 221,1;167,9;68,6;4,3;65,7
2018.;január;2 113,8;91,4;2 205,2;1 012,8;3 218,0;179,4;68,5;4,1;65,7
;február;2 136,5;85,5;2 222,0;998,3;3 220,3;158,2;69,0;3,8;66,3
;március;2 106,5;90,7;2 197,2;1 020,1;3 217,3;156,5;68,3;4,1;65,5
;április;2 120,3;92,2;2 212,5;1 001,3;3 213,8;180,2;68,8;4,2;66,0
;május;2 175,4;65,8;2 241,2;973,0;3 214,2;137,6;69,7;2,9;67,7
;június;2 126,9;72,0;2 198,9;1 012,9;3 211,8;159,0;68,5;3,3;66,2
;július;2 144,8;100,3;2 245,0;963,1;3 208,2;166,5;70,0;4,5;66,9
;augusztus;2 151,8;87,3;2 239,1;966,0;3 205,1;149,9;69,9;3,9;67,1
;szeptember;2 135,6;88,6;2 224,2;978,0;3 202,2;163,1;69,5;4,0;66,7
;október;2 157,6;85,4;2 243,0;956,3;3 199,2;151,9;70,1;3,8;67,4
;november;2 141,6;66,7;2 208,4;987,8;3 196,2;139,6;69,1;3,0;67,0
;december;2 121,4;75,4;2 196,8;996,4;3 193,2;149,2;68,8;3,4;66,4
2019.;január;2 152,5;74,6;2 227,1;963,0;3 190,1;147,3;69,8;3,3;67,5
;február;2 128,5;72,3;2 200,8;988,7;3 189,5;141,7;69,0;3,3;66,7
;március;2 108,2;76,8;2 185,0;1 001,3;3 186,3;140,9;68,6;3,5;66,2
;április;2 132,9;69,5;2 202,4;980,6;3 183,0;138,4;69,2;3,2;67,0
;május;2 141,7;62,6;2 204,3;978,9;3 183,2;135,8;69,2;2,8;67,3
;június;2 136,7;69,4;2 206,1;973,9;3 180,1;141,5;69,4;3,1;67,2
;július;2 132,3;77,3;2 209,7;967,4;3 177,0;159,4;69,6;3,5;67,1
;augusztus;2 138,2;78,5;2 216,7;957,3;3 173,9;152,4;69,8;3,5;67,4
;szeptember;2 136,5;75,4;2 211,9;959,0;3 170,9;142,9;69,8;3,4;67,4
;október;2 149,4;79,5;2 228,9;939,0;3 167,9;139,4;70,4;3,6;67,8
;november;2 102,9;77,9;2 180,9;983,9;3 164,8;168,3;68,9;3,6;66,4
;december;2 131,3;56,1;2 187,5;974,3;3 161,8;126,5;69,2;2,6;67,4
2020.;január;2 122,6;86,8;2 209,4;949,2;3 158,6;159,9;69,9;3,9;67,2
;február;2 121,7;83,5;2 205,3;951,8;3 157,1;155,7;69,9;3,8;67,2
;március;2 093,5;68,6;2 162,1;992,5;3 154,7;175,1;68,5;3,2;66,4
;április;2 075,5;91,5;2 167,0;985,0;3 152,0;214,4;68,7;4,2;65,8
;május;2 064,7;95,6;2 160,3;989,1;3 149,4;214,8;68,6;4,4;65,6
;június;2 096,9;118,9;2 215,9;930,9;3 146,8;241,7;70,4;5,4;66,6
;július;2 111,8;102,6;2 214,4;929,8;3 144,2;197,6;70,4;4,6;67,2
;augusztus;2 111,9;93,5;2 205,4;936,2;3 141,6;169,4;70,2;4,2;67,2
;szeptember;2 116,7;95,7;2 212,4;926,6;3 139,0;188,5;70,5;4,3;67,4
;október;2 106,1;89,7;2 195,8;940,8;3 136,5;181,8;70,0;4,1;67,1
;november;2 089,2;89,7;2 178,9;954,9;3 133,8;170,5;69,5;4,1;66,7
;december;2 120,6;95,1;2 215,8;915,4;3 131,1;193,8;70,8;4,3;67,7
2021.;január;2 059,5;114,2;2 173,6;954,6;3 128,2;239,2;69,5;5,3;65,8
;február;2 054,2;101,8;2 155,9;960,3;3 116,3;219,0;69,2;4,7;65,9
;március;2 094,5;103,3;2 197,8;915,9;3 113,7;225,5;70,6;4,7;67,3
;április;2 103,5;88,7;2 192,2;918,3;3 110,5;184,4;70,5;4,0;67,6
;május;2 075,7;92,5;2 168,2;939,1;3 107,3;168,8;69,8;4,3;66,8
;június;2 164,7;93,1;2 257,8;849,0;3 106,8;173,6;72,7;4,1;69,7
;július;2 155,5;86,0;2 241,5;862,8;3 104,2;..;72,2;3,8;69,4
;augusztus;2 132,5;95,0;2 227,5;874,1;3 101,6;..;71,8;4,3;68,8
;szeptember;2 138,9;90,4;2 229,3;869,7;3 099,0;..;71,9;4,1;69,0
;október;2 144,2;92,3;2 236,5;860,0;3 096,5;..;72,2;4,1;69,2
;november;2 130,4;83,9;2 214,4;879,5;3 093,8;..;71,6;3,8;68,9
;december;2 143,3;82,0;2 225,3;865,6;3 090,9;..;72,0;3,7;69,3
2022.;január;2 126,7;97,5;2 224,2;863,6;3 087,8;..;72,0;4,4;68,9
;február;2 133,0;88,5;2 221,5;869,9;3 091,4;..;71,9;4,0;69,0
;március;2 153,1;84,2;2 237,4;852,5;3 089,9;..;72,4;3,8;69,7
;április;2 160,7;83,2;2 243,9;844,4;3 088,3;..;72,7;3,7;70,0
;május;2 157,9;80,0;2 237,9;848,8;3 086,8;..;72,5;3,6;69,9
;június;2 189,7;74,7;2 264,4;820,8;3 085,2;..;73,4;3,3;71,0
;július;2 177,1;78,6;2 255,7;828,1;3 083,8;..;73,1;3,5;70,6
;augusztus;2 168,1;82,3;2 250,4;831,9;3 082,3;..;73,0;3,7;70,3
;szeptember;2 165,8;86,5;2 252,3;828,4;3 080,7;..;73,1;3,8;70,3
;október;2 168,6;84,7;2 253,3;826,0;3 079,4;..;73,2;3,8;70,4
;november;;;;;;;;;
;december;;;;;;;;;
