20.2.1.3. A 15–64 éves népesség gazdasági aktivitása nemenként, havonta;;;;;;;;;;
Év;Hónap;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–64 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;;
;március;4 151,7;375,5;4 527,2;2 078,4;6 605,6;679,6;68,5;8,3;62,9
;április;4 216,6;353,9;4 570,5;2 029,7;6 600,3;608,6;69,2;7,7;63,9
;május;4 098,2;338,7;4 436,9;2 158,2;6 595,1;638,8;67,3;7,6;62,1
;június;4 181,6;381,5;4 563,1;2 026,9;6 590,0;647,3;69,2;8,4;63,5
;július;4 254,5;345,0;4 599,5;1 985,8;6 585,3;576,5;69,8;7,5;64,6
;augusztus;4 195,6;298,9;4 494,5;2 085,7;6 580,2;576,3;68,3;6,7;63,8
;szeptember;4 266,5;347,7;4 614,2;1 960,9;6 575,1;605,9;70,2;7,5;64,9
;október;4 250,8;302,2;4 553,0;2 017,1;6 570,1;524,8;69,3;6,6;64,7
;november;4 209,4;309,4;4 518,8;2 046,0;6 564,8;550,2;68,8;6,8;64,1
;december;4 221,8;340,8;4 562,6;1 997,1;6 559,7;624,0;69,6;7,5;64,4
2015.;január;4 212,8;337,8;4 550,6;2 003,6;6 554,3;594,1;69,4;7,4;64,3
;február;4 196,8;355,3;4 552,1;1 995,8;6 547,9;598,3;69,5;7,8;64,1
;március;4 205,7;347,3;4 553,0;1 990,1;6 543,1;602,9;69,6;7,6;64,3
;április;4 290,0;309,4;4 599,4;1 938,4;6 537,8;535,3;70,4;6,7;65,6
;május;4 282,8;299,3;4 582,1;1 950,1;6 532,2;517,7;70,1;6,5;65,6
;június;4 298,7;318,7;4 617,4;1 918,1;6 535,6;533,2;70,7;6,9;65,8
;július;4 353,2;295,7;4 648,9;1 882,1;6 531,1;514,3;71,2;6,4;66,7
;augusztus;4 354,7;294,0;4 648,6;1 877,6;6 526,2;503,3;71,2;6,3;66,7
;szeptember;4 353,2;285,1;4 638,3;1 883,0;6 521,4;472,0;71,1;6,1;66,8
;október;4 360,3;287,9;4 648,1;1 868,5;6 516,6;482,9;71,3;6,2;66,9
;november;4 371,7;275,4;4 647,1;1 864,7;6 511,8;480,1;71,4;5,9;67,1
;december;4 324,5;275,5;4 600,0;1 907,0;6 507,0;488,1;70,7;6,0;66,5
2016.;január;4 303,8;283,1;4 586,9;1 915,0;6 501,9;504,5;70,5;6,2;66,2
;február;4 378,1;263,2;4 641,4;1 851,2;6 492,6;480,6;71,5;5,7;67,4
;március;4 376,7;269,8;4 646,5;1 841,3;6 487,7;466,4;71,6;5,8;67,5
;április;4 403,2;259,1;4 662,3;1 820,2;6 482,5;424,9;71,9;5,6;67,9
;május;4 444,0;221,1;4 665,2;1 812,4;6 477,5;403,6;72,0;4,7;68,6
;június;4 467,3;219,7;4 686,9;1 796,3;6 483,3;406,0;72,3;4,7;68,9
;július;4 478,0;241,0;4 719,0;1 760,0;6 479,0;396,8;72,8;5,1;69,1
;augusztus;4 481,8;217,5;4 699,3;1 775,5;6 474,7;396,2;72,6;4,6;69,2
