20.1.1.5. A 15–74 éves népesség gazdasági aktivitása korcsoportok szerint, nemenként;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Korcsoport, éves;Foglalkoztatottak, ezer fõ, 2009;Munkanélküliek, ezer fõ, 2009;Gazdaságilag aktívak, ezer fõ, 2009;Gazdaságilag nem aktívak, ezer fõ, 2009;15–74 éves népesség, ezer fõ, 2009;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2009;Aktivitási arány, %, 2009;Munkanélküliségi ráta, %, 2009;Foglalkoztatási ráta, %, 2009;Foglalkoztatottak, ezer fõ, 2010;Munkanélküliek, ezer fõ, 2010;Gazdaságilag aktívak, ezer fõ, 2010;Gazdaságilag nem aktívak, ezer fõ, 2010;15–74 éves népesség, ezer fõ, 2010;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2010;Aktivitási arány, %, 2010;Munkanélküliségi ráta, %, 2010;Foglalkoztatási ráta, %, 2010;Foglalkoztatottak, ezer fõ, 2011;Munkanélküliek, ezer fõ, 2011;Gazdaságilag aktívak, ezer fõ, 2011;Gazdaságilag nem aktívak, ezer fõ, 2011;15–74 éves népesség, ezer fõ, 2011;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2011;Aktivitási arány, %, 2011;Munkanélküliségi ráta, %, 2011;Foglalkoztatási ráta, %, 2011;Foglalkoztatottak, ezer fõ, 2012;Munkanélküliek, ezer fõ, 2012;Gazdaságilag aktívak, ezer fõ, 2012;Gazdaságilag nem aktívak, ezer fõ, 2012;15–74 éves népesség, ezer fõ, 2012;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2012;Aktivitási arány, %, 2012;Munkanélküliségi ráta, %, 2012;Foglalkoztatási ráta, %, 2012;Foglalkoztatottak, ezer fõ, 2013;Munkanélküliek, ezer fõ, 2013;Gazdaságilag aktívak, ezer fõ, 2013;Gazdaságilag nem aktívak, ezer fõ, 2013;15–74 éves népesség, ezer fõ, 2013;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2013;Aktivitási arány, %, 2013;Munkanélküliségi ráta, %, 2013;Foglalkoztatási ráta, %, 2013;Foglalkoztatottak, ezer fõ, 2014;Munkanélküliek, ezer fõ, 2014;Gazdaságilag aktívak, ezer fõ, 2014;Gazdaságilag nem aktívak, ezer fõ, 2014;15–74 éves népesség, ezer fõ, 2014;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2014;Aktivitási arány, %, 2014;Munkanélküliségi ráta, %, 2014;Foglalkoztatási ráta, %, 2014;Foglalkoztatottak, ezer fõ, 2015;Munkanélküliek, ezer fõ, 2015;Gazdaságilag aktívak, ezer fõ, 2015;Gazdaságilag nem aktívak, ezer fõ, 2015;15–74 éves népesség, ezer fõ, 2015;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2015;Aktivitási arány, %, 2015;Munkanélküliségi ráta, %, 2015;Foglalkoztatási ráta, %, 2015;Foglalkoztatottak, ezer fõ, 2016;Munkanélküliek, ezer fõ, 2016;Gazdaságilag aktívak, ezer fõ, 2016;Gazdaságilag nem aktívak, ezer fõ, 2016;15–74 éves népesség, ezer fõ, 2016;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2016;Aktivitási arány, %, 2016;Munkanélküliségi ráta, %, 2016;Foglalkoztatási ráta, %, 2016;Foglalkoztatottak, ezer fõ, 2017;Munkanélküliek, ezer fõ, 2017;Gazdaságilag aktívak, ezer fõ, 2017;Gazdaságilag nem aktívak, ezer fõ, 2017;15–74 éves népesség, ezer fõ, 2017;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2017;Aktivitási arány, %, 2017;Munkanélküliségi ráta, %, 2017;Foglalkoztatási ráta, %, 2017;Foglalkoztatottak, ezer fõ, 2018;Munkanélküliek, ezer fõ, 2018;Gazdaságilag aktívak, ezer fõ, 2018;Gazdaságilag nem aktívak, ezer fõ, 2018;15–74 éves népesség, ezer fõ, 2018;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2018;Aktivitási arány, %, 2018;Munkanélküliségi ráta, %, 2018;Foglalkoztatási ráta, %, 2018;Foglalkoztatottak, ezer fõ, 2019;Munkanélküliek, ezer fõ, 2019;Gazdaságilag aktívak, ezer fõ, 2019;Gazdaságilag nem aktívak, ezer fõ, 2019;15–74 éves népesség, ezer fõ, 2019;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2019;Aktivitási arány, %, 2019;Munkanélküliségi ráta, %, 2019;Foglalkoztatási ráta, %, 2019;Foglalkoztatottak, ezer fõ, 2020;Munkanélküliek, ezer fõ, 2020;Gazdaságilag aktívak, ezer fõ, 2020;Gazdaságilag nem aktívak, ezer fõ, 2020;15–74 éves népesség, ezer fõ, 2020;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2020;Aktivitási arány, %, 2020;Munkanélküliségi ráta, %, 2020;Foglalkoztatási ráta, %, 2020;Foglalkoztatottak, ezer fõ, 2021;Munkanélküliek, ezer fõ, 2021;Gazdaságilag aktívak, ezer fõ, 2021;Gazdaságilag nem aktívak, ezer fõ, 2021;15–74 éves népesség, ezer fõ, 2021;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2021;Aktivitási arány, %, 2021;Munkanélküliségi ráta, %, 2021;Foglalkoztatási ráta, %, 2021
20–64;2 000,2;224,8;2 224,9;780,6;3 005,5;345,1;74,0;10,1;66,5;1 970,0;255,3;2 225,3;778,0;3 003,3;381,2;74,1;11,5;65,6;1 995,5;246,2;2 241,7;760,2;3 001,9;388,0;74,7;11,0;66,5;2 023,1;254,7;2 277,9;729,4;3 007,2;398,6;75,7;11,2;67,3;2 077,5;230,8;2 308,3;689,1;2 997,4;377,7;77,0;10,0;69,3;2 193,0;174,4;2 367,4;615,2;2 982,6;301,8;79,4;7,4;73,5;2 249,8;155,4;2 405,2;562,0;2 967,2;259,3;81,1;6,5;75,8;2 322,1;121,7;2 443,8;509,2;2 953,0;202,6;82,8;5,0;78,6;2 374,1;91,0;2 465,1;465,3;2 930,4;160,5;84,1;3,7;81,0;2 394,6;82,8;2 477,4;438,8;2 916,2;142,6;85,0;3,3;82,1;2 415,9;79,9;2 495,8;409,8;2 905,6;136,8;85,9;3,2;83,1;2 401,0;98,7;2 499,7;388,7;2 888,4;173,2;86,5;3,9;83,1;2 401,6;92,1;2 493,7;361,0;2 854,8;159,3;87,4;3,7;84,1
Nõk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15–19;4,3;4,4;8,6;279,2;287,9;7,4;3,0;50,5;1,5;5,5;3,5;9,0;274,9;283,9;6,1;3,2;39,2;1,9;4,2;3,2;7,4;272,5;279,9;5,8;2,6;42,9;1,5;4,0;3,7;7,7;264,3;272,0;7,6;2,8;48,0;1,5;4,8;5,3;10,1;251,8;261,9;8,5;3,8;52,4;1,8;7,8;4,0;11,8;239,6;251,4;8,0;4,7;34,0;3,1;7,0;4,8;11,8;231,2;243,0;7,8;4,9;40,6;2,9;9,4;3,2;12,6;224,8;237,4;6,1;5,3;25,4;4,0;10,3;3,5;13,8;220,6;234,4;6,4;5,9;25,2;4,4;11,2;3,0;14,2;218,6;232,8;6,5;6,1;20,9;4,8;10,0;3,6;13,7;218,7;232,4;6,0;5,9;26,6;4,3;8,9;3,1;11,9;221,0;232,9;5,7;5,1;25,6;3,8;8,4;3,5;12,0;221,8;233,8;6,7;5,1;29,5;3,6
20–24;99,0;27,0;126,0;181,0;307,0;38,2;41,0;21,4;32,2;97,7;28,2;125,9;176,4;302,3;39,4;41,6;22,4;32,3;95,4;27,4;122,9;175,0;297,9;41,3;41,2;22,3;32,0;97,5;32,5;130,0;168,4;298,3;47,4;43,6;25,0;32,7;96,1;31,6;127,7;171,0;298,7;47,9;42,8;24,8;32,2;109,6;25,7;135,3;161,9;297,2;37,6;45,5;19,0;36,9;121,5;18,7;140,3;152,9;293,2;28,2;47,8;13,4;41,5;125,1;15,8;140,9;144,1;285,1;25,9;49,4;11,2;43,9;123,2;13,9;137,0;138,3;275,3;24,0;49,8;10,1;44,7;120,3;11,6;131,9;135,5;267,3;19,2;49,3;8,8;45,0;113,5;10,4;123,8;135,4;259,2;20,3;47,8;8,4;43,8;110,4;15,2;125,6;126,0;251,6;25,6;49,9;12,1;43,9;106,1;17,4;123,5;121,5;244,9;27,6;50,4;14,1;43,3
25–29;238,9;25,5;264,4;73,2;337,6;39,4;78,3;9,7;70,8;220,5;28,4;248,9;71,8;320,8;42,1;77,6;11,4;68,8;208,3;25,4;233,7;70,6;304,3;41,3;76,8;10,9;68,4;207,8;26,0;233,9;64,1;298,0;43,2;78,5;11,1;69,7;207,6;22,8;230,4;65,0;295,4;37,3;78,0;9,9;70,3;212,5;21,7;234,2;60,4;294,6;35,8;79,5;9,3;72,1;215,5;18,9;234,4;59,8;294,1;28,6;79,7;8,1;73,3;225,0;13,9;239,0;56,1;295,1;22,2;81,0;5,8;76,3;227,8;12,9;240,7;54,9;295,6;22,0;81,4;5,4;77,1;229,0;10,8;239,8;57,2;297,0;17,3;80,7;4,5;77,1;236,3;10,2;246,5;51,3;297,8;15,6;82,8;4,1;79,3;230,0;13,5;243,5;52,8;296,3;22,1;82,2;5,6;77,6;223,5;10,9;234,3;54,7;289,1;20,8;81,1;4,6;77,3
30–34;285,0;24,8;309,8;72,8;382,6;41,3;81,0;8,0;74,5;282,8;26,8;309,6;70,7;380,3;42,7;81,4;8,7;74,4;284,8;25,7;310,5;67,1;377,6;41,5;82,2;8,3;75,4;276,2;24,2;300,4;62,9;363,3;42,8;82,7;8,1;76,0;267,0;23,0;290,0;53,6;343,6;40,0;84,4;7,9;77,7;256,4;19,3;275,7;49,1;324,9;32,4;84,9;7,0;78,9;249,0;16,9;265,8;44,7;310,5;25,9;85,6;6,3;80,2;248,0;10,5;258,5;42,9;301,4;18,2;85,8;4,1;82,3;244,1;8,5;252,6;42,1;294,7;15,7;85,7;3,4;82,8;243,3;8,5;251,8;41,5;293,3;14,3;85,9;3,4;83,0;245,9;6,0;251,9;43,0;294,8;10,7;85,4;2,4;83,4;234,6;9,2;243,8;53,7;297,5;21,6;82,0;3,8;78,9;237,4;12,7;250,1;47,1;297,2;20,9;84,1;5,1;79,9
35–39;289,5;24,6;314,2;63,8;378,0;42,8;83,1;7,8;76,6;292,4;29,6;322,0;66,2;388,2;50,4;82,9;9,2;75,3;295,0;29,7;324,7;73,6;398,3;51,4;81,5;9,2;74,1;309,7;30,0;339,7;69,1;408,8;54,1;83,1;8,8;75,8;327,3;27,5;354,8;62,7;417,6;50,2;85,0;7,8;78,4;333,2;22,9;356,2;59,5;415,7;43,6;85,7;6,4;80,2;323,7;21,8;345,4;55,7;401,1;37,3;86,1;6,3;80,7;318,1;13,7;331,8;50,6;382,4;24,9;86,8;4,1;83,2;301,0;12,7;313,7;48,6;362,3;21,3;86,6;4,1;83,1;289,7;10,1;299,8;43,4;343,2;20,4;87,4;3,4;84,4;275,7;8,5;284,2;42,2;326,3;16,5;87,1;3,0;84,5;260,1;11,1;271,1;42,8;313,9;20,2;86,4;4,1;82,8;252,5;11,0;263,4;41,5;304,9;20,0;86,4;4,2;82,8
40–44;264,9;23,7;288,6;58,5;347,1;40,4;83,1;8,2;76,3;269,2;26,4;295,6;54,6;350,2;44,5;84,4;8,9;76,9;271,0;28,1;299,1;54,1;353,2;45,7;84,7;9,4;76,7;280,6;24,3;304,8;50,6;355,4;45,7;85,8;8,0;79,0;280,1;27,0;307,1;49,4;356,5;48,2;86,1;8,8;78,6;293,7;21,0;314,6;48,0;362,6;38,9;86,8;6,7;81,0;314,0;19,1;333,1;45,3;378,4;34,3;88,0;5,7;83,0;335,9;13,2;349,1;46,1;395,2;28,8;88,3;3,8;85,0;349,6;12,5;362,1;45,3;407,4;24,8;88,9;3,5;85,8;360,4;13,3;373,7;42,3;416,0;24,1;89,8;3,6;86,6;358,1;12,2;370,3;45,4;415,7;22,8;89,1;3,3;86,1;337,4;13,1;350,5;51,4;401,9;27,9;87,2;3,7;84,0;329,9;10,4;340,4;43,1;383,5;20,2;88,8;3,1;86,0
45–49;250,0;22,6;272,6;66,7;339,3;40,9;80,3;8,3;73,7;241,9;25,6;267,5;55,7;323,2;42,5;82,8;9,6;74,9;229,3;27,4;256,6;50,7;307,3;45,8;83,5;10,7;74,6;236,0;24,2;260,2;46,8;307,0;43,8;84,7;9,3;76,9;248,0;24,6;272,6;45,5;318,1;46,1;85,7;9,0;77,9;269,7;17,0;286,8;42,7;329,4;34,7;87,0;5,9;81,9;282,1;14,9;296,9;43,1;340,0;28,9;87,3;5,0;82,9;294,3;11,1;305,4;43,4;348,8;23,2;87,5;3,6;84,4;307,0;8,5;315,5;37,4;352,9;19,8;89,4;2,7;87,0;308,3;8,8;317,1;37,0;354,1;16,3;89,6;2,8;87,1;318,1;7,7;325,7;35,5;361,3;15,8;90,2;2,4;88,0;324,8;10,6;335,3;43,0;378,3;21,4;88,6;3,1;85,9;341,7;10,7;352,4;41,5;393,9;20,9;89,5;3,0;86,8
50–54;233,0;19,9;252,8;88,2;341,1;34,7;74,1;7,9;68,3;236,3;21,7;258,0;82,7;340,7;39,1;75,7;8,4;69,4;233,6;24,8;258,4;81,3;339,7;43,2;76,1;9,6;68,8;238,4;23,8;262,2;65,5;327,7;43,1;80,0;9,1;72,7;233,6;18,7;252,3;63,1;315,3;38,4;80,0;7,4;74,1;238,8;12,3;251,1;55,4;306,5;29,3;81,9;4,9;77,9;241,3;14,0;255,3;45,0;300,3;26,1;85,0;5,5;80,3;242,9;10,6;253,5;44,2;297,7;20,1;85,2;4,2;81,6;245,0;9,8;254,8;47,3;302,1;18,8;84,3;3,8;81,1;263,1;8,2;271,2;42,1;313,3;15,9;86,6;3,0;84,0;268,4;7,2;275,6;49,9;325,5;15,6;84,7;2,6;82,5;283,5;8,1;291,6;45,2;336,7;21,0;86,6;2,8;84,2;294,2;9,1;303,3;41,9;345,2;17,5;87,9;3,0;85,2
55–59;159,3;11,6;170,8;219,9;390,7;22,9;43,7;6,8;40,8;187,0;15,6;202,6;198,3;400,9;29,9;50,5;7,7;46,6;205,1;19,8;224,9;186,0;410,9;38,0;54,7;8,8;49,9;204,2;19,1;223,4;187,5;410,9;39,2;54,4;8,6;49,7;206,0;17,2;223,2;177,7;401,0;38,7;55,7;7,7;51,4;216,3;14,2;230,5;150,2;380,8;30,1;60,5;6,2;56,8;213,9;11,4;225,3;131,3;356,6;26,5;63,2;5,1;60,0;216,9;9,0;225,9;109,5;335,4;18,2;67,4;4,0;64,7;210,6;7,4;218,0;100,5;318,5;15,1;68,4;3,4;66,1;208,9;5,3;214,1;92,3;306,5;12,3;69,9;2,5;68,2;205,3;4,3;209,5;89,3;298,8;11,9;70,1;2,0;68,7;206,8;5,7;212,5;81,0;293,5;13,4;72,4;2,7;70,4;216,7;5,4;222,1;68,8;290,9;11,7;76,3;2,4;74,5
60–64;32,7;...;34,0;304,2;338,2;5,8;10,0;3,8;9,7;33,1;...;34,5;312,1;346,7;7,3;10,0;4,3;9,5;39,1;2,3;41,3;313,7;355,1;7,8;11,6;5,5;11,0;40,5;2,2;42,7;317,9;360,6;8,6;11,8;5,1;11,2;40,6;2,7;43,3;323,3;366,6;10,4;11,8;6,1;11,1;50,5;2,7;53,2;324,9;378,1;10,1;14,1;5,1;13,4;67,6;5,1;72,7;317,5;390,3;13,9;18,6;7,0;17,3;86,9;5,3;92,1;304,1;396,3;13,8;23,3;5,7;21,9;92,0;6,0;98,1;296,9;395,0;14,3;24,8;6,1;23,3;101,8;4,0;105,8;279,0;384,8;11,4;27,5;3,8;26,4;101,4;2,4;103,8;261,7;365,5;9,4;28,4;2,3;27,8;106,3;3,1;109,4;233,4;342,8;9,7;31,9;2,8;31,0;107,9;3,1;111,0;211,4;322,4;10,5;34,4;2,8;33,5
65–69;9,5;...;9,8;284,9;294,7;1,3;3,3;...;3,2;10,7;...;10,8;285,3;296,1;1,0;3,6;...;3,6;11,0;...;11,2;286,1;297,3;1,6;3,8;...;3,7;11,4;...;12,1;286,4;298,5;2,9;4,1;...;3,8;11,6;...;12,2;291,6;303,7;2,6;4,0;...;3,8;10,3;...;10,6;299,1;309,6;3,1;3,4;...;3,3;12,1;...;12,3;305,7;318,0;2,2;3,9;...;3,8;13,5;...;13,9;317,7;331,6;1,8;4,2;...;4,1;14,3;...;14,4;325,2;339,6;2,4;4,2;...;4,2;15,8;...;15,9;328,7;344,6;2,7;4,6;...;4,6;23,6;...;23,8;331,5;355,3;2,5;6,7;...;6,6;29,6;0,6;30,2;336,6;366,8;3,9;8,2;2,0;8,1;35,2;1,3;36,5;334,8;371,3;4,6;9,8;3,6;9,5
70–74;2,5;...;2,5;252,8;255,3;0,2;1,0;...;1,0;2,8;...;2,8;252,9;255,6;0,4;1,1;...;1,1;3,6;...;3,6;252,4;256,0;0,5;1,4;...;1,4;2,9;...;2,9;256,1;259,1;0,1;1,1;...;1,1;1,9;...;1,9;261,7;263,6;1,4;0,7;...;0,7;2,9;...;2,9;265,8;268,7;0,5;1,1;...;1,1;3,4;...;3,5;267,7;271,1;1,4;1,3;...;1,3;3,6;...;3,8;265,4;269,1;0,7;1,4;...;1,4;6,1;...;6,1;263,8;270,0;0,7;2,3;...;2,2;8,4;...;8,5;266,0;274,5;1,3;3,1;...;3,1;8,3;...;8,4;271,5;279,9;1,1;3,0;...;3,0;9,0;0,2;9,1;278,9;288,1;1,4;3,2;1,8;3,1;9,3;0,4;9,7;288,7;298,4;1,6;3,3;3,9;3,1
Összesen;1 868,5;185,6;2 054,1;1 945,5;3 999,5;315,4;51,4;9,0;46,7;1 879,9;207,4;2 087,2;1 901,6;3 988,8;345,3;52,3;9,9;47,1;1 880,3;214,0;2 094,3;1 883,2;3 977,4;363,9;52,7;10,2;47,3;1 909,3;210,7;2 120,0;1 839,5;3 959,5;378,5;53,5;9,9;48,2;1 924,7;201,0;2 125,6;1 816,4;3 942,0;369,8;53,9;9,5;48,8;2 001,7;161,1;2 162,8;1 756,6;3 919,4;304,2;55,2;7,5;51,1;2 051,0;145,7;2 196,8;1 699,9;3 896,7;261,1;56,4;6,6;52,6;2 119,5;107,0;2 226,5;1 649,1;3 875,6;203,8;57,4;4,8;54,7;2 130,9;95,8;2 226,8;1 621,0;3 847,8;185,2;57,9;4,3;55,4;2 160,2;83,7;2 243,9;1 583,5;3 827,4;161,6;58,6;3,7;56,4;2 164,5;72,8;2 237,3;1 575,3;3 812,6;148,1;58,7;3,3;56,8;2 141,2;93,4;2 234,5;1 565,8;3 800,3;193,9;58,8;4,2;56,3;2 162,8;95,8;2 258,6;1 516,8;3 775,4;183,0;59,8;4,2;57,3
15–24;103,3;31,3;134,6;460,3;594,9;45,6;22,6;23,3;17,4;103,1;31,8;134,9;451,3;586,3;45,5;23,0;23,6;17,6;99,7;30,6;130,3;447,5;577,7;47,1;22,5;23,5;17,2;101,5;36,1;137,7;432,7;570,4;55,0;24,1;26,3;17,8;100,9;36,9;137,8;422,8;560,6;56,5;24,6;26,8;18,0;117,3;29,7;147,1;401,5;548,6;45,7;26,8;20,2;21,4;128,6;23,5;152,1;384,1;536,2;36,1;28,4;15,5;24,0;134,5;19,0;153,6;368,9;522,5;32,0;29,4;12,4;25,7;133,5;17,3;150,8;358,9;509,7;30,4;29,6;11,5;26,2;131,5;14,5;146,0;354,1;500,1;25,6;29,2;10,0;26,3;123,5;14,0;137,5;354,1;491,6;26,3;28,0;10,2;25,1;119,3;18,2;137,5;347,0;484,5;31,2;28,4;13,3;24,6;114,5;21,0;135,5;343,3;478,8;34,3;28,3;15,5;23,9
15–64;1 856,6;185,3;2 041,9;1 407,7;3 449,6;313,8;59,2;9,1;53,8;1 866,3;207,3;2 073,7;1 363,4;3 437,1;343,9;60,3;10,0;54,3;1 865,7;213,8;2 079,5;1 344,6;3 424,1;361,8;60,7;10,3;54,5;1 895,0;209,9;2 104,9;1 297,0;3 401,9;375,5;61,9;10,0;55,7;1 911,2;200,4;2 111,5;1 263,1;3 374,7;365,8;62,6;9,5;56,6;1 988,6;160,8;2 149,4;1 191,7;3 341,1;300,6;64,3;7,5;59,5;2 035,5;145,5;2 181,0;1 126,5;3 307,5;257,4;65,9;6,7;61,5;2 102,4;106,4;2 208,8;1 066,0;3 274,8;201,4;67,4;4,8;64,2;2 110,5;95,7;2 206,2;1 032,0;3 238,2;182,1;68,1;4,3;65,2;2 136,0;83,4;2 219,5;988,8;3 208,3;157,6;69,2;3,8;66,6;2 132,6;72,5;2 205,1;972,3;3 177,4;144,5;69,4;3,3;67,1;2 102,6;92,6;2 195,2;950,2;3 145,4;188,6;69,8;4,2;66,8;2 118,3;94,1;2 212,4;893,3;3 105,7;176,8;71,2;4,3;68,2
20–64;1 852,3;180,9;2 033,2;1 128,5;3 161,7;306,4;64,3;8,9;58,6;1 860,9;203,8;2 064,7;1 088,5;3 153,2;337,8;65,5;9,9;59,0;1 861,5;210,6;2 072,1;1 072,1;3 144,2;356,0;65,9;10,2;59,2;1 891,0;206,2;2 097,2;1 032,7;3 129,9;367,9;67,0;9,8;60,4;1 906,4;195,1;2 101,5;1 011,3;3 112,8;357,2;67,5;9,3;61,2;1 980,8;156,8;2 137,6;952,1;3 089,7;292,6;69,2;7,3;64,1;2 028,5;140,7;2 169,2;895,3;3 064,5;249,6;70,8;6,5;66,2;2 093,0;103,2;2 196,2;841,2;3 037,4;195,3;72,3;4,7;68,9;2 100,3;92,2;2 192,5;811,4;3 003,9;175,7;73,0;4,2;69,9;2 124,8;80,5;2 205,3;770,2;2 975,5;151,1;74,1;3,6;71,4;2 122,6;68,9;2 191,4;753,6;2 945,0;138,5;74,4;3,1;72,1;2 093,7;89,6;2 183,3;729,2;2 912,5;182,9;75,0;4,1;71,9;2 109,8;90,6;2 200,4;671,5;2 871,9;170,1;76,6;4,1;73,5
