20.2.1.21. Alkalmazottak száma munkaszerzõdésük idõtartama szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;;
Év;Negyedév;Határozatlan idõre szóló munkaszerzõdés, férfi;Határozatlan idõre szóló munkaszerzõdés, nõ;Határozatlan idõre szóló munkaszerzõdés, együtt;Meghatározott idõre szóló munkaszerzõdés, férfi;Meghatározott idõre szóló munkaszerzõdés, nõ;Meghatározott idõre szóló munkaszerzõdés, együtt;Összesen;Nem besorolt, nem válaszolt;Alkalmazottak összesen
;IV.;1 582,9;1 486,9;3 069,8;199,2;145,3;344,5;3 414,3;118,4;3 532,7
2013.;I.;1 568,5;1 474,0;3 042,5;154,4;131,9;286,3;3 328,8;120,2;3 449,0
;II.;1 596,1;1 468,3;3 064,4;223,5;166,8;390,3;3 454,6;125,0;3 579,7
;III.;1 629,1;1 468,0;3 097,1;222,7;185,4;408,1;3 505,2;128,8;3 634,0
;IV.;1 626,7;1 474,3;3 100,9;227,2;198,6;425,8;3 526,7;121,4;3 648,1
2014.;I.;1 670,1;1 509,2;3 179,3;193,4;177,3;370,7;3 550,0;115,0;3 665,0
;II.;1 682,1;1 539,3;3 221,3;214,6;174,2;388,7;3 610,1;111,2;3 721,3
;III.;1 715,0;1 565,5;3 280,5;225,3;181,0;406,3;3 686,8;113,2;3 800,1
;IV.;1 715,2;1 579,0;3 294,3;225,3;179,3;404,5;3 698,8;109,2;3 808,0
2015.;I.;1 726,1;1 574,1;3 300,2;197,8;167,3;365,1;3 665,4;108,6;3 774,0
;II.;1 741,6;1 575,0;3 316,6;232,0;192,0;424,0;3 740,6;115,0;3 855,6
;III.;1 761,9;1 573,4;3 335,3;247,3;212,2;459,5;3 794,8;117,8;3 912,6
;IV.;1 764,1;1 569,2;3 333,4;237,8;216,0;453,8;3 787,2;122,1;3 909,3
2016.;I.;1 819,1;1 615,9;3 435,0;183,9;173,2;357,1;3 792,1;119,5;3 911,6
;II.;1 850,3;1 632,1;3 482,4;199,7;189,1;388,9;3 871,3;122,6;3 993,9
;III.;1 875,1;1 645,5;3 520,6;202,2;194,7;396,9;3 917,5;120,6;4 038,1
;IV.;1 913,3;1 661,4;3 574,7;181,9;186,3;368,2;3 942,8;120,3;4 063,1
2017.;I.;1 924,1;1 653,6;3 577,7;166,4;170,2;336,6;3 914,4;120,3;4 034,7
;II.;1 942,9;1 660,7;3 603,6;187,5;179,4;366,9;3 970,5;114,5;4 085,0
;III.;1 957,5;1 666,5;3 624,0;182,7;179,4;362,2;3 986,2;115,7;4 101,9
;IV.;1 979,7;1 675,2;3 655,0;162,3;169,3;331,7;3 986,6;125,0;4 111,6
2018.;I.;1 980,5;1 694,4;3 674,8;144,5;151,8;296,3;3 971,2;128,0;4 099,2
;II.;1 987,9;1 712,8;3 700,7;151,9;158,1;309,9;4 010,7;124,2;4 134,8
;III.;2 013,4;1 716,0;3 729,4;144,4;141,7;286,1;4 015,5;131,8;4 147,3
;IV.;2 022,4;1 718,1;3 740,5;136,1;141,7;277,8;4 018,3;131,1;4 149,4
2019.;I.;2 039,9;1 723,7;3 763,5;123,9;135,2;259,1;4 022,6;122,5;4 145,1
