20.2.1.49. Fõbb kereseti adatok – a legalább öt fõs vállalkozások, költségvetési intézmények és a foglalkoztatás szempontjából jelentõs nonprofit szervezetek, havonta valamint havi és negyedévente kumulált;;;;;;;;;;;;;;;;;
Év;Idõszak;Teljes munkaidõben alkalmazásban állók bruttó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók bruttó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók bruttó medián keresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók bruttó medián keresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók nettó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók nettó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók létszáma, ezer fõ;Teljes munkaidõben alkalmazásban állók létszáma, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó medián keresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó medián keresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül nettó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül nettó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül létszáma, ezer fõ;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül létszáma, elõzõ év azonos idõszaka = 100,0%
Havonta;;;;;;;;;;;;;;;;;
;március;367 160;110,2;285 345;112,0;244 161;110,2;2 847,1;100,9;377 098;109,1;292 320;110,7;250 770;109,1;2 750,9;102,4
;április;371 131;109,0;290 000;114,2;246 802;109,0;2 861,9;100,7;381 749;107,9;297 487;112,8;253 863;107,9;2 760,3;102,3
;május;364 354;111,2;291 300;112,0;242 296;111,2;2 858,4;100,5;374 708;110,2;298 951;111,0;249 181;110,2;2 757,3;102,0
;június;364 799;110,6;290 671;112,3;242 591;110,6;2 848,6;100,2;375 106;109,6;298 641;111,5;249 446;109,6;2 748,4;101,5
;július;362 595;110,7;294 350;113,8;241 126;110,7;2 849,5;100,5;372 613;110,3;300 000;112,7;247 788;110,3;2 751,4;101,2
;augusztus;358 876;111,5;292 940;112,7;238 653;111,5;2 846,1;100,2;368 677;111,0;300 000;111,9;245 170;111,0;2 748,5;100,9
;szeptember;360 709;111,8;290 470;112,7;239 872;111,8;2 850,8;99,9;368 304;110,6;298 000;112,3;244 922;110,6;2 752,4;100,6
;október;365 135;111,6;298 431;113,4;242 815;111,6;2 856,6;99,9;375 314;111,2;302 307;111,7;249 584;111,2;2 757,7;100,6
;november;403 521;113,9;313 245;114,3;268 341;113,9;2 856,8;99,8;414 993;113,5;321 736;113,9;275 970;113,5;2 758,3;100,5
;december;406 388;113,1;314 650;114,8;270 248;113,1;2 847,9;99,8;417 667;112,6;322 598;114,3;277 749;112,6;2 752,1;100,5
2020.;január;375 232;109,2;302 749;109,2;249 529;109,2;2 820,1;99,0;385 262;108,8;310 000;109,1;256 199;108,8;2 727,0;99,6
;február;377 303;109,1;301 000;109,9;250 907;109,1;2 831,4;99,0;387 313;108,6;307 764;109,8;257 563;108,6;2 738,8;99,7
;március;400 386;109,0;310 855;108,9;266 257;109,0;2 778,8;97,6;409 383;108,6;317 140;108,5;272 239;108,6;2 702,2;98,2
;április;400 188;107,8;316 800;109,2;266 125;107,8;2 603,7;91,0;410 641;107,6;323 107;108,6;273 076;107,6;2 520,8;91,3
;május;398 778;109,4;315 780;108,4;265 188;109,4;2 515,9;88,0;409 781;109,4;322 400;107,8;272 505;109,4;2 431,2;88,2
;június;421 743;115,6;327 202;112,6;280 459;115,6;2 513,8;88,2;434 024;115,7;334 950;112,2;288 626;115,7;2 425,9;88,3
;július;401 847;110,8;325 659;110,6;267 228;110,8;2 583,7;90,7;413 360;110,9;333 000;111,0;274 884;110,9;2 494,0;90,6
;augusztus;391 614;109,1;320 000;109,2;260 423;109,1;2 667,0;93,7;402 430;109,2;327 472;109,2;267 616;109,2;2 577,1;93,8
;szeptember;392 349;108,8;321 050;110,5;260 912;108,8;2 747,6;96,4;402 946;109,4;328 996;110,4;267 959;109,4;2 657,2;96,5
;október;397 364;108,8;325 298;109,0;264 247;108,8;2 775,1;97,1;408 090;108,7;332 194;109,9;271 380;108,7;2 684,1;97,3
;november;438 246;108,6;345 000;110,1;291 433;108,6;2 788,8;97,6;450 313;108,5;352 369;109,5;299 458;108,5;2 697,7;97,8
;december;449 442;110,6;352 652;112,1;298 879;110,6;2 779,2;97,6;461 688;110,5;361 433;112,0;307 022;110,5;2 689,6;97,7
2021.;január;411 032;109,5;332 395;109,8;273 337;109,5;2 775,8;98,4;421 732;109,5;340 001;109,7;280 452;109,5;2 688,4;98,6
;február;414 405;109,8;330 000;109,6;275 579;109,8;2 795,9;98,7;425 100;109,8;337 015;109,5;282 691;109,8;2 708,7;98,9
;március;435 166;108,7;343 046;110,4;289 386;108,7;2 795,3;100,6;445 593;108,8;350 000;110,4;296 320;108,8;2 714,5;100,5
;április;440 640;110,1;347 030;109,5;293 025;110,1;2 808,5;107,9;451 834;110,0;352 659;109,1;300 470;110,0;2 722,8;108,0
