22.1.3.12. Migrációs egyenleg [ezer lakosra];;;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Észak-Macedónia;-1,2;-1,3;-12,2;-1,4;-0,1;-0,4;-0,3;0,1;-0,3;-0,3;-0,3;-0,4;-0,5;-0,2;-0,2;-0,2;-0,1;0,1;0,1;-0,1;-0,4;-113,8
Montenegró;-1,5;-1,5;-1,5;-1,5;-1,5;-3,0;-0,1;-1,5;-1,5;-1,5;-1,5;-1,5;-1,5;-1,5;-1,5;-1,5;-1,5;-1,5;-1,5;-1,5;-1,5;-1,5
Norvégia;2,2;1,8;3,8;2,5;2,9;4,0;5,1;8,4;9,1;8,0;8,6;9,4;9,4;7,7;7,8;5,0;5,6;4,1;3,4;4,8;2,1;3,7
Oroszország;2,5;2,0;3,1;-0,8;0,7;0,9;1,1;1,8;1,8;1,8;8,3;2,3;..;..;..;..;..;..;..;..;..;..
Svájc;3,3;5,6;6,5;5,7;5,1;4,3;4,9;9,4;12,1;8,8;7,7;8,3;8,3;10,2;9,4;8,5;8,3;5,2;4,7;5,0;6,3;5,5
Szerbia;0,9;2,4;1,8;0,6;1,6;0,5;0,5;0,3;0,4;0,7;0,6;0,3;0,0;0,0;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Törökország;-46,8;0,0;0,0;0,1;0,1;0,1;0,2;-0,6;0,4;2,4;3,9;1,8;0,3;1,7;1,0;1,6;2,3;1,6;4,6;4,9;..;..
Izrael;4,5;3,8;3,3;2,7;2,4;2,1;1,8;1,6;1,4;1,1;1,3;1,3;1,3;1,4;1,4;1,5;1,6;1,7;1,8;1,9;1,9;1,9
Japán;0,7;0,7;0,8;0,9;1,1;1,2;1,3;1,3;1,2;1,2;1,2;1,1;1,1;1,1;1,1;1,2;1,2;1,3;1,4;1,5;0,7;0,7
Egyesült Államok;5,3;4,7;4,1;3,7;4,1;3,8;3,7;3,7;3,6;3,3;3,3;4,2;4,2;4,1;3,9;3,8;4,4;4,2;3,6;3,5;2,0;1,7
Kanada;6,6;7,3;6,6;5,8;6,1;6,4;6,2;6,4;7,2;7,2;6,7;6,7;7,1;6,9;5,5;6,5;8,9;9,9;11,4;10,5;5,2;5,1
Ausztrália;5,8;5,9;5,6;5,3;5,5;6,6;9,4;12,1;13,2;10,9;7,6;8,9;10,4;9,3;8,5;8,8;10,1;10,0;8,9;9,3;4,6;4,6
Új-Zéland;-1,6;4,4;12,2;10,5;6,0;4,6;3,5;0,7;1,1;2,9;1,4;-0,5;-0,3;5,1;10,8;10,3;10,8;10,3;16,8;21,1;7,6;7,5
