21.2.1.4. A bruttó hazai termék (GDP) termelése elõzõ évi átlagáron nemzetgazdasági áganként, negyedévente [millió forint];;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás;ezen belül: kereskedelem, gépjármûjavítás;ezen belül: szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";"ezen belül: közigazgatás, védelem; kötelezõ társadalombiztosítás";ezen belül: oktatás;ezen belül: humán-egészségügyi, szociális ellátás;Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Termékadók és -támogatások egyenlege;GDP összesen (piaci beszerzési áron)
2011.;I.;156 156;1 390 609;1 152 305;146 783;3 702 990;562 519;473 597;88 922;319 376;294 113;281 871;574 653;513 449;1 003 643;505 835;265 890;231 917;153 366;975 523;6 372 060
;II.;213 513;1 485 258;1 265 378;238 712;3 965 948;691 963;585 701;106 262;352 752;305 504;287 706;578 041;541 819;1 028 400;514 152;275 944;238 304;179 762;1 034 602;6 938 033
;III.;343 853;1 457 578;1 241 659;264 632;4 013 093;712 630;591 154;121 475;352 305;325 230;280 430;610 417;530 897;1 024 091;514 671;274 082;235 338;177 094;1 100 575;7 179 732
;IV.;255 453;1 605 291;1 340 718;337 133;4 211 453;806 107;699 409;106 698;388 752;366 934;246 777;584 843;565 914;1 071 532;523 953;287 078;260 500;180 594;1 099 042;7 508 371
2012.;I.;171 316;1 446 511;1 219 836;132 729;3 750 319;602 468;517 135;85 333;325 165;298 144;287 199;562 518;525 092;1 002 604;501 891;262 525;238 188;147 127;987 973;6 488 848
;II.;202 602;1 533 691;1 332 201;215 927;4 014 498;730 546;628 227;102 319;371 973;306 946;290 961;559 858;552 783;1 030 155;508 782;278 312;243 061;171 277;1 022 581;6 989 299
;III.;296 957;1 495 145;1 288 787;264 154;4 088 455;747 542;632 354;115 189;399 981;327 589;281 650;580 079;549 339;1 031 092;513 405;276 778;240 909;171 184;1 090 728;7 235 439
;IV.;223 228;1 596 294;1 354 728;318 363;4 234 954;839 475;737 242;102 233;426 592;365 860;247 564;561 526;574 386;1 041 398;500 460;281 069;259 869;178 153;1 094 984;7 467 823
2013.;I.;208 864;1 407 200;1 167 871;130 465;3 817 892;598 382;524 175;74 207;344 108;298 360;274 815;568 606;521 331;1 060 752;529 565;261 460;269 728;151 537;1 054 511;6 618 932
;II.;299 840;1 546 370;1 327 485;227 516;4 104 769;736 471;645 557;90 915;374 897;312 742;280 494;558 390;571 444;1 095 422;539 307;282 021;274 094;174 908;1 107 410;7 285 905
;III.;457 001;1 539 429;1 322 480;286 350;4 204 618;784 680;679 747;104 933;407 301;340 948;268 199;556 088;585 116;1 081 882;535 417;274 736;271 729;180 404;1 167 433;7 654 831
;IV.;324 568;1 680 679;1 423 364;352 167;4 414 520;904 348;811 733;92 615;429 995;383 141;235 989;567 325;599 431;1 103 858;525 783;279 226;298 849;190 433;1 187 701;7 959 634
2014.;I.;207 677;1 599 794;1 377 834;163 712;3 987 543;663 541;574 815;88 726;373 885;311 443;261 381;573 865;564 703;1 076 606;523 481;238 914;314 212;162 120;1 146 912;7 105 638
;II.;327 754;1 776 787;1 567 547;270 898;4 292 303;795 196;686 944;108 252;412 242;331 649;265 121;565 149;618 628;1 114 538;570 849;250 568;293 120;189 780;1 176 058;7 843 800
;III.;490 990;1 731 071;1 517 658;316 854;4 385 963;856 184;731 399;124 784;449 607;362 720;255 050;564 216;617 081;1 091 243;555 609;246 661;288 973;189 862;1 257 758;8 182 636
;IV.;340 217;1 874 683;1 620 145;369 668;4 641 823;1 014 124;897 661;116 462;484 153;406 045;226 390;569 675;641 106;1 088 242;559 172;238 757;290 313;212 088;1 277 994;8 504 385
2015.;I.;215 857;1 828 308;1 593 793;192 207;4 223 998;703 402;603 432;99 970;392 155;319 899;274 071;581 139;614 501;1 166 500;561 220;296 818;308 462;172 330;1 245 129;7 705 499
;II.;301 997;1 992 781;1 784 798;308 871;4 531 931;840 228;722 890;117 338;436 631;341 977;280 487;582 357;671 823;1 185 105;580 853;304 854;299 398;193 323;1 277 937;8 413 518
;III.;445 807;1 901 726;1 687 933;334 114;4 696 294;913 823;780 266;133 556;488 090;373 722;273 718;577 852;661 723;1 202 220;594 671;313 209;294 340;205 146;1 366 343;8 744 284
;IV.;324 914;2 123 081;1 863 563;395 199;4 923 960;1 073 069;948 956;124 113;517 044;411 947;245 391;585 800;697 659;1 165 241;582 794;301 622;280 825;227 809;1 390 427;9 157 581
2016.;I.;227 471;1 857 268;1 591 225;142 968;4 476 694;724 451;618 620;105 831;437 441;327 818;270 502;633 865;660 590;1 242 188;590 834;328 317;323 037;179 838;1 306 424;8 010 824
