22.1.3.6. Természetes szaporodás/fogyás (–) [ezer lakosra];;;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Ausztria;0,2;0,1;0,3;0,0;0,6;0,4;0,4;0,2;0,3;-0,1;0,2;0,2;-0,1;0,0;0,4;0,2;0,8;0,5;0,2;0,2;-0,9;-0,7
Belgium;1,1;1,2;0,7;0,7;1,5;1,6;2,0;2,2;2,1;2,2;2,3;2,2;1,7;1,5;1,8;1,0;1,2;0,9;0,7;0,8;-1,1;0,5
Bulgária;-5,1;-5,5;-5,9;-5,7;-5,2;-5,5;-5,2;-5,0;-4,4;-3,6;-4,7;-5,1;-5,5;-5,2;-5,7;-6,2;-6,0;-6,5;-6,6;-6,7;-9,5;-13,1
Ciprus;4,5;4,8;3,8;4,0;4,2;3,8;4,8;4,2;5,1;5,5;5,7;4,8;5,2;4,9;4,5;3,9;4,7;3,8;4,1;3,8;3,9;3,4
Csehország;-1,8;-1,7;-1,5;-1,7;-0,9;-0,6;0,1;1,0;1,4;1,0;1,0;0,2;0,0;-0,2;0,4;0,0;0,5;0,3;0,1;0,0;-1,8;-2,7
Dánia;1,7;1,3;1,0;1,3;1,6;1,7;1,7;1,6;1,9;1,4;1,6;1,2;1,0;0,6;1,0;1,0;1,5;1,4;1,1;1,2;1,1;1,1
Észtország;-3,8;-4,2;-3,9;-3,7;-2,7;-2,2;-1,8;-1,2;-0,5;-0,2;0,0;-0,4;-1,1;-1,3;-1,5;-1,0;-1,0;-1,3;-1,0;-1,0;-2,0;-4,0
Finnország;1,4;1,5;1,2;1,5;1,9;1,9;2,0;1,8;2,0;2,0;1,9;1,7;1,4;1,2;0,9;0,5;-0,2;-0,6;-1,3;-1,5;-1,6;-1,5
Franciaország;4,4;4,3;4,0;3,7;4,5;4,3;4,8;4,5;4,5;4,3;4,4;4,3;3,8;3,7;3,9;3,1;2,9;2,4;2,2;2,1;1,0;1,2
Görögország;-0,2;0,0;0,0;-0,1;0,1;0,2;0,6;0,2;0,9;0,9;0,5;-0,4;-1,5;-1,6;-2,0;-2,7;-2,4;-3,3;-3,2;-3,8;-4,3;-5,5
Hollandia;4,2;3,9;3,7;3,6;3,5;3,2;3,0;2,9;3,0;3,1;2,9;2,7;2,1;1,8;2,1;1,4;1,4;1,1;0,9;1,0;0,0;0,5
Horvátország;-1,5;-2,0;-2,4;-3,0;-2,2;-2,2;-2,1;-2,4;-1,9;-1,8;-2,0;-2,3;-2,3;-2,5;-2,7;-4,0;-3,4;-4,1;-3,9;-3,9;-5,2;-6,6
