19.1.3.11. Tehéntejtermelés [ezer tonna];;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Indonézia;1 011;993;1 009;1 077;1 074;1 061;1 155;1 129;1 223;1 422;1 494;1 545;1 538;1 349;1 417;1 464;1 518;1 546;1 549;1 560;1 575
Irán;5 889;6 013;5 877;6 316;6 720;7 179;7 741;8 251;7 024;7 204;7 438;7 686;7 952;8 268;8 800;6 413;6 756;7 701;7 529;7 531;8 364
Izrael;1 217;1 225;1 248;1 180;1 208;1 216;1 188;1 266;1 375;1 317;1 332;1 395;1 408;1 435;1 524;1 437;1 531;1 556;1 635;1 584;1 606
Japán;8 501;8 304;8 389;8 403;8 332;8 288;8 140;8 010;7 984;7 913;7 723;7 477;7 633;7 511;7 337;7 382;7 396;7 279;7 292;7 316;7 441
Kína;12 374;14 515;17 334;21 870;26 907;32 023;36 472;39 824;40 198;40 383;41 155;41 804;42 378;40 245;42 263;36 480;35 365;35 046;35 478;36 795;39 220
Koreai Köztársaság;2 263;2 349;2 548;2 377;2 267;2 241;2 196;2 200;2 210;2 232;2 083;1 899;2 120;2 102;2 222;2 177;2 079;2 069;1 835;1 818;1 806
Mianmar;737;760;801;827;892;978;1 077;1 196;1 308;1 457;1 593;1 656;1 808;1 951;2 151;2 360;2 415;2 417;2 420;2 529;2 466
Pakisztán;25 566;26 284;27 032;27 811;28 624;29 438;31 214;32 219;33 257;34 362;35 491;36 656;37 861;48 560;50 139;51 090;50 827;52 482;54 994;58 851;60 770
Dél-afrikai Köztársaság;2 306;2 670;2 507;2 591;2 640;3 044;2 950;2 988;3 042;2 997;3 123;3 107;3 214;3 260;3 337;3 538;3 549;3 643;3 753;3 873;3 822
Egyiptom;3 783;3 939;4 192;5 255;4 657;5 210;5 388;5 906;5 962;5 612;5 763;5 789;5 836;5 548;5 589;5 232;5 074;5 423;5 197;5 251;5 089
Etiópia;1 026;1 132;2 651;2 721;2 717;2 321;2 495;2 832;3 554;3 175;4 406;3 596;4 063;3 753;3 598;3 547;3 409;3 743;3 671;4 196;5 059
Kenya;2 737;2 923;3 278;3 344;3 940;4 230;4 212;4 007;4 256;4 759;4 850;4 925;4 974;4 889;4 473;4 556;5 256;4 728;4 942;5 457;5 516
Marokkó;1 259;1 212;1 310;1 321;1 451;1 480;1 581;1 681;1 781;1 881;1 991;2 308;2 612;2 397;2 489;2 539;2 587;2 636;2 638;2 641;2 592
Argentína;10 121;9 769;8 793;8 197;8 100;9 909;10 494;9 822;10 320;10 366;10 626;11 553;11 340;10 971;11 010;12 061;10 292;10 098;10 527;10 340;11 113
Brazília;20 645;21 398;22 562;23 191;24 462;25 648;26 452;26 387;28 688;29 329;31 884;33 328;33 543;35 557;36 417;35 901;34 948;34 577;35 203;36 256;36 807
Chile;2 000;2 199;2 180;2 140;2 260;2 310;2 411;2 460;2 561;2 361;2 540;2 630;2 660;2 160;2 157;2 037;1 999;1 999;2 162;2 151;2 284
Egyesült Államok;75 953;75 020;77 168;77 295;77 515;80 283;82 483;84 241;86 204;85 853;87 521;89 054;91 044;91 311;93 490;94 645;96 392;97 787;98 713;99 109;101 277
Kanada;8 161;8 106;7 964;7 734;7 905;7 806;8 041;8 145;8 140;8 213;7 666;7 764;7 964;7 807;7 812;8 160;8 441;8 969;9 219;9 210;9 331
Kolumbia;6 148;6 302;6 554;6 652;6 447;6 320;6 817;6 725;7 431;6 285;6 285;6 284;6 608;6 773;6 871;6 774;6 507;7 481;7 362;6 825;7 071
Mexikó;9 487;9 657;9 851;9 984;10 074;10 082;10 303;10 564;10 807;10 767;10 892;10 940;11 091;11 173;11 341;11 610;11 825;11 987;12 226;12 494;12 784
Peru;923;1 009;1 071;1 125;1 186;1 258;1 368;1 478;1 588;1 675;1 701;1 779;1 815;1 832;1 864;1 927;1 978;2 037;2 088;2 142;2 158
Venezuela;1 415;1 400;1 389;1 238;1 237;1 348;1 431;1 778;2 220;2 185;2 436;2 476;2 277;1 960;2 073;2 292;2 179;2 244;2 204;2 066;2 172
Ausztrália;10 847;10 547;11 271;10 328;10 076;10 127;10 089;9 583;9 223;9 388;9 023;9 101;9 480;9 522;9 542;9 489;10 020;9 332;9 289;8 795;8 797
Új-Zéland;12 235;13 119;13 866;14 349;15 030;14 638;15 172;15 618;15 217;16 483;17 010;17 339;19 129;19 469;21 320;21 939;21 176;21 462;21 947;21 786;21 871
