21.1.3.6. A bruttó állóeszköz-felhalmozás – ESA2010;;;;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000 volumenváltozás (az elözõ évhez képest, százalék);2001 volumenváltozás (az elözõ évhez képest, százalék);2002 volumenváltozás (az elözõ évhez képest, százalék);2003 volumenváltozás (az elözõ évhez képest, százalék);2004 volumenváltozás (az elözõ évhez képest, százalék);2005 volumenváltozás (az elözõ évhez képest, százalék);2006 volumenváltozás (az elözõ évhez képest, százalék);2007 volumenváltozás (az elözõ évhez képest, százalék);2008 volumenváltozás (az elözõ évhez képest, százalék);2009 volumenváltozás (az elözõ évhez képest, százalék);2010 volumenváltozás (az elözõ évhez képest, százalék);2011 volumenváltozás (az elözõ évhez képest, százalék);2012 volumenváltozás (az elözõ évhez képest, százalék);2013 volumenváltozás (az elözõ évhez képest, százalék);2014 volumenváltozás (az elözõ évhez képest, százalék);2015 volumenváltozás (az elözõ évhez képest, százalék);2016 volumenváltozás (az elözõ évhez képest, százalék);2017 volumenváltozás (az elözõ évhez képest, százalék);2018 volumenváltozás (az elözõ évhez képest, százalék);2019 volumenváltozás (az elözõ évhez képest, százalék);2020 volumenváltozás (az elözõ évhez képest, százalék);2021 volumenváltozás (az elözõ évhez képest, százalék);2021 a GDP %-ában
Ausztria;5,8;-1,1;-2,9;3,8;0,9;0,3;1,2;4,6;1,6;-7,2;-2,6;6,6;0,9;1,6;-0,4;2,3;4,3;4,2;4,4;4,8;-5,2;4,3;25,7
Belgium;5,0;1,6;-4,1;-0,1;9,0;5,7;1,9;7,3;1,9;-6,6;0,0;5,2;0,6;-2,3;5,4;3,7;4,2;1,4;3,0;4,4;-6,1;7,8;24,1
Bulgária;16,5;19,8;8,1;12,9;13,8;26,7;13,0;13,1;22,0;-17,7;-17,6;-4,4;1,8;0,5;3,5;2,7;-6,6;3,2;5,4;4,5;0,6;-11,0;16,6
Ciprus;-1,0;0,0;11,4;1,9;5,8;6,5;20,9;7,5;8,4;-13,6;-1,4;-11,7;-19,7;-15,6;-7,4;-1,8;49,5;21,2;-4,9;2,9;0,0;-2,7;18,3
Csehország;7,5;5,8;1,9;2,4;4,0;6,0;5,5;13,3;1,9;-9,0;0,3;1,1;-3,3;-2,2;3,3;9,7;-3,0;4,9;10,0;5,9;-6,0;0,7;26,0
Dánia;8,2;-0,5;-2,3;1,6;3,5;5,9;13,7;0,7;-2,5;-13,0;-5,7;0,4;3,7;2,7;3,1;5,5;7,9;4,0;4,2;-1,3;5,1;6,2;22,6
Észtország;14,2;13,0;23,6;17,7;5,5;15,4;22,8;10,3;-13,1;-37,2;-2,2;35,6;11,9;1,5;-2,7;-3,2;5,1;13,8;0,0;6,1;19,9;3,3;28,6
Finnország;6,2;1,8;-3,0;2,8;4,7;3,3;1,4;10,3;0,6;-12,0;2,3;3,9;-0,3;-4,6;-1,8;0,5;9,0;4,8;3,6;-1,5;-0,5;1,1;23,6
Franciaország;6,6;2,3;-0,9;1,9;3,5;2,9;3,6;5,5;0,9;-9,1;2,1;2,1;0,2;-0,8;0,0;1,0;2,7;4,7;3,3;4,0;-8,2;11,5;24,2
Görögország;2,9;5,4;-0,3;15,1;3,0;-11,9;19,4;15,9;-7,2;-13,9;-19,3;-25,4;-21,7;-6,6;-3,2;0,2;2,3;8,5;-4,3;-3,3;-0,3;19,6;12,9
