21.2.1.8. A bruttó hazai termék (GDP) termelése 2015. évi átlagáron, nemzetgazdasági áganként, szezonálisan és naptári hatással kiigazított és kiegyensúlyozott negyedéves adatok [millió forint];;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Termékadók és -támogatások egyenlege;GDP összesen (piaci beszerzési áron)
2004.;I.;336 540;1 761 874;1 478 051;341 083;3 940 659;774 271;407 775;238 044;293 860;468 087;493 930;1 076 737;188 592;1 224 117;7 487 776
;II.;383 744;1 777 782;1 498 939;343 746;3 940 409;786 522;416 944;241 682;300 122;465 486;492 844;1 065 140;189 521;1 235 890;7 574 038
;III.;390 136;1 779 507;1 494 125;337 762;3 972 918;803 269;412 819;241 616;304 991;469 196;496 340;1 075 196;186 823;1 245 175;7 666 003
;IV.;368 656;1 793 192;1 520 534;353 409;3 997 605;816 117;419 189;245 541;306 520;471 046;502 429;1 082 670;190 356;1 265 329;7 698 711
2005.;I.;369 043;1 794 150;1 519 721;363 674;4 089 800;834 567;431 469;252 365;310 291;484 961;511 886;1 082 023;197 428;1 275 121;7 774 636
;II.;347 942;1 824 253;1 574 764;386 537;4 152 996;846 115;443 151;254 464;310 457;492 789;521 144;1 101 925;191 998;1 298 856;7 922 094
;III.;326 212;1 841 700;1 568 512;392 076;4 192 257;860 308;429 611;261 460;311 854;499 413;528 508;1 109 609;201 516;1 317 044;7 981 518
;IV.;350 689;1 893 900;1 652 245;385 148;4 182 547;882 541;437 936;266 558;313 973;508 784;534 807;1 088 592;194 064;1 333 634;8 071 360
2006.;I.;338 787;1 914 462;1 628 071;380 763;4 262 874;913 598;447 518;267 412;312 885;519 676;550 569;1 104 539;194 416;1 350 120;8 140 410
;II.;338 299;1 961 720;1 704 123;357 457;4 328 700;925 075;449 660;271 851;312 927;528 925;557 394;1 107 577;198 488;1 361 030;8 249 242
;III.;323 220;1 977 798;1 703 544;373 336;4 348 107;931 576;467 092;274 458;318 735;535 952;557 921;1 097 616;193 674;1 367 731;8 294 942
;IV.;304 862;2 018 101;1 767 248;355 919;4 408 144;932 330;460 598;276 401;322 960;538 009;560 210;1 116 043;198 751;1 364 893;8 371 678
2007.;I.;301 068;2 057 280;1 773 195;366 997;4 288 112;915 571;461 888;279 929;301 244;521 702;548 577;1 110 829;197 377;1 362 173;8 272 628
