23.1.2.8. Szakképzõ iskolai oktatás és nevelés megye és régió szerint;;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2000/2001;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;2021/2022
Észak-Magyarország;régió;1 095;1 100;1 109;1 189;1 200;1 208;1 228;1 280;1 287;1 139;1 229;1 241;1 242;1 170;1 066;1 030;1 023;938;906;882;684;639
Hajdú-Bihar ;megye;475;455;495;462;459;470;504;485;510;489;545;483;494;479;466;388;384;343;353;332;279;336
Jász-Nagykun-Szolnok;megye;470;476;487;465;490;517;522;496;446;530;500;494;480;492;429;422;405;361;371;359;330;370
Szabolcs-Szatmár-Bereg;megye;555;500;529;552;566;631;625;612;665;684;744;722;815;772;676;609;552;462;477;478;358;418
Észak-Alföld;régió;1 500;1 431;1 511;1 479;1 515;1 618;1 651;1 593;1 621;1 703;1 789;1 699;1 789;1 743;1 571;1 419;1 341;1 166;1 201;1 169;967;1 124
Bács-Kiskun ;megye;460;430;419;452;462;468;511;497;494;514;536;566;568;593;550;412;403;394;401;380;354;389
Békés ;megye;400;409;397;407;393;418;402;389;378;358;394;364;400;371;402;348;310;282;329;314;212;313
Csongrád-Csanád ;megye;310;348;376;391;380;419;404;410;411;417;489;479;468;437;409;392;397;311;327;305;213;254
Dél-Alföld;régió;1 170;1 187;1 192;1 250;1 235;1 305;1 317;1 296;1 283;1 289;1 419;1 409;1 436;1 401;1 361;1 152;1 110;987;1 057;999;779;956
Alföld és Észak;nagyrégió;3 765;3 718;3 812;3 918;3 950;4 131;4 196;4 169;4 191;4 131;4 437;4 349;4 467;4 314;3 998;3 601;3 474;3 091;3 164;3 050;2 430;2 719
Összesen;ország;8 150;7 982;8 425;8 647;8 577;8 938;8 947;8 942;8 706;8 824;9 314;9 035;8 910;8 547;8 124;7 446;7 382;6 124;6 111;5 946;4 793;5 454
Tanuló a nappali oktatásban;;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;15 380;15 256;14 947;15 060;14 247;14 416;13 373;13 478;14 089;14 315;14 566;14 972;14 427;13 029;11 760;9 576;9 021;8 403;6 976;6 691;5 213;6 467
Pest ;megye, régió;7 580;7 728;7 898;7 660;7 484;7 331;7 291;7 396;7 631;8 070;7 968;7 970;7 117;6 503;5 856;5 298;4 854;4 668;4 786;4 620;3 953;4 795
Közép-Magyarország;nagyrégió;22 960;22 984;22 845;22 720;21 731;21 747;20 664;20 874;21 720;22 385;22 534;22 942;21 544;19 532;17 616;14 874;13 875;13 071;11 762;11 311;9 166;11 262
Fejér ;megye;5 120;5 317;5 442;5 653;5 694;5 854;5 821;5 749;5 576;6 057;6 159;6 099;5 515;5 003;4 440;3 732;3 444;3 393;2 939;2 753;2 060;2 531
Komárom-Esztergom ;megye;4 360;4 523;4 662;4 628;4 577;4 658;4 425;4 872;4 701;4 945;4 935;4 868;4 264;3 620;3 104;2 556;2 373;2 306;2 253;2 185;1 860;2 266
Veszprém ;megye;5 700;5 778;5 619;5 676;5 870;5 697;5 373;5 662;5 690;5 846;5 917;5 913;5 358;4 726;4 175;3 497;3 712;3 357;3 140;3 197;2 558;2 983
Közép-Dunántúl;régió;15 180;15 618;15 723;15 957;16 141;16 209;15 619;16 283;15 967;16 848;17 011;16 880;15 137;13 349;11 719;9 785;9 529;9 056;8 332;8 135;6 478;7 780
Gyõr-Moson-Sopron ;megye;5 820;5 968;6 042;5 911;5 803;5 632;5 322;5 593;5 629;5 944;6 203;6 358;5 506;4 733;4 129;3 729;4 412;3 614;3 535;3 458;2 823;3 360
Vas;megye;3 425;3 449;3 328;3 258;3 255;3 149;3 094;3 121;3 040;3 172;3 457;3 524;3 144;3 009;2 672;2 146;2 126;2 135;1 878;1 824;1 364;1 680
Zala ;megye;3 560;3 734;3 691;3 639;3 607;3 478;3 603;3 888;3 984;3 869;3 855;3 951;3 444;3 128;2 731;2 281;2 122;1 936;1 805;1 718;1 477;1 702
Nyugat-Dunántúl;régió;12 805;13 151;13 061;12 808;12 665;12 259;12 019;12 602;12 653;12 985;13 515;13 833;12 094;10 870;9 532;8 156;8 660;7 685;7 218;7 000;5 664;6 742
Baranya;megye;4 660;5 008;4 956;4 981;5 159;5 056;4 867;4 912;4 719;4 835;5 295;5 155;4 769;4 173;3 626;3 161;3 176;2 979;2 546;2 419;2 191;2 270
Somogy ;megye;5 020;5 362;5 120;5 100;5 121;5 137;5 197;5 250;3 429;5 346;5 595;5 825;5 429;5 030;4 552;4 018;3 643;3 814;3 482;3 409;2 571;3 126
Tolna ;megye;3 920;4 170;3 878;4 118;4 235;4 227;4 209;4 236;4 615;4 825;4 329;3 975;3 388;2 906;2 635;2 254;2 334;2 246;2 193;2 086;1 601;2 018
Dél-Dunántúl;régió;13 600;14 540;13 954;14 199;14 515;14 420;14 273;14 398;12 763;15 006;15 219;14 955;13 586;12 109;10 813;9 433;9 153;9 039;8 221;7 914;6 363;7 414
Dunántúl;nagyrégió;41 585;43 309;42 738;42 964;43 321;42 888;41 911;43 283;41 383;44 839;45 745;45 668;40 817;36 328;32 064;27 374;27 342;25 780;23 771;23 049;18 505;21 936
Borsod-Abaúj-Zemplén;megye;9 535;9 973;10 174;10 117;10 264;10 049;9 946;10 382;10 235;10 352;10 330;10 391;9 981;9 283;8 100;7 466;6 981;6 314;5 780;5 368;5 009;5 589
Heves ;megye;4 540;4 862;4 651;4 641;4 639;4 695;4 699;4 916;4 998;5 240;5 026;4 820;4 374;4 002;3 446;3 296;3 164;2 935;2 848;2 563;2 113;2 454
Nógrád ;megye;2 170;1 935;2 222;2 302;2 570;2 445;2 356;2 295;2 217;2 188;2 264;2 233;2 190;1 834;1 547;1 483;1 441;1 390;1 318;1 299;1 057;1 195
Észak-Magyarország;régió;16 245;16 770;17 047;17 060;17 473;17 189;17 001;17 593;17 450;17 780;17 620;17 444;16 545;15 119;13 093;12 245;11 586;10 639;9 946;9 230;8 179;9 238
Hajdú-Bihar ;megye;7 500;7 611;7 473;7 457;7 657;7 622;7 509;7 716;8 022;8 063;7 892;7 682;6 787;5 572;4 854;4 160;4 324;4 371;4 269;3 781;3 165;3 680
Jász-Nagykun-Szolnok;megye;6 100;6 332;6 362;6 420;6 479;6 427;6 404;6 687;6 895;6 926;6 869;6 761;6 038;5 592;4 863;4 219;4 136;3 983;3 704;3 753;3 089;3 667
Szabolcs-Szatmár-Bereg;megye;8 330;8 619;8 478;8 280;8 077;7 942;7 878;8 569;8 989;9 500;9 552;9 795;9 126;8 194;6 992;6 258;5 859;5 558;5 211;4 867;4 283;5 347
Észak-Alföld;régió;21 930;22 562;22 313;22 157;22 213;21 991;21 791;22 972;23 906;24 489;24 313;24 238;21 951;19 358;16 709;14 637;14 319;13 912;13 184;12 401;10 537;12 694
Bács-Kiskun ;megye;6 940;7 018;7 449;7 657;7 775;7 693;7 587;7 751;7 902;8 064;8 115;7 974;6 905;6 034;5 142;4 451;4 617;4 344;4 145;4 060;3 314;3 894
Békés ;megye;5 770;5 946;5 566;5 515;5 524;5 416;5 240;5 363;5 638;5 491;5 613;5 650;5 037;4 555;4 136;3 633;3 439;3 317;3 168;3 029;2 398;2 645
Csongrád-Csanád ;megye;4 900;5 362;5 383;5 384;5 366;5 238;5 443;5 356;5 866;5 626;5 481;5 524;4 744;4 196;3 776;3 279;3 053;3 041;2 887;2 691;2 173;2 742
Dél-Alföld;régió;17 610;18 326;18 398;18 556;18 665;18 347;18 270;18 470;19 406;19 181;19 209;19 148;16 686;14 785;13 054;11 363;11 109;10 702;10 200;9 780;7 885;9 281
Alföld és Észak;nagyrégió;55 785;57 658;57 758;57 773;58 351;57 527;57 062;59 035;60 762;61 450;61 142;60 830;55 182;49 262;42 856;38 245;37 014;35 253;33 330;31 411;26 601;31 213
Összesen;ország;120 330;123 951;123 341;123 457;123 403;122 162;119 637;123 192;123 865;128 674;129 421;129 440;117 543;105 122;92 536;80 493;78 231;74 104;68 863;65 771;54 272;64 411
Ezer lakosra jutó tanuló a nappali oktatásban;;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;8,7;8,8;8,7;8,8;8,4;8,5;7,9;7,9;8,2;8,3;8,4;8,7;8,3;7,5;6,7;5,4;5,1;4,8;4,0;3,8;3,0;3,8
Pest ;megye, régió;7,1;7,1;7,1;6,8;6,5;6,3;6,2;6,2;6,3;6,6;6,4;6,6;5,8;5,3;4,8;4,3;3,9;3,7;3,7;3,6;3,0;3,6
Közép-Magyarország;nagyrégió;8,1;8,1;8,1;8,0;7,6;7,6;7,2;7,2;7,4;7,6;7,6;7,8;7,3;6,6;5,9;5,0;4,6;4,3;3,9;3,7;3,0;3,7
Fejér ;megye;12,0;12,4;12,7;13,2;13,3;13,7;13,6;13,4;13,0;14,2;14,5;14,5;13,1;11,9;10,6;8,9;8,3;8,1;7,0;6,6;4,9;6,0
Komárom-Esztergom ;megye;13,8;14,3;14,8;14,7;14,5;14,8;14,0;15,5;14,9;15,8;15,8;16,0;14,1;12,0;10,4;8,6;8,0;7,8;7,5;7,3;6,2;7,6
Veszprém ;megye;15,2;15,4;15,2;15,4;16,0;15,6;14,8;15,7;15,8;16,3;16,6;16,7;15,3;13,5;12,0;10,2;10,8;9,8;9,2;9,4;7,5;8,8
Közép-Dunántúl;régió;13,5;13,9;14,1;14,3;14,5;14,6;14,1;14,7;14,5;15,3;15,5;15,6;14,1;12,5;11,0;9,2;9,0;8,6;7,9;7,7;6,1;7,4
Gyõr-Moson-Sopron ;megye;13,4;13,7;13,8;13,4;13,2;12,8;12,0;12,6;12,6;13,3;13,8;14,3;12,3;10,5;9,1;8,2;9,6;7,8;7,6;7,3;5,9;7,0
Vas;megye;12,7;12,8;12,4;12,2;12,3;11,9;11,8;11,9;11,6;12,2;13,4;13,8;12,3;11,8;10,5;8,5;8,4;8,4;7,4;7,2;5,4;6,6
Zala ;megye;11,8;12,5;12,4;12,3;12,2;11,8;12,3;13,3;13,7;13,4;13,4;13,9;12,2;11,2;9,8;8,3;7,8;7,2;6,7;6,4;5,6;6,4
Nyugat-Dunántúl;régió;12,8;13,1;13,0;12,8;12,7;12,3;12,0;12,6;12,7;13,0;13,6;14,1;12,3;11,0;9,7;8,3;8,8;7,8;7,3;7,0;5,7;6,8
Baranya;megye;11,4;12,3;12,2;12,4;12,9;12,7;12,2;12,4;11,9;12,3;13,5;13,5;12,6;11,2;9,8;8,6;8,7;8,2;7,1;6,7;6,1;6,4
Somogy ;megye;14,9;15,9;15,3;15,3;15,4;15,6;15,8;16,2;10,6;16,7;17,6;18,3;17,1;15,9;14,6;13,0;11,9;12,6;11,6;11,4;8,5;10,5
Tolna ;megye;15,6;16,7;15,6;16,7;17,3;17,4;17,5;17,8;19,6;20,7;18,7;17,2;14,7;12,7;11,7;10,1;10,5;10,2;10,1;9,7;7,5;9,6
Dél-Dunántúl;régió;13,6;14,6;14,1;14,4;14,8;14,9;14,7;15,0;13,4;15,8;16,2;16,1;14,7;13,2;11,9;10,5;10,2;10,2;9,3;9,0;7,3;8,6
Dunántúl;nagyrégió;13,3;13,9;13,8;13,9;14,0;13,9;13,6;14,1;13,5;14,7;15,1;15,2;13,7;12,2;10,8;9,3;9,3;8,8;8,1;7,9;6,3;7,5
Borsod-Abaúj-Zemplén;megye;12,7;13,3;13,7;13,7;14,0;13,8;13,8;14,6;14,6;14,9;15,1;15,1;14,6;13,8;12,1;11,3;10,7;9,7;9,0;8,4;7,9;8,9
Heves ;megye;13,9;14,9;14,3;14,3;14,4;14,6;14,7;15,5;15,9;16,8;16,3;15,6;14,3;13,2;11,4;11,0;10,7;9,9;9,7;8,7;7,2;8,5
Nógrád ;megye;9,8;8,8;10,1;10,6;11,9;11,4;11,1;10,9;10,7;10,7;11,2;11,0;10,9;9,2;7,9;7,6;7,5;7,3;7,0;6,9;5,6;6,4
Észak-Magyarország;régió;12,5;12,9;13,2;13,3;13,7;13,6;13,6;14,2;14,3;14,7;14,7;14,5;13,9;12,8;11,2;10,6;10,1;9,4;8,8;8,3;7,4;8,4
Hajdú-Bihar ;megye;13,6;13,8;13,5;13,6;13,9;13,9;13,8;14,2;14,8;14,9;14,6;14,1;12,5;10,3;9,0;7,8;8,1;8,2;8,1;7,2;6,0;7,0
Jász-Nagykun-Szolnok;megye;14,5;15,1;15,3;15,5;15,8;15,8;15,9;16,8;17,5;17,7;17,8;17,3;15,6;14,6;12,8;11,2;11,1;10,7;10,0;10,2;8,5;10,2
Szabolcs-Szatmár-Bereg;megye;14,1;14,7;14,5;14,2;13,9;13,7;13,7;15,0;15,9;17,0;17,2;17,3;16,2;14,6;12,4;11,1;10,4;10,0;9,4;8,9;7,9;9,9
Észak-Alföld;régió;14,0;14,5;14,4;14,3;14,4;14,3;14,3;15,2;15,9;16,4;16,4;16,2;14,7;13,0;11,3;9,9;9,8;9,5;9,1;8,6;7,3;8,9
Bács-Kiskun ;megye;12,7;12,9;13,7;14,1;14,4;14,3;14,1;14,5;14,9;15,3;15,5;15,3;13,3;11,7;10,0;8,7;9,1;8,6;8,2;8,1;6,6;7,8
Békés ;megye;14,4;14,9;14,1;14,0;14,2;14,0;13,7;14,2;15,2;15,0;15,5;15,6;14,0;12,8;11,8;10,5;10,0;9,8;9,5;9,2;7,3;8,2
Csongrád-Csanád ;megye;11,4;12,5;12,6;12,6;12,6;12,4;12,8;12,6;13,8;13,3;13,0;13,4;11,6;10,3;9,3;8,1;7,6;7,6;7,2;6,8;5,5;7,0
Dél-Alföld;régió;12,8;13,3;13,5;13,6;13,8;13,6;13,6;13,8;14,6;14,6;14,7;14,8;12,9;11,6;10,3;9,0;8,9;8,6;8,2;7,9;6,5;7,6
Alföld és Észak;nagyrégió;13,1;13,6;13,7;13,8;14,0;13,9;13,9;14,5;15,0;15,3;15,3;15,2;13,9;12,5;10,9;9,8;9,6;9,2;8,7;8,3;7,1;8,3
Összesen;ország;11,8;12,2;12,2;12,2;12,2;12,1;11,9;12,3;12,3;12,8;13,0;13,0;11,9;10,6;9,4;8,2;8,0;7,6;7,0;6,7;5,6;6,6
