13.1.1.8. Az ipar belföldi értékesítése alágak szerint [folyó áron, millió Ft];;;;;;;;;;;;;;;;;
Év Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
2001;60 610;1 427 190;129 601;309 006;442 044;265 126;91 279;460 111;519 717;161 418;122 393;106 391;160 987;174 592;4 369 856;2 093 627;6 524 093
2002;61 637;1 505 174;121 365;310 728;386 137;253 361;101 319;489 033;503 398;127 423;126 512;151 206;188 174;190 632;4 454 463;2 279 916;6 796 017
2003;62 540;1 503 789;114 778;338 932;377 943;263 270;111 263;521 813;572 113;154 662;129 964;147 658;215 007;168 398;4 619 590;2 585 352;7 267 482
2004;71 009;1 495 889;104 851;338 713;499 521;277 568;115 000;532 949;607 441;216 555;159 812;144 615;210 832;183 175;4 886 921;2 887 543;7 845 473
2005;70 422;1 440 814;89 145;358 532;704 516;339 463;121 940;608 849;613 943;293 648;156 671;161 516;289 076;181 332;5 359 446;3 543 225;8 973 093
2006;86 512;1 465 946;86 039;378 147;910 468;370 660;124 377;718 383;680 006;400 462;158 519;169 554;350 414;206 652;6 019 626;4 159 233;10 265 371
2007;68 048;1 509 454;77 170;373 271;888 229;384 552;126 480;777 864;645 931;247 436;163 027;190 615;417 911;231 929;6 033 869;5 076 478;11 178 396
2008;97 906;1 539 353;75 059;381 268;1 149 765;405 291;120 949;793 739;667 109;221 005;152 163;233 045;419 997;264 980;6 423 724;6 006 121;12 527 751
2009;89 417;1 463 098;57 271;352 401;844 833;327 059;132 794;622 139;456 860;186 250;121 615;190 859;310 718;270 923;5 336 820;5 571 515;10 997 752
2010;69 931;1 415 347;54 523;390 723;1 026 714;429 521;106 673;603 132;502 119;257 101;126 933;147 956;305 037;252 781;5 618 558;5 509 726;11 198 215
2011;74 523;1 493 657;56 181;364 292;1 249 107;513 627;116 023;609 126;601 806;218 532;127 093;205 072;317 191;255 476;6 127 182;5 050 762;11 252 466
2012;83 431;1 592 224;67 224;354 631;1 254 923;571 661;106 242;577 041;620 935;174 106;127 090;241 312;288 121;278 095;6 253 605;5 086 410;11 423 447
2013;79 794;1 612 751;54 772;359 808;1 130 374;584 530;108 317;578 142;589 756;135 062;135 412;227 821;352 558;258 544;6 127 848;4 772 327;10 979 970
2014;81 371;1 678 598;58 037;413 589;1 077 630;642 983;126 571;593 645;667 638;121 253;135 840;216 223;454 165;229 807;6 415 978;4 211 305;10 708 653
2015;75 034;1 681 178;61 238;413 950;834 165;608 400;126 543;666 897;708 055;113 810;147 903;239 938;626 797;290 466;6 519 339;3 993 144;10 587 517
2016;62 413;1 712 485;70 649;448 608;670 553;553 461;131 996;680 023;765 520;152 386;140 050;254 476;615 709;307 167;6 503 082;3 559 806;10 125 301
2017;81 748;1 814 055;79 596;458 845;786 852;472 972;133 714;785 780;893 174;175 950;160 783;303 531;674 068;342 295;7 081 617;3 638 689;10 802 054
2018;141 237;1 964 732;79 302;526 770;1 049 546;556 572;139 455;1 032 216;1 040 576;168 647;177 191;316 152;759 254;421 085;8 231 497;3 805 857;12 178 592
2019;175 248;2 126 538;75 880;571 646;1 029 437;591 657;130 472;1 164 968;1 129 907;151 495;216 366;380 124;983 095;505 340;9 056 925;3 957 700;13 189 872
2020;128 033;2 220 175;75 911;544 855;763 501;537 845;138 787;1 079 700;1 058 479;150 704;229 836;341 916;891 866;470 112;8 503 687;4 097 170;12 728 890
2021;158 191;2 534 648;78 584;664 260;1 297 350;786 494;155 571;1 320 913;1 502 769;217 592;279 914;412 168;908 108;538 045;10 696 416;5 566 189;16 420 797
