14.1.1.36. Az egy fõre jutó éves kiadások részletezése COICOP-csoportosítás szerint a gyermekes, a gyermek nélküli és az egyszemélyes háztartásokban [forint/fõ/év];;;;;;;;;;;;;;;;;
Megnevezés;Megnevezés;Gyermekes háztartások: egy felnõtt egy vagy több gyermekkel;Gyermekes háztartások: kettõ felnõtt egy gyermekkel;Gyermekes háztartások: kettõ felnõtt kettõ gyermekkel;Gyermekes háztartások: kettõ felnõtt három és több gyermekkel;Gyermekes háztartások: egyéb;Gyermekes háztartások összesen;Gyermek nélküli háztartások: egyszemélyes;Gyermek nélküli háztartások: kettõ felnõtt mindketten 65 évnél fiatalabbak;Gyermek nélküli háztartások: kettõ felnõtt legalább az egyikük 65 éves vagy idõsebb;Gyermek nélküli háztartások: egyéb;Gyermek nélküli háztartások összesen;Egyszemélyes háztartások összesen;Egyszemélyes háztartásokból: férfiak;Egyszemélyes háztartásokból: nõk;Egyszemélyes háztartásokból: 65 év alattiak;Egyszemélyes háztartásból: 65 évesek és idõsebbek
06;Egészségügy;27 334;32 542;27 858;16 523;24 700;26 298;102 883;51 666;97 650;49 806;75 554;102 883;75 953;121 143;59 700;147 852
07;Közlekedés;58 189;140 033;113 515;78 282;87 165;102 358;95 332;177 340;116 392;138 086;132 153;95 332;150 268;58 083;143 914;44 741
08;Hírközlés;59 069;72 509;55 602;30 191;49 177;54 088;112 119;94 267;78 752;79 568;92 624;112 119;117 797;108 270;128 087;95 491
09;Kultúra, szórakozás;50 614;66 812;63 707;46 269;35 030;53 070;110 991;90 451;69 815;55 753;83 898;110 991;133 997;95 393;154 412;65 775
10;Oktatás;18 778;11 657;14 113;9 140;11 333;12 483;6 284;8 290;1 863;10 840;6 930;6 284;9 705;3 964;11 928;406
11;Vendéglátás és szálláshely-szolgáltatás ;38 985;39 440;49 182;41 194;20 711;37 442;60 233;43 179;21 116;23 970;38 877;60 233;96 567;35 597;93 877;25 198
12;Egyéb termékek és szolgáltatások;49 404;75 677;68 573;47 476;50 697;60 594;121 000;103 690;103 306;88 466;105 016;121 000;104 453;132 220;117 341;124 811
;Mindösszesen;778 906;946 828;821 591;608 110;682 303;776 529;1 537 787;1 271 248;1 161 604;994 605;1 259 782;1 537 787;1 658 417;1 455 995;1 699 333;1 369 561
2017;;;;;;;;;;;;;;;;;
01;Élelmiszerek és alkoholmentes italok;191 432;234 357;203 648;175 459;197 165;204 019;410 630;323 617;328 595;276 290;337 217;410 630;414 369;408 211;410 226;411 037
02;Szeszes italok, dohányáru;23 777;30 690;22 267;18 486;26 591;24 920;60 491;47 797;43 023;42 595;48 918;60 491;99 661;35 153;84 567;36 241
03;Ruházat és lábbeli (szolgáltatással együtt);37 362;52 429;50 430;39 355;38 588;45 117;45 122;57 339;39 313;48 265;47 667;45 122;46 160;44 450;58 923;31 221
04;Lakásfenntartás, háztartási energia;195 412;181 608;143 545;110 614;144 286;152 242;415 403;264 286;251 868;195 172;286 169;415 403;431 274;405 136;441 435;389 183
05;Lakberendezés, háztartásvitel;27 886;45 526;38 194;25 899;29 413;34 980;66 694;53 347;53 921;39 821;53 891;66 694;65 035;67 767;67 238;66 146
06;Egészségügy;25 116;34 143;28 294;23 158;29 664;28 975;107 149;51 023;106 416;51 535;79 273;107 149;83 952;122 154;58 340;156 310
07;Közlekedés;62 963;151 093;122 465;84 630;106 204;114 336;112 266;185 431;121 294;150 614;142 300;112 266;162 718;79 629;180 932;43 104
08;Hírközlés;62 294;75 143;60 225;37 600;55 620;59 327;116 083;99 680;81 873;84 453;96 405;116 083;123 557;111 248;128 408;103 669
09;Kultúra, szórakozás;48 872;80 072;73 623;52 965;42 516;62 102;109 739;91 078;79 017;58 252;85 538;109 739;128 614;97 529;128 530;90 812
10;Oktatás;23 257;19 950;18 888;11 503;14 193;17 195;4 571;3 473;888;6 113;3 807;4 571;5 627;3 888;8 278;838
11;Vendéglátás és szálláshely-szolgáltatás ;52 781;54 271;50 085;53 434;28 254;46 439;66 188;55 628;27 339;32 452;46 435;66 188;84 968;54 040;96 329;35 830
12;Egyéb termékek és szolgáltatások;54 046;83 904;76 212;54 391;59 831;68 686;139 232;101 017;101 087;92 134;109 348;139 232;124 958;148 465;142 735;135 703
;Mindösszesen;805 201;1 043 186;887 876;687 495;772 324;858 338;1 653 566;1 333 716;1 234 635;1 077 695;1 336 968;1 653 566;1 770 892;1 577 671;1 805 940;1 500 093
2018;;;;;;;;;;;;;;;;;
01;Élelmiszerek és alkoholmentes italok;228 843;265 874;218 703;182 730;209 646;222 801;451 283;353 206;363 435;317 077;373 817;451 283;446 370;454 869;437 575;465 488
02;Szeszes italok, dohányáru;21 996;34 189;24 794;18 120;32 628;27 755;68 227;55 068;42 490;52 829;55 119;68 227;104 590;41 689;92 338;43 241
03;Ruházat és lábbeli (szolgáltatással együtt);44 195;56 436;61 000;44 243;37 743;49 990;47 273;64 513;41 274;56 194;52 299;47 273;47 289;47 262;55 932;38 301
04;Lakásfenntartás, háztartási energia;222 991;195 103;168 672;126 041;148 310;167 703;407 763;293 395;253 800;227 678;299 545;407 763;413 094;403 872;420 493;394 572
05;Lakberendezés, háztartásvitel;37 195;48 661;41 637;28 733;34 385;39 080;75 680;65 018;57 501;48 487;62 216;75 680;71 038;79 068;76 065;75 282
06;Egészségügy;35 775;42 557;32 525;23 654;29 946;33 134;119 519;61 786;113 491;62 889;90 121;119 519;86 432;143 666;80 425;160 031
07;Közlekedés;98 894;155 039;142 057;93 684;113 781;126 835;143 306;208 993;140 331;160 677;163 272;143 306;208 431;95 777;218 968;64 900
08;Hírközlés;71 719;82 864;61 056;46 753;54 998;63 328;124 277;103 127;87 559;92 753;102 715;124 277;131 947;118 679;134 399;113 787
09;Kultúra, szórakozás;57 296;79 601;92 345;55 755;43 356;68 253;124 285;104 043;97 464;75 555;101 246;124 285;128 960;120 874;146 107;101 672
10;Oktatás;32 473;13 892;21 174;11 012;12 273;16 581;6 750;11 045;953;6 900;6 484;6 750;5 552;7 624;12 934;341
11;Vendéglátás és szálláshely-szolgáltatás ;49 650;67 028;66 826;49 226;33 142;54 097;78 596;69 802;34 361;38 018;56 214;78 596;112 055;54 177;104 791;51 450
12;Egyéb termékek és szolgáltatások;73 042;103 050;78 634;50 679;56 368;73 907;149 008;128 378;118 333;98 542;124 540;149 008;135 876;158 591;149 372;148 630
;Mindösszesen;974 068;1 144 292;1 009 424;730 629;806 576;943 464;1 795 966;1 518 373;1 350 991;1 237 599;1 487 589;1 795 966;1 891 632;1 726 150;1 929 400;1 657 695
2019;;;;;;;;;;;;;;;;;
01;Élelmiszerek és alkoholmentes italok;260 815;288 071;231 335;189 173;234 161;243 213;470 714;393 358;403 466;331 657;401 790;470 714;462 251;476 448;471 838;469 577
02;Szeszes italok, dohányáru;21 881;43 144;24 942;27 342;37 047;32 749;73 570;64 464;46 538;52 053;59 622;73 570;108 809;49 694;101 265;45 578
03;Ruházat és lábbeli (szolgáltatással együtt);49 961;67 741;63 504;54 090;47 379;58 243;53 410;67 612;38 703;53 798;53 629;53 410;51 300;54 840;69 968;36 675
04;Lakásfenntartás, háztartási energia;227 874;214 521;162 846;140 167;148 720;174 637;420 083;305 243;285 632;230 537;313 330;420 083;443 548;404 184;460 617;379 114
05;Lakberendezés, háztartásvitel;45 186;49 881;52 813;32 960;36 737;44 740;73 972;66 070;71 877;67 024;69 786;73 972;67 860;78 112;84 282;63 551
06;Egészségügy;29 902;44 577;45 367;19 989;36 383;38 244;118 280;71 916;117 889;70 402;94 936;118 280;90 024;137 425;78 082;158 909
07;Közlekedés;87 219;177 020;161 824;111 663;114 374;141 265;138 328;217 177;156 224;186 619;174 447;138 328;217 964;84 372;204 382;71 567
08;Hírközlés;85 099;90 833;68 967;47 525;62 870;71 416;132 022;115 090;103 734;102 659;113 901;132 022;132 845;131 464;148 920;114 943
09;Kultúra, szórakozás;70 382;97 604;101 788;64 523;59 231;82 566;131 450;137 643;94 455;78 261;111 652;131 450;142 024;124 285;153 110;109 557
10;Oktatás;30 791;15 070;22 563;16 239;11 640;17 682;8 288;7 020;1 828;10 795;6 980;8 288;11 738;5 950;15 340;1 160
11;Vendéglátás és szálláshely-szolgáltatás ;74 492;74 011;84 226;38 350;37 383;62 884;104 467;72 989;33 942;40 607;64 265;104 467;158 804;67 652;148 201;60 265
12;Egyéb termékek és szolgáltatások;87 261;108 823;103 305;48 520;58 571;84 841;165 436;130 812;117 220;96 525;128 637;165 436;170 842;161 773;180 200;150 514
;Mindösszesen;1 070 863;1 271 297;1 123 481;790 541;884 497;1 052 479;1 890 020;1 649 394;1 471 509;1 320 936;1 592 975;1 890 020;2 058 010;1 776 200;2 116 205;1 661 410
2020;;;;;;;;;;;;;;;;;
01;Élelmiszerek és alkoholmentes italok;297 779;300 820;259 734;223 845;230 098;261 274;528 261;446 789;432 756;393 345;453 207;528 261;507 578;542 869;521 509;535 561
02;Szeszes italok, dohányáru;29 409;41 273;29 740;33 632;34 121;34 189;77 330;75 821;54 890;64 310;68 514;77 330;103 205;59 056;97 811;55 192
03;Ruházat és lábbeli (szolgáltatással együtt);45 157;60 794;61 570;36 556;36 818;50 525;51 868;68 673;34 414;58 266;53 429;51 868;55 814;49 081;68 888;33 470
04;Lakásfenntartás, háztartási energia;285 370;217 278;178 699;131 529;144 141;182 834;458 003;305 356;285 250;230 125;324 552;458 003;460 086;456 531;493 778;419 332
05;Lakberendezés, háztartásvitel;51 103;56 591;62 941;33 943;33 206;49 185;93 458;78 153;75 991;62 137;78 114;93 458;91 450;94 876;96 786;89 861
06;Egészségügy;42 661;53 938;33 117;31 900;35 020;39 420;135 674;79 243;136 420;79 390;108 428;135 674;99 797;161 013;88 318;186 864
07;Közlekedés;110 007;157 504;134 325;80 365;103 616;122 570;158 873;221 058;137 726;168 000;171 917;158 873;250 090;94 449;227 917;84 240
08;Hírközlés;90 725;92 778;72 026;55 376;63 352;74 338;151 913;128 190;111 081;117 330;127 958;151 913;152 836;151 261;165 254;137 492
09;Kultúra, szórakozás;91 354;80 800;77 649;81 921;52 306;74 992;119 211;122 046;81 366;82 477;102 377;119 211;125 139;115 024;140 452;96 250
10;Oktatás;30 695;17 108;22 763;19 037;10 567;18 843;4 990;5 531;822;8 287;4 866;4 990;5 985;4 287;9 564;47
11;Vendéglátás és szálláshely-szolgáltatás ;63 271;57 356;66 706;39 896;28 505;51 508;68 610;69 492;33 488;35 906;52 849;68 610;107 174;41 374;101 684;32 860
12;Egyéb termékek és szolgáltatások;92 549;112 995;99 968;55 866;65 334;87 958;160 598;144 125;128 861;121 657;139 745;160 598;140 780;174 596;159 536;161 747
;Mindösszesen;1 230 082;1 249 234;1 099 237;823 866;837 083;1 047 636;2 008 789;1 744 475;1 513 064;1 421 231;1 685 956;2 008 789;2 099 933;1 944 418;2 171 497;1 832 915
