20.2.2.5. A foglalkoztatottak száma foglalkoztatásuk jellege szerint, régiónként, negyedévente [ezer fõ];;;;;;;;;;
Év;Negyedév;Budapest;Pest;Közép-Dunántúl;Nyugat-Dunántúl;Dél-Dunántúl;Észak-Magyarország;Észak-Alföld;Dél-Alföld;Összesen
Alkalmazott;;;;;;;;;;
;IV.;1,6;0,6;0,2;0,9;0,2;0,0;0,1;0,3;4,0
2020.;I.;1,2;0,8;0,4;1,2;0,3;0,0;0,3;0,2;4,4
;II.;1,7;0,6;0,1;1,3;0,5;0,0;0,6;0,2;5,0
;III.;1,3;0,0;0,1;0,9;0,1;0,0;0,6;0,3;3,3
;IV.;1,2;0,1;0,2;0,9;0,3;0,0;0,2;0,2;3,2
2021.;I.;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
;II.;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
;III.;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
;IV.;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2022.;I.;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
;II.;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
;III.;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
;IV.;;;;;;;;;
Foglalkoztatottak összesen;;;;;;;;;;
2009.;I.;768,2;505,6;452,0;422,4;337,4;408,3;498,6;484,4;3 877,0
;II.;767,3;508,8;454,4;420,2;343,5;413,3;513,9;489,0;3 910,4
;III.;763,6;501,6;445,1;420,6;348,5;408,7;514,7;496,6;3 899,4
;IV.;764,9;502,4;445,1;417,2;347,2;409,0;512,3;492,9;3 891,1
2010.;I.;749,9;501,2;438,4;412,9;338,2;399,5;497,1;484,6;3 821,8
;II.;747,8;500,1;441,3;413,3;350,8;404,5;517,0;496,0;3 870,9
;III.;742,6;501,8;452,8;414,6;353,4;406,4;529,6;506,6;3 907,8
;IV.;743,2;502,4;453,8;418,8;343,6;407,1;526,7;499,0;3 894,7
2011.;I.;745,8;504,0;454,4;416,9;332,8;392,4;498,8;486,7;3 831,9
;II.;751,0;508,6;458,4;421,5;343,1;401,5;524,4;492,4;3 900,8
;III.;756,9;508,6;463,6;426,9;339,1;408,1;538,1;501,0;3 942,2
;IV.;757,7;510,8;461,6;429,3;337,0;408,3;535,4;496,7;3 936,9
2012.;I.;761,0;515,0;448,9;420,6;323,6;398,6;517,2;485,3;3 870,3
;II.;765,4;508,8;457,3;432,1;337,1;406,2;541,8;501,6;3 950,3
;III.;789,4;512,9;459,8;437,6;346,2;407,5;553,6;512,6;4 019,6
;IV.;787,9;515,8;460,0;425,6;345,3;405,7;544,9;509,6;3 994,7
2013.;I.;789,7;510,4;450,0;421,7;331,7;399,6;514,7;488,9;3 906,6
;II.;790,6;523,3;460,0;431,1;352,5;413,8;550,1;506,9;4 028,3
;III.;783,9;529,5;469,3;438,3;358,2;423,2;568,3;511,0;4 081,7
;IV.;775,5;542,6;469,1;444,7;354,7;432,7;571,6;509,6;4 100,5
2014.;I.;797,3;544,8;471,1;459,8;360,8;442,3;582,9;506,1;4 165,1
;II.;806,9;547,4;484,2;458,6;363,8;435,7;577,2;522,5;4 196,3
;III.;816,6;552,3;491,4;460,2;373,0;445,1;595,0;536,6;4 270,1
;IV.;815,4;547,3;489,9;454,5;365,4;451,8;603,3;531,1;4 258,8
2015.;I.;819,9;545,0;492,6;451,5;363,5;448,6;585,9;528,8;4 235,8
;II.;821,1;564,0;497,9;464,0;373,6;466,7;602,6;534,1;4 324,0
;III.;841,1;565,9;508,3;466,5;372,6;470,7;615,0;550,3;4 390,4
;IV.;851,3;570,5;504,0;468,1;367,9;467,7;613,2;547,4;4 390,2
2016.;I.;854,1;575,7;498,2;466,4;371,1;469,1;604,9;551,0;4 390,5
;II.;866,9;581,4;503,4;469,9;381,4;480,8;624,8;567,7;4 476,4
;III.;881,9;587,8;506,7;480,0;382,5;479,5;635,0;567,8;4 521,1
;IV.;878,5;593,6;509,7;478,3;383,6;481,4;642,1;573,8;4 540,9
2017.;I.;867,4;591,2;512,7;477,5;376,7;475,3;630,2;567,1;4 498,0
;II.;870,4;590,2;519,5;483,5;377,1;485,8;643,1;571,3;4 541,0
;III.;880,8;599,3;519,9;487,2;379,7;488,0;649,1;571,2;4 575,2
;IV.;875,6;610,8;513,1;490,9;376,5;487,2;654,0;571,3;4 579,3
2018.;I.;858,5;619,5;513,5;500,3;370,1;485,9;651,7;571,0;4 570,6
;II.;867,7;611,8;517,8;499,5;382,0;496,4;659,2;572,5;4 606,9
;III.;865,0;616,2;522,5;493,2;391,3;501,4;657,9;579,9;4 627,4
;IV.;862,6;628,0;514,3;493,9;384,4;496,8;658,9;581,7;4 620,6
2019.;I.;869,5;629,5;519,9;494,4;385,2;494,2;657,6;580,6;4 631,0
;II.;868,8;631,8;520,7;505,0;382,9;494,9;662,7;576,2;4 643,1
;III.;875,0;640,6;522,5;506,1;382,8;494,9;654,5;577,8;4 654,2
;IV.;884,1;644,7;517,7;506,7;374,5;497,6;650,9;573,6;4 649,9
2020.;I.;879,0;642,1;516,9;505,0;363,8;486,9;640,4;572,8;4 606,8
;II.;877,2;641,5;511,8;487,5;372,9;483,9;633,5;548,1;4 556,4
;III.;881,9;642,1;522,1;500,7;379,6;481,0;646,9;572,9;4 627,2
;IV.;875,6;651,3;526,6;501,3;378,0;481,2;641,9;566,7;4 622,6
2021.;I.;855,1;646,0;525,4;490,8;371,9;471,6;634,1;572,8;4 567,6
;II.;871,3;655,7;522,0;498,2;377,5;478,4;644,5;571,6;4 619,2
;III.;875,0;661,8;526,9;508,2;380,1;484,0;655,1;572,4;4 663,4
;IV.;888,6;670,3;530,6;512,0;380,7;481,0;649,6;575,0;4 687,9
2022.;I.;894,1;663,3;532,5;504,5;380,9;480,5;647,4;571,0;4 674,3
;II.;886,8;672,7;534,3;500,3;383,2;486,4;653,9;575,7;4 693,2
;III.;887,7;674,0;536,5;504,5;386,2;495,3;658,7;569,4;4 712,2
;IV.;;;;;;;;;
