20.1.1.9. A foglalkoztatottak száma nemzetgazdasági ágak, ágazatok szerint, nemenként – TEÁOR'08 [ezer fõ];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Év;Mezõgazdaság, erdõ- gazdálkodás, halászat A;Bányászat, kõfejtés B;Feldolgozóipar C;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fém- alapanyag és fém- feldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármû- gyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Villamos- energia-, gáz-, gõzellátás, légkondicionálás D;"Vízellátás; szennyvíz gyûjtése, kezelése, hulladék-gazdálkodás, szennyezõdés-mentesítés E";Építõipar F;Kereskedelem, gépjármû-javítás G;Ebbõl: kiskeres- kedelem 471–479;Szállítás, raktározás H;Szálláshely-szolgáltatás, vendéglátás I;Információ, kommunikáció J;Pénzügyi, biztosítási tevékenység K;Ingatlanügyletek L;Szakmai, tudományos, mûszaki tevékenység M;Adminisztratív és szolgáltatást támogató tevékenység N;"Közigazgatás, védelem; kötelezõ társadalom- biztosítás O";Oktatás P;Humán-egészség- ügyi, szociális ellátás Q;Mûvészet, szórakoztatás, szabad idõ R;Egyéb tevékenység S–U;Ebbõl: ipari szektor (B+C+D+E+F);Ebbõl: szolgáltatások (G–U);Összesen A–U;Nem besorolt;Foglalkoztatottak összesen
2012;143,4;7,9;492,7;70,4;10,8;34,6;5,7;11,3;11,2;45,9;82,0;38,8;26,5;36,9;72,0;46,4;27,4;48,2;223,5;243,2;115,1;194,3;67,7;74,0;31,0;13,3;56,4;77,5;162,4;74,3;53,4;29,6;29,3;799,7;1 106,3;2 049,4;0,0;2 049,4
2013;137,7;6,4;516,8;74,3;11,8;38,0;4,3;12,7;10,4;47,0;87,0;41,5;27,8;40,9;74,4;46,7;23,4;48,7;227,0;239,3;112,6;194,8;66,0;75,9;37,4;11,5;67,4;86,5;184,4;72,4;51,6;25,7;31,7;822,3;1 144,5;2 104,6;0,0;2 104,6
2014;140,5;7,1;570,0;80,3;13,1;39,2;5,5;15,4;8,7;51,9;87,4;42,5;32,8;46,6;91,2;55,4;27,4;43,8;239,6;251,0;120,3;192,0;70,5;69,3;37,1;10,3;68,5;87,7;201,9;75,5;52,7;33,2;34,8;887,8;1 184,5;2 212,9;8,0;2 220,9
2015;153,8;7,8;575,3;81,7;13,4;39,8;4,3;15,8;8,2;48,9;84,8;42,7;30,7;49,7;101,1;54,3;26,7;43,3;254,5;241,7;117,1;199,6;81,7;72,2;29,3;9,7;69,2;96,3;217,0;74,3;54,5;39,7;34,0;907,5;1 219,1;2 280,5;3,6;2 284,1
2016;161,5;7,1;599,4;85,7;12,4;32,1;2,9;16,5;10,0;54,7;90,7;45,5;33,1;47,9;107,2;60,8;25,1;48,1;258,8;245,7;118,6;210,5;91,3;82,1;36,1;10,7;69,3;97,1;224,6;68,9;53,6;37,3;33,8;938,5;1 261,2;2 361,1;1,5;2 362,7
2017;164,5;8,3;635,3;86,3;9,9;35,5;3,7;17,5;13,1;63,2;100,1;41,2;34,2;53,4;116,3;61,2;25,3;44,9;276,9;256,0;123,5;224,0;83,3;80,3;41,5;12,0;65,0;90,4;219,6;75,4;50,2;34,3;30,2;990,7;1 262,3;2 417,4;0,0;2 417,4
2018;160,9;8,8;646,7;87,7;11,7;41,5;4,3;15,8;15,6;56,3;107,8;44,1;34,9;55,8;115,0;56,2;31,7;47,4;306,4;247,2;115,0;219,1;81,8;88,6;34,4;11,9;64,2;86,5;199,6;80,8;64,1;36,9;29,1;1 041,0;1 244,3;2 446,2;0,0;2 446,2
2019;154,1;9,2;641,1;81,9;11,0;41,0;4,4;15,6;12,7;60,7;106,6;51,9;32,5;48,4;120,7;53,6;25,5;46,8;317,6;267,6;116,1;233,6;82,0;98,5;31,6;13,0;72,5;74,5;185,2;84,2;65,7;43,3;33,8;1 040,1;1 285,8;2 480,1;0,0;2 480,1
2020;155,3;6,9;620,9;80,3;8,7;38,6;3,7;18,0;16,1;57,3;101,4;50,1;29,7;49,8;115,1;52,3;27,2;43,3;332,5;277,2;120,7;212,0;76,4;106,3;36,1;14,7;91,9;75,3;173,4;78,8;61,4;42,5;29,9;1 030,8;1 276,0;2 462,1;0,0;2 462,1
2021;145,4;4,6;605,3;78,1;8,1;42,2;4,5;16,7;18,2;61,3;97,9;43,7;30,9;47,7;100,5;55,5;29,1;40,3;344,0;266,4;111,2;214,4;75,3;120,1;38,9;17,4;102,9;77,5;178,5;84,5;62,1;38,2;27,0;1 023,3;1 303,1;2 471,8;0,0;2 471,8
