20.2.1.50. Fõbb kereseti adatok – vállalkozások, havonta valamint havi és negyedévente kumulált;;;;;;;;;;;;;;;;;
Év;Idõszak;Teljes munkaidõben alkalmazásban állók bruttó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók bruttó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók bruttó medián keresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók bruttó medián keresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók nettó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók nettó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók létszáma, ezer fõ;Teljes munkaidõben alkalmazásban állók létszáma, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó medián keresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó medián keresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül nettó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül nettó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül létszáma, ezer fõ;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül létszáma, elõzõ év azonos idõszaka = 100,0%
Havonta;;;;;;;;;;;;;;;;;
;október;412 999;109,4;325 000;109,2;274 644;109,4;1 903,2;95,8;413 539;109,4;325 038;109,1;275 004;109,4;1 900,0;95,8
;november;446 782;108,9;334 252;109,6;297 110;108,9;1 916,6;96,4;447 374;108,8;334 825;109,7;297 504;108,8;1 913,5;96,5
;december;472 286;111,9;350 000;113,4;314 070;111,9;1 907,1;96,2;472 898;111,9;350 000;113,2;314 477;111,9;1 904,1;96,3
2021.;január;423 803;108,5;329 118;109,3;281 829;108,5;1 907,4;97,5;424 345;108,5;329 545;109,5;282 190;108,5;1 904,4;97,5
;február;425 641;108,9;324 000;108,2;283 051;108,9;1 925,2;97,8;426 174;108,8;324 478;108,2;283 406;108,8;1 922,2;97,8
;március;452 559;108,0;340 000;111,0;300 951;108,0;1 932,7;100,1;453 030;108,0;340 000;110,9;301 265;108,0;1 930,2;100,1
;április;457 253;109,0;342 808;109,2;304 073;109,0;1 940,3;110,6;457 725;108,9;343 156;109,2;304 387;108,9;1 937,9;110,7
;május;444 219;106,7;343 636;110,6;295 406;106,7;1 952,3;117,1;444 676;106,6;344 000;110,5;295 709;106,6;1 949,8;117,1
;június;445 919;106,4;346 056;108,4;296 536;106,4;1 969,4;118,7;446 361;106,3;346 440;108,4;296 830;106,3;1 967,0;118,8
;július;444 137;106,2;347 310;108,2;295 351;106,2;1 984,4;115,1;444 572;106,2;347 670;108,1;295 640;106,2;1 982,0;115,1
;augusztus;436 348;107,2;346 210;109,5;290 172;107,2;1 984,1;109,9;436 772;107,2;346 552;109,4;290 453;107,2;1 981,7;110,0
;szeptember;438 171;108,0;347 976;109,0;291 383;108,0;1 990,3;106,1;438 585;108,0;348 300;109,0;291 659;108,0;1 987,9;106,1
;október;441 506;106,9;350 000;107,7;293 601;106,9;1 995,8;104,9;441 926;106,9;350 000;107,7;293 881;106,9;1 993,5;104,9
;november;485 960;108,8;365 200;109,3;323 163;108,8;2 002,6;104,5;486 426;108,7;365 640;109,2;323 473;108,7;2 000,3;104,5
;december;512 073;108,4;378 411;108,1;340 529;108,4;1 998,8;104,8;512 563;108,4;378 889;108,3;340 855;108,4;1 996,5;104,8
2022.;január;476 807;112,5;370 000;112,4;317 077;112,5;1 996,5;104,7;477 231;112,5;370 228;112,3;317 359;112,5;1 994,2;104,7
;február;477 543;112,2;368 747;113,8;317 566;112,2;2 012,1;104,5;477 961;112,2;369 075;113,7;317 844;112,2;2 009,9;104,6
;március;525 898;116,2;388 124;114,2;349 722;116,2;2 023,2;104,7;526 285;116,2;388 457;114,3;349 980;116,2;2 021,3;104,7
;április;523 748;114,5;390 763;114,0;348 293;114,5;2 032,1;104,7;524 154;114,5;390 978;113,9;348 562;114,5;2 030,2;104,8
;május;506 398;114,0;392 887;114,3;336 754;114,0;2 034,1;104,2;506 786;114,0;393 172;114,3;337 013;114,0;2 032,2;104,2
;június;512 063;114,8;400 000;115,6;340 522;114,8;2 036,9;103,4;512 453;114,8;400 000;115,5;340 781;114,8;2 035,0;103,5
;július;510 420;114,9;400 000;115,2;339 429;114,9;2 041,0;102,8;510 801;114,9;400 000;115,1;339 683;114,9;2 039,1;102,9
;augusztus;507 018;116,2;403 000;116,4;337 167;116,2;2 040,2;102,8;507 383;116,2;403 269;116,4;337 410;116,2;2 038,3;102,9
;szeptember;511 779;116,8;410 000;117,8;340 333;116,8;2 042,5;102,6;512 124;116,8;410 000;117,7;340 562;116,8;2 040,8;102,7
;október;;;;;;;;;;;;;;;;
;november;;;;;;;;;;;;;;;;
;december;;;;;;;;;;;;;;;;
Havi kumulált adatok;;;;;;;;;;;;;;;;;
2022.;január–január;476 807;112,5;370 000;112,4;317 077;112,5;1 996,5;104,7;477 231;112,5;370 228;112,3;317 359;112,5;1 994,2;104,7
;január–február;477 177;112,3;369 700;113,3;317 323;112,3;2 004,3;104,6;477 598;112,3;370 000;113,2;317 602;112,3;2 002,1;104,6
;január–március;493 519;113,7;375 940;113,8;328 190;113,7;2 010,6;104,6;493 931;113,7;375 940;113,6;328 464;113,7;2 008,5;104,7
;január–április;501 137;113,9;379 000;113,8;333 256;113,9;2 016,0;104,6;501 547;113,9;379 310;113,7;333 529;113,9;2 013,9;104,7
;január–május;502 196;113,9;380 856;113,6;333 961;113,9;2 019,6;104,6;502 603;113,9;381 150;113,6;334 231;113,9;2 017,6;104,6
;január–június;503 853;114,1;384 457;114,0;335 062;114,1;2 022,5;104,4;504 256;114,1;384 800;114,0;335 330;114,1;2 020,5;104,4
;január–július;504 798;114,2;386 881;114,2;335 691;114,2;2 025,1;104,1;505 199;114,2;387 168;114,1;335 957;114,2;2 023,1;104,2
;január–augusztus;505 077;114,5;389 634;114,6;335 876;114,5;2 027,0;104,0;505 474;114,4;389 998;114,7;336 140;114,4;2 025,0;104,0
;január–szeptember;505 827;114,7;391 316;115,0;336 375;114,7;2 028,7;103,8;506 218;114,7;391 656;115,0;336 635;114,7;2 026,8;103,9
;január–október;;;;;;;;;;;;;;;;
;január–november;;;;;;;;;;;;;;;;
;január–december;;;;;;;;;;;;;;;;
Negyedéves kumulált adatok;;;;;;;;;;;;;;;;;
2018.;I.;327 083;110,7;..;..;217 511;110,7;1 881,6;103,3;327 911;110,7;..;..;218 061;110,7;1 875,3;103,4
;I–II.;336 193;110,7;..;..;223 568;110,7;1 887,0;103,1;336 977;110,6;..;..;224 090;110,6;1 881,2;103,2
;I–III.;335 114;110,9;..;..;222 851;110,9;1 891,8;102,9;335 809;110,7;..;..;223 313;110,7;1 886,6;103,1
;I–IV.;341 540;110,9;..;..;227 124;110,9;1 895,4;102,9;342 200;110,8;..;..;227 563;110,8;1 890,6;103,1
2019.;I.;366 982;111,8;275 684;114,4;244 043;111,8;1 975,7;103,5;367 587;111,7;276 049;114,2;244 445;111,7;1 971,5;103,7
;I–II.;374 576;111,3;280 905;113,8;249 093;111,3;1 981,6;103,2;375 201;111,2;281 393;113,7;249 509;111,2;1 977,4;103,4
;I–III.;373 577;111,4;284 217;113,9;248 429;111,4;1 982,2;102,7;374 174;111,3;284 773;113,9;248 826;111,3;1 978,0;102,8
;I–IV.;380 996;111,6;289 250;115,1;253 363;111,6;1 983,0;102,2;381 603;111,5;289 800;115,0;253 766;111,5;1 978,8;102,3
2020.;I.;400 089;109,0;300 948;109,2;266 059;109,0;1 952,0;98,8;400 626;109,0;301 000;109,0;266 416;109,0;1 948,7;98,8
;I–II.;408 599;109,1;307 034;109,3;271 718;109,1;1 822,6;92,0;409 159;109,1;307 500;109,3;272 091;109,1;1 819,5;92,0
;I–III.;409 074;109,5;310 681;109,3;272 035;109,5;1 815,8;91,6;409 634;109,5;311 068;109,2;272 407;109,5;1 812,6;91,6
;I–IV.;418 150;109,8;316 623;109,5;278 070;109,8;1 839,1;92,7;418 716;109,7;317 004;109,4;278 446;109,7;1 836,0;92,8
2021.;I.;434 057;108,5;330 392;109,8;288 648;108,5;1 921,8;98,5;434 574;108,5;330 800;109,9;288 992;108,5;1 918,9;98,5
;I–II.;441 643;108,1;337 174;109,8;293 693;108,1;1 937,9;106,3;442 131;108,1;337 590;109,8;294 017;108,1;1 935,2;106,4
;I–III.;440 934;107,8;340 230;109,5;293 221;107,8;1 954,0;107,6;441 400;107,8;340 634;109,5;293 531;107,8;1 951,4;107,7
;I–IV.;450 835;107,8;346 000;109,3;299 805;107,8;1 965,3;106,9;451 301;107,8;346 358;109,3;300 115;107,8;1 962,8;106,9
2022.;I.;493 519;113,7;375 940;113,8;328 190;113,7;2 010,6;104,6;493 931;113,7;375 940;113,6;328 464;113,7;2 008,5;104,7
;I–II.;503 853;114,1;384 457;114,0;335 062;114,1;2 022,5;104,4;504 256;114,1;384 800;114,0;335 330;114,1;2 020,5;104,4
;I–III.;505 827;114,7;391 316;115,0;336 375;114,7;2 028,7;103,8;506 218;114,7;391 656;115,0;336 635;114,7;2 026,8;103,9
;I–IV.;;;;;;;;;;;;;;;;
