20.2.1.28. A munkanélküliek száma az elõzõ foglalkozásuk fõcsoportja szerint, nemenként, negyedévente – FEOR'08 [ezer fõ];;;;;;;;;;;;;;;;;
Év;Negyedév;8 éven belüli munkatapasztalattal rendelkezõk, gazdasági, igazgatási, érdek-képviseleti vezetõk, törvényhozók 1.;8 éven belüli munkatapasztalattal rendelkezõk, felsõfokú képzettség önálló alkalmazását igénylõ foglalkozások 2.;8 éven belüli munkatapasztalattal rendelkezõk, egyéb felsõfokú vagy középfokú képzettséget igénylõ foglalkozások 3.;8 éven belüli munkatapasztalattal rendelkezõk, irodai és ügyviteli (ügyfélkapcsolati) foglalkozások 4.;8 éven belüli munkatapasztalattal rendelkezõk, szellemi foglalkozások összesen 1–4.;8 éven belüli munkatapasztalattal rendelkezõk, kereskedelmi és szolgáltatási foglalkozások 5.;8 éven belüli munkatapasztalattal rendelkezõk, mezõgazdasági és erdõgazdálkodási foglalkozások 6.;8 éven belüli munkatapasztalattal rendelkezõk, ipari és építõipari foglalkozások 7.;8 éven belüli munkatapasztalattal rendelkezõk, gépkezelõk, összeszerelõk, jármûvezetõk 8.;8 éven belüli munkatapasztalattal rendelkezõk, szakképzettséget nem igénylõ (egyszerû) foglalkozások 9.;8 éven belüli munkatapasztalattal rendelkezõk, fizikai foglalkozások összesen 5–9.;8 éven belüli munkatapasztalattal rendelkezõk, fegyveres szervek foglalkozásai 0.;8 éven belüli munkatapasztalattal rendelkezõk, összesen 0–9.;8 éve vagy régebben dolgozott vagy ismeretlen;Soha nem dolgozott;Munkanélküliek összesen
2012.;I.;1,8;7,6;17,8;14,7;42,0;43,1;4,6;4,8;21,4;56,8;130,5;0,2;172,7;24,3;28,5;225,5
;II.;2,1;8,5;16,7;13,4;40,6;38,2;4,9;5,2;21,8;45,6;115,7;0,0;156,3;21,3;28,0;205,7
;III.;2,4;6,9;17,3;15,1;41,8;35,6;3,2;3,1;23,0;45,0;109,9;0,0;151,7;16,1;35,4;203,2
;IV.;2,4;7,5;16,7;17,8;44,5;37,4;4,7;3,5;20,8;47,5;113,8;0,0;158,3;15,4;34,7;208,4
2013.;I.;1,9;6,8;14,0;18,8;41,7;39,4;4,9;4,8;18,0;52,9;119,9;0,0;161,6;18,5;32,2;212,3
;II.;2,3;6,9;15,3;19,0;43,5;37,0;2,6;5,0;17,9;43,3;105,8;0,0;149,3;20,9;33,9;204,1
;III.;2,3;7,6;15,0;15,1;40,0;35,5;1,8;6,2;16,6;39,6;99,6;0,0;139,6;21,3;39,4;200,3
;IV.;3,5;6,8;17,0;12,4;39,6;35,9;2,2;6,7;15,2;35,8;95,8;0,0;135,4;18,7;33,1;187,2
2014.;I.;3,1;5,7;17,5;10,7;37,0;35,8;1,9;4,6;13,9;31,5;87,8;0,0;124,8;16,0;30,2;171,1
;II.;2,0;4,3;14,8;9,8;30,9;31,7;2,2;5,7;13,5;35,7;88,8;0,0;119,8;17,5;30,0;167,3
;III.;2,3;5,1;15,7;8,0;31,1;29,3;2,2;3,6;12,7;29,6;77,5;0,0;108,6;17,3;33,0;158,9
;IV.;1,5;4,8;17,2;7,4;30,9;25,0;2,0;3,3;14,1;31,9;76,3;0,0;107,1;16,1;24,1;147,3
2015.;I.;0,9;3,5;15,1;9,6;29,0;28,1;2,7;4,5;14,4;42,0;91,7;0,0;120,8;17,7;22,5;161,0
;II.;2,7;2,8;13,9;10,4;29,8;22,8;1,6;5,1;12,0;36,5;77,9;0,0;107,7;16,8;22,3;146,8
;III.;2,3;3,6;10,5;10,5;26,9;20,5;0,7;4,0;12,2;32,1;69,4;0,0;96,3;17,3;27,0;140,7
;IV.;1,5;3,9;10,6;9,2;25,1;22,5;2,0;3,6;10,8;34,2;73,1;0,0;98,2;13,0;23,2;134,4
2016.;I.;1,3;4,6;7,9;11,2;25,0;18,0;1,3;3,0;8,6;36,4;67,3;0,0;92,3;13,5;19,7;125,6
;II.;0,8;3,4;5,0;8,8;18,0;14,0;0,3;1,4;6,8;30,1;52,5;0,0;70,6;11,5;20,6;102,6
;III.;0,9;6,5;6,1;4,8;18,3;17,8;0,3;0,6;7,6;30,4;56,7;0,0;75,0;10,6;19,0;104,6
;IV.;0,5;4,2;4,4;5,1;14,3;16,1;0,8;1,5;5,2;28,6;52,2;0,0;66,5;11,0;17,6;95,0
2017.;I.;2,1;4,5;7,2;4,5;18,3;17,0;0,6;2,3;7,4;27,6;54,9;0,0;73,2;10,3;14,2;97,8
;II.;2,8;2,2;5,7;4,1;14,9;19,4;0,7;3,6;6,2;26,6;56,6;0,0;71,5;9,7;15,0;96,2
;III.;2,9;3,5;5,2;4,8;16,4;16,0;1,5;2,5;6,3;22,0;48,3;0,0;64,8;9,2;23,3;97,3
;IV.;2,1;3,0;6,6;7,5;19,3;14,8;1,2;3,1;7,9;19,5;46,4;0,0;65,7;8,9;17,5;92,2
2018.;I.;1,4;5,4;5,0;7,1;18,9;14,1;1,8;3,0;5,7;25,5;50,1;0,0;69,0;9,0;11,5;89,4
;II.;1,2;6,1;3,4;5,2;15,9;14,0;1,4;3,2;5,9;18,6;43,2;0,0;59,1;5,6;12,1;76,9
;III.;0,2;5,2;5,9;11,3;22,6;14,5;1,6;2,9;7,3;19,4;45,5;0,0;68,1;7,3;17,1;92,4
;IV.;0,1;2,7;5,1;7,5;15,4;13,4;1,5;1,4;8,2;17,3;41,8;0,0;57,2;7,3;11,6;76,1
2019.;I.;0,5;4,0;4,8;7,1;16,5;14,2;0,8;1,3;7,9;18,9;43,1;0,0;59,5;4,4;11,2;75,1
;II.;0,4;4,0;4,6;4,8;13,8;10,0;1,1;1,6;6,6;18,7;38,0;0,0;51,8;4,5;10,9;67,3
;III.;0,1;3,9;5,8;7,4;17,2;11,7;0,9;2,2;6,9;18,3;40,0;0,0;57,2;4,1;16,0;77,3
;IV.;1,8;5,0;3,7;3,5;13,9;13,0;1,9;2,4;7,3;15,2;39,8;0,0;53,7;5,6;12,3;71,6
2020.;I.;0,9;4,7;6,7;4,8;17,1;16,9;1,0;2,7;8,5;16,0;45,0;0,0;62,1;6,8;12,0;81,0
;II.;0,0;5,2;9,4;7,3;21,9;24,5;0,8;2,8;9,6;20,8;58,6;0,0;80,5;2,2;19,6;102,2
;III.;0,5;6,4;6,0;5,3;18,2;20,3;0,6;2,9;11,4;20,3;55,5;0,0;73,8;6,5;17,4;97,6
;IV.;1,6;7,4;5,8;6,5;21,4;20,9;0,5;3,2;10,1;18,0;52,8;0,0;74,2;4,0;14,5;92,7
2021.;I.;1,2;6,7;7,2;7,5;22,6;23,9;1,1;3,4;11,7;23,8;63,8;0,0;86,4;5,4;16,7;108,5
;II.;1,3;4,7;7,7;5,7;19,4;20,2;1,5;2,5;9,0;19,8;53,1;0,1;72,6;5,1;15,8;93,6
;III.;0,5;4,2;7,3;5,7;17,6;19,8;0,8;2,4;11,4;17,1;51,5;0,2;69,3;3,8;18,1;91,2
;IV.;1,3;5,0;6,4;5,4;18,2;17,7;0,2;2,0;10,5;23,0;53,4;0,2;71,8;4,0;14,1;89,9
2022.;I.;0,1;6,0;6,1;6,9;19,0;15,7;0,8;1,9;10,1;18,9;47,3;0,0;66,3;4,7;10,9;81,9
;II.;0,2;2,1;4,4;6,2;13,0;12,9;0,6;1,4;8,1;18,4;41,4;0,0;54,3;5,7;9,5;69,6
;III.;0,9;4,4;6,9;5,3;17,5;12,4;0,9;1,5;10,6;17,9;43,4;0,0;60,9;6,2;13,9;81,0
;IV.;;;;;;;;;;;;;;;;
