"13.2.1.7. Az ipari termelés volumenindexei alágak szerint, a 2015. év havi átlaga = 100,0%; eredeti, havonta";;;;;;;;;;;;;;;;;;
Év;Idõszak Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
Havonta;;;;;;;;;;;;;;;;;;
2018.;január;101,7;98,7;106,4;112,0;106,0;109,1;107,8;120,3;116,1;119,2;111,6;94,7;100,7;82,6;105,9;120,0;106,6
;február;99,9;92,3;107,7;108,8;97,2;103,8;108,9;119,0;122,5;111,4;111,5;91,3;106,6;87,1;105,7;115,2;106,2
;március;123,6;102,3;109,9;119,1;113,5;111,5;104,3;126,2;126,6;129,7;114,3;100,7;108,9;96,4;113,1;112,5;113,1
;április;143,2;96,7;110,4;114,4;107,2;108,8;107,1;128,4;124,4;121,5;118,4;89,9;106,7;96,0;109,5;83,1;108,4
;május;164,8;106,4;104,7;123,3;102,2;114,0;115,4;136,5;135,3;125,9;130,6;89,7;107,9;106,6;114,1;80,6;112,7
;június;165,3;108,2;112,5;124,7;107,8;110,2;114,5;135,5;132,8;134,3;130,8;94,9;111,0;107,4;116,5;74,4;114,7
;július;179,6;109,1;99,1;118,1;121,9;90,9;92,0;128,6;128,6;116,0;124,4;82,6;85,3;97,3;103,1;80,6;102,3
;augusztus;193,4;117,0;87,3;115,8;113,6;84,6;85,4;125,9;116,6;127,4;117,7;79,0;84,7;99,0;102,4;83,1;101,9
;szeptember;189,6;113,6;105,7;119,0;109,7;93,8;100,9;136,0;127,2;133,5;128,2;91,0;100,2;113,9;112,1;90,2;111,3
;október;192,2;118,6;105,6;125,2;106,8;102,2;106,4;144,4;134,4;147,1;129,8;92,2;113,9;117,3;120,1;97,5;119,3
;november;175,3;114,2;105,9;125,3;103,1;99,7;112,3;136,5;128,8;149,8;131,0;89,5;109,5;123,6;117,5;102,6;117,0
;december;147,8;101,7;80,5;101,6;90,7;90,3;83,0;99,6;105,7;118,9;97,7;83,4;90,8;131,9;97,6;132,4;99,5
2019.;január;119,7;102,8;98,6;119,6;100,7;105,4;102,5;120,7;122,0;124,2;137,5;92,0;106,7;103,0;110,2;135,3;111,5
;február;163,9;97,5;96,8;118,7;90,8;96,8;104,9;127,0;125,0;123,7;135,1;94,1;118,1;110,1;113,1;109,4;113,1
;március;208,3;107,7;100,1;127,0;106,9;107,3;124,6;134,9;129,5;143,5;141,2;103,0;123,6;109,6;122,2;105,8;121,8
;április;235,8;108,3;92,5;125,3;114,6;105,3;95,7;138,8;128,3;119,2;136,4;97,2;117,6;109,2;116,5;86,4;115,5
;május;190,9;113,5;100,4;134,6;112,5;105,0;121,3;145,2;137,8;133,9;151,8;100,5;126,9;124,7;124,9;89,2;123,5
;június;204,5;108,8;94,4;117,4;104,9;99,5;113,4;133,0;119,9;130,5;138,6;91,8;112,6;111,3;114,4;78,9;113,0
;július;202,2;117,0;93,4;124,0;106,4;87,5;97,0;136,9;131,8;121,3;148,9;92,9;114,9;114,4;115,8;84,7;114,6
;augusztus;190,6;113,2;77,7;114,3;95,5;84,5;93,7;125,7;110,1;135,1;135,3;79,5;86,6;107,5;103,0;82,1;102,3
;szeptember;202,6;125,0;99,7;129,9;92,9;92,1;108,1;141,0;125,8;167,7;157,7;97,6;123,1;124,7;125,5;87,3;123,9
;október;205,3;128,4;96,4;138,5;105,1;93,4;113,2;149,6;130,0;157,5;164,5;94,4;125,0;130,6;127,5;101,0;126,6
;november;164,3;116,4;89,5;131,7;103,1;96,5;121,1;137,3;127,4;162,9;166,2;90,5;114,3;135,0;122,4;102,6;121,5
;december;144,9;104,5;74,2;110,8;96,6;88,9;84,8;97,9;97,5;119,5;129,7;76,9;83,1;140,5;96,6;132,3;98,4
2020.;január;103,9;109,6;90,8;113,1;93,7;101,8;104,8;118,6;106,3;132,8;162,1;93,5;118,1;106,4;114,2;132,6;115,2
;február;112,2;108,0;94,3;116,1;85,5;95,5;114,7;126,7;116,7;139,0;167,8;90,3;125,0;109,5;118,2;113,6;118,0
;március;135,8;120,9;94,4;128,7;69,2;102,5;122,8;134,7;121,8;147,0;176,4;96,1;99,2;115,0;115,3;110,5;115,2
;április;138,8;99,1;51,3;114,7;67,7;78,6;114,9;104,1;92,6;93,2;124,9;69,8;24,1;90,8;71,7;83,4;72,4
;május;154,3;100,3;61,2;112,4;67,8;79,2;116,7;107,4;92,0;105,4;132,6;78,8;59,6;95,5;85,4;83,4;85,5
;június;129,3;109,9;77,2;118,7;91,2;87,8;114,4;118,9;99,4;135,6;144,7;92,2;98,3;102,6;106,6;74,9;105,1
;július;136,1;117,6;74,1;119,2;98,2;93,3;91,9;122,8;102,7;124,6;152,7;85,3;100,2;103,8;107,0;81,7;105,9
;augusztus;122,7;113,6;67,3;113,1;85,8;80,2;92,3;115,0;93,5;137,3;147,9;70,1;92,3;103,1;101,7;81,1;100,8
;szeptember;140,7;127,4;85,4;129,1;86,3;90,5;113,9;136,2;121,0;177,8;196,2;91,6;133,1;123,4;129,7;87,1;127,8
;október;132,8;122,3;78,1;134,0;81,0;108,2;111,1;133,5;117,2;173,6;186,7;90,0;130,9;126,6;127,9;106,9;126,9
;november;130,8;114,6;81,6;131,4;94,6;102,1;125,4;134,0;119,0;171,4;212,6;96,4;123,2;125,6;127,0;116,2;126,4
;december;131,1;108,6;66,4;116,0;92,7;101,8;85,6;105,6;97,3;119,8;172,3;89,9;97,3;132,2;105,1;138,9;106,8
2021.;január;85,5;104,3;74,3;109,1;77,8;109,1;114,1;121,7;103,9;144,3;223,6;85,3;86,0;88,8;106,1;137,9;107,5
;február;96,9;105,7;80,2;124,1;92,2;103,1;112,0;128,6;118,2;152,6;223,5;92,0;116,2;107,3;120,0;122,1;120,1
;március;143,0;122,3;93,3;146,7;102,6;115,9;126,5;154,4;131,9;160,8;244,9;103,2;126,2;125,6;134,2;122,0;133,7
;április;141,6;112,3;82,1;132,8;80,6;109,9;115,2;145,1;121,5;137,6;221,8;95,8;105,0;113,9;117,0;92,4;116,0
;május;148,6;114,1;84,2;142,5;105,6;106,0;113,9;145,4;123,9;131,7;230,5;96,3;107,4;115,1;119,9;92,9;118,8
;június;162,5;123,8;90,6;141,5;122,6;108,5;127,4;148,7;134,6;156,9;245,8;110,4;111,4;121,1;129,8;85,0;127,8
;július;167,0;121,8;84,9;128,4;109,2;107,2;85,4;142,5;122,3;118,6;242,4;99,3;93,3;118,0;115,1;85,1;113,8
;augusztus;160,2;124,9;69,4;126,4;97,8;106,0;82,2;133,3;115,2;130,7;208,8;82,6;60,9;113,1;103,0;89,5;102,6
;szeptember;164,8;141,4;83,6;134,5;92,6;86,4;112,9;145,5;136,2;155,8;252,0;103,6;98,1;130,6;124,8;100,4;123,7
;október;155,4;135,5;74,7;133,9;103,8;106,4;99,7;145,8;139,3;153,7;224,0;90,4;91,8;128,9;121,8;121,8;121,8
;november;177,7;135,3;81,3;136,2;102,7;109,5;115,3;148,9;137,5;166,2;247,5;93,1;104,3;138,7;128,7;131,3;128,9
;december;150,9;123,1;78,8;126,3;96,0;112,7;82,9;116,4;113,9;141,9;213,1;99,0;78,4;146,9;109,7;185,3;113,2
2022.;január;101,6;120,6;76,6;121,4;94,8;115,8;101,7;125,1;112,9;141,1;240,2;91,8;93,3;105,3;114,1;147,3;115,7
;február;123,7;116,3;87,7;125,7;107,7;104,8;109,9;131,0;123,3;156,1;255,2;99,1;116,0;114,3;125,4;132,4;125,6
;március;160,9;135,7;100,4;146,5;128,5;119,6;130,2;150,4;139,8;171,3;297,3;116,4;109,9;137,9;138,5;142,0;138,5
;április;140,0;125,2;83,7;133,5;97,9;101,7;107,3;141,2;125,1;144,3;274,1;103,5;98,2;117,4;120,5;96,5;119,5
;május;166,6;134,7;93,5;147,1;85,9;101,5;114,2;154,7;132,0;158,2;314,7;119,6;117,4;134,1;131,7;89,4;129,8
;június;175,1;135,4;99,4;137,9;107,1;100,8;117,2;143,3;124,7;164,6;287,9;109,7;115,1;129,5;130,9;87,0;129,0
;július;176,1;131,3;80,6;126,7;97,8;90,6;88,7;130,0;113,8;133,4;306,3;95,8;108,8;110,2;119,2;94,4;118,2
;augusztus;193,9;142,1;79,5;133,4;83,6;74,4;90,7;129,6;108,7;164,0;317,4;102,2;96,1;121,8;118,4;88,8;116,6
;szeptember;166,4;143,4;92,0;138,0;73,3;86,8;125,7;145,7;122,0;189,3;371,3;117,1;129,1;140,9;139,1;107,8;137,6
;október;160,6;134,1;83,0;134,4;75,1;73,5;112,2;136,2;116,6;184,6;351,7;103,6;121,3;127,6;129,6;117,2;128,9
;november;;;;;;;;;;;;;;;;;
;december;;;;;;;;;;;;;;;;;
