22.1.2.7. A népmozgalmi események megye és régió szerint;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Pest ;megye, régió;12 303;12 953;13 301;13 085;13 686;13 488;13 653;13 486;13 581;13 646;13 648;14 078;13 812;13 568;14 645;14 036;14 883;14 824;14 698;16 011;17 725
Közép-Magyarország;nagyrégió;36 979;36 775;37 158;36 206;37 128;36 311;36 448;35 370;35 576;35 607;35 582;35 819;35 116;34 335;36 473;35 178;36 472;36 370;35 756;38 755;42 082
Fejér;megye;4 894;4 909;5 127;5 031;5 126;5 315;5 229;5 222;5 342;5 348;5 262;5 249;5 236;5 049;5 400;5 211;5 594;5 748;5 618;5 946;6 773
Komárom-Esztergom;megye;3 867;4 149;4 125;4 164;4 112;4 144;4 016;4 137;4 180;3 959;3 903;3 992;4 022;4 006;4 364;3 974;4 085;4 072;4 093;4 523;4 976
Veszprém;megye;4 516;4 558;4 649;4 571;4 598;4 546;4 599;4 363;4 557;4 469;4 559;4 418;4 305;4 399;4 685;4 647;4 802;4 580;4 564;5 155;5 526
Közép-Dunántúl;régió;13 277;13 616;13 901;13 766;13 836;14 005;13 844;13 722;14 079;13 776;13 724;13 659;13 563;13 454;14 449;13 832;14 481;14 400;14 275;15 624;17 275
Gyõr-Moson-Sopron;megye;4 984;5 199;5 432;5 316;5 443;5 265;5 421;5 419;5 411;5 440;5 340;5 447;5 440;5 317;5 307;5 190;5 481;5 518;5 290;6 089;6 602
Vas;megye;3 514;3 562;3 570;3 499;3 645;3 403;3 579;3 432;3 444;3 588;3 503;3 601;3 480;3 470;3 421;3 422;3 539;3 364;3 387;3 766;4 079
Zala;megye;3 924;3 944;4 024;3 987;3 991;3 772;3 851;3 792;3 979;3 969;3 982;3 921;3 775;3 834;3 922;3 836;3 902;3 952;3 848;4 323;4 453
Nyugat-Dunántúl;régió;12 422;12 705;13 026;12 802;13 079;12 440;12 851;12 643;12 834;12 997;12 825;12 969;12 695;12 621;12 650;12 448;12 922;12 834;12 525;14 178;15 134
Baranya;megye;5 209;5 219;5 594;5 083;5 332;5 220;5 327;5 163;5 152;5 291;5 093;5 235;5 113;4 957;5 214;5 006;5 210;5 039;5 071;5 401;6 154
Somogy;megye;4 600;4 619;4 710;4 778;4 805;4 573;4 659;4 513;4 741;4 665;4 455;4 531;4 509;4 394;4 675;4 408;4 573;4 598;4 507;4 718;5 511
Tolna ;megye;3 306;3 282;3 396;3 377;3 269;3 256;3 248;3 145;3 127;3 232;3 119;3 056;3 025;3 104;3 191;3 052;3 226;3 203;3 209;3 458;3 904
Dél-Dunántúl;régió;13 115;13 120;13 700;13 238;13 406;13 049;13 234;12 821;13 020;13 188;12 667;12 822;12 647;12 455;13 080;12 466;13 009;12 840;12 787;13 577;15 569
Dunántúl;nagyrégió;38 814;39 441;40 627;39 806;40 321;39 494;39 929;39 186;39 933;39 961;39 216;39 450;38 905;38 530;40 179;38 746;40 412;40 074;39 587;43 379;47 978
