22.1.2.7. A népmozgalmi események megye és régió szerint;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Hajdú-Bihar;megye;2 428;2 550;2 608;2 449;2 449;2 447;2 232;2 145;1 961;1 797;1 734;1 826;1 906;2 085;2 494;2 883;2 754;2 857;3 604;3 930;4 002
Jász-Nagykun-Szolnok;megye;1 668;1 748;1 610;1 604;1 531;1 546;1 452;1 353;1 198;1 158;1 155;1 128;1 211;1 312;1 764;1 878;1 850;1 982;2 520;2 638;2 765
Szabolcs-Szatmár-Bereg;megye;2 659;2 691;2 614;2 401;2 466;2 476;2 153;2 143;1 932;1 813;1 766;1 814;1 871;1 976;2 473;3 002;3 004;2 913;3 965;4 067;4 189
Észak-Alföld;régió;6 755;6 989;6 832;6 454;6 446;6 469;5 837;5 641;5 091;4 768;4 655;4 768;4 988;5 373;6 731;7 763;7 608;7 752;10 089;10 635;10 956
Bács-Kiskun ;megye;2 139;2 255;2 284;2 213;2 138;2 098;1 957;1 829;1 715;1 668;1 600;1 698;1 867;1 973;2 337;2 672;2 607;2 511;3 303;3 648;3 760
Békés;megye;1 445;1 601;1 500;1 329;1 428;1 310;1 214;1 153;1 063;1 022;1 079;1 153;1 131;1 230;1 552;1 790;1 786;1 729;2 241;2 436;2 347
Csongrád-Csanád;megye;1 685;1 885;1 927;1 719;1 751;1 725;1 658;1 518;1 426;1 396;1 431;1 479;1 466;1 555;1 861;1 973;2 058;2 018;2 606;2 852;2 912
Dél-Alföld;régió;5 269;5 741;5 711;5 261;5 317;5 133;4 829;4 500;4 204;4 086;4 110;4 330;4 464;4 758;5 750;6 435;6 451;6 258;8 150;8 936;9 019
Alföld és Észak;nagyrégió;17 306;18 163;17 701;16 734;16 772;16 506;14 994;14 422;13 188;12 686;12 466;12 815;13 211;14 261;17 735;20 463;20 191;20 133;25 781;27 070;28 041
Ország összesen;ország;43 583;46 008;45 398;43 791;44 234;44 528;40 842;40 105;36 730;35 520;35 812;36 161;36 986;38 780;46 137;51 805;50 572;50 828;65 268;67 095;72 030
Válás;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;4 495;4 672;4 489;4 391;4 213;4 085;4 326;4 287;4 269;4 234;3 994;3 947;3 605;3 618;3 477;3 593;3 179;2 800;2 964;2 545;3 192
Pest ;megye, régió;2 562;2 738;2 822;2 718;2 778;2 795;2 977;3 064;2 963;2 913;2 956;2 837;2 470;2 503;2 781;2 818;2 551;2 297;1 827;1 694;2 705
Közép-Magyarország;nagyrégió;7 057;7 410;7 311;7 109;6 991;6 880;7 303;7 351;7 232;7 147;6 950;6 784;6 075;6 121;6 258;6 411;5 730;5 097;4 791;4 239;5 897
Fejér;megye;1 140;1 200;1 235;1 111;1 041;1 094;1 010;1 080;1 094;969;980;936;854;857;954;852;821;706;831;686;806
Komárom-Esztergom;megye;925;789;830;905;871;848;899;820;798;790;811;668;623;552;648;635;559;586;594;498;656
Veszprém;megye;895;853;867;860;872;823;811;864;767;743;856;709;692;678;665;686;631;602;716;511;581
Közép-Dunántúl;régió;2 960;2 842;2 932;2 876;2 784;2 765;2 720;2 764;2 659;2 502;2 647;2 313;2 169;2 087;2 267;2 173;2 011;1 894;2 141;1 695;2 043
Gyõr-Moson-Sopron;megye;1 024;920;973;1 035;987;1 036;1 067;1 071;1 022;1 110;972;1 018;1 053;1 016;959;968;833;863;927;829;867
Vas;megye;554;553;573;563;563;608;572;533;570;577;607;536;517;484;521;497;461;394;496;418;440
Zala;megye;577;698;583;674;615;647;633;663;591;623;597;515;499;539;464;452;496;429;460;401;490
Nyugat-Dunántúl;régió;2 155;2 171;2 129;2 272;2 165;2 291;2 272;2 267;2 183;2 310;2 176;2 069;2 069;2 039;1 944;1 917;1 790;1 686;1 883;1 648;1 797
Baranya;megye;1 050;1 144;1 074;1 065;1 052;1 078;1 097;1 039;970;910;968;878;824;654;780;828;770;670;767;661;704
Somogy;megye;805;801;703;777;761;780;731;833;760;735;695;724;627;636;571;535;549;493;564;513;508
Tolna ;megye;618;638;587;582;648;662;573;612;527;566;541;441;523;386;453;408;413;380;378;308;389
Dél-Dunántúl;régió;2 473;2 583;2 364;2 424;2 461;2 520;2 401;2 484;2 257;2 211;2 204;2 043;1 974;1 676;1 804;1 771;1 732;1 543;1 709;1 482;1 601
Dunántúl;nagyrégió;7 588;7 596;7 425;7 572;7 410;7 576;7 393;7 515;7 099;7 023;7 027;6 425;6 212;5 802;6 015;5 861;5 533;5 123;5 733;4 825;5 441
Borsod-Abaúj-Zemplén;megye;1 667;1 677;1 744;1 588;1 882;1 888;1 933;1 818;1 721;1 762;1 687;1 512;1 275;1 209;1 292;1 061;1 196;1 023;1 018;855;1 025
Heves;megye;778;828;796;787;737;760;828;834;749;675;760;717;646;617;618;545;531;449;566;442;468
Nógrád ;megye;499;546;528;497;541;510;553;510;499;511;461;406;390;338;332;365;322;260;333;251;306
Észak-Magyarország;régió;2 944;3 051;3 068;2 872;3 160;3 158;3 314;3 162;2 969;2 948;2 908;2 635;2 311;2 164;2 242;1 971;2 049;1 732;1 917;1 548;1 799
Hajdú-Bihar;megye;1 327;1 565;1 468;1 358;1 466;1 384;1 359;1 425;1 214;1 298;1 273;1 187;1 070;1 150;1 141;1 017;988;912;922;851;936
Jász-Nagykun-Szolnok;megye;1 035;1 021;1 104;1 011;983;1 098;1 005;934;938;952;828;751;704;812;776;682;682;670;692;598;714
Szabolcs-Szatmár-Bereg;megye;1 034;1 137;1 118;1 069;1 163;1 237;1 343;1 252;1 224;1 248;1 239;1 091;1 018;964;990;981;953;939;884;728;811
Észak-Alföld;régió;3 396;3 723;3 690;3 438;3 612;3 719;3 707;3 611;3 376;3 498;3 340;3 029;2 792;2 926;2 907;2 680;2 623;2 521;2 498;2 177;2 461
Bács-Kiskun ;megye;1 232;1 399;1 384;1 380;1 368;1 317;1 346;1 402;1 181;1 272;1 136;1 171;1 004;978;1 046;928;943;900;966;770;780
Békés;megye;950;988;951;946;972;948;863;890;803;788;799;701;702;673;700;689;585;544;614;523;691
Csongrád-Csanád;megye;1 048;1 171;1 082;1 105;1 044;1 043;1 111;1 052;997;1 010;970;876;876;673;893;741;700;769;823;669;684
Dél-Alföld;régió;3 230;3 558;3 417;3 431;3 384;3 308;3 320;3 344;2 981;3 070;2 905;2 748;2 582;2 324;2 639;2 358;2 228;2 213;2 403;1 962;2 155
Alföld és Észak;nagyrégió;9 570;10 332;10 175;9 741;10 156;10 185;10 341;10 117;9 326;9 516;9 153;8 412;7 685;7 414;7 788;7 009;6 900;6 466;6 818;5 687;6 415
Ország összesen;ország;24 391;25 506;25 046;24 638;24 804;24 869;25 160;25 155;23 820;23 873;23 335;21 830;20 209;19 576;20 315;19 552;18 495;16 952;17 600;14 979;18 092
Belföldi vándorlási különbözet;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;-14 200;-11 058;-10 279;-7 239;-4 450;-2 432;5 891;6 632;10 681;14 842;7 349;8 107;10 365;10 183;2 409;-3 391;-2 820;-3 117;-5 698;-16 396;-12 026
Pest ;megye, régió;15 833;16 544;18 564;15 853;13 898;16 968;17 207;16 647;12 600;7 566;6 947;5 154;4 384;6 633;9 942;14 356;15 601;16 770;16 080;14 979;17 822
Közép-Magyarország;nagyrégió;1 633;5 486;8 285;8 614;9 448;14 536;23 098;23 279;23 281;22 408;14 296;13 261;14 749;16 816;12 351;10 965;12 781;13 653;10 382;-1 417;5 796
Fejér;megye;1 265;-62;610;668;564;838;687;480;-23;-27;688;123;-253;-477;638;1 051;1 574;1 383;1 537;2 413;1 762
Komárom-Esztergom;megye;854;356;323;646;511;965;165;575;-236;-69;-172;-424;-344;-376;379;484;570;635;809;713;543
Veszprém;megye;67;129;-190;-643;-299;-434;-1 073;-424;-620;-845;-416;-238;-563;-382;-380;213;369;266;432;2 942;341
Közép-Dunántúl;régió;2 186;423;743;671;776;1 369;-221;631;-879;-941;100;-539;-1 160;-1 235;637;1 748;2 513;2 284;2 778;6 068;2 646
Gyõr-Moson-Sopron;megye;1 190;1 670;946;1 398;1 426;1 297;2 323;3 030;1 918;1 977;2 596;3 398;3 029;2 744;2 789;2 741;2 660;4 391;4 291;3 363;2 722
Vas;megye;378;-119;141;83;-4;-188;-252;-131;-374;-543;504;414;501;699;838;892;845;701;890;617;523
Zala;megye;91;100;340;129;-200;-488;-707;-502;-961;-173;-188;-112;-613;-484;-421;-572;-376;-292;-21;44;563
Nyugat-Dunántúl;régió;1 659;1 651;1 427;1 610;1 222;621;1 364;2 397;583;1 261;2 912;3 700;2 917;2 959;3 206;3 061;3 129;4 800;5 160;4 024;3 808
Baranya;megye;-383;-159;-577;-441;-135;-29;-325;-570;-738;-1 013;-1 225;-1 552;-889;-762;-758;-646;-475;-848;-688;-267;-346
Somogy;megye;317;208;-84;-515;-742;-1 025;-1 624;-1 385;-661;-1 101;-477;-557;-1 078;-1 446;-888;-599;-572;-801;-391;2 489;354
Tolna ;megye;-161;-387;-556;-895;-920;-1 227;-1 433;-1 624;-1 427;-1 177;-879;-581;-766;-614;-961;-733;-1 148;-1 009;-1 052;-926;-418
Dél-Dunántúl;régió;-227;-338;-1 217;-1 851;-1 797;-2 281;-3 382;-3 579;-2 826;-3 291;-2 581;-2 690;-2 733;-2 822;-2 607;-1 978;-2 195;-2 658;-2 131;1 296;-410
Dunántúl;nagyrégió;3 618;1 736;953;430;201;-291;-2 239;-551;-3 122;-2 971;431;471;-976;-1 098;1 236;2 831;3 447;4 426;5 807;11 388;6 044
Borsod-Abaúj-Zemplén;megye;-2 550;-2 691;-3 928;-3 617;-3 383;-5 090;-6 631;-6 626;-5 775;-5 043;-3 687;-3 414;-3 893;-4 082;-3 788;-3 259;-4 135;-4 584;-4 548;-3 701;-4 174
Heves;megye;396;-283;271;159;-95;-244;-1 317;-1 139;-1 217;-1 527;-962;-1 260;-1 072;-696;-365;-548;-226;-596;-116;398;68
Nógrád ;megye;107;-157;-281;-527;-308;-792;-1 586;-1 498;-1 523;-1 734;-1 512;-857;-1 054;-993;-584;-68;-476;-656;-325;461;-117
Észak-Magyarország;régió;-2 047;-3 131;-3 938;-3 985;-3 786;-6 126;-9 534;-9 263;-8 515;-8 304;-6 161;-5 531;-6 019;-5 771;-4 737;-3 875;-4 837;-5 836;-4 989;-2 842;-4 223
Hajdú-Bihar;megye;-322;-239;-1 032;-514;-1 039;-1 323;-1 049;-1 634;-1 304;-1 260;-1 624;-1 994;-1 270;-2 027;-1 905;-2 098;-2 089;-2 377;-1 923;-1 166;-1 565
Jász-Nagykun-Szolnok;megye;-411;-730;-1 068;-905;-1 399;-2 259;-2 667;-2 589;-2 402;-1 935;-1 465;-1 520;-1 168;-1 717;-1 367;-1 076;-1 246;-853;-1 232;-702;-628
Szabolcs-Szatmár-Bereg;megye;-1 437;-2 228;-2 349;-2 197;-2 115;-2 798;-4 263;-5 548;-4 418;-4 285;-3 307;-3 046;-3 031;-3 278;-3 511;-3 722;-4 896;-5 494;-5 192;-3 957;-3 801
Észak-Alföld;régió;-2 170;-3 197;-4 449;-3 616;-4 553;-6 380;-7 979;-9 771;-8 124;-7 480;-6 396;-6 560;-5 469;-7 022;-6 783;-6 896;-8 231;-8 724;-8 347;-5 825;-5 994
Bács-Kiskun ;megye;241;122;-55;-62;-134;-600;-1 344;-1 404;-1 406;-1 600;-577;-119;-655;-1 240;-407;-669;-894;-1 106;-576;395;149
Békés;megye;-735;-1 153;-1 045;-1 374;-1 083;-1 797;-2 800;-2 825;-2 400;-2 165;-1 551;-1 072;-1 362;-1 561;-1 406;-1 789;-1 834;-1 837;-1 902;-1 451;-797
Csongrád-Csanád;megye;-540;137;249;-7;-93;658;798;535;286;112;-42;-450;-268;-124;-254;-567;-432;-576;-375;-248;-975
Dél-Alföld;régió;-1 034;-894;-851;-1 443;-1 310;-1 739;-3 346;-3 694;-3 520;-3 653;-2 170;-1 641;-2 285;-2 925;-2 067;-3 025;-3 160;-3 519;-2 853;-1 304;-1 623
Alföld és Észak;nagyrégió;-5 251;-7 222;-9 238;-9 044;-9 649;-14 245;-20 859;-22 728;-20 159;-19 437;-14 727;-13 732;-13 773;-15 718;-13 587;-13 796;-16 228;-18 079;-16 189;-9 971;-11 840
Ország összesen;ország;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Nemzetközi vándorlási különbözet;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;4 580;-256;5 513;7 343;12 744;6 447;6 116;7 895;3 560;2 790;4 912;5 343;3 892;7 489;5 122;1 723;6 101;12 136;9 897;-1 863;4 303
Pest ;megye, régió;2 923;1 067;2 022;4 738;1 485;2 624;2 396;1 827;4 634;1 334;2 360;1 858;441;539;1 183;357;1 600;2 808;4 298;457;1 916
Közép-Magyarország;nagyrégió;7 503;811;7 535;12 081;14 229;9 071;8 512;9 722;8 194;4 124;7 272;7 201;4 333;8 028;6 305;2 080;7 701;14 944;14 195;-1 406;6 219
Fejér;megye;402;457;754;558;41;678;325;356;549;317;404;544;180;-43;1 844;-2 031;746;1 719;1 274;-365;730
Komárom-Esztergom;megye;169;-789;1 373;197;-134;475;450;331;-607;207;209;155;-73;-59;-1;84;767;2 514;2 324;-168;326
Veszprém;megye;253;-3 783;396;57;66;350;356;223;377;135;86;219;-157;-506;-397;-352;418;1 396;1 120;-695;403
Közép-Dunántúl;régió;824;-4 115;2 523;812;-27;1 503;1 131;910;319;659;699;918;-50;-608;1 446;-2 299;1 931;5 629;4 718;-1 228;1 459
Gyõr-Moson-Sopron;megye;892;3 329;1 634;-345;1 345;683;629;778;668;1 009;723;1 424;602;932;1 102;498;2 817;2 555;2 838;3 373;306
Vas;megye;273;194;117;91;553;218;231;422;115;437;-57;290;303;218;229;-150;800;840;1 043;334;1 365
Zala;megye;-16;243;199;41;732;992;396;300;993;440;137;329;270;-205;-33;3;58;207;613;210;1 072
Nyugat-Dunántúl;régió;1 149;3 766;1 950;-213;2 630;1 893;1 256;1 500;1 776;1 886;803;2 043;1 175;945;1 298;351;3 675;3 602;4 494;3 917;2 743
Baranya;megye;70;42;108;-2;-163;1 297;366;350;1 148;634;530;-120;-240;-318;-122;290;598;-96;1 252;313;996
Somogy;megye;-20;280;174;-8;95;1 672;-41;284;1 040;576;322;644;466;-338;-33;-112;-387;476;935;619;430
Tolna ;megye;-3;93;105;173;-335;412;37;94;291;85;124;101;-70;-318;-129;-34;5;474;505;232;203
Dél-Dunántúl;régió;47;415;387;163;-403;3 381;362;728;2 479;1 295;976;625;156;-974;-284;144;216;854;2 692;1 164;1 629
Dunántúl;nagyrégió;2 020;66;4 860;762;2 200;6 777;2 749;3 138;4 574;3 840;2 478;3 586;1 281;-637;2 460;-1 804;5 822;10 085;11 904;3 853;5 831
Borsod-Abaúj-Zemplén;megye;-2;205;317;217;233;429;46;426;-74;256;122;-232;-478;-846;-699;-781;398;1 088;1 605;2 507;2 229
Heves;megye;150;145;284;353;0;325;268;248;39;-22;120;197;-249;-127;-3;-215;638;1 212;705;163;488
Nógrád ;megye;47;48;86;170;-53;144;-3;143;114;84;40;153;-162;-161;-136;-151;114;359;492;417;239
Észak-Magyarország;régió;195;398;687;740;180;898;311;817;79;318;282;118;-889;-1 134;-838;-1 147;1 150;2 659;2 802;3 087;2 956
Hajdú-Bihar;megye;286;469;548;617;196;662;350;1 126;1 537;1 077;1 353;1 273;649;713;743;195;1 228;1 310;2 031;1 991;2 028
Jász-Nagykun-Szolnok;megye;154;60;173;271;-120;339;162;125;127;108;43;172;-84;-72;-113;187;826;1 587;352;-48;426
Szabolcs-Szatmár-Bereg;megye;-247;862;707;967;66;797;9;632;395;836;841;2 470;1 692;4 954;5 136;3 231;2 012;1 411;2 076;1 727;-103
Észak-Alföld;régió;193;1 391;1 428;1 855;142;1 798;521;1 883;2 059;2 021;2 237;3 915;2 257;5 595;5 766;3 613;4 066;4 308;4 459;3 670;2 351
Bács-Kiskun ;megye;61;191;470;1 159;61;1 037;1 015;156;1 565;754;791;846;82;509;599;-538;893;1 479;1 353;97;1 395
Békés;megye;-31;319;188;622;-141;664;11;129;215;365;312;432;17;152;42;-257;290;684;957;691;609
Csongrád-Csanád;megye;6;572;659;1 110;741;1 209;1 489;735;1 043;458;-191;401;53;870;821;-620;1 217;1 579;1 724;-119;1 391
Dél-Alföld;régió;36;1 082;1 317;2 891;661;2 910;2 515;1 020;2 823;1 577;912;1 679;152;1 531;1 462;-1 415;2 400;3 742;4 034;669;3 395
Alföld és Észak;nagyrégió;424;2 871;3 432;5 486;983;5 606;3 347;3 720;4 961;3 916;3 431;5 712;1 520;5 992;6 390;1 051;7 616;10 709;11 295;7 426;8 702
Ország összesen;ország;9 691;3 538;15 556;18 162;17 268;21 309;14 568;16 452;17 321;11 519;12 755;16 044;6 656;13 004;14 921;1 066;20 907;35 623;37 180;9 910;20 820
Tényleges szaporodás, fogyás (–);;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;-19 640;-20 227;-14 033;-7 966;763;-1 978;6 169;9 913;9 346;12 129;6 356;8 216;8 954;12 953;1 789;-6 703;-2 970;2 552;-2 070;-26 380;-16 985
Pest ;megye, régió;17 580;15 934;18 983;19 234;13 935;18 986;18 470;18 270;16 590;7 681;7 487;4 849;2 576;5 367;8 426;12 831;14 492;17 010;18 228;12 700;15 234
Közép-Magyarország;nagyrégió;-2 060;-4 293;4 950;11 268;14 698;17 008;24 639;28 183;25 936;19 810;13 843;13 065;11 530;18 320;10 215;6 128;11 522;19 562;16 158;-13 680;-1 751
Fejér;megye;807;-513;170;219;-466;379;-139;-277;-879;-1 296;-539;-841;-1 580;-1 855;836;-2 272;476;1 021;891;98;-146
Komárom-Esztergom;megye;112;-1 595;371;-342;-761;253;-387;-199;-2 019;-1 020;-1 211;-1 413;-1 774;-1 567;-1 196;-533;73;1 753;1 788;-1 223;-1 323
Veszprém;megye;-1 039;-4 831;-1 228;-1 964;-1 546;-1 303;-2 086;-1 233;-1 580;-2 234;-2 008;-1 438;-2 158;-2 360;-2 345;-1 801;-1 076;-108;-160;-44;-1 822
Közép-Dunántúl;régió;-120;-6 939;-687;-2 087;-2 773;-671;-2 612;-1 709;-4 478;-4 550;-3 758;-3 692;-5 512;-5 782;-2 705;-4 606;-527;2 666;2 519;-1 169;-3 291
Gyõr-Moson-Sopron;megye;1 047;3 790;1 092;-216;1 684;1 061;1 717;2 649;1 402;1 532;1 860;3 377;2 006;2 320;2 579;2 127;4 174;5 626;5 997;5 140;1 066
Vas;megye;-558;-1 162;-1 087;-1 113;-868;-1 110;-1 374;-927;-1 586;-1 676;-1 230;-921;-714;-583;-308;-580;196;246;586;-643;-65
Zala;megye;-1 384;-1 259;-1 148;-1 508;-1 022;-732;-1 765;-1 474;-1 613;-1 548;-1 889;-1 576;-2 050;-2 333;-2 263;-2 229;-2 164;-1 986;-1 377;-2 170;-758
Nyugat-Dunántúl;régió;-895;1 369;-1 143;-2 837;-206;-781;-1 422;248;-1 797;-1 692;-1 259;880;-758;-596;8;-682;2 206;3 886;5 206;2 327;243
Baranya;megye;-1 817;-1 621;-2 449;-1 947;-1 958;-140;-1 582;-1 722;-1 153;-2 303;-2 548;-3 762;-3 158;-2 874;-2 975;-2 409;-2 005;-3 017;-1 595;-2 290;-2 478
Somogy;megye;-1 131;-1 098;-1 636;-2 263;-2 403;-903;-3 472;-2 827;-1 619;-2 631;-2 097;-1 877;-2 584;-3 428;-2 969;-2 417;-2 896;-2 373;-1 479;995;-2 159
Tolna ;megye;-1 257;-1 339;-1 711;-1 937;-2 404;-1 980;-2 535;-2 557;-2 224;-2 467;-2 067;-1 591;-1 946;-2 060;-2 318;-1 819;-2 482;-1 854;-1 949;-2 173;-2 169
Dél-Dunántúl;régió;-4 205;-4 058;-5 796;-6 147;-6 765;-3 023;-7 589;-7 106;-4 996;-7 401;-6 712;-7 230;-7 688;-8 362;-8 262;-6 645;-7 383;-7 244;-5 023;-3 468;-6 806
Dunántúl;nagyrégió;-5 220;-9 628;-7 626;-11 071;-9 744;-4 475;-11 623;-8 567;-11 271;-13 643;-11 729;-10 042;-13 958;-14 740;-10 959;-11 933;-5 704;-692;2 702;-2 310;-9 854
Borsod-Abaúj-Zemplén;megye;-4 393;-4 620;-6 341;-6 289;-6 075;-6 828;-9 317;-8 474;-8 389;-7 978;-6 532;-6 572;-7 351;-7 405;-7 045;-6 147;-6 186;-5 769;-5 383;-4 342;-6 245
Heves;megye;-933;-1 771;-1 260;-1 013;-1 870;-1 426;-2 586;-2 433;-2 987;-3 469;-2 649;-2 839;-2 833;-2 207;-2 077;-2 292;-1 135;-1 183;-1 188;-1 454;-2 029
Nógrád ;megye;-1 005;-1 153;-1 319;-1 627;-1 677;-1 794;-2 848;-2 545;-2 720;-2 998;-2 986;-1 979;-2 363;-2 469;-1 977;-1 373;-1 636;-1 633;-1 212;-518;-1 925
Észak-Magyarország;régió;-6 331;-7 544;-8 920;-8 929;-9 622;-10 048;-14 751;-13 452;-14 096;-14 445;-12 167;-11 390;-12 547;-12 081;-11 099;-9 812;-8 957;-8 585;-7 783;-6 314;-10 199
Hajdú-Bihar;megye;-786;-641;-1 572;-893;-2 015;-1 716;-1 839;-1 610;-894;-1 624;-1 637;-2 100;-1 845;-2 239;-2 294;-2 575;-1 935;-2 475;-1 262;-563;-1 892
Jász-Nagykun-Szolnok;megye;-1 860;-2 454;-2 973;-2 351;-3 591;-3 610;-4 422;-4 309;-4 116;-4 023;-3 624;-3 372;-3 165;-3 592;-3 563;-2 703;-2 360;-1 264;-3 102;-3 259;-3 320
Szabolcs-Szatmár-Bereg;megye;-1 995;-1 801;-2 629;-1 941;-3 050;-2 519;-5 036;-5 692;-4 897;-4 933;-3 625;-1 664;-2 274;978;718;-1 017;-3 697;-5 397;-3 936;-3 707;-6 168
Észak-Alföld;régió;-4 641;-4 896;-7 174;-5 185;-8 656;-7 845;-11 297;-11 611;-9 907;-10 580;-8 886;-7 136;-7 284;-4 853;-5 139;-6 295;-7 992;-9 136;-8 300;-7 529;-11 380
Bács-Kiskun ;megye;-1 965;-1 873;-2 532;-1 085;-2 637;-1 572;-2 580;-3 331;-1 961;-3 577;-2 529;-1 922;-3 038;-3 205;-2 268;-3 402;-2 415;-1 777;-1 605;-2 194;-2 366
Békés;megye;-2 858;-2 930;-3 286;-3 255;-3 743;-3 657;-5 533;-5 335;-4 766;-4 754;-4 062;-3 509;-3 954;-4 051;-4 090;-4 620;-4 413;-3 761;-3 722;-4 012;-3 711
Csongrád-Csanád;megye;-2 370;-1 327;-1 032;-936;-1 264;166;388;-313;-586;-1 413;-2 461;-2 193;-2 182;-1 184;-1 746;-2 990;-1 231;-1 226;-680;-2 715;-2 501
Dél-Alföld;régió;-7 193;-6 130;-6 850;-5 276;-7 644;-5 063;-7 725;-8 979;-7 313;-9 744;-9 052;-7 624;-9 174;-8 440;-8 104;-11 012;-8 059;-6 764;-6 007;-8 921;-8 578
Alföld és Észak;nagyrégió;-18 165;-18 570;-22 944;-19 390;-25 922;-22 956;-33 773;-34 042;-31 316;-34 769;-30 105;-26 150;-29 005;-25 374;-24 342;-27 119;-25 008;-24 485;-22 090;-22 764;-30 157
Ország összesen;ország;-25 445;-32 491;-25 620;-19 193;-20 968;-10 423;-20 757;-14 426;-16 651;-28 602;-27 991;-23 127;-31 433;-21 794;-25 086;-32 924;-19 190;-5 615;-3 230;-38 754;-41 762
