20.2.1.24. Foglalkoztatási ráta korcsoportok szerint, nemenként, negyedévente [%];;;;;;;;;;;;;;;;
Év;Negyedév;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen;"Ebbõl:
 15–24 éves";"Ebbõl:
 20–64 éves"
Együtt ;;;;;;;;;;;;;;;;
;II.;1,8;36,1;73,5;83,0;83,8;79,8;76,2;68,7;56,6;16,8;6,2;2,4;54,2;19,4;65,5
;III.;2,3;37,5;74,4;84,8;85,0;79,5;78,0;69,9;57,3;16,9;6,3;2,5;55,0;20,4;66,5
;IV.;2,7;37,9;74,9;84,7;83,9;79,8;77,4;69,3;56,6;16,0;6,6;2,1;54,7;20,8;66,1
2011.;I.;1,9;35,7;73,7;83,4;82,3;77,9;76,2;68,2;55,5;16,8;6,9;2,5;53,7;19,2;64,8
;II.;2,2;36,7;76,0;86,4;84,7;80,2;76,8;70,9;56,2;17,6;7,1;2,3;55,1;19,9;66,6
;III.;2,8;36,9;77,9;86,1;85,7;79,8;79,4;72,8;57,6;17,8;7,6;2,9;55,9;20,3;67,4
;IV.;2,6;35,1;75,7;86,7;84,7;81,0;78,5;72,8;58,3;17,6;7,5;3,2;55,6;19,4;67,1
2012.;I.;1,8;32,9;74,8;84,3;83,2;80,0;76,4;71,8;57,0;16,8;7,4;2,8;54,4;18,0;65,6
;II.;1,7;34,1;73,8;84,6;84,5;83,0;80,1;72,1;61,0;17,4;7,7;2,7;55,6;18,6;67,1
;III.;2,3;37,0;75,5;85,7;85,1;83,2;80,2;74,5;63,4;16,9;7,0;2,4;56,5;20,5;68,3
;IV.;2,8;39,5;74,5;84,6;84,8;82,9;80,7;74,1;63,5;16,9;6,8;2,6;56,5;22,2;68,2
2013.;I.;2,5;36,4;72,7;81,3;83,4;80,7;78,4;70,3;62,6;18,2;5,7;2,8;54,8;20,5;66,2
;II.;2,4;39,9;77,2;84,6;86,5;83,2;81,3;75,1;65,2;20,1;6,8;2,3;57,4;22,3;69,4
;III.;3,3;42,7;78,4;85,2;87,4;85,0;82,3;75,9;65,4;22,6;6,3;2,9;58,5;24,3;70,6
;IV.;3,2;44,2;77,3;86,5;88,4;85,0;80,5;75,6;66,7;23,3;6,7;3,4;58,8;25,1;71,0
2014.;I.;3,5;45,9;80,9;87,5;88,6;86,6;82,0;75,1;68,4;24,1;5,9;2,5;59,7;26,3;72,2
;II.;3,7;45,0;82,1;86,9;89,5;87,4;84,4;76,1;70,0;25,8;5,4;3,4;60,4;26,0;73,0
;III.;4,2;45,8;82,9;89,8;90,5;88,8;85,4;78,6;71,7;28,7;5,8;2,5;61,7;26,7;74,6
;IV.;3,9;45,8;83,2;89,1;89,2;88,9;84,6;77,7;72,5;28,9;5,0;3,0;61,3;26,7;74,3
2015.;I.;4,0;44,6;83,3;87,0;89,2;88,0;84,6;77,3;70,6;31,5;5,0;2,4;60,9;26,1;73,8
;II.;5,6;46,0;83,2;87,8;90,9;90,5;85,4;81,1;74,8;33,6;5,1;2,6;62,6;27,6;75,7
;III.;6,4;48,3;83,1;89,4;91,3;91,2;86,8;81,9;75,9;36,7;6,2;3,5;63,7;29,3;76,9
;IV.;7,6;47,6;83,4;89,4;91,1;91,1;85,9;81,7;74,6;39,3;6,3;4,0;63,7;29,4;76,8
2016.;I.;6,3;49,3;83,1;89,4;89,7;90,0;86,9;80,6;74,9;42,0;5,8;4,1;63,7;29,7;77,0
;II.;5,9;52,8;84,4;90,0;90,9;91,3;87,4;83,7;76,1;43,8;6,4;3,9;65,0;31,5;78,6
;III.;6,5;54,1;85,9;91,4;91,5;91,2;87,1;83,1;77,0;45,5;7,4;5,3;65,6;32,4;79,3
;IV.;6,0;54,6;84,1;91,9;91,6;92,2;87,3;84,5;76,6;47,5;7,8;4,8;65,9;32,3;79,7
2017.;I.;5,8;52,8;83,5;91,6;91,9;92,1;88,2;84,9;74,5;48,4;7,2;3,8;65,6;31,3;79,5
;II.;6,0;55,3;87,4;91,7;92,2;93,0;89,2;86,7;77,4;48,7;7,8;4,6;66,9;32,6;81,0
;III.;6,9;57,5;88,8;91,3;92,6;92,4;89,4;87,7;78,6;50,6;8,5;3,8;67,5;34,1;81,7
;IV.;6,8;57,1;87,6;92,5;92,4;92,5;90,6;86,9;79,6;50,8;8,5;3,7;67,6;33,8;81,9
2018.;I.;5,5;55,9;86,5;92,0;92,7;92,0;91,1;87,2;79,8;50,5;8,3;3,8;67,3;32,5;81,7
;II.;7,1;56,5;87,3;92,8;92,0;93,1;91,0;86,6;80,3;49,9;9,7;4,5;67,7;33,5;82,0
;III.;7,4;57,7;86,7;93,2;91,6;92,7;90,9;86,8;81,1;53,4;10,1;5,2;68,2;34,2;82,5
;IV.;7,7;56,1;87,0;91,6;92,4;91,4;89,3;87,7;81,3;56,4;11,7;5,6;68,2;33,5;82,3
2019.;I.;7,6;54,1;86,6;92,3;92,9;92,7;90,4;89,5;80,9;59,1;11,1;5,0;68,6;32,2;83,1
;II.;8,6;54,2;85,9;93,5;92,6;92,6;89,8;89,8;79,7;57,5;12,0;6,2;68,6;32,8;82,8
;III.;9,3;56,0;84,8;93,7;93,5;92,4;90,4;88,9;81,6;57,6;13,2;6,3;68,9;33,9;83,2
;IV.;7,3;54,7;85,9;92,9;93,3;93,7;89,7;89,3;80,5;60,2;12,9;6,6;68,9;32,3;83,5
2020.;I.;5,9;54,7;84,9;92,5;91,3;92,6;89,6;88,1;80,8;60,3;11,5;5,8;68,1;31,4;82,9
;II.;5,5;52,0;83,3;90,3;90,4;91,2;89,6;88,0;79,7;62,9;12,6;6,6;67,4;29,3;82,1
;III.;7,0;55,5;85,9;92,1;89,5;92,9;89,4;90,1;81,0;64,7;12,5;5,8;68,7;32,1;83,6
;IV.;5,9;55,6;85,1;92,3;91,2;93,1;90,3;89,3;80,4;65,4;12,3;6,5;68,7;31,6;83,9
2021.;I.;5,6;54,8;83,8;90,4;90,7;92,3;90,5;89,1;83,3;63,1;13,1;6,2;68,3;31,0;83,4
;II.;5,9;54,9;83,5;91,1;92,5;93,0;90,5;90,0;83,6;62,5;14,8;6,3;68,7;31,0;83,8
;III.;7,2;53,7;86,2;90,8;92,5;92,9;91,8;89,4;83,1;66,4;15,4;6,8;69,3;30,9;84,4
;IV.;6,3;54,0;87,3;91,8;92,1;93,3;92,0;89,8;82,8;68,4;15,4;7,5;69,6;30,6;84,9
2022.;I.;6,4;53,0;87,2;91,7;92,7;93,3;91,6;89,3;82,5;69,1;16,0;6,4;69,5;30,1;84,8
;II.;6,2;51,6;88,5;92,2;92,4;93,6;91,9;89,7;84,4;68,9;16,7;6,1;69,8;29,2;85,2
;III.;7,5;54,7;88,2;92,8;92,5;94,0;92,4;88,6;82,4;70,0;17,9;6,9;70,2;31,4;85,4
;IV.;;;;;;;;;;;;;;;
nõ;;;;;;;;;;;;;;;;
2009.;I.;1,6;30,9;71,7;74,5;76,0;76,4;73,6;67,7;39,0;10,1;3,2;0,9;46,5;16,7;58,3
