21.2.1.23. Negyedéves jövedelmek keletkezése számla [millió forint];;;;;;;;
Év;Negyedév;Bruttó hozzáadott érték;Munkavállalói jövedelem;Bérek és keresetek;Munkaadók által fizetett TB;Egyéb termelési adók;Egyéb termelési támogatások;Bruttó mûködési eredmény, vegyes jövedelem
2014.;I.;6 087 214;3 283 349;2 638 725;644 624;173 436;181 569;2 811 998
;II.;6 854 234;3 509 338;2 822 523;686 815;164 345;148 798;3 329 349
;III.;7 200 946;3 457 796;2 790 540;667 257;167 676;162 276;3 737 749
;IV.;7 576 319;3 742 913;3 019 959;722 954;159 887;258 501;3 932 020
2015.;I.;6 469 554;3 458 940;2 770 385;688 555;182 035;208 510;3 037 089
;II.;7 263 619;3 663 718;2 934 697;729 021;173 828;180 862;3 606 935
;III.;7 557 781;3 567 626;2 861 707;705 919;171 648;168 785;3 987 292
;IV.;8 168 811;3 904 387;3 129 558;774 829;188 903;221 754;4 297 274
2016.;I.;6 706 898;3 675 926;2 929 010;746 916;182 105;183 557;3 032 424
;II.;7 651 288;3 850 752;3 087 106;763 646;164 743;216 816;3 852 610
;III.;7 896 332;3 808 123;3 051 365;756 758;171 170;175 488;4 092 528
;IV.;8 459 843;4 169 184;3 319 681;849 503;172 659;189 744;4 307 744
2017.;I.;7 226 101;3 963 013;3 283 825;679 188;202 752;159 787;3 220 123
;II.;8 207 849;4 224 888;3 500 812;724 076;191 359;196 998;3 988 600
;III.;8 577 171;4 152 962;3 445 486;707 477;191 593;189 811;4 422 427
;IV.;9 297 880;4 520 849;3 747 925;772 924;182 382;270 767;4 865 417
2018.;I.;7 929 710;4 385 074;3 694 322;690 752;217 145;171 221;3 498 712
;II.;8 995 020;4 537 583;3 830 716;706 866;210 032;176 876;4 424 282
;III.;9 450 382;4 478 985;3 775 999;702 986;212 482;158 629;4 917 545
;IV.;10 266 779;4 898 389;4 135 917;762 472;198 756;249 679;5 419 313
2019.;I.;8 759 925;4 689 322;3 977 852;711 470;255 030;187 007;4 002 580
;II.;9 926 497;4 921 980;4 179 078;742 902;245 893;173 452;4 932 076
;III.;10 348 215;4 835 729;4 122 691;713 037;244 339;173 120;5 441 267
;IV.;11 223 152;5 271 905;4 499 603;772 302;232 609;240 614;5 959 251
2020.;I.;9 452 777;4 897 851;4 234 600;663 251;272 851;207 196;4 489 270
;II.;9 246 536;4 820 743;4 175 340;645 403;248 216;214 148;4 391 725
;III.;10 458 093;4 885 769;4 244 990;640 779;267 932;222 813;5 527 206
;IV.;11 703 101;5 396 728;4 691 431;705 297;260 753;291 360;6 336 981
2021.;I.;9 647 082;5 134 318;4 488 010;646 307;295 060;285 279;4 502 983
;II.;11 714 854;5 440 697;4 761 784;678 914;278 687;244 856;6 240 325
;III.;11 850 185;5 314 334;4 651 618;662 716;274 324;213 281;6 474 808
;IV.;13 434 314;5 909 026;5 174 589;734 437;276 012;237 498;7 486 775
2022.;I.;11 608 844;6 226 321;5 553 167;673 154;282 056;224 135;5 324 602
;II.;13 861 985;6 153 738;5 485 198;668 539;283 269;187 113;7 612 091
;III.;14 932 674;6 197 692;5 533 383;664 310;267 359;186 374;8 653 997
;IV.;;;;;;;
