"13.2.1.11. Az ipar összes értékesítésének volumenindexei alágak szerint, a 2015. év havi átlaga = 100,0%; eredeti, havonta";;;;;;;;;;;;;;;;;;
Év;Idõszak Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
Havonta;;;;;;;;;;;;;;;;;;
;február;95,1;107,5;81,6;124,0;83,9;105,9;113,1;130,4;115,1;154,5;218,5;87,9;112,9;107,7;118,4;124,5;119,5
;március;142,0;126,9;99,7;148,3;93,1;116,2;122,0;155,2;130,3;164,3;244,5;102,9;127,6;124,5;134,2;127,1;133,1
;április;144,3;112,3;83,1;132,4;96,3;105,4;115,9;144,9;119,1;137,6;214,8;87,7;106,6;115,6;116,5;113,4;115,4
;május;147,5;116,2;82,4;142,1;95,0;101,3;111,7;143,1;123,4;133,2;214,3;90,6;102,3;114,4;116,1;97,8;112,7
;június;166,2;124,0;90,8;140,8;111,5;103,6;122,8;148,8;133,9;151,0;236,1;104,8;112,2;123,3;127,8;99,0;123,2
;július;165,5;121,5;83,1;126,6;106,8;103,2;92,0;138,7;117,9;118,5;215,4;92,6;92,8;118,7;112,4;113,8;112,8
;augusztus;161,3;120,1;69,2;125,9;98,3;101,4;82,2;130,9;113,0;126,6;186,0;80,7;62,3;113,3;100,6;110,5;102,9
;szeptember;160,8;134,0;79,3;132,4;92,7;90,8;106,5;145,4;132,3;157,5;231,9;103,9;96,1;131,4;122,4;127,8;124,9
;október;156,0;129,2;73,1;132,7;95,5;99,1;93,5;141,9;132,8;153,7;217,0;85,9;89,4;130,0;117,5;119,7;118,8
;november;168,5;137,3;76,5;136,6;94,7;105,6;110,5;148,8;136,5;168,0;246,4;91,0;103,1;139,6;127,4;135,1;129,3
;december;150,0;125,7;74,7;122,7;96,5;104,1;91,8;115,1;111,3;137,6;214,3;100,8;84,6;155,2;111,2;165,1;121,0
2022.;január;102,0;119,2;76,0;123,6;86,6;108,1;100,1;123,3;111,9;144,0;231,5;87,3;93,3;102,5;112,3;150,4;117,9
;február;118,1;117,1;87,8;125,1;99,2;102,7;103,7;127,3;121,0;155,7;241,8;96,4;115,4;117,5;122,9;141,0;126,8
;március;157,4;140,1;107,9;146,7;129,0;118,0;122,9;150,5;134,8;172,9;303,6;115,9;105,2;137,7;137,2;151,5;141,0
;április;135,6;125,8;86,1;132,1;100,3;100,2;101,1;135,7;121,8;135,9;252,7;101,4;98,6;116,3;117,2;125,3;118,5
;május;167,3;133,1;92,6;144,8;86,0;98,7;107,7;150,8;130,7;148,4;296,7;115,9;114,8;135,6;128,1;111,4;125,1
;június;176,5;133,8;98,6;134,9;101,0;92,9;112,8;137,7;124,9;167,9;304,3;114,4;112,8;130,2;130,0;113,1;128,0
;július;171,5;125,1;75,5;124,1;87,4;84,4;89,9;125,7;108,5;131,5;293,0;89,1;105,4;111,7;114,2;124,5;116,9
;augusztus;201,9;134,8;75,7;132,3;81,2;77,8;91,9;130,8;110,4;163,0;304,0;98,5;100,8;122,2;117,9;132,5;121,6
;szeptember;158,3;132,5;85,9;136,3;60,2;92,4;119,4;142,2;123,8;188,0;366,7;108,9;126,1;140,6;134,7;141,0;137,5
;október;149,6;127,0;78,7;133,9;70,8;79,1;107,5;132,8;115,2;177,1;356,7;97,9;121,0;127,9;127,4;119,6;125,7
;november;;;;;;;;;;;;;;;;;
;december;;;;;;;;;;;;;;;;;
