21.2.1.5. A bruttó hazai termék (GDP) termelése 2015. évi átlagáron nemzetgazdasági áganként, negyedévente – ESA2010 [millió forint];;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás;ezen belül: kereskedelem, gépjármûjavítás;ezen belül: szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";"ezen belül: közigazgatás, védelem; kötelezõ társadalombiztosítás";ezen belül: oktatás;ezen belül: humán-egészségügyi, szociális ellátás;Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Termékadók és -támogatások egyenlege;GDP összesen (piaci beszerzési áron)
;IV.;278 090;1 553 007;1 235 253;370 746;3 827 341;742 967;624 155;118 771;412 341;196 883;221 387;469 503;455 676;1 156 767;513 335;392 529;267 236;195 741;1 191 768;7 118 934
2002.;I.;190 502;1 505 508;1 237 018;237 721;3 421 906;606 792;510 740;95 007;370 256;202 332;288 276;432 295;453 173;911 669;403 127;300 353;219 503;180 985;1 076 676;6 334 326
;II.;235 753;1 593 259;1 322 100;344 328;3 725 842;736 907;615 305;121 052;404 813;211 693;279 839;447 979;479 329;988 421;436 911;326 258;237 860;200 135;1 109 523;6 918 542
;III.;303 686;1 615 031;1 335 711;384 343;3 760 366;771 567;636 815;135 214;411 581;209 431;272 855;446 816;480 900;985 250;438 196;326 082;233 366;205 460;1 183 094;7 156 384
;IV.;230 928;1 688 692;1 352 084;395 080;4 027 361;795 867;679 206;114 071;413 564;227 335;230 852;440 385;500 108;1 216 536;533 515;415 225;286 322;215 126;1 238 846;7 473 133
2003.;I.;184 016;1 540 173;1 281 473;193 710;3 620 121;625 773;542 689;82 937;355 164;219 027;303 552;436 519;476 045;1 043 235;456 936;339 992;259 433;174 807;1 119 356;6 550 316
;II.;243 409;1 650 146;1 398 955;352 732;3 903 445;777 139;668 125;108 620;387 783;233 729;298 725;476 807;494 589;1 053 489;460 047;341 346;265 520;194 983;1 143 156;7 202 822
;III.;320 473;1 727 860;1 454 390;386 236;3 901 897;805 574;681 167;123 541;399 397;231 875;289 203;465 939;501 014;1 030 562;454 185;332 951;255 912;194 723;1 224 521;7 471 124
;IV.;237 411;1 845 451;1 552 367;424 463;4 145 132;842 287;728 546;113 574;424 620;256 621;249 023;496 812;527 035;1 147 912;502 551;375 186;285 428;201 861;1 254 735;7 794 121
2004.;I.;230 025;1 629 345;1 371 810;211 271;3 702 837;642 952;554 664;88 414;372 685;221 722;313 580;443 155;475 613;1 065 126;465 263;341 070;271 777;177 258;1 179 570;6 850 610
;II.;368 263;1 790 083;1 522 503;346 451;3 965 952;798 982;689 293;109 855;426 506;243 378;312 792;468 638;489 473;1 059 002;460 343;339 528;272 482;190 970;1 210 138;7 590 641
;III.;514 704;1 779 151;1 498 212;382 757;3 978 258;838 125;705 245;129 499;414 434;234 430;311 711;466 976;495 127;1 053 047;461 845;337 122;267 056;191 544;1 276 051;7 856 083
;IV.;366 084;1 959 166;1 639 020;435 521;4 204 543;900 120;783 164;118 541;443 102;267 353;267 411;495 046;525 329;1 122 567;489 622;360 015;287 326;195 519;1 317 247;8 173 309
2005.;I.;252 731;1 645 144;1 398 074;220 047;3 842 277;700 595;614 085;88 562;391 584;236 282;328 620;457 307;496 930;1 059 857;451 041;335 773;287 011;186 787;1 186 554;7 074 181
;II.;339 234;1 865 166;1 609 831;378 973;4 181 545;860 186;745 041;115 905;454 162;249 481;319 166;491 938;522 899;1 117 657;477 858;351 753;302 649;192 407;1 280 517;7 955 832
;III.;443 792;1 849 921;1 586 230;443 860;4 200 146;884 543;755 683;127 552;430 941;254 641;319 768;499 871;524 997;1 099 331;471 024;347 352;295 340;209 360;1 364 960;8 196 226
;IV.;358 129;2 032 900;1 756 547;484 555;4 393 632;978 207;866 061;116 821;465 480;294 443;279 022;536 830;551 520;1 105 303;470 168;352 940;297 582;196 452;1 386 601;8 552 898
2006.;I.;229 105;1 792 301;1 525 499;229 984;4 000 704;759 563;671 284;91 827;401 383;245 912;330 873;476 735;528 475;1 086 725;465 609;340 154;294 821;179 777;1 244 725;7 422 718
;II.;323 090;1 970 197;1 699 981;345 423;4 354 944;938 119;819 011;121 268;457 170;270 529;321 974;517 007;556 868;1 118 800;477 669;348 750;307 263;200 403;1 342 965;8 245 525
;III.;439 583;1 969 943;1 708 032;424 043;4 358 021;954 447;825 278;129 576;470 665;269 207;326 337;543 735;557 012;1 071 268;459 238;335 390;290 563;200 257;1 431 708;8 504 827
;IV.;313 390;2 113 890;1 845 423;468 024;4 634 155;1 050 451;939 801;118 196;495 651;304 475;288 323;585 085;583 739;1 148 982;483 606;359 751;322 594;204 893;1 420 206;8 860 094
2007.;I.;203 323;1 908 874;1 643 912;231 301;4 021 901;746 862;644 151;102 720;409 872;258 042;316 675;481 250;523 216;1 102 977;484 059;350 726;278 563;181 360;1 254 142;7 537 799
;II.;254 165;2 078 301;1 800 379;335 879;4 330 583;928 570;801 897;126 911;474 988;283 077;319 237;506 845;541 281;1 100 277;477 081;347 121;288 450;202 145;1 345 797;8 253 265
;III.;341 878;2 106 665;1 833 991;372 036;4 354 675;940 925;800 827;137 754;483 180;277 802;313 829;533 695;548 839;1 082 631;473 179;340 870;279 835;206 147;1 439 028;8 498 659
;IV.;244 358;2 214 968;1 918 302;398 959;4 631 102;1 048 568;916 442;134 876;532 486;316 882;275 246;583 376;568 855;1 134 475;487 008;360 332;301 471;211 608;1 439 488;8 835 064
2008.;I.;244 395;1 937 731;1 721 541;178 503;4 103 373;748 552;653 284;96 582;416 974;269 338;321 594;512 737;560 337;1 087 677;480 075;338 173;279 239;189 714;1 306 878;7 677 237
