20.2.1.29. A munkanélküliek száma az elõzõ foglalkozásuk jellege szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;
Év;Negyedév;8 éven belüli munkatapasztalattal rendelkezõ, alkalmazottak összesen;8 éven belüli munkatapasztalattal rendelkezõ, nem alkalmazottak, összesen;8 éven belüli munkatapasztalattal rendelkezõ, nem alkalmazottak, ebbõl: társas vállalkozás tagja;8 éven belüli munkatapasztalattal rendelkezõ, nem alkalmazottak, ebbõl: egyéni vállalkozó, önálló;8 éven belüli munkatapasztalattal rendelkezõ, összesen;8 éve vagy régebben dolgozott vagy ismeretlen;Soha nem dolgozott;Munkanélküliek összesen
Együtt ;;;;;;;;;
2014.;I.;135,6;11,3;2,3;8,7;146,9;12,8;32,3;192,0
;II.;137,0;8,4;2,1;6,2;145,3;13,2;33,0;191,5
;III.;122,1;6,2;1,5;4,6;128,3;11,0;33,2;172,5
;IV.;126,8;6,9;1,8;4,6;133,8;8,9;28,3;171,0
2015.;I.;139,6;7,6;1,7;5,2;147,2;14,2;24,9;186,3
;II.;118,3;6,2;1,0;5,1;124,5;11,1;27,9;163,5
;III.;108,1;4,8;0,6;4,0;112,9;11,4;27,5;151,8
;IV.;108,8;3,7;0,5;3,1;112,4;9,0;24,7;146,1
2016.;I.;109,3;4,0;0,5;3,3;113,3;12,7;21,0;147,0
;II.;99,6;4,0;0,7;3,2;103,6;10,7;17,2;131,4
;III.;90,6;4,3;1,1;3,3;95,0;8,2;18,5;121,6
;IV.;82,5;4,3;1,3;3,0;86,8;7,8;15,3;109,9
2017.;I.;80,9;4,0;1,1;2,9;84,8;7,7;16,3;108,9
;II.;75,0;4,9;1,0;3,9;79,9;7,3;12,9;100,1
;III.;66,4;5,9;1,9;4,0;72,3;5,6;13,0;90,9
;IV.;61,9;3,3;0,6;2,7;65,2;4,6;13,2;83,0
2018.;I.;65,0;3,7;0,5;3,1;68,7;5,6;14,0;88,3
;II.;65,7;2,9;0,7;2,0;68,6;5,3;14,3;88,2
;III.;61,1;2,1;0,6;1,4;63,2;5,6;17,0;85,7
;IV.;71,0;1,9;0,4;1,4;72,9;4,8;12,5;90,2
2019.;I.;70,5;0,7;0,5;0,2;71,2;4,0;14,7;89,9
;II.;65,9;0,7;0,6;...;66,7;5,2;16,1;87,9
;III.;60,7;0,4;0,2;0,2;61,1;5,9;18,1;85,1
;IV.;59,2;0,2;...;0,2;59,5;5,1;17,0;81,5
2020.;I.;71,1;2,9;1,2;1,7;74,0;4,1;13,9;92,0
;II.;95,4;2,2;0,6;1,7;97,6;5,0;9,4;111,9
;III.;86,6;3,9;0,4;2,6;90,5;2,8;16,9;110,2
;IV.;83,8;3,2;0,3;2,4;87,1;3,5;12,1;102,7
2021.;I.;85,4;4,8;0,8;3,3;90,1;2,1;14,0;106,2
;II.;81,8;3,2;0,2;3,1;85,0;3,0;16,4;104,4
;III.;74,1;2,8;0,7;2,2;76,9;2,4;19,2;98,5
;IV.;69,3;3,2;0,7;2,3;72,5;3,0;14,9;90,4
2022.;I.;77,0;4,6;0,0;4,6;81,6;5,2;12,4;99,2
;II.;70,4;0,8;0,2;0,6;71,2;5,6;10,6;87,3
;III.;72,2;4,1;0,3;3,7;76,3;6,2;14,8;97,3
;IV.;;;;;;;;
nõ;;;;;;;;;
2009.;I.;134,3;4,8;1,0;3,6;139,1;15,7;23,4;178,2
;II.;135,4;4,5;0,6;3,5;139,9;15,9;20,5;176,4
;III.;143,0;4,9;0,6;4,0;147,9;17,8;26,6;192,3
;IV.;143,3;6,9;0,8;5,8;150,2;18,1;27,2;195,6
2010.;I.;155,5;10,2;2,1;7,8;165,8;20,7;24,4;210,9
;II.;147,1;10,5;1,9;8,3;157,6;21,7;24,3;203,6
;III.;150,1;8,8;1,9;6,6;158,8;19,9;30,2;209,0
;IV.;150,5;9,1;2,5;6,0;159,7;18,4;27,8;205,9
2011.;I.;159,4;9,9;1,7;7,4;169,3;24,0;23,9;217,2
;II.;156,4;7,0;1,0;5,4;163,4;24,4;25,4;213,2
;III.;154,1;6,6;1,5;4,6;160,7;21,1;31,2;213,0
;IV.;155,0;6,6;1,0;5,3;161,5;21,1;29,8;212,4
2012.;I.;166,5;6,3;0,7;5,1;172,7;24,3;28,5;225,5
;II.;151,9;4,4;0,3;3,9;156,3;21,3;28,0;205,7
;III.;147,6;4,1;0,5;3,5;151,7;16,1;35,4;203,2
;IV.;154,0;4,3;0,5;3,3;158,3;15,4;34,7;208,4
2013.;I.;155,2;6,4;0,5;5,6;161,6;18,5;32,2;212,3
;II.;143,3;6,0;0,8;4,9;149,3;20,9;33,9;204,1
;III.;133,2;6,4;2,3;3,9;139,6;21,3;39,4;200,3
;IV.;127,5;7,9;2,0;5,1;135,4;18,7;33,1;187,2
2014.;I.;117,5;7,3;2,7;3,9;124,8;16,0;30,2;171,1
;II.;113,3;7,0;2,5;3,7;120,3;17,0;30,0;167,3
;III.;102,6;6,4;1,1;5,1;109,0;16,9;33,0;158,9
;IV.;100,3;6,9;1,9;4,4;107,2;16,0;24,1;147,3
2015.;I.;115,9;4,9;0,3;3,7;120,8;17,7;22,5;161,0
;II.;105,6;3,2;...;3,2;108,9;15,7;22,3;146,8
;III.;92,7;4,1;0,9;2,9;96,8;16,8;27,0;140,7
;IV.;95,6;3,2;0,7;2,2;98,8;12,5;23,2;134,4
2016.;I.;89,9;2,8;0,8;1,8;92,8;13,1;19,7;125,6
;II.;68,9;1,9;0,3;1,3;70,9;11,2;20,6;102,6
;III.;72,2;3,1;1,1;2,0;75,3;10,3;19,0;104,6
;IV.;63,6;2,9;0,5;2,5;66,6;10,9;17,6;95,0
2017.;I.;70,3;3,0;0,6;2,4;73,3;10,2;14,2;97,8
;II.;67,8;3,6;0,2;3,3;71,5;9,7;15,0;96,2
;III.;62,1;3,1;0,6;2,4;65,2;8,8;23,3;97,3
;IV.;62,4;3,4;0,9;1,9;65,9;8,8;17,5;92,2
2018.;I.;65,3;3,7;0,1;3,4;69,0;9,0;11,5;89,4
;II.;55,5;3,6;...;2,6;59,1;5,6;12,1;76,9
;III.;66,5;1,8;0,1;1,4;68,3;7,0;17,1;92,4
;IV.;55,9;1,3;0,2;0,8;57,2;7,3;11,6;76,1
2019.;I.;58,9;0,6;...;0,6;59,5;4,4;11,2;75,1
;II.;50,7;1,1;...;0,9;51,8;4,5;10,9;67,3
;III.;54,7;2,5;0,8;1,6;57,2;4,1;16,0;77,3
;IV.;53,2;0,5;0,1;0,3;53,7;5,6;12,3;71,6
2020.;I.;61,7;0,4;0,1;0,0;62,1;6,8;12,0;81,0
;II.;78,7;1,8;0,8;1,0;80,5;2,2;19,6;102,2
;III.;70,2;3,6;1,5;1,8;73,8;6,5;17,4;97,6
;IV.;72,0;2,2;0,8;1,3;74,2;4,0;14,5;92,7
2021.;I.;84,7;1,7;0,1;1,6;86,4;5,4;16,7;108,5
;II.;70,4;2,2;0,3;1,9;72,6;5,1;15,8;93,6
;III.;66,0;3,3;0,4;2,7;69,3;3,8;18,1;91,2
;IV.;68,8;3,0;1,2;1,3;71,8;4,0;14,1;89,9
2022.;I.;65,7;0,6;0,0;0,6;66,3;4,7;10,9;81,9
;II.;53,9;0,4;0,1;0,3;54,3;5,7;9,5;69,6
;III.;60,3;0,7;0,1;0,4;60,9;6,2;13,9;81,0
;IV.;;;;;;;;
