21.1.3.1. A GDP nagysága (folyó áron) – ESA2010 [milliárd euró];;;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Ausztria;213,6;220,5;226,7;231,9;242,3;254,1;267,8;284,0;293,8;288,0;295,9;310,1;318,7;323,9;333,1;344,3;357,6;369,4;385,4;397,5;379,3;402,7
Belgium;256,4;264,3;273,3;281,2;296,8;310,0;325,2;343,6;351,7;346,5;363,1;376,0;386,2;392,9;403,0;416,7;430,1;445,1;460,1;478,2;456,7;506,2
Bulgária;14,4;15,9;17,5;18,8;21,1;24,0;27,4;32,4;37,2;37,4;38,3;41,5;42,3;42,1;43,0;45,8;48,8;52,5;56,2;61,6;61,3;67,9
Ciprus;10,8;11,6;12,1;12,9;13,9;15,0;16,3;17,6;19,0;18,7;19,4;19,8;19,4;18,0;17,4;17,9;18,9;20,2;21,6;23,0;21,6;23,4
Csehország;67,0;75,7;87,4;88,7;96,6;110,3;124,6;139,0;162,1;149,6;157,9;165,2;162,6;159,5;157,8;169,6;177,4;194,1;210,9;225,6;215,2;238,7
Dánia;178,0;184,0;189,8;193,4;202,4;212,8;225,5;233,4;241,6;231,3;243,2;247,9;254,6;258,7;265,8;273,0;283,1;294,8;302,3;310,5;312,5;335,7
Észtország;6,2;7,0;7,8;8,7;9,8;11,3;13,6;16,4;16,6;14,1;14,7;16,7;17,9;18,9;20,0;20,6;21,7;23,8;25,8;27,7;26,8;30,7
Finnország;136,4;144,6;148,5;151,7;158,8;164,7;172,9;187,1;194,3;181,7;188,1;198,0;201,0;204,3;206,9;211,4;217,5;226,3;233,5;239,9;238,0;251,4
Franciaország;1 478,6;1 538,2;1 587,8;1 630,7;1 704,0;1 765,9;1 848,2;1 941,4;1 992,4;1 936,4;1 995,3;2 058,4;2 088,8;2 117,2;2 149,8;2 198,4;2 234,1;2 297,2;2 363,3;2 437,6;2 310,5;2 500,9
Görögország;143,0;152,2;163,5;178,9;193,7;199,2;217,9;232,7;242,0;237,5;224,1;203,3;188,4;179,9;177,2;176,4;174,5;176,9;179,6;183,3;165,3;182,8
Hollandia;452,0;481,9;501,1;512,8;529,3;550,9;584,5;619,2;647,2;624,8;639,2;650,4;653,0;660,5;671,6;690,0;708,3;738,1;774,0;813,1;796,5;856,4
Horvátország;23,7;25,9;28,7;31,0;33,8;36,8;40,5;44,3;48,3;45,4;45,6;45,4;44,5;44,3;43,9;45,2;47,2;49,9;52,7;55,6;50,2;57,2
Írország;108,5;122,1;136,0;145,6;156,3;170,3;184,9;197,1;187,3;169,5;167,4;171,7;175,5;179,4;194,9;262,8;270,1;296,9;326,0;356,5;372,9;421,5
Lengyelország;186,7;212,8;210,6;192,6;206,1;246,2;274,5;313,8;366,0;317,0;362,2;379,9;387,9;392,3;409,0;430,5;427,1;467,4;497,8;533,6;526,4;574,4
Lettország;8,6;9,4;10,2;10,5;11,7;13,8;17,4;22,8;24,5;18,9;17,9;19,7;22,1;22,8;23,6;24,6;25,4;27,0;29,2;30,6;29,5;32,9
Litvánia;12,5;13,7;15,2;16,7;18,2;21,0;24,1;29,0;32,7;26,9;28,0;31,3;33,4;35,0;36,6;37,3;38,9;42,3;45,5;48,9;49,5;55,4
Luxemburg;23,0;23,9;25,0;26,2;28,2;30,3;34,2;37,6;40,0;39,1;42,4;44,3;46,5;49,1;51,8;54,1;56,2;58,2;60,4;62,7;64,2;73,3
