22.1.2.13. Állandó belföldi vándorlás megye és régió szerint;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Budapest;fõváros, régió;32 687;33 316;35 670;32 682;29 403;33 111;33 633;32 121;27 436;24 874;24 154;23 194;22 094;24 950;28 651;34 404;35 781;38 293;38 067;35 953;43 823
Pest ;megye, régió;25 086;26 416;28 420;26 258;25 850;31 242;33 538;32 287;28 759;28 159;27 974;27 891;27 303;30 505;31 998;37 775;39 439;41 889;41 303;38 218;46 106
Közép-Magyarország;nagyrégió;57 773;59 732;64 090;58 940;55 253;64 353;67 171;64 408;56 195;53 033;52 128;51 085;49 397;55 455;60 649;72 179;75 220;80 182;79 370;74 171;89 929
Fejér;megye;10 259;11 113;11 262;10 103;10 135;12 522;12 515;11 643;10 041;9 671;9 551;8 909;9 308;10 358;10 349;12 574;12 826;13 177;13 392;12 653;14 410
Komárom-Esztergom;megye;6 341;7 170;7 532;6 906;6 982;8 005;8 520;8 181;6 624;6 191;6 290;6 150;5 811;6 711;6 808;7 959;8 704;8 908;9 162;8 424;9 850
Veszprém;megye;9 156;10 144;10 463;8 883;8 920;10 116;10 311;9 637;8 432;7 925;8 094;7 420;7 725;8 572;8 876;10 086;10 654;11 107;11 273;10 536;12 372
Közép-Dunántúl;régió;25 756;28 427;29 257;25 892;26 037;30 643;31 346;29 461;25 097;23 787;23 935;22 479;22 844;25 641;26 033;30 619;32 184;33 192;33 827;31 613;36 632
Gyõr-Moson-Sopron;megye;7 761;8 899;9 032;8 272;8 506;10 369;10 165;9 682;8 540;8 188;8 234;7 926;8 339;9 724;10 085;11 214;11 868;12 165;12 285;12 701;14 061
Vas;megye;4 831;5 465;5 676;5 219;5 531;6 028;5 810;5 481;4 956;4 720;4 798;4 718;4 817;5 394;5 440;6 372;6 279;6 758;6 665;6 670;7 204
Zala;megye;6 331;6 541;6 782;6 440;6 888;7 917;8 041;7 355;6 926;6 424;6 740;6 287;6 214;6 460;6 723;7 619;8 263;8 551;9 061;8 185;9 326
Nyugat-Dunántúl;régió;18 923;20 905;21 490;19 931;20 925;24 314;24 016;22 518;20 422;19 332;19 772;18 931;19 370;21 578;22 248;25 205;26 410;27 474;28 011;27 556;30 591
Baranya;megye;10 677;11 797;11 817;10 343;10 971;11 766;11 704;10 826;9 762;9 577;9 253;8 930;8 796;9 893;9 271;10 680;10 826;11 437;12 408;11 205;12 672
Somogy;megye;9 037;9 239;9 343;8 455;9 198;10 236;10 109;9 484;8 477;8 388;8 190;7 949;7 927;8 852;8 517;9 799;10 009;10 532;10 768;9 873;11 192
Tolna ;megye;6 086;6 606;6 685;5 961;6 198;6 819;6 641;6 272;5 616;5 389;5 239;5 091;4 904;5 583;5 397;6 308;6 582;6 725;6 556;6 413;6 974
Dél-Dunántúl;régió;25 800;27 642;27 845;24 759;26 367;28 821;28 454;26 582;23 855;23 354;22 682;21 970;21 627;24 328;23 185;26 787;27 417;28 694;29 732;27 491;30 838
Dunántúl;nagyrégió;70 479;76 974;78 592;70 582;73 329;83 778;83 816;78 561;69 374;66 473;66 389;63 380;63 841;71 547;71 466;82 611;86 011;89 360;91 570;86 660;98 061
Borsod-Abaúj-Zemplén;megye;17 296;18 892;20 815;18 343;19 704;21 438;21 500;20 152;17 586;16 353;16 239;15 037;14 783;16 897;16 218;18 627;20 016;20 724;23 118;20 272;22 654
Heves;megye;7 890;8 263;8 792;7 927;8 164;9 122;9 206;8 648;8 031;7 536;7 548;7 379;7 250;8 023;7 701;9 316;9 331;10 076;9 789;9 055;10 610
Nógrád ;megye;4 679;5 004;5 088;4 642;4 921;5 575;5 789;5 488;5 005;4 906;4 708;4 601;4 147;4 748;4 703;5 450;5 566;6 076;6 027;5 748;6 610
Észak-Magyarország;régió;29 865;32 159;34 695;30 912;32 789;36 135;36 495;34 288;30 622;28 795;28 495;27 017;26 180;29 668;28 622;33 393;34 913;36 876;38 934;35 075;39 874
Hajdú-Bihar;megye;10 624;11 306;11 609;10 381;10 925;12 220;12 203;11 548;10 273;9 501;9 659;9 103;9 116;10 648;10 711;12 295;12 499;13 096;13 540;12 602;14 661
Jász-Nagykun-Szolnok;megye;8 384;8 821;9 106;8 465;8 985;10 078;9 659;9 262;8 395;7 698;7 582;7 340;7 677;8 280;8 019;9 196;9 492;9 799;10 045;9 601;10 742
Szabolcs-Szatmár-Bereg;megye;13 764;15 203;15 021;13 775;14 106;16 602;15 937;15 472;13 438;13 257;12 931;12 071;12 555;14 154;14 055;16 417;17 150;18 125;18 102;17 022;19 376
Észak-Alföld;régió;32 772;35 330;35 736;32 621;34 016;38 900;37 799;36 282;32 106;30 456;30 172;28 514;29 348;33 082;32 785;37 908;39 141;41 020;41 687;39 225;44 779
