kiskereskedelem 471–479";Szállítás, raktározás H;Szálláshely-szolgáltatás, vendéglátás I;Információ, kommunikáció J;Pénzügyi, biztosítási tevékenység K;Ingatlan-ügyletek L;Szakmai, tudományos, mûszaki tevékenység M;Adminisztratív és szolgáltatást támogató tevékenység N;"Közigazgatás, védelem; kötelezõ társadalom-biztosítás O";Oktatás P;Humán-egészségügyi, szociális ellátás Q;Mûvészet, szórakoztatás, szabad idõ R;Egyéb tevékenység S-U;Ebbõl: ipari szektor (B+C+D+E+F);Ebbõl: szolgáltatások (G–U);Összesen A–U;Nem besorolt;Foglalkoztatottak összesen
Együtt ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;III.;139,5;6,9;524,8;75,4;12,4;37,4;3,0;13,0;9,2;48,4;88,1;41,1;28,2;42,0;77,6;49,0;23,7;50,5;239,2;244,1;115,4;194,4;67,1;78,7;38,4;9,9;68,5;87,7;192,3;69,5;50,4;26,5;32,5;845,0;1 160,1;2 144,6;0,0;2 144,6
;IV.;132,4;6,5;542,1;77,8;13,4;39,3;4,3;14,7;9,2;48,5;87,2;43,4;28,6;47,4;74,4;53,9;25,3;47,9;233,8;240,2;117,2;192,5;64,6;73,2;38,1;10,2;71,0;90,2;208,6;70,7;50,8;24,6;30,3;855,6;1 165,0;2 153,0;0,0;2 153,0
2014.;I.;133,4;6,0;554,0;79,1;14,0;39,3;4,7;14,7;9,2;48,0;87,3;44,5;33,1;47,4;83,2;49,4;27,9;41,3;225,8;251,1;118,8;195,1;67,2;71,1;40,2;11,0;72,7;87,4;191,1;73,9;53,3;28,1;31,7;855,0;1 173,9;2 162,3;22,9;2 185,2
;II.;138,2;6,9;569,8;80,0;14,3;39,2;5,9;14,2;8,1;50,7;86,7;42,9;32,2;46,2;93,0;56,2;27,5;45,8;233,1;252,2;119,2;193,4;71,7;71,2;38,3;10,1;67,4;83,8;199,6;71,8;53,9;34,4;33,4;883,2;1 181,1;2 202,5;5,3;2 207,8
;III.;143,1;7,5;577,7;81,0;11,6;38,3;5,6;16,0;8,8;54,8;86,8;40,7;32,7;48,2;94,1;59,2;27,5;46,4;249,3;255,6;122,7;190,4;71,0;67,9;37,3;9,9;70,0;90,4;204,2;78,3;51,5;34,7;38,1;908,4;1 199,3;2 250,8;1,8;2 252,6
;IV.;147,4;7,9;578,4;81,0;12,4;39,8;5,8;16,8;8,6;54,1;88,7;41,9;33,1;44,7;94,6;56,9;26,6;41,5;250,2;245,0;120,5;189,2;72,1;67,1;32,7;10,0;64,1;89,4;212,7;77,9;52,1;35,4;36,2;904,7;1 183,8;2 236,0;2,1;2 238,1
2015.;I.;144,3;8,1;566,5;82,4;12,9;41,3;5,3;16,6;8,8;48,2;81,2;40,7;31,3;46,4;98,4;53,2;27,9;41,9;244,8;240,5;122,0;191,0;80,4;70,0;30,2;9,9;60,4;91,1;201,7;77,2;57,5;35,7;34,5;889,2;1 180,1;2 213,6;7,3;2 220,9
;II.;155,8;7,7;574,8;83,0;13,2;38,7;4,8;16,4;7,6;50,5;87,2;39,6;30,1;48,6;103,1;52,0;26,2;40,4;254,9;243,8;118,9;196,7;77,2;72,8;27,9;10,2;67,6;91,6;221,3;75,0;57,0;39,6;34,7;904,1;1 215,4;2 275,2;2,8;2 278,0
;III.;159,7;7,0;577,6;81,5;13,5;41,0;4,6;15,9;7,8;48,4;85,6;43,7;29,8;51,5;99,8;54,5;26,5;43,4;259,1;242,0;116,9;204,1;83,0;72,8;30,4;9,6;76,0;102,1;224,2;71,8;52,4;42,6;33,3;913,6;1 244,2;2 317,4;1,9;2 319,3
;IV.;155,5;8,3;582,3;79,9;13,9;38,0;2,6;14,3;8,7;48,6;85,4;46,8;31,5;52,2;103,0;57,3;26,2;47,2;259,1;240,6;110,7;206,6;86,1;73,4;28,5;9,0;72,9;100,5;220,8;73,0;51,1;40,9;33,5;923,2;1 236,9;2 315,6;2,4;2 318,0
2016.;I.;158,3;6,7;582,1;81,9;13,2;36,7;2,8;14,7;9,1;48,0;83,7;45,5;30,4;48,9;106,9;60,4;25,8;45,5;255,7;235,1;111,9;204,6;96,0;82,3;33,3;9,8;74,4;95,2;218,5;67,4;53,0;35,7;32,6;915,8;1 238,0;2 312,1;2,1;2 314,2
;II.;167,3;7,6;589,2;87,4;12,4;32,7;2,7;17,5;9,1;52,7;87,7;46,1;31,6;48,7;103,3;57,2;25,0;49,7;257,2;245,4;118,9;212,7;89,9;84,0;36,9;8,6;69,2;97,3;225,2;69,4;53,4;36,1;33,8;928,7;1 261,9;2 357,9;1,2;2 359,1
;III.;161,9;7,8;610,6;89,1;11,3;27,8;3,3;16,5;10,5;54,6;96,4;46,2;35,7;48,6;109,7;60,9;24,4;47,9;263,1;252,0;121,9;209,5;89,5;80,9;37,3;12,3;69,8;97,5;225,0;66,7;52,4;38,7;35,7;953,8;1 267,3;2 383,0;1,3;2 384,2
;IV.;158,4;6,3;615,6;84,6;12,6;31,0;2,7;17,3;11,2;63,2;95,1;44,0;34,7;45,4;109,0;64,9;25,2;49,1;259,3;250,4;121,5;215,4;89,9;81,4;36,9;12,3;64,0;98,2;229,5;72,1;55,5;38,9;33,0;955,6;1 277,5;2 391,5;1,6;2 393,1
2017.;I.;159,9;7,0;629,4;86,1;10,3;31,1;2,3;18,7;10,4;66,3;98,2;41,9;33,8;50,8;112,4;67,0;23,7;46,8;251,5;250,1;119,7;222,4;89,7;78,3;43,2;8,7;62,8;87,2;226,6;74,0;51,4;32,7;32,6;958,4;1 259,7;2 378,0;0,0;2 378,0
;II.;165,0;8,3;629,0;87,5;9,3;34,0;3,6;18,2;11,6;64,5;97,0;41,1;34,3;52,6;116,9;58,4;21,3;42,8;272,7;255,8;120,0;224,4;90,0;76,8;44,8;10,9;67,9;90,6;224,0;78,2;50,9;31,3;32,7;974,2;1 278,4;2 417,6;0,0;2 417,6
;III.;167,0;9,5;636,6;86,8;9,7;37,5;4,5;17,0;13,1;60,8;104,5;40,2;34,5;54,8;115,1;58,0;25,6;44,2;289,8;261,8;123,4;224,6;77,3;81,6;41,3;12,2;65,9;93,4;217,0;75,1;49,0;36,6;28,7;1 005,7;1 264,5;2 437,2;0,0;2 437,2
;IV.;166,2;8,3;646,1;84,8;10,1;39,4;4,2;15,8;17,2;61,1;100,8;41,5;34,1;55,2;120,6;61,3;30,7;45,7;293,5;256,2;130,8;224,7;76,0;84,6;36,7;16,2;63,5;90,3;210,7;74,4;49,6;36,6;27,0;1 024,4;1 246,4;2 437,0;0,0;2 437,0
2018.;I.;164,1;9,6;646,2;80,6;10,2;39,0;3,9;14,1;15,7;54,9;106,5;47,0;34,6;58,5;121,0;60,2;32,3;45,0;293,3;246,5;117,1;225,2;74,5;82,3;33,4;13,5;68,3;92,0;206,0;79,9;53,0;35,5;26,7;1 026,4;1 236,7;2 427,2;0,0;2 427,2
;II.;158,4;9,9;641,2;87,7;12,1;40,3;4,5;15,1;15,9;54,6;111,9;38,5;35,0;59,0;110,3;56,3;32,7;47,3;313,3;246,1;115,0;217,2;84,2;84,1;34,5;12,8;64,9;89,1;202,4;81,4;59,3;35,3;29,0;1 044,4;1 240,3;2 443,1;0,0;2 443,1
;III.;155,9;8,4;646,6;89,7;11,6;43,3;4,4;16,0;15,4;57,8;106,0;42,3;35,9;57,1;113,3;53,9;30,9;50,6;310,1;251,5;114,8;212,9;86,9;93,7;35,4;11,1;61,3;86,4;196,9;82,3;69,2;37,3;30,6;1 046,6;1 255,5;2 458,1;0,0;2 458,1
;IV.;165,3;7,2;652,8;92,9;12,9;43,3;4,5;17,9;15,2;57,9;106,9;48,6;34,1;48,6;115,5;54,5;30,8;46,7;309,1;244,8;112,9;221,0;81,5;94,5;34,5;10,1;62,3;78,5;193,2;79,7;75,0;39,3;30,2;1 046,6;1 244,6;2 456,6;0,0;2 456,6
2019.;I.;150,5;9,9;653,8;83,6;13,0;41,6;4,8;15,6;11,9;58,3;113,4;54,0;34,9;48,8;119,6;54,3;26,7;50,4;298,4;262,1;117,1;230,2;80,0;105,0;32,6;11,4;66,2;76,5;180,8;91,4;70,8;43,2;32,7;1 039,3;1 283,0;2 472,8;0,0;2 472,8
;II.;158,6;9,8;635,6;79,2;11,8;42,0;3,7;14,7;14,3;62,0;108,1;47,3;31,1;49,1;115,5;56,7;25,1;47,3;314,2;262,7;117,1;234,6;85,1;101,2;28,1;13,5;65,3;73,1;183,5;89,4;67,3;44,8;33,3;1 031,9;1 281,9;2 472,4;0,0;2 472,4
;III.;151,5;8,8;636,9;82,5;10,8;42,0;4,4;15,0;12,1;60,8;103,4;52,6;33,5;49,3;120,1;50,4;23,8;43,3;325,4;268,4;111,8;245,7;85,1;95,1;31,4;13,6;75,6;76,1;190,5;78,0;61,6;42,6;33,7;1 038,3;1 297,5;2 487,4;0,0;2 487,4
;IV.;155,9;8,3;638,0;82,3;8,4;38,5;4,6;17,3;12,8;61,7;101,4;53,8;30,4;46,4;127,5;53,0;26,2;46,2;332,3;277,3;118,2;224,0;77,9;92,7;34,5;13,7;82,9;72,3;186,1;78,2;63,2;42,5;35,5;1 051,0;1 280,7;2 487,7;0,0;2 487,7
2020.;I.;156,6;7,8;634,2;80,9;9,5;40,8;4,5;16,8;19,2;58,1;102,3;49,6;27,6;52,0;119,9;52,9;24,9;42,9;329,9;273,9;122,1;223,9;81,7;90,2;35,0;12,4;84,5;73,0;170,9;78,0;61,7;45,1;31,1;1 039,7;1 261,3;2 457,6;0,0;2 457,6
;II.;156,5;6,7;612,8;79,1;9,1;37,3;4,1;19,6;14,5;55,4;101,1;52,6;28,7;51,5;112,5;47,3;28,4;46,9;320,9;267,2;112,3;215,6;68,8;102,9;41,2;16,1;89,3;75,9;161,8;82,8;62,7;45,5;31,1;1 015,7;1 260,8;2 432,9;0,0;2 432,9
;III.;155,5;6,5;616,2;79,7;8,5;36,3;3,5;17,1;14,5;57,1;101,3;47,5;32,5;50,8;117,0;50,5;26,6;43,7;337,9;283,2;128,4;206,0;77,9;113,1;34,0;13,9;94,5;79,0;180,2;77,2;61,5;41,1;29,8;1 030,9;1 291,2;2 477,6;0,0;2 477,6
;IV.;152,6;6,5;620,6;81,4;7,7;40,0;2,9;18,5;16,1;58,5;101,1;50,7;29,8;44,8;110,9;58,4;29,0;39,5;341,3;284,6;120,1;202,5;77,4;118,9;34,3;16,4;99,5;73,5;180,7;77,2;59,6;38,2;27,8;1 036,9;1 290,6;2 480,1;0,0;2 480,1
2021.;I.;147,7;5,6;608,9;80,7;11,0;39,1;5,3;16,1;18,1;59,1;100,7;43,0;29,1;47,7;106,0;53,0;29,0;38,4;345,6;266,6;108,7;211,4;63,1;117,6;36,8;13,8;100,1;76,2;178,0;86,7;67,4;37,3;26,1;1 027,4;1 281,0;2 456,1;0,0;2 456,1
;II.;144,5;4,7;612,1;79,3;8,2;44,9;3,3;18,4;18,8;58,2;101,1;44,4;30,9;48,8;99,3;56,5;31,5;37,6;345,9;262,5;114,0;211,7;74,6;116,3;38,0;17,6;98,9;77,3;173,6;87,2;64,4;36,3;29,2;1 031,7;1 287,5;2 463,8;0,0;2 463,8
;III.;147,3;4,0;600,6;80,2;6,6;42,7;3,7;16,2;17,8;62,9;95,1;42,3;30,7;47,4;100,1;55,1;29,0;39,7;347,6;261,1;108,0;216,8;83,3;120,5;40,5;17,7;105,1;80,1;179,3;83,1;60,5;36,9;26,0;1 020,9;1 310,9;2 479,1;0,0;2 479,1
;IV.;142,0;4,0;599,5;72,1;6,5;42,2;5,5;16,2;18,1;65,1;94,8;45,1;33,0;47,0;96,6;57,3;27,1;45,7;336,9;275,2;114,1;217,8;80,0;125,8;40,2;20,4;107,6;76,3;183,0;81,2;56,1;42,4;26,8;1 013,2;1 332,9;2 488,2;0,0;2 488,2
2022.;I.;142,1;3,5;594,7;70,6;6,0;42,8;4,7;18,2;18,6;64,0;99,8;43,7;32,9;45,6;94,6;53,1;28,8;44,9;344,8;279,4;117,0;216,0;76,4;121,7;39,0;18,5;111,1;69,4;179,7;77,2;61,6;43,0;30,2;1 016,6;1 323,2;2 481,9;0,0;2 481,9
;II.;148,3;5,0;595,8;67,8;8,3;44,0;5,2;17,0;19,1;61,2;100,9;43,6;33,9;46,3;95,0;53,5;29,8;46,6;351,2;275,0;114,5;218,9;80,9;120,9;37,4;16,8;108,7;73,2;180,2;74,4;61,5;38,6;28,3;1 028,3;1 314,9;2 491,6;0,0;2 491,6
;III.;148,9;5,2;600,5;70,0;8,6;41,3;4,2;18,6;14,2;67,2;97,5;41,5;35,5;48,9;95,2;57,8;29,9;42,4;357,8;284,2;118,7;221,9;77,7;126,4;34,5;17,8;105,8;71,3;178,4;78,2;56,5;35,6;30,4;1 035,7;1 318,6;2 503,2;0,0;2 503,2
;IV.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nõ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009.;I.;46,2;1,1;335,8;54,2;60,0;23,6;1,9;7,9;9,6;26,5;18,1;40,5;33,9;9,7;29,1;20,8;8,8;11,5;22,7;318,0;254,2;70,4;89,2;36,1;73,7;10,9;82,2;54,5;157,6;248,0;196,8;28,1;63,9;379,9;1 429,6;1 855,7;6,8;1 862,6
;II.;47,0;0,9;324,4;51,9;59,8;20,4;2,2;7,7;10,4;27,9;17,1;39,2;29,9;9,4;27,7;20,8;10,4;10,2;22,6;319,8;251,8;74,4;91,2;28,0;72,2;10,5;80,4;51,7;169,2;260,3;197,0;30,3;62,3;368,5;1 447,4;1 862,9;7,1;1 870,0
;III.;47,1;0,8;321,8;56,3;57,9;20,4;2,2;6,8;11,6;26,1;16,1;38,7;27,0;9,8;28,7;20,2;11,4;9,3;24,4;315,2;247,1;69,6;87,9;27,9;73,8;12,2;76,9;50,1;174,2;262,1;204,8;31,5;62,4;367,5;1 448,6;1 863,3;7,1;1 870,5
;IV.;46,5;0,5;329,7;55,7;60,8;21,8;2,4;6,9;12,4;26,6;15,5;42,4;27,4;9,5;28,8;19,7;10,4;10,4;22,1;309,1;248,8;67,4;89,9;31,1;71,9;12,0;80,6;54,2;173,8;261,9;203,4;29,4;60,3;373,2;1 444,9;1 864,7;6,1;1 870,8
2010.;I.;40,0;0,8;325,6;52,7;57,4;21,0;2,6;7,9;12,8;25,4;13,8;44,6;26,7;9,4;30,8;20,6;11,8;9,1;23,7;312,4;253,0;68,2;86,4;34,5;68,2;10,4;81,7;55,0;173,3;259,3;207,4;30,3;63,0;371,1;1 450,0;1 861,1;6,9;1 867,9
;II.;44,2;1,2;331,6;54,8;56,2;20,0;2,1;8,1;12,1;26,2;16,1;45,7;28,3;8,3;31,6;22,2;11,8;9,5;24,3;309,9;251,3;70,8;90,9;35,7;68,6;10,8;80,1;52,8;171,6;255,9;210,9;31,3;62,1;378,5;1 451,4;1 874,1;6,2;1 880,2
;III.;45,7;0,7;337,6;57,8;54,7;21,3;2,2;9,8;10,7;25,2;17,0;50,0;29,1;7,6;30,7;21,4;12,0;9,6;26,0;318,7;259,9;69,8;90,2;33,4;66,4;10,9;71,1;50,3;173,6;260,4;209,0;33,8;62,6;385,8;1 450,2;1 881,7;5,4;1 887,2
;IV.;42,7;1,5;334,3;56,7;52,7;22,7;2,1;8,4;12,8;24,4;15,5;49,4;33,1;7,8;30,9;17,9;10,0;10,2;21,5;322,0;264,4;65,6;89,2;38,0;65,1;12,9;76,0;48,5;175,0;256,3;212,0;33,8;64,3;377,5;1 458,8;1 878,9;5,1;1 884,1
2011.;I.;43,9;1,5;329,5;54,3;49,5;19,4;2,1;7,5;12,0;24,9;15,7;54,6;30,1;9,3;32,2;17,9;10,2;11,6;20,2;313,7;255,0;71,0;98,0;37,5;65,6;13,1;77,0;47,7;152,8;259,3;208,6;30,1;64,1;373,0;1 438,6;1 855,6;6,3;1 861,8
;II.;47,5;1,8;332,1;52,2;50,3;17,1;2,1;7,7;13,5;25,4;16,4;53,5;30,9;8,9;34,2;19,7;10,9;12,6;21,7;308,3;250,3;73,2;103,7;31,8;64,9;11,4;77,6;51,7;166,9;258,5;201,1;32,0;64,6;379,1;1 445,6;1 872,1;4,9;1 877,0
;III.;52,4;1,6;341,0;55,2;55,9;16,6;2,2;6,3;13,4;28,4;15,6;51,2;28,2;8,7;38,7;20,6;11,1;13,9;20,2;311,9;250,2;72,2;102,9;26,0;63,2;10,1;81,3;55,4;168,8;252,2;205,4;33,7;61,4;387,8;1 444,5;1 884,7;4,3;1 888,9
;IV.;50,6;1,5;331,5;53,3;53,9;15,9;2,4;4,9;11,9;29,4;14,7;52,8;24,3;10,0;37,8;20,2;10,1;14,3;21,3;319,7;253,3;73,1;100,9;26,9;62,8;10,4;77,9;59,2;164,5;257,6;211,0;32,6;61,9;378,7;1 458,4;1 887,7;5,8;1 893,5
2012.;I.;48,6;0,6;319,8;50,5;51,3;15,4;2,4;4,4;13,6;28,7;13,0;46,8;22,6;10,1;40,4;20,7;10,4;16,2;22,9;321,5;253,6;70,6;97,1;29,0;60,3;10,9;77,4;57,3;159,6;251,8;217,4;33,9;59,2;369,8;1 445,9;1 864,4;6,4;1 870,7
;II.;52,9;1,3;316,3;50,6;50,2;14,6;2,1;5,7;13,1;29,0;13,5;42,7;23,1;9,6;40,0;22,0;8,7;15,8;22,9;329,6;266,2;70,7;102,8;28,2;64,2;10,5;84,5;61,9;166,5;256,6;215,0;33,0;61,4;365,0;1 484,7;1 902,6;4,7;1 907,2
;III.;54,1;1,4;323,7;56,8;49,4;15,6;1,4;7,5;14,9;28,6;14,9;40,0;24,9;10,2;38,1;21,3;9,5;17,0;22,6;325,9;265,0;68,4;104,2;34,6;65,9;10,7;85,7;57,6;181,0;251,8;222,1;35,5;66,0;374,2;1 509,5;1 937,7;3,7;1 941,4
;IV.;49,6;1,4;313,8;57,5;49,0;16,3;1,2;7,2;16,5;25,8;12,3;38,9;25,8;9,1;33,2;21,0;9,1;16,1;24,3;317,2;253,9;66,2;97,2;36,1;70,9;11,6;85,2;52,9;175,8;257,5;223,7;37,6;68,3;364,7;1 500,0;1 914,4;3,4;1 917,8
2013.;I.;46,3;0,9;313,5;58,8;50,7;16,5;0,7;6,4;15,4;23,6;14,5;37,1;25,0;10,0;36,7;18,2;11,0;12,3;23,4;314,8;253,9;68,8;92,1;40,1;67,9;10,1;90,8;52,5;173,2;253,4;219,3;35,2;61,8;361,2;1 480,1;1 887,5;5,3;1 892,8
;II.;51,7;0,5;314,6;58,4;51,8;17,8;0,8;6,0;16,6;21,5;15,6;35,6;23,1;9,9;38,9;18,6;8,7;13,8;20,4;314,5;251,2;67,5;100,8;37,4;67,4;12,0;91,0;50,6;197,5;256,9;218,0;31,8;60,9;358,1;1 506,4;1 916,2;5,0;1 921,3
;III.;50,3;0,8;334,5;57,1;51,5;19,7;0,7;6,5;15,7;24,1;17,6;37,7;24,5;12,9;42,5;23,9;9,3;13,4;19,0;309,9;250,6;69,7;102,5;38,3;60,0;9,3;92,7;57,9;198,9;251,3;219,8;30,1;64,5;377,0;1 504,9;1 932,2;5,0;1 937,1
;IV.;46,5;2,3;337,1;65,0;47,5;19,2;0,7;9,4;13,3;22,4;18,4;38,0;25,8;12,6;43,0;21,9;8,6;12,6;19,3;318,0;256,7;68,4;99,1;39,0;62,0;8,4;92,7;54,4;203,9;251,3;225,3;29,2;67,0;379,8;1 518,9;1 945,1;2,3;1 947,5
2014.;I.;47,3;1,8;333,9;60,3;45,1;22,6;0,8;8,7;11,3;23,8;19,9;38,1;25,2;11,9;45,7;20,4;11,7;12,4;19,1;323,4;259,3;69,1;96,5;40,0;64,1;11,5;90,3;60,5;197,3;259,2;220,4;27,9;68,9;378,9;1 529,1;1 955,4;24,6;1 980,0
;II.;51,0;2,3;337,3;63,8;47,2;23,1;0,8;10,3;11,4;22,1;20,2;35,7;24,5;11,4;46,1;20,9;11,0;11,6;18,8;314,9;252,8;72,5;103,4;38,2;64,4;10,0;89,9;63,9;209,9;256,3;226,4;30,7;68,2;381,1;1 548,7;1 980,8;7,8;1 988,6
;III.;54,1;2,8;342,7;66,1;48,9;21,2;0,9;11,8;11,0;24,3;17,7;37,3;24,4;12,0;44,7;22,4;9,9;14,0;19,9;323,9;262,9;73,3;104,4;34,9;65,0;11,8;90,4;62,5;218,0;260,8;226,1;31,4;67,2;389,4;1 569,6;2 013,1;4,5;2 017,6
;IV.;50,0;1,9;341,5;68,1;48,1;21,5;0,8;10,3;12,6;25,0;18,8;39,4;22,5;11,7;41,0;21,6;7,8;13,5;21,3;317,8;262,3;73,3;106,7;37,1;61,5;11,3;92,2;61,8;224,9;261,3;228,1;36,1;67,9;386,1;1 580,1;2 016,1;4,7;2 020,7
2015.;I.;47,8;1,5;340,9;64,3;51,1;20,1;0,6;8,9;13,4;25,2;18,9;35,4;22,7;12,6;44,6;23,0;6,9;13,7;20,9;323,7;268,4;75,4;103,9;33,8;60,7;8,7;98,4;62,6;214,2;253,2;229,2;36,5;70,5;383,9;1 570,8;2 002,6;12,4;2 014,9
;II.;53,1;1,5;341,1;60,6;53,7;17,6;0,6;9,1;14,8;25,4;16,9;34,1;23,6;13,1;44,7;27,0;8,9;14,5;18,9;315,2;266,5;75,4;106,0;33,8;63,4;8,9;96,5;62,0;236,4;265,1;228,2;39,0;73,4;385,0;1 603,5;2 041,5;4,4;2 046,0
;III.;52,5;1,0;347,9;63,6;53,1;19,2;0,6;9,6;16,0;25,0;16,1;35,5;24,5;14,8;47,0;23,0;7,6;13,5;17,9;323,5;274,4;68,9;112,5;38,8;66,1;9,3;92,8;62,9;251,7;254,1;224,9;45,2;75,3;387,9;1 626,0;2 066,3;4,7;2 071,1
;IV.;52,8;1,5;355,2;61,1;55,0;17,9;0,3;8,4;16,3;25,7;16,0;36,5;27,1;15,5;49,2;26,3;8,4;14,4;19,6;318,6;269,4;69,8;106,9;37,1;66,8;10,5;89,3;63,8;253,5;257,2;222,5;45,6;75,1;399,0;1 616,6;2 068,3;3,9;2 072,2
2016.;I.;55,9;1,9;352,4;59,1;50,6;18,2;0,8;8,9;17,6;24,7;14,1;37,2;25,7;17,7;53,1;24,8;7,9;11,5;17,8;317,2;264,3;68,7;106,3;39,4;71,4;10,8;86,7;64,9;253,0;257,8;232,5;44,0;70,9;391,6;1 623,5;2 071,1;5,2;2 076,3
;II.;59,6;2,4;349,4;56,8;48,7;15,7;0,8;9,6;15,4;25,4;14,8;37,5;29,9;18,5;51,5;24,9;9,4;11,2;20,4;335,5;278,9;70,1;108,2;43,9;66,8;10,0;83,0;63,8;268,7;256,7;237,7;42,4;72,5;392,9;1 659,3;2 111,8;5,5;2 117,3
;III.;61,8;2,3;360,9;64,3;46,1;15,9;1,7;11,3;13,6;28,1;13,2;43,1;31,5;17,1;49,8;25,3;9,9;12,9;21,7;325,7;274,4;66,8;108,9;43,5;65,5;11,3;89,1;76,1;261,9;273,9;230,5;42,8;65,8;407,7;1 661,8;2 131,3;5,6;2 136,8
;IV.;55,1;0,9;374,2;65,2;47,6;16,8;2,9;12,6;15,0;31,4;15,5;41,2;32,9;18,9;50,2;24,2;10,3;12,4;22,7;320,8;270,2;71,4;114,4;40,0;59,3;13,3;91,6;72,0;249,5;277,6;242,5;44,7;69,7;420,5;1 666,8;2 142,4;5,4;2 147,8
2017.;I.;53,0;0,8;371,9;62,0;46,3;16,3;2,8;10,5;16,6;31,1;18,1;38,9;33,0;18,2;51,4;26,9;11,7;11,9;25,6;309,2;261,4;74,7;116,3;31,2;57,7;13,4;95,5;70,6;256,0;266,4;241,4;37,9;71,4;422,0;1 641,4;2 116,4;3,6;2 120,0
;II.;56,8;1,6;378,1;65,2;42,6;14,6;3,0;11,4;16,7;34,2;20,7;36,7;34,7;16,2;56,2;25,7;10,3;9,2;26,4;303,1;250,0;75,6;115,7;32,6;53,6;18,2;100,8;66,1;261,2;254,2;249,3;38,5;70,4;425,6;1 639,2;2 121,5;1,9;2 123,4
;III.;61,7;1,0;379,4;63,6;43,3;16,8;3,1;11,5;16,6;32,5;19,3;38,2;35,2;16,3;55,8;27,2;10,3;10,6;28,7;324,8;268,3;69,1;114,6;33,7;57,7;13,3;100,2;65,1;251,7;255,6;248,0;38,4;72,2;430,0;1 644,3;2 136,0;1,9;2 138,0
;IV.;60,0;0,9;380,9;65,7;41,9;20,2;2,5;10,8;19,7;27,0;18,9;40,2;31,6;14,0;61,2;27,2;9,8;11,5;29,5;330,0;273,7;68,9;102,4;30,5;54,0;14,3;95,1;69,2;252,1;268,3;252,3;35,6;75,2;432,6;1 647,9;2 140,6;1,8;2 142,4
2018.;I.;56,2;1,4;379,2;57,4;44,0;21,6;2,0;10,3;19,4;27,6;20,5;37,7;30,6;17,2;61,8;29,1;9,7;12,4;28,4;325,1;267,9;70,4;102,6;31,1;55,4;16,5;99,4;66,4;241,7;277,8;248,9;38,7;79,0;431,1;1 653,1;2 140,4;3,0;2 143,4
;II.;57,6;2,6;382,1;56,2;43,2;24,4;1,1;10,0;17,6;27,0;19,6;42,2;29,1;16,3;63,7;31,7;10,4;11,3;25,9;328,0;265,5;71,9;106,6;28,1;59,4;15,5;93,6;70,4;244,7;274,3;256,7;45,1;76,8;432,4;1 671,2;2 161,1;2,7;2 163,8
;III.;56,5;1,2;390,7;64,5;44,7;24,5;0,9;11,2;15,4;28,2;20,9;41,6;29,7;14,5;67,4;27,1;11,0;12,1;25,7;333,4;266,7;74,1;100,9;27,4;63,2;15,5;97,7;69,5;232,7;273,2;254,9;49,1;76,6;440,6;1 668,2;2 165,3;4,0;2 169,4
;IV.;55,6;1,6;393,3;61,9;44,9;26,8;1,0;9,1;14,8;30,5;21,4;44,0;32,0;13,5;67,8;25,6;12,4;12,0;29,2;318,0;257,0;73,9;106,3;33,0;61,9;13,5;95,5;65,5;233,1;276,4;254,4;49,2;75,6;448,4;1 656,4;2 160,4;3,6;2 164,0
2019.;I.;55,5;2,4;378,1;64,2;44,2;25,8;1,5;7,4;12,4;31,9;23,1;39,6;31,6;11,1;59,4;26,1;12,9;12,6;25,4;322,5;256,4;74,9;115,4;31,5;56,7;13,4;99,0;64,1;234,1;280,1;259,6;44,3;70,5;431,5;1 666,0;2 152,9;5,3;2 158,2
;II.;63,6;2,4;386,5;70,1;45,1;23,7;1,6;7,7;12,0;35,8;23,5;40,6;29,9;13,8;58,6;24,3;8,6;11,0;26,6;323,6;255,1;71,0;113,2;39,4;50,3;12,9;99,2;71,6;240,4;276,6;258,5;39,4;69,7;435,1;1 665,7;2 164,4;6,3;2 170,7
;III.;57,3;2,3;377,7;69,5;38,0;22,9;1,0;10,3;11,6;32,5;23,0;43,1;28,9;14,4;60,7;21,8;8,3;11,0;27,8;327,9;255,5;70,5;110,3;40,4;45,9;13,0;101,2;73,6;232,7;270,7;273,8;35,6;81,7;427,1;1 677,3;2 161,7;5,1;2 166,8
;IV.;57,8;2,1;376,6;66,5;39,6;20,1;1,0;11,1;11,0;32,0;20,3;45,6;28,8;15,7;65,0;20,0;9,6;11,9;27,9;331,5;264,6;74,3;106,7;40,2;42,2;10,3;105,6;73,0;230,8;274,9;265,9;40,1;76,9;428,0;1 672,4;2 158,3;4,0;2 162,3
2020.;I.;58,8;2,4;374,2;65,5;37,6;21,6;1,3;10,0;11,3;33,2;24,1;43,2;28,1;14,6;61,2;22,5;10,0;10,7;28,4;321,5;255,5;71,2;109,4;37,4;50,9;10,0;100,1;73,9;225,9;261,8;275,9;39,8;82,5;425,6;1 660,4;2 144,8;4,4;2 149,2
