kiskereskedelem 471–479";Szállítás, raktározás H;Szálláshely-szolgáltatás, vendéglátás I;Információ, kommunikáció J;Pénzügyi, biztosítási tevékenység K;Ingatlan-ügyletek L;Szakmai, tudományos, mûszaki tevékenység M;Adminisztratív és szolgáltatást támogató tevékenység N;"Közigazgatás, védelem; kötelezõ társadalom-biztosítás O";Oktatás P;Humán-egészségügyi, szociális ellátás Q;Mûvészet, szórakoztatás, szabad idõ R;Egyéb tevékenység S-U;Ebbõl: ipari szektor (B+C+D+E+F);Ebbõl: szolgáltatások (G–U);Összesen A–U;Nem besorolt;Foglalkoztatottak összesen
Együtt ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;IV.;213,4;7,2;989,8;149,7;60,1;47,8;5,6;29,8;26,1;94,6;110,7;85,2;67,7;64,4;159,1;89,0;35,6;61,5;282,0;571,2;391,6;286,8;204,4;121,4;96,2;25,5;155,6;170,2;479,0;349,7;298,0;83,6;102,7;1 376,1;2 944,3;4 533,9;7,0;4 540,9
2017.;I.;212,8;7,8;1 001,4;148,1;56,6;47,3;5,1;29,2;27,0;97,4;116,3;80,8;66,8;69,0;163,7;93,9;35,4;58,7;277,1;559,3;381,2;297,1;206,0;109,4;100,9;22,1;158,2;157,8;482,5;340,4;292,8;70,7;104,0;1 380,3;2 901,2;4 494,3;3,6;4 498,0
;II.;221,8;9,9;1 007,1;152,7;51,9;48,6;6,7;29,6;28,4;98,7;117,6;77,8;69,0;68,8;173,1;84,1;31,6;52,0;299,2;558,9;370,1;300,0;205,7;109,4;98,3;29,1;168,7;156,7;485,2;332,4;300,2;69,8;103,1;1 399,8;2 917,6;4 539,1;1,9;4 541,0
;III.;228,7;10,5;1 016,0;150,4;53,0;54,2;7,7;28,5;29,7;93,3;123,7;78,4;69,8;71,1;170,9;85,2;36,0;54,7;318,5;586,6;391,7;293,7;191,9;115,3;99,0;25,4;166,1;158,5;468,7;330,8;297,0;75,0;100,9;1 435,6;2 908,9;4 573,2;1,9;4 575,2
;IV.;226,2;9,3;1 027,0;150,5;52,0;59,6;6,7;26,7;36,9;88,1;119,7;81,6;65,7;69,2;181,8;88,4;40,5;57,2;323,0;586,1;404,5;293,6;178,5;115,1;90,7;30,5;158,6;159,4;462,7;342,6;302,0;72,3;102,3;1 457,0;2 894,3;4 577,5;1,8;4 579,3
2018.;I.;220,3;11,0;1 025,4;138,0;54,2;60,7;5,9;24,3;35,1;82,4;127,1;84,7;65,2;75,6;182,9;89,3;42,0;57,4;321,7;571,5;385,0;295,6;177,1;113,4;88,8;30,0;167,7;158,4;447,7;357,7;301,9;74,2;105,7;1 457,5;2 889,8;4 567,6;3,0;4 570,6
;II.;215,9;12,5;1 023,3;143,9;55,2;64,8;5,7;25,1;33,5;81,6;131,5;80,6;64,1;75,3;174,1;88,0;43,0;58,6;339,2;574,0;380,6;289,0;190,9;112,2;93,9;28,3;158,5;159,5;447,1;355,7;316,0;80,5;105,8;1 476,8;2 911,5;4 604,2;2,7;4 606,9
;III.;212,4;9,6;1 037,3;154,2;56,3;67,8;5,3;27,2;30,8;86,0;126,9;83,8;65,6;71,6;180,7;81,0;41,8;62,7;335,8;584,8;381,4;287,0;187,8;121,1;98,7;26,6;159,0;155,9;429,7;355,5;324,1;86,4;107,2;1 487,2;2 923,7;4 623,4;4,0;4 627,4
;IV.;220,9;8,8;1 046,1;154,8;57,8;70,1;5,4;27,0;30,0;88,5;128,2;92,7;66,2;62,0;183,2;80,1;43,2;58,7;338,3;562,7;369,9;294,8;187,9;127,5;96,4;23,6;157,7;144,0;426,4;356,2;329,5;88,5;105,8;1 495,0;2 901,0;4 617,0;3,6;4 620,6
2019.;I.;206,0;12,3;1 032,0;147,8;57,2;67,4;6,4;23,0;24,3;90,3;136,5;93,5;66,5;59,9;179,0;80,3;39,6;63,0;323,8;584,6;373,5;305,1;195,4;136,4;89,3;24,8;165,2;140,6;414,9;371,5;330,4;87,5;103,3;1 470,7;2 949,0;4 625,7;5,3;4 631,0
;II.;222,3;12,2;1 022,0;149,3;56,9;65,7;5,3;22,4;26,3;97,8;131,6;87,9;61,0;62,8;174,1;81,0;33,7;58,3;340,8;586,2;372,2;305,6;198,3;140,6;78,3;26,3;164,5;144,8;423,9;366,0;325,8;84,2;103,0;1 467,0;2 947,5;4 636,8;6,3;4 643,1
;III.;208,8;11,2;1 014,6;152,0;48,9;64,9;5,4;25,3;23,7;93,3;126,4;95,7;62,4;63,7;180,8;72,2;32,2;54,3;353,2;596,3;367,3;316,3;195,4;135,5;77,3;26,6;176,8;149,7;423,2;348,7;335,5;78,2;115,4;1 465,4;2 974,9;4 649,1;5,1;4 654,2
;IV.;213,7;10,4;1 014,6;148,9;48,1;58,5;5,5;28,4;23,8;93,7;121,7;99,4;59,1;62,1;192,4;73,0;35,8;58,1;360,2;608,9;382,8;298,3;184,6;132,9;76,7;23,9;188,5;145,3;416,9;353,1;329,1;82,5;112,4;1 479,1;2 953,1;4 646,0;4,0;4 649,9
2020.;I.;215,5;10,1;1 008,3;146,4;47,2;62,4;5,7;26,8;30,5;91,3;126,4;92,8;55,7;66,7;181,1;75,4;34,9;53,7;358,2;595,5;377,6;295,1;191,2;127,6;85,8;22,4;184,5;146,8;396,8;339,8;337,6;84,9;113,6;1 465,2;2 921,7;4 602,4;4,4;4 606,8
;II.;213,7;9,1;976,3;143,8;44,7;57,6;4,9;28,3;26,1;83,2;122,9;99,0;57,7;66,0;173,8;68,0;38,3;59,0;351,8;582,6;360,1;290,4;160,4;147,0;93,6;30,3;189,0;138,1;401,5;351,5;335,7;85,9;97,2;1 434,5;2 903,1;4 551,4;5,0;4 556,4
;III.;213,8;8,2;991,7;151,6;42,5;57,8;5,2;23,9;29,1;87,4;121,3;90,8;59,9;69,2;179,3;73,9;31,9;54,5;368,2;610,8;377,7;272,6;182,1;155,7;88,1;27,5;195,0;145,3;409,3;349,5;330,9;81,6;107,3;1 454,6;2 955,6;4 623,9;3,3;4 627,2
;IV.;212,6;7,3;982,3;146,7;42,2;61,7;4,0;26,0;32,4;87,9;122,0;92,3;52,4;60,6;172,2;81,7;36,1;51,3;368,1;602,9;367,4;263,9;174,1;159,8;93,9;30,7;206,4;141,6;418,6;346,5;335,7;78,5;109,1;1 445,1;2 961,7;4 619,4;3,2;4 622,6
2021.;I.;203,0;6,2;965,3;144,6;44,1;61,5;6,0;24,9;33,7;88,2;119,8;80,9;56,9;62,6;167,1;75,0;37,8;53,1;375,3;570,7;350,8;280,4;141,8;162,3;91,9;26,2;210,6;138,9;426,5;369,8;323,4;79,2;105,1;1 437,8;2 926,8;4 567,6;0,0;4 567,6
