23.1.2.7. Szakiskolai és készségfejlesztõ iskolai oktatás és nevelés megye és régió szerint;;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2000/2001;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;2021/2022
Feladatellátási hely;;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;12;16;17;20;19;20;22;22;24;24;23;23;24;24;27;21;22;26;27;28;27;28
Pest ;megye, régió;7;9;8;7;7;7;7;7;6;6;6;6;6;6;6;6;9;13;11;10;8;8
Közép-Magyarország;nagyrégió;19;25;25;27;26;27;29;29;30;30;29;29;30;30;33;27;31;39;38;38;35;36
Fejér ;megye;6;7;6;6;7;7;8;10;10;10;10;10;10;10;11;9;10;11;13;13;14;14
Komárom-Esztergom ;megye;3;4;5;6;6;6;6;6;6;6;6;6;6;6;5;5;5;9;9;9;9;9
Veszprém ;megye;8;10;9;9;9;10;9;8;9;8;8;8;8;7;9;7;8;9;10;10;10;10
Közép-Dunántúl;régió;17;21;20;21;22;23;23;24;25;24;24;24;24;23;25;21;23;29;32;32;33;33
Gyõr-Moson-Sopron ;megye;6;6;6;5;5;7;7;8;8;8;8;8;8;8;7;7;7;9;9;9;9;9
Vas;megye;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;4;4;5;5
Zala ;megye;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;5;5;8;8;8;8;8
Nyugat-Dunántúl;régió;13;13;13;13;13;15;15;16;16;16;16;16;16;16;16;15;15;22;21;21;22;22
Baranya;megye;7;8;7;7;7;8;9;9;9;10;9;10;11;11;12;8;9;14;14;14;14;15
Somogy ;megye;2;3;4;5;5;5;7;7;7;6;6;5;5;5;5;5;5;7;7;8;7;8
Tolna ;megye;2;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;5;5;7;8;5;5
Dél-Dunántúl;régió;11;14;14;15;15;16;19;19;19;19;18;18;20;20;21;17;19;26;28;30;26;28
Dunántúl;nagyrégió;41;48;47;49;50;54;57;59;60;59;58;58;60;59;62;53;57;77;81;83;81;83
Borsod-Abaúj-Zemplén;megye;6;8;7;7;7;7;8;9;9;10;10;11;10;14;11;8;13;17;18;15;14;14
Heves ;megye;2;3;4;4;4;4;5;6;6;6;6;6;6;5;6;6;7;8;8;8;7;7
Nógrád ;megye;4;5;5;5;5;5;5;5;5;5;5;5;5;4;3;3;5;6;6;5;5;5
Észak-Magyarország;régió;12;16;16;16;16;16;18;20;20;21;21;22;21;23;20;17;25;31;32;28;26;26
Hajdú-Bihar ;megye;5;10;11;11;10;10;10;10;10;10;9;9;9;8;7;5;5;5;5;4;4;5
Jász-Nagykun-Szolnok;megye;2;2;2;4;4;4;4;4;4;6;6;6;6;6;6;5;7;10;9;8;8;9
Szabolcs-Szatmár-Bereg;megye;5;5;7;7;7;7;7;7;7;7;6;6;6;5;4;4;4;5;5;6;6;6
Észak-Alföld;régió;12;17;20;22;21;21;21;21;21;23;21;21;21;19;17;14;16;20;19;18;18;20
Bács-Kiskun ;megye;7;10;8;7;8;8;9;9;9;10;10;9;9;11;12;11;14;15;16;15;15;15
Békés ;megye;6;8;6;6;6;6;6;5;5;5;4;5;5;5;5;6;7;9;10;10;10;10
Csongrád-Csanád ;megye;3;4;3;4;4;4;4;5;5;9;8;7;7;6;6;6;9;9;9;9;9;9
Dél-Alföld;régió;16;22;17;17;18;18;19;19;19;24;22;21;21;22;23;23;30;33;35;34;34;34
Alföld és Észak;nagyrégió;40;55;53;55;55;55;58;60;60;68;64;64;63;64;60;54;71;84;86;80;78;80
Összesen;ország;100;128;125;131;131;136;144;148;150;157;151;151;153;153;155;134;159;200;205;201;194;199
Pedagógus;;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;135;170;170;214;208;238;281;273;288;324;334;331;346;362;334;335;371;321;375;372;369;382
Pest ;megye, régió;30;50;53;64;69;72;68;75;62;56;63;64;65;71;70;61;66;63;63;67;62;62
Közép-Magyarország;nagyrégió;165;220;223;278;277;310;349;348;350;380;397;395;411;433;404;396;437;384;438;439;431;444
Fejér ;megye;25;33;33;46;54;73;81;88;102;108;108;103;100;100;112;105;98;89;89;94;92;88
Komárom-Esztergom ;megye;38;42;49;65;65;69;71;72;71;71;75;81;76;74;78;77;68;72;77;76;76;76
Veszprém ;megye;34;58;57;72;73;74;90;71;79;70;71;69;61;52;52;47;46;44;54;57;47;48
Közép-Dunántúl;régió;97;133;139;183;192;216;242;231;252;249;254;253;237;226;242;229;212;205;220;227;215;212
Gyõr-Moson-Sopron ;megye;39;52;61;60;70;69;77;93;89;96;94;98;94;107;96;91;90;80;84;80;75;74
Vas;megye;24;29;34;39;40;43;45;42;41;46;48;44;43;47;55;58;52;48;44;42;46;50
Zala ;megye;25;24;27;32;37;37;42;43;42;47;47;48;41;45;45;48;49;43;43;41;39;41
Nyugat-Dunántúl;régió;88;105;122;131;147;149;164;178;172;189;189;190;178;199;196;197;191;171;171;163;160;165
Baranya;megye;25;37;49;50;46;65;69;59;69;69;61;74;69;75;65;65;72;76;74;66;65;60
Somogy ;megye;6;11;19;29;33;37;45;42;42;39;40;39;37;39;34;34;36;33;33;37;36;41
Tolna ;megye;4;6;12;14;21;16;16;17;20;20;21;25;23;27;29;31;29;27;28;29;33;36
Dél-Dunántúl;régió;35;54;80;93;100;118;130;118;131;128;122;138;129;141;128;130;137;136;135;132;134;137
Dunántúl;nagyrégió;220;292;341;407;439;483;536;527;555;566;565;581;544;566;566;556;540;512;526;522;509;514
Borsod-Abaúj-Zemplén;megye;29;52;46;65;50;48;63;53;68;62;64;65;68;62;73;63;64;77;75;75;71;67
Heves ;megye;4;5;5;11;10;13;16;22;29;28;25;25;28;27;27;24;31;33;33;33;43;47
Nógrád ;megye;12;32;12;25;28;26;30;29;27;33;37;35;29;27;26;22;27;30;32;23;24;18
Észak-Magyarország;régió;45;89;63;101;88;87;109;104;124;123;126;125;125;116;126;109;122;140;140;131;138;132
Hajdú-Bihar ;megye;10;36;47;54;55;62;62;63;60;68;73;71;76;71;55;55;55;47;41;43;40;44
Jász-Nagykun-Szolnok;megye;13;13;15;32;43;46;48;38;39;42;38;40;45;46;54;53;60;53;54;63;63;72
Szabolcs-Szatmár-Bereg;megye;32;32;90;66;63;75;71;91;87;91;87;82;87;92;96;81;83;68;74;77;76;72
Észak-Alföld;régió;55;81;152;152;161;183;181;192;186;201;198;193;208;209;205;189;198;168;169;183;179;188
Bács-Kiskun ;megye;43;58;56;68;75;99;106;107;114;128;124;139;140;156;166;177;164;172;170;157;152;147
Békés ;megye;27;38;32;41;46;48;58;53;50;49;50;49;52;52;56;52;56;68;70;64;62;62
Csongrád-Csanád ;megye;20;23;13;22;27;29;40;43;35;52;58;56;57;50;60;64;66;48;51;62;63;73
Dél-Alföld;régió;90;119;101;131;148;176;204;203;199;229;232;244;249;258;282;293;286;288;291;283;277;282
Alföld és Észak;nagyrégió;190;289;316;384;397;446;494;499;509;553;556;562;582;583;613;591;606;596;600;597;594;602
Összesen;ország;575;801;880;1 069;1 113;1 239;1 379;1 374;1 414;1 499;1 518;1 538;1 537;1 582;1 583;1 543;1 583;1 492;1 564;1 558;1 534;1 560
Tanuló a nappali oktatásban;;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;1 500;1 457;1 482;1 592;1 511;1 556;1 962;1 883;1 940;1 842;1 854;1 842;1 808;1 658;1 542;1 464;1 555;1 550;1 597;1 581;1 569;1 698
Pest ;megye, régió;240;379;465;485;487;540;556;588;495;469;465;458;462;444;393;370;351;332;338;331;332;334
Közép-Magyarország;nagyrégió;1 740;1 836;1 947;2 077;1 998;2 096;2 518;2 471;2 435;2 311;2 319;2 300;2 270;2 102;1 935;1 834;1 906;1 882;1 935;1 912;1 901;2 032
Fejér ;megye;240;343;347;402;436;451;461;527;555;612;572;525;481;449;416;369;365;387;378;405;413;397
Komárom-Esztergom ;megye;250;303;373;422;446;442;416;422;422;435;437;434;411;366;317;287;261;274;243;268;269;253
Veszprém ;megye;270;418;463;470;510;579;552;535;431;436;402;412;387;277;236;271;252;229;243;239;215;227
Közép-Dunántúl;régió;760;1 064;1 183;1 294;1 392;1 472;1 429;1 484;1 408;1 483;1 411;1 371;1 279;1 092;969;927;878;890;864;912;897;877
Gyõr-Moson-Sopron ;megye;300;377;380;424;448;512;553;605;606;614;618;607;603;550;507;507;444;401;388;375;390;414
Vas;megye;160;208;226;283;306;307;330;328;317;328;344;319;286;287;268;240;218;216;200;210;218;203
Zala ;megye;190;210;220;240;296;305;304;312;316;324;304;313;305;268;246;241;211;201;221;215;211;213
Nyugat-Dunántúl;régió;650;795;826;947;1 050;1 124;1 187;1 245;1 239;1 266;1 266;1 239;1 194;1 105;1 021;988;873;818;809;800;819;830
Baranya;megye;250;375;399;446;414;507;545;516;577;583;556;529;490;410;367;342;353;376;400;408;397;380
Somogy ;megye;110;177;226;299;316;333;322;395;394;321;320;309;296;271;224;208;192;198;198;179;156;211
Tolna ;megye;45;68;93;109;119;119;122;136;149;154;151;180;160;141;145;132;144;156;169;180;174;150
Dél-Dunántúl;régió;405;620;718;854;849;959;989;1 047;1 120;1 058;1 027;1 018;946;822;736;682;689;730;767;767;727;741
Dunántúl;nagyrégió;1 815;2 479;2 727;3 095;3 291;3 555;3 605;3 776;3 767;3 807;3 704;3 628;3 419;3 019;2 726;2 597;2 440;2 438;2 440;2 479;2 443;2 448
Borsod-Abaúj-Zemplén;megye;220;361;318;424;326;328;433;420;458;432;425;440;415;418;349;373;392;391;401;403;389;427
Heves ;megye;40;60;112;134;145;160;145;183;182;202;207;221;189;167;142;140;148;218;202;186;168;170
Nógrád ;megye;80;158;212;205;204;231;243;239;222;241;240;242;163;159;154;153;151;159;134;113;103;92
Észak-Magyarország;régió;340;579;642;763;675;719;821;842;862;875;872;903;767;744;645;666;691;768;737;702;660;689
Hajdú-Bihar ;megye;100;292;324;393;397;385;410;396;460;476;474;468;399;381;271;267;256;237;221;187;191;163
Jász-Nagykun-Szolnok;megye;85;86;109;210;238;238;252;223;208;234;214;233;225;235;222;202;276;280;276;254;260;304
Szabolcs-Szatmár-Bereg;megye;300;300;469;491;544;506;541;572;561;617;600;590;601;597;492;429;393;346;348;343;364;369
Észak-Alföld;régió;485;678;902;1 094;1 179;1 129;1 203;1 191;1 229;1 327;1 288;1 291;1 225;1 213;985;898;925;863;845;784;815;836
Bács-Kiskun ;megye;350;467;507;520;591;614;672;713;783;864;877;856;797;701;697;658;624;651;646;591;590;622
Békés ;megye;300;381;363;419;424;433;454;448;440;412;374;385;363;307;267;258;276;312;313;305;298;296
Csongrád-Csanád ;megye;170;174;112;179;211;251;290;332;269;372;382;357;293;258;241;235;246;255;243;231;241;244
Dél-Alföld;régió;820;1 022;982;1 118;1 226;1 298;1 416;1 493;1 492;1 648;1 633;1 598;1 453;1 266;1 205;1 151;1 146;1 218;1 202;1 127;1 129;1 162
Alföld és Észak;nagyrégió;1 645;2 279;2 526;2 975;3 080;3 146;3 440;3 526;3 583;3 850;3 793;3 792;3 445;3 223;2 835;2 715;2 762;2 849;2 784;2 613;2 604;2 687
Összesen;ország;5 200;6 594;7 200;8 147;8 369;8 797;9 563;9 773;9 785;9 968;9 816;9 720;9 134;8 344;7 496;7 146;7 108;7 169;7 159;7 004;6 948;7 167
Ezer lakosra jutó tanuló a nappali oktatásban;;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;0,9;0,8;0,9;0,9;0,9;0,9;1,2;1,1;1,1;1,1;1,1;1,1;1,0;1,0;0,9;0,8;0,9;0,9;0,9;0,9;0,9;1,0
Pest ;megye, régió;0,2;0,3;0,4;0,4;0,4;0,5;0,5;0,5;0,4;0,4;0,4;0,4;0,4;0,4;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3
Közép-Magyarország;nagyrégió;0,6;0,6;0,7;0,7;0,7;0,7;0,9;0,9;0,8;0,8;0,8;0,8;0,8;0,7;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,7
Fejér ;megye;0,6;0,8;0,8;0,9;1,0;1,1;1,1;1,2;1,3;1,4;1,3;1,2;1,1;1,1;1,0;0,9;0,9;0,9;0,9;1,0;1,0;0,9
Komárom-Esztergom ;megye;0,8;1,0;1,2;1,3;1,4;1,4;1,3;1,3;1,3;1,4;1,4;1,4;1,4;1,2;1,1;1,0;0,9;0,9;0,8;0,9;0,9;0,8
Veszprém ;megye;0,7;1,1;1,3;1,3;1,4;1,6;1,5;1,5;1,2;1,2;1,1;1,2;1,1;0,8;0,7;0,8;0,7;0,7;0,7;0,7;0,6;0,7
Közép-Dunántúl;régió;0,7;0,9;1,1;1,2;1,3;1,3;1,3;1,3;1,3;1,3;1,3;1,3;1,2;1,0;0,9;0,9;0,8;0,8;0,8;0,9;0,8;0,8
Gyõr-Moson-Sopron ;megye;0,7;0,9;0,9;1,0;1,0;1,2;1,2;1,4;1,4;1,4;1,4;1,4;1,3;1,2;1,1;1,1;1,0;0,9;0,8;0,8;0,8;0,9
Vas;megye;0,6;0,8;0,8;1,1;1,2;1,2;1,3;1,3;1,2;1,3;1,3;1,2;1,1;1,1;1,1;0,9;0,9;0,9;0,8;0,8;0,9;0,8
Zala ;megye;0,6;0,7;0,7;0,8;1,0;1,0;1,0;1,1;1,1;1,1;1,1;1,1;1,1;1,0;0,9;0,9;0,8;0,7;0,8;0,8;0,8;0,8
Nyugat-Dunántúl;régió;0,6;0,8;0,8;0,9;1,0;1,1;1,2;1,2;1,2;1,3;1,3;1,3;1,2;1,1;1,0;1,0;0,9;0,8;0,8;0,8;0,8;0,8
Baranya;megye;0,6;0,9;1,0;1,1;1,0;1,3;1,4;1,3;1,5;1,5;1,4;1,4;1,3;1,1;1,0;0,9;1,0;1,0;1,1;1,1;1,1;1,1
Somogy ;megye;0,3;0,5;0,7;0,9;1,0;1,0;1,0;1,2;1,2;1,0;1,0;1,0;0,9;0,9;0,7;0,7;0,6;0,7;0,7;0,6;0,5;0,7
Tolna ;megye;0,2;0,3;0,4;0,4;0,5;0,5;0,5;0,6;0,6;0,7;0,7;0,8;0,7;0,6;0,6;0,6;0,6;0,7;0,8;0,8;0,8;0,7
Dél-Dunántúl;régió;0,4;0,6;0,7;0,9;0,9;1,0;1,0;1,1;1,2;1,1;1,1;1,1;1,0;0,9;0,8;0,8;0,8;0,8;0,9;0,9;0,8;0,9
Dunántúl;nagyrégió;0,6;0,8;0,9;1,0;1,1;1,2;1,2;1,2;1,2;1,3;1,2;1,2;1,1;1,0;0,9;0,9;0,8;0,8;0,8;0,8;0,8;0,8
Borsod-Abaúj-Zemplén;megye;0,3;0,5;0,4;0,6;0,4;0,5;0,6;0,6;0,7;0,6;0,6;0,6;0,6;0,6;0,5;0,6;0,6;0,6;0,6;0,6;0,6;0,7
Heves ;megye;0,1;0,2;0,3;0,4;0,4;0,5;0,5;0,6;0,6;0,6;0,7;0,7;0,6;0,6;0,5;0,5;0,5;0,7;0,7;0,6;0,6;0,6
Nógrád ;megye;0,4;0,7;1,0;0,9;0,9;1,1;1,1;1,1;1,1;1,2;1,2;1,2;0,8;0,8;0,8;0,8;0,8;0,8;0,7;0,6;0,5;0,5
Észak-Magyarország;régió;0,3;0,4;0,5;0,6;0,5;0,6;0,7;0,7;0,7;0,7;0,7;0,8;0,6;0,6;0,6;0,6;0,6;0,7;0,7;0,6;0,6;0,6
Hajdú-Bihar ;megye;0,2;0,5;0,6;0,7;0,7;0,7;0,8;0,7;0,8;0,9;0,9;0,9;0,7;0,7;0,5;0,5;0,5;0,4;0,4;0,4;0,4;0,3
Jász-Nagykun-Szolnok;megye;0,2;0,2;0,3;0,5;0,6;0,6;0,6;0,6;0,5;0,6;0,6;0,6;0,6;0,6;0,6;0,5;0,7;0,8;0,7;0,7;0,7;0,8
Szabolcs-Szatmár-Bereg;megye;0,5;0,5;0,8;0,8;0,9;0,9;0,9;1,0;1,0;1,1;1,1;1,0;1,1;1,1;0,9;0,8;0,7;0,6;0,6;0,6;0,7;0,7
Észak-Alföld;régió;0,3;0,4;0,6;0,7;0,8;0,7;0,8;0,8;0,8;0,9;0,9;0,9;0,8;0,8;0,7;0,6;0,6;0,6;0,6;0,5;0,6;0,6
