23.1.2.12. Felsõfokú alap- és mesterképzésben részt vevõ hallgatók képzési hely szerint;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;2021/2022
Budapest;fõváros, régió;77 376;80 994;87 278;90 213;91 339;94 494;98 063;99 533;101 908;103 449;105 363;105 815;107 145;107 514;105 811;104 321;103 445;102 730;103 246;103 785;105 988
Pest ;megye, régió;6 186;6 226;6 577;7 034;7 587;8 233;8 330;8 167;8 103;8 152;8 113;8 018;6 741;5 674;4 795;4 318;3 922;3 606;3 275;2 854;2 607
Közép-Magyarország;nagyrégió;83 562;87 220;93 855;97 247;98 926;102 727;106 393;107 700;110 011;111 601;113 476;113 833;113 886;113 188;110 606;108 639;107 367;106 336;106 521;106 639;108 595
Fejér ;megye;5 317;5 786;5 919;5 758;5 916;5 406;4 830;4 096;3 504;3 042;2 775;2 474;2 149;1 799;1 350;1 215;1 245;1 205;1 371;1 417;1 439
Komárom-Esztergom ;megye;2 391;1 866;1 873;1 859;1 737;1 758;1 453;1 138;818;631;633;599;520;402;325;243;223;250;247;227;170
Veszprém ;megye;5 701;5 887;6 052;6 248;6 506;6 569;6 588;6 064;5 613;5 152;4 797;4 447;3 939;3 549;3 158;2 916;2 826;2 821;2 762;2 631;2 592
Közép-Dunántúl;régió;13 409;13 539;13 844;13 865;14 159;13 733;12 871;11 298;9 935;8 825;8 205;7 520;6 608;5 750;4 833;4 374;4 294;4 276;4 380;4 275;4 201
Gyõr-Moson-Sopron ;megye;10 202;10 644;11 336;11 749;11 905;12 316;12 054;11 676;11 691;11 409;11 199;11 007;10 828;10 403;9 773;9 064;8 512;8 303;8 513;8 378;8 454
Vas;megye;2 672;2 807;2 850;2 938;3 061;3 060;2 971;2 816;2 349;2 085;2 046;1 903;1 736;1 532;1 352;1 317;1 300;1 349;1 372;1 509;1 602
Zala ;megye;2 309;2 317;2 588;2 770;2 936;2 828;2 664;2 257;2 068;1 720;1 645;1 668;1 704;1 731;1 579;1 553;1 448;1 406;1 380;1 234;1 159
Nyugat-Dunántúl;régió;15 183;15 768;16 774;17 457;17 902;18 204;17 689;16 749;16 108;15 214;14 890;14 578;14 268;13 666;12 704;11 934;11 260;11 058;11 265;11 121;11 215
Baranya;megye;12 485;13 098;13 842;14 534;15 111;15 919;16 396;16 695;16 590;16 051;15 371;14 458;13 845;13 293;12 998;12 989;13 338;13 314;13 524;13 863;14 586
Somogy ;megye;1 915;2 318;2 511;2 553;2 696;2 756;2 596;2 491;2 248;1 978;1 881;1 748;1 829;1 704;1 599;1 714;1 598;1 580;1 552;1 401;1 321
Tolna ;megye;674;787;812;836;870;840;761;670;658;531;539;473;412;369;326;293;264;227;188;177;167
Dél-Dunántúl;régió;15 074;16 203;17 165;17 923;18 677;19 515;19 753;19 856;19 496;18 560;17 791;16 679;16 086;15 366;14 923;14 996;15 200;15 121;15 264;15 441;16 074
Dunántúl;nagyrégió;43 666;45 510;47 783;49 245;50 738;51 452;50 313;47 903;45 539;42 599;40 886;38 777;36 962;34 782;32 460;31 304;30 754;30 455;30 909;30 837;31 490
Borsod-Abaúj-Zemplén;megye;7 814;7 899;7 946;8 065;8 352;8 619;8 526;8 425;8 367;8 064;7 957;7 742;7 260;6 726;6 280;5 955;5 650;5 343;5 217;5 025;4 818
Heves ;megye;4 186;4 697;5 123;5 423;5 620;6 125;5 991;5 762;5 524;4 747;4 594;4 325;3 526;3 371;3 041;2 873;2 890;2 859;3 041;2 937;2 785
Nógrád ;megye;725;681;781;790;790;756;631;492;378;272;188;127;–;–;–;–;–;11;32;29;27
Észak-Magyarország;régió;12 725;13 277;13 850;14 278;14 762;15 500;15 148;14 679;14 269;13 083;12 739;12 194;10 786;10 097;9 321;8 828;8 540;8 213;8 290;7 991;7 630
