22.1.2.15. A be- és a kivándorló külföldi állampolgárok száma megye és régió szerint;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Gyõr-Moson-Sopron;megye;403;57;44;102;62;84;76;168;279;230;112;385;694;639;630;684;892;2 137;1 946;2 627;2 552
Vas;megye;54;38;33;49;26;16;34;125;263;75;64;100;217;247;334;437;358;967;497;1 032;956
Zala;megye;5;39;39;36;25;26;12;30;76;61;26;234;352;371;528;535;521;1 568;1 603;1 464;1 088
Nyugat-Dunántúl;régió;462;134;116;187;113;126;122;323;618;366;202;719;1 263;1 257;1 492;1 656;1 771;4 672;4 046;5 123;4 596
Baranya;megye;164;19;28;66;170;54;152;318;413;888;469;897;751;685;825;746;820;1 902;1 150;1 591;1 430
Somogy;megye;9;39;29;51;45;22;52;55;144;757;191;324;419;489;405;394;434;1 099;929;1 034;835
Tolna ;megye;20;14;16;8;48;50;136;43;114;442;60;122;167;174;135;134;168;362;239;369;393
Dél-Dunántúl;régió;193;72;73;125;263;126;340;416;671;2 087;720;1 343;1 337;1 348;1 365;1 274;1 422;3 363;2 318;2 994;2 658
Dunántúl;nagyrégió;970;253;478;609;595;493;772;1 061;1 801;2 754;1 208;2 823;3 490;3 272;3 555;3 717;3 921;9 571;9 005;14 838;11 291
Borsod-Abaúj-Zemplén;megye;79;58;36;28;56;41;46;93;115;198;63;131;164;201;138;180;245;449;256;814;1 122
Heves;megye;21;20;41;30;38;53;98;184;248;266;45;150;252;114;95;81;376;728;550;1 392;1 125
Nógrád ;megye;29;15;24;13;32;32;35;79;81;92;13;64;58;120;90;62;50;251;111;260;260
Észak-Magyarország;régió;129;93;101;71;126;126;179;356;444;556;121;345;474;435;323;323;671;1 428;917;2 466;2 507
Hajdú-Bihar;megye;101;58;123;164;140;159;325;570;244;716;103;311;946;1 225;855;792;1 763;892;668;1 484;1 760
Jász-Nagykun-Szolnok;megye;22;49;53;26;41;40;102;93;134;123;38;128;166;152;149;157;313;544;1 240;1 623;1 420
Szabolcs-Szatmár-Bereg;megye;15;77;57;43;57;39;43;31;218;112;124;456;185;184;418;159;277;340;339;593;2 190
Észak-Alföld;régió;138;184;233;233;238;238;470;694;596;951;265;895;1 297;1 561;1 422;1 108;2 353;1 776;2 247;3 700;5 370
Bács-Kiskun ;megye;24;62;105;64;105;57;163;231;251;175;162;454;657;480;441;806;631;1 209;995;1 231;1 050
Békés;megye;43;52;80;39;32;33;70;100;52;45;13;99;152;112;104;108;112;311;272;295;290
Csongrád-Csanád;megye;32;154;150;164;162;153;282;289;337;410;119;487;450;409;351;412;480;1 056;918;1 449;1 032
Dél-Alföld;régió;99;268;335;267;299;243;515;620;640;630;294;1 040;1 259;1 001;896;1 326;1 223;2 576;2 185;2 975;2 372
Alföld és Észak;nagyrégió;366;545;669;571;663;607;1 164;1 670;1 680;2 137;680;2 280;3 030;2 997;2 641;2 757;4 247;5 780;5 349;9 141;10 249
Ország összesen;ország;1 944;2 388;2 553;3 466;3 320;3 956;4 133;4 241;5 600;6 047;2 687;9 916;13 111;10 828;10 373;10 464;12 872;24 370;27 895;48 042;46 269
