13.1.3.7. Földgázkitermelés [milliárd m3];;;;;;;;;;;;;;;;;;;;;;
Ország;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Egyiptom;20,2;24,3;26,3;29,0;31,8;40,9;52,6;53,6;56,8;60,3;59,0;59,1;58,6;54,0;47,0;42,6;40,3;48,8;58,6;64,9;58,5;67,8
Argentína;36,4;36,1;35,1;39,9;43,6;44,4;44,8;43,6;42,8;40,3;39,0;37,7;36,7;34,6;34,5;35,5;37,3;37,1;39,4;41,6;38,3;38,6
Bolívia;3,1;4,5;5,8;6,7;9,4;11,6;12,4;13,3;13,8;11,9;13,7;15,0;17,1;19,6;20,3;19,6;18,8;18,3;17,1;15,0;14,5;15,1
Brazília;7,7;7,9;9,5;10,3;11,4;11,2;11,5;11,6;14,4;12,3;15,0;17,2;19,8;21,9;23,3;23,8;24,1;27,2;25,2;25,7;24,2;24,3
Egyesült Államok;518,6;531,9;511,2;517,9;503,1;489,4;501,7;521,9;546,1;557,6;575,2;617,4;649,1;655,7;704,7;740,3;727,4;746,2;840,9;928,1;915,9;934,2
Kanada;176,3;179,4;180,7;176,0;176,7;179,2;179,4;174,7;166,5;155,1;149,6;151,1;150,3;151,9;159,0;160,8;165,1;171,3;176,8;169,8;165,7;172,3
Mexikó;33,4;33,1;33,7;34,8;37,0;44,3;48,5;46,9;47,2;52,6;51,2;52,1;50,9;52,5;51,3;47,9;43,7;38,3;35,2;31,3;30,5;29,2
Trinidad és Tobago;13,8;14,7;17,3;25,2;28,6;30,0;35,6;37,7;37,4;38,6;40,3;38,7;38,5;38,7;38,1;36,0;31,3;31,9;34,0;34,6;29,5;24,7
Venezuela;31,0;32,8;31,5;28,0;31,5;30,4;34,9;37,2;33,4;31,8;30,5;30,2;31,9;30,6;31,8;36,1;37,2;38,6;31,6;25,6;21,6;24,0
Ausztrália;31,2;32,6;33,0;33,7;35,9;38,2;40,7;42,8;41,7;46,7;52,6;54,2;58,0;60,3;64,9;74,1;94,0;110,1;127,4;146,1;146,0;147,2
Új-Zéland;5,9;6,3;5,9;4,5;4,1;3,9;4,0;4,3;4,1;4,2;4,4;4,0;4,3;4,5;5,0;4,6;4,8;4,8;4,2;4,5;4,4;..
