20.1.1.62. A teljes munkaidõben alkalmazásban állók munkavégzésre irányuló megállapodásában meghatározott bruttó alapbére tárgyév októberében, nemzetgazdasági áganként;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Év;Nemzetgazdasági ágak együtt A–S;Ebbõl: mezõgazdaság, erdõgazdaság, halászat A;Ebbõl: bányászat, kõfejtés B;Ebbõl: feldolgozóipar C;Ebbõl: villamosenergia-, gáz-, gõzellátás, légkondicionálás D;Ebbõl: vízellátás, szennyvíz gyûjtése, kezelése, hulladék- gazdálkodás, szennyezõdés- mentesítés E;Ebbõl: ipar B+C+D+E;Ebbõl: építõipar F;Ebbõl: kereskedelem, gépjármûjavítás G;Ebbõl: szállítás, raktározás H;Ebbõl: szálláshely-szolgáltatás, vendéglátás I;Ebbõl: információ, kommunikáció J;Ebbõl: pénzügyi, biztosítási tevékenység K;Ebbõl: ingatlanügyletek L;Ebbõl: szakmai, tudományos, mûszaki tevékenység M;Ebbõl: adminisztratív és szolgáltatást támogató tevékenység N;"Ebbõl: közigazgatás, védelem; kötelezõ társadalom-biztosítás O";Ebbõl: oktatás P;Ebbõl: humán-egészségügyi, szociális ellátás Q;Ebbõl: ezen belül: humán-egészségügyi ellátás QA;Ebbõl: ezen belül: szociális ellátás QB;Ebbõl: mûvészet, szórakoztatás, szabadidõ szociális ellátás R;Ebbõl: egyéb szolgáltatás szociális ellátás S;Nemzetgazdasági ágak együtt közfoglalkoztatottak nélkül A–S;"Ebbõl: közigazgatás, védelem; kötelezõ társadalom-biztosítás O";Ebbõl: oktatás P;Ebbõl: humán-egészségügyi, szociális ellátás Q;Ebbõl: ezen belül: humán-egészségügyi ellátás QA;Ebbõl: ezen belül: szociális ellátás QB
Bruttó alapbér, Ft/fõ/hó;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;300 775 ;243 932 ;340 224 ;303 305 ;393 661 ;272 607 ;305 895 ;259 992 ;298 974 ;269 577 ;226 660 ;521 945 ;520 373 ;294 872 ;430 188 ;258 774 ;352 089 ;299 677 ;205 391 ;287 388 ;151 198 ;324 580 ;263 653 ;308 463 ;360 307 ;300 422 ;253 400 ;287 802 ;210 440 
2020;327 171 ;264 227 ;317 708 ;330 446 ;467 277 ;298 795 ;333 205 ;282 816 ;317 715 ;283 108 ;232 618 ;570 599 ;576 309 ;330 670 ;502 539 ;278 323 ;375 597 ;319 674 ;224 942 ;316 682 ;163 651 ;339 400 ;276 960 ;334 983 ;384 706 ;320 025 ;276 862 ;316 966 ;228 281 
2021;360 585 ;291 682 ;356 904 ;358 059 ;467 593 ;316 394 ;359 502 ;318 957 ;342 224 ;307 180 ;251 791 ;633 580 ;613 313 ;339 457 ;549 299 ;294 344 ;413 516 ;340 942 ;282 174 ;433 128 ;176 046 ;388 046 ;292 179 ;368 113 ;421 880 ;341 225 ;347 095 ;433 441 ;241 406 
