21.1.1.42. A háztartásokat segítõ nonprofit intézmények szektor jövedelem- és tõkeszámlái [folyó áron, millió Ft];;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESA-kód;Gazdasági mûveletek és egyenlegezõ tételek ;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
D.4;Tulajdonból származó jövedelem;11 474;12 493;17 182;19 034;17 076;14 881;14 784;12 815;13 252;15 670;13 538;13 458;18 014;20 756;20 944;13 068;14 083;18 095;12 855;9 624;8 431;7 956;13 924;17 483;18 053;20 018;29 116
D.41;Kamat, nettó;11 053;11 819;16 236;17 917;15 781;13 458;13 255;11 331;12 330;14 602;12 224;11 739;15 751;18 126;18 651;11 656;12 405;16 166;11 676;9 112;7 275;6 890;12 491;16 727;16 936;19 187;19 943
;ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;
;kapott kamat;11 128;11 880;16 279;18 150;16 172;14 134;13 878;12 329;13 447;16 243;13 276;12 737;17 191;19 933;20 450;12 975;13 716;17 944;12 801;9 946;7 935;7 356;12 836;16 976;17 163;19 437;20 230
;fizetett kamat;75;61;43;233;391;676;623;998;1 117;1 641;1 052;998;1 440;1 807;1 799;1 319;1 311;1 778;1 125;834;660;466;345;249;227;250;287
D.42;Vállalatok felosztott jövedelme, nettó;194;331;332;303;367;477;344;320;308;426;314;438;550;856;802;538;552;660;217;275;391;790;1 200;508;700;361;8 528
D.43;Külföldi közvetlen tõkebefektetés újrabefektetett jövedelme, nettó;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D.44;Egyéb befektetésbõl származó jövedelem, nettó;227;343;614;814;928;946;1 185;1 164;614;642;1 000;1 281;1 713;1 774;1 491;874;1 126;1 269;962;237;765;276;233;248;417;470;645
D.45;Bérleti díj;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
B.5n;Elsõdleges jövedelmek egyenlege, nettó;11 474;12 493;17 182;19 034;17 076;14 881;14 784;12 815;13 252;15 670;13 538;13 458;18 014;20 756;20 944;13 068;14 083;18 095;12 855;9 624;8 431;7 956;13 924;17 483;18 053;20 018;29 116
Jövedelmek másodlagos elosztása;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D.62;Pénzbeni társadalmi juttatások;3 790;5 733;7 901;9 352;9 152;8 529;15 687;13 050;15 245;15 464;13 449;15 174;26 017;15 587;14 752;15 653;18 822;21 218;16 550;19 029;19 367;17 567;15 057;13 746;12 290;19 219;19 219
D.622;Egyéb társadalombiztosítási juttatások;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;433;433;433;2 335;2 335
D.623;Társadalombiztosítási jellegû pénzbeni társadalmi juttatások;3 790;5 733;7 901;9 352;9 152;8 529;15 687;13 050;15 245;15 464;13 449;15 174;26 017;15 587;14 752;15 653;18 822;21 218;16 550;19 029;19 367;17 567;14 624;13 313;11 857;16 884;16 884
D.7;Egyéb folyó transzferek, nettó;37 334;53 580;53 655;88 675;102 812;123 824;163 489;184 309;228 061;287 956;329 079;341 642;379 599;353 156;366 793;341 206;412 711;422 819;456 911;533 527;591 943;675 062;760 991;884 991;939 156;1 238 720;1 039 402
D.71;Nettó nem-életbiztosítási díjak;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-331;-227;-196;-220;-185;-205;-566;-648;-676;-816;-982;-545
D.72;Nem-életbiztosítási kártérítések;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;216;535;103;111;98;350;405;430;481;1 325;1 692;1 276
D.75;Máshová nem sorolt folyó transzferek, nettó;37 334;53 580;53 655;88 675;102 812;123 824;163 489;184 309;228 061;287 956;329 079;341 642;379 599;353 156;366 793;341 321;412 403;422 912;457 020;533 614;591 798;675 223;761 209;885 186;938 647;1 238 010;1 038 671
;Máshová nem sorolt folyó transzferek, kapott;40 000;58 076;58 442;93 897;106 955;130 264;172 953;193 588;238 542;308 114;353 997;371 315;400 793;372 838;388 056;364 003;437 076;444 591;487 257;568 672;638 504;711 484;819 107;992 407;1 047 806;1 307 639;1 113 035
;Máshová nem sorolt folyó transzferek, fizetett;2 666;4 496;4 787;5 222;4 143;6 440;9 464;9 279;10 481;20 158;24 918;29 673;21 194;19 682;21 263;22 682;24 673;21 679;30 237;35 058;46 706;36 261;57 898;107 221;109 159;69 629;74 364
B.6n;Rendelkezésre álló jövedelem, nettó;45 018;60 340;62 936;98 357;110 736;130 176;162 586;184 074;226 068;288 162;329 168;339 926;371 596;358 325;372 985;338 621;407 972;419 696;453 216;524 122;581 007;665 451;760 291;889 161;945 352;1 241 854;1 051 634
Természetbeni jövedelmek újraelosztása;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B.6n;Rendelkezésre álló jövedelem, nettó ;45 018;60 340;62 936;98 357;110 736;130 176;162 586;184 074;226 068;288 162;329 168;339 926;371 596;358 325;372 985;338 621;407 972;419 696;453 216;524 122;581 007;665 451;760 291;889 161;945 352;1 241 854;1 051 634
D.63;Természetbeni társadalmi juttatások;62 714;79 909;94 764;131 172;151 692;191 278;217 328;249 432;283 129;323 429;359 077;359 737;384 667;390 915;404 622;412 113;441 209;474 176;511 497;532 564;591 280;623 369;735 093;860 618;914 761;1 021 702;1 078 635
B.7n;Korrigált rendelkezésre álló jövedelem, nettó;-17 696;-19 569;-31 828;-32 815;-40 956;-61 102;-54 742;-65 358;-57 061;-35 267;-29 909;-19 811;-13 071;-32 590;-31 637;-73 492;-33 237;-54 480;-58 281;-8 442;-10 273;42 082;25 198;28 543;30 591;220 152;-27 001
Rendelkezésre álló jövedelem felhasználása;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B.6n;Rendelkezésre álló jövedelem, nettó ;45 018;60 340;62 936;98 357;110 736;130 176;162 586;184 074;226 068;288 162;329 168;339 926;371 596;358 325;372 985;338 621;407 972;419 696;453 216;524 122;581 007;665 451;760 291;889 161;945 352;1 241 854;1 051 634
P.3;Végsõ fogyasztási kiadás;62 714;79 909;94 764;131 172;151 692;191 278;217 328;249 432;283 129;323 429;359 077;359 737;384 667;390 915;404 622;412 113;441 209;474 176;511 497;532 564;591 280;623 369;735 093;860 618;914 761;1 021 702;1 078 635
