20.2.2.1. A 15–74 éves népesség gazdasági aktivitása, megye és régió szerint, negyedévente;;;;;;;;;;
Területi egység neve;Területi egység szintje;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–74 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Hajdú-Bihar;megye;182,9;21,4;204,3;210,9;415,1;38,3;49,2;10,5;44,1
Jász-Nagykun-Szolnok;megye;145,3;19,4;164,7;139,0;303,7;32,3;54,2;11,8;47,8
Szabolcs-Szatmár-Bereg;megye;185,7;38,8;224,5;206,2;430,6;63,0;52,1;17,3;43,1
Észak-Alföld;régió;513,9;79,6;593,5;556,0;1 149,5;133,5;51,6;13,4;44,7
Bács-Kiskun;megye;198,5;22,0;220,5;185,8;406,3;37,3;54,3;10,0;48,8
Békés;megye;129,2;18,5;147,7;137,8;285,6;28,6;51,7;12,5;45,2
Csongrád-Csanád;megye;161,3;12,9;174,2;146,1;320,3;19,3;54,4;7,4;50,4
Dél-Alföld;régió;489,0;53,4;542,4;469,7;1 012,1;85,2;53,6;9,9;48,3
Alföld és Észak;nagyrégió;1 416,2;202,2;1 618,4;1 477,1;3 095,4;333,8;52,3;12,5;45,7
Összesen;ország;3 910,4;400,3;4 310,7;3 367,3;7 678,0;643,3;56,1;9,3;50,9
2009. III. negyedév;;;;;;;;;;
Budapest;fõváros, régió;763,6;50,5;814,1;501,9;1 315,9;80,8;61,9;6,2;58,0
Pest;megye, régió;501,6;40,9;542,5;373,4;915,9;65,9;59,2;7,5;54,8
Közép-Magyarország;nagyrégió;1 265,2;91,4;1 356,6;875,3;2 231,9;146,6;60,8;6,7;56,7
Fejér;megye;171,4;19,3;190,7;138,6;329,3;25,5;57,9;10,1;52,0
Komárom-Esztergom;megye;129,5;12,8;142,4;98,3;240,7;20,2;59,1;9,0;53,8
Veszprém;megye;144,2;14,5;158,7;119,7;278,4;21,1;57,0;9,1;51,8
Közép-Dunántúl;régió;445,1;46,6;491,7;356,6;848,3;66,7;58,0;9,5;52,5
Gyõr-Moson-Sopron;megye;193,6;13,5;207,1;136,7;343,8;19,8;60,2;6,5;56,3
Vas;megye;106,4;12,5;118,9;83,6;202,5;17,9;58,7;10,5;52,5
Zala;megye;120,6;16,7;137,4;87,9;225,2;23,1;61,0;12,2;53,6
Nyugat-Dunántúl;régió;420,6;42,8;463,4;308,1;771,5;60,8;60,1;9,2;54,5
Baranya;megye;147,0;17,2;164,2;135,6;299,8;31,8;54,8;10,5;49,0
Somogy;megye;111,2;14,9;126,2;122,0;248,2;29,2;50,8;11,8;44,8
Tolna;megye;90,3;8,3;98,7;84,6;183,2;16,0;53,8;8,5;49,3
Dél-Dunántúl;régió;348,5;40,4;389,0;342,2;731,2;76,9;53,2;10,4;47,7
Dunántúl;nagyrégió;1 214,2;129,9;1 344,1;1 007,0;2 351,1;204,4;57,2;9,7;51,6
Borsod-Abaúj-Zemplén;megye;232,0;41,3;273,3;258,7;532,1;71,0;51,4;15,1;43,6
Heves;megye;108,0;16,8;124,8;115,2;240,1;26,7;52,0;13,4;45,0
Nógrád;megye;68,6;13,0;81,7;78,3;160,0;22,7;51,1;16,0;42,9
Észak-Magyarország;régió;408,7;71,2;479,8;452,2;932,1;120,4;51,5;14,8;43,8
Hajdú-Bihar;megye;181,1;24,3;205,5;209,7;415,2;40,3;49,5;11,8;43,6
Jász-Nagykun-Szolnok;megye;149,0;18,6;167,7;135,5;303,1;30,5;55,3;11,1;49,2
Szabolcs-Szatmár-Bereg;megye;184,6;37,4;221,9;208,5;430,4;58,8;51,6;16,8;42,9
Észak-Alföld;régió;514,7;80,4;595,1;553,6;1 148,7;129,6;51,8;13,5;44,8
Bács-Kiskun;megye;202,2;24,5;226,7;179,3;405,9;39,3;55,8;10,8;49,8
Békés;megye;129,5;20,6;150,1;134,8;284,9;31,7;52,7;13,7;45,4
Csongrád-Csanád;megye;164,9;13,4;178,3;141,7;320,0;20,3;55,7;7,5;51,5
Dél-Alföld;régió;496,6;58,4;555,0;455,8;1 010,8;91,3;54,9;10,5;49,1
Alföld és Észak;nagyrégió;1 420,0;209,9;1 629,9;1 461,7;3 091,6;341,3;52,7;12,9;45,9
Összesen;ország;3 899,4;431,2;4 330,6;3 344,0;7 674,5;692,4;56,4;10,0;50,8
2009. IV. negyedév;;;;;;;;;;
Budapest;fõváros, régió;764,9;54,2;819,1;497,1;1 316,2;84,7;62,2;6,6;58,1
Pest;megye, régió;502,4;41,1;543,4;374,3;917,7;66,0;59,2;7,6;54,7
Közép-Magyarország;nagyrégió;1 267,3;95,3;1 362,6;871,3;2 233,9;150,8;61,0;7,0;56,7
Fejér;megye;171,2;18,6;189,8;139,6;329,4;27,9;57,6;9,8;52,0
Komárom-Esztergom;megye;131,2;13,1;144,4;96,0;240,4;19,1;60,1;9,1;54,6
Veszprém;megye;142,7;15,0;157,7;120,4;278,1;21,0;56,7;9,5;51,3
Közép-Dunántúl;régió;445,1;46,8;491,9;356,0;847,9;68,0;58,0;9,5;52,5
Gyõr-Moson-Sopron;megye;193,4;14,4;207,8;136,3;344,1;20,8;60,4;6,9;56,2
Vas;megye;104,8;13,1;117,9;84,5;202,4;18,7;58,3;11,1;51,8
Zala;megye;119,1;13,5;132,6;92,4;225,0;21,8;58,9;10,2;52,9
Nyugat-Dunántúl;régió;417,2;41,0;458,2;313,2;771,4;61,3;59,4;8,9;54,1
Baranya;megye;145,8;19,2;165,0;134,3;299,3;34,3;55,1;11,7;48,7
Somogy;megye;111,0;17,0;128,1;119,8;247,9;29,9;51,7;13,3;44,8
Tolna;megye;90,4;7,6;98,0;84,9;182,9;15,0;53,6;7,8;49,4
Dél-Dunántúl;régió;347,2;43,9;391,0;339,1;730,1;79,3;53,6;11,2;47,6
Dunántúl;nagyrégió;1 209,5;131,6;1 341,2;1 008,2;2 349,4;208,6;57,1;9,8;51,5
Borsod-Abaúj-Zemplén;megye;230,8;43,6;274,4;256,7;531,1;72,9;51,7;15,9;43,5
Heves;megye;107,9;16,6;124,4;115,2;239,6;26,2;51,9;13,3;45,0
Nógrád;megye;70,3;11,8;82,1;77,5;159,6;20,8;51,4;14,4;44,0
Észak-Magyarország;régió;409,0;72,0;480,9;449,4;930,3;120,0;51,7;15,0;44,0
Hajdú-Bihar;megye;183,0;24,6;207,6;207,7;415,3;41,8;50,0;11,8;44,1
Jász-Nagykun-Szolnok;megye;147,0;16,1;163,1;139,5;302,6;29,7;53,9;9,9;48,6
Szabolcs-Szatmár-Bereg;megye;182,3;37,7;220,0;210,1;430,2;60,8;51,1;17,2;42,4
Észak-Alföld;régió;512,3;78,4;590,7;557,3;1 148,0;132,3;51,5;13,3;44,6
Bács-Kiskun;megye;198,2;23,8;222,1;183,5;405,6;39,7;54,8;10,7;48,9
Békés;megye;130,4;20,5;150,9;133,4;284,2;32,7;53,1;13,6;45,9
Csongrád-Csanád;megye;164,3;13,1;177,4;142,3;319,7;20,6;55,5;7,4;51,4
Dél-Alföld;régió;492,9;57,4;550,3;459,2;1 009,5;93,0;54,5;10,4;48,8
Alföld és Észak;nagyrégió;1 414,2;207,8;1 622,0;1 465,8;3 087,8;345,3;52,5;12,8;45,8
Összesen;ország;3 891,1;434,7;4 325,7;3 345,4;7 671,1;704,6;56,4;10,0;50,7
2010. I. negyedév;;;;;;;;;;
Budapest;fõváros, régió;749,9;71,2;821,1;495,4;1 316,5;98,3;62,4;8,7;57,0
Pest;megye, régió;501,2;45,7;546,9;372,6;919,5;68,2;59,5;8,4;54,5
Közép-Magyarország;nagyrégió;1 251,1;116,9;1 368,0;867,9;2 235,9;166,5;61,2;8,5;56,0
Fejér;megye;169,8;21,0;190,7;138,7;329,5;29,2;57,9;11,0;51,5
Komárom-Esztergom;megye;130,8;13,0;143,8;96,3;240,1;19,9;59,9;9,1;54,5
Veszprém;megye;137,8;19,8;157,6;120,2;277,8;26,3;56,7;12,5;49,6
Közép-Dunántúl;régió;438,4;53,8;492,2;355,3;847,4;75,4;58,1;10,9;51,7
Gyõr-Moson-Sopron;megye;192,0;14,5;206,5;137,8;344,4;20,6;60,0;7,0;55,8
Vas;megye;105,1;11,3;116,4;85,8;202,2;16,8;57,6;9,7;52,0
Zala;megye;115,7;15,6;131,3;93,4;224,7;22,9;58,4;11,9;51,5
Nyugat-Dunántúl;régió;412,9;41,4;454,3;317,0;771,3;60,2;58,9;9,1;53,5
Baranya;megye;142,2;23,1;165,3;133,5;298,7;38,1;55,3;14,0;47,6
Somogy;megye;109,1;20,0;129,1;118,4;247,6;32,2;52,2;15,5;44,1
Tolna;megye;86,9;9,7;96,6;86,1;182,7;18,5;52,9;10,0;47,6
Dél-Dunántúl;régió;338,2;52,8;391,0;338,0;729,0;88,8;53,6;13,5;46,4
Dunántúl;nagyrégió;1 189,5;148,0;1 337,5;1 010,3;2 347,7;224,4;57,0;11,1;50,7
Borsod-Abaúj-Zemplén;megye;223,9;46,3;270,3;259,9;530,1;79,3;51,0;17,1;42,2
Heves;megye;107,7;16,6;124,3;114,9;239,2;28,3;52,0;13,4;45,0
Nógrád;megye;67,8;16,3;84,1;75,2;159,3;24,9;52,8;19,3;42,6
Észak-Magyarország;régió;399,5;79,2;478,7;449,9;928,6;132,5;51,5;16,5;43,0
Hajdú-Bihar;megye;179,8;27,0;206,8;208,5;415,3;46,7;49,8;13,1;43,3
Jász-Nagykun-Szolnok;megye;139,6;20,1;159,7;142,4;302,1;37,1;52,9;12,6;46,2
Szabolcs-Szatmár-Bereg;megye;177,7;42,9;220,6;209,3;429,9;66,9;51,3;19,4;41,3
Észak-Alföld;régió;497,1;90,0;587,1;560,2;1 147,3;150,7;51,2;15,3;43,3
Bács-Kiskun;megye;194,3;23,8;218,0;187,2;405,3;41,1;53,8;10,9;47,9
Békés;megye;128,4;21,7;150,1;133,5;283,6;33,9;52,9;14,4;45,3
Csongrád-Csanád;megye;161,9;14,2;176,1;143,2;319,3;20,5;55,2;8,0;50,7
Dél-Alföld;régió;484,6;59,6;544,2;463,9;1 008,2;95,5;54,0;11,0;48,1
Alföld és Észak;nagyrégió;1 381,2;228,8;1 610,0;1 474,1;3 084,1;378,6;52,2;14,2;44,8
Összesen;ország;3 821,8;493,8;4 315,5;3 352,2;7 667,8;769,5;56,3;11,4;49,8
2010. II. negyedév;;;;;;;;;;
Budapest;fõváros, régió;747,8;70,1;817,9;498,8;1 316,7;100,7;62,1;8,6;56,8
Pest;megye, régió;500,1;47,9;548,0;373,2;921,3;70,3;59,5;8,7;54,3
Közép-Magyarország;nagyrégió;1 248,0;118,0;1 366,0;872,0;2 238,0;171,0;61,0;8,6;55,8
Fejér;megye;169,0;17,9;186,9;142,7;329,6;28,5;56,7;9,6;51,3
Komárom-Esztergom;megye;131,8;10,9;142,7;97,2;239,9;18,3;59,5;7,6;55,0
Veszprém;megye;140,5;18,9;159,4;118,2;277,6;24,1;57,4;11,8;50,6
Közép-Dunántúl;régió;441,3;47,7;489,0;358,0;847,0;70,9;57,7;9,7;52,1
Gyõr-Moson-Sopron;megye;193,7;13,8;207,5;137,2;344,6;19,8;60,2;6,7;56,2
Vas;megye;104,6;13,2;117,7;84,3;202,1;17,8;58,3;11,2;51,8
Zala;megye;115,0;16,1;131,1;93,4;224,5;22,7;58,4;12,2;51,2
Nyugat-Dunántúl;régió;413,3;43,0;456,3;314,9;771,2;60,2;59,2;9,4;53,6
Baranya;megye;146,4;22,4;168,8;129,5;298,2;35,9;56,6;13,2;49,1
Somogy;megye;114,6;16,4;130,9;116,3;247,3;27,5;53,0;12,5;46,3
Tolna;megye;89,8;8,4;98,2;84,1;182,4;16,5;53,9;8,5;49,3
Dél-Dunántúl;régió;350,8;47,1;397,9;329,9;727,9;79,9;54,7;11,8;48,2
Dunántúl;nagyrégió;1 205,4;137,8;1 343,2;1 002,9;2 346,1;211,0;57,3;10,3;51,4
Borsod-Abaúj-Zemplén;megye;225,2;47,2;272,4;256,7;529,1;79,0;51,5;17,3;42,6
Heves;megye;109,7;14,2;123,8;114,8;238,7;24,7;51,9;11,4;46,0
Nógrád;megye;69,6;14,6;84,2;74,8;159,0;23,3;52,9;17,4;43,7
Észak-Magyarország;régió;404,5;76,0;480,4;446,4;926,8;127,0;51,8;15,8;43,6
Hajdú-Bihar;megye;186,4;27,7;214,0;201,3;415,4;43,6;51,5;12,9;44,9
Jász-Nagykun-Szolnok;megye;143,6;15,7;159,3;142,3;301,6;30,6;52,8;9,9;47,6
Szabolcs-Szatmár-Bereg;megye;187,1;39,7;226,8;202,9;429,7;61,9;52,8;17,5;43,6
Észak-Alföld;régió;517,0;83,1;600,1;546,5;1 146,6;136,1;52,3;13,8;45,1
Bács-Kiskun;megye;198,1;23,1;221,2;183,7;404,9;40,0;54,6;10,4;48,9
Békés;megye;133,6;17,5;151,1;131,7;282,9;29,2;53,4;11,6;47,2
Csongrád-Csanád;megye;164,2;15,1;179,3;139,7;319,0;20,4;56,2;8,4;51,5
Dél-Alföld;régió;496,0;55,7;551,7;455,1;1 006,8;89,7;54,8;10,1;49,3
Alföld és Észak;nagyrégió;1 417,5;214,7;1 632,2;1 448,0;3 080,3;352,8;53,0;13,2;46,0
Összesen;ország;3 870,9;470,6;4 341,4;3 322,9;7 664,3;734,8;56,6;10,8;50,5
2010. III. negyedév;;;;;;;;;;
Budapest;fõváros, régió;742,6;74,1;816,7;500,3;1 317,0;106,2;62,0;9,1;56,4
Pest;megye, régió;501,8;45,1;547,0;376,1;923,0;71,9;59,3;8,2;54,4
Közép-Magyarország;nagyrégió;1 244,4;119,3;1 363,7;876,3;2 240,0;178,1;60,9;8,7;55,6
Fejér;megye;175,1;15,1;190,2;139,5;329,7;23,6;57,7;7,9;53,1
Komárom-Esztergom;megye;132,3;11,9;144,2;95,4;239,6;19,4;60,2;8,2;55,2
Veszprém;megye;145,3;18,4;163,7;113,6;277,3;22,8;59,0;11,2;52,4
Közép-Dunántúl;régió;452,8;45,3;498,1;348,5;846,6;65,8;58,8;9,1;53,5
Gyõr-Moson-Sopron;megye;193,3;13,9;207,2;137,7;344,9;20,1;60,1;6,7;56,0
Vas;megye;107,5;12,6;120,1;81,8;201,9;16,5;59,5;10,5;53,2
Zala;megye;113,8;15,2;129,0;95,3;224,3;22,8;57,5;11,8;50,7
Nyugat-Dunántúl;régió;414,6;41,7;456,3;314,9;771,1;59,4;59,2;9,1;53,8
Baranya;megye;146,5;18,4;164,9;132,8;297,7;30,0;55,4;11,2;49,2
Somogy;megye;116,4;16,8;133,3;113,7;247,0;28,6;54,0;12,6;47,1
Tolna;megye;90,5;6,6;97,0;85,0;182,1;14,5;53,3;6,8;49,7
Dél-Dunántúl;régió;353,4;41,8;395,2;331,5;726,8;73,2;54,4;10,6;48,6
Dunántúl;nagyrégió;1 220,8;128,8;1 349,6;994,9;2 344,5;198,4;57,6;9,5;52,1
Borsod-Abaúj-Zemplén;megye;226,5;46,7;273,2;255,0;528,2;80,0;51,7;17,1;42,9
Heves;megye;110,8;13,8;124,6;113,7;238,3;23,7;52,3;11,1;46,5
Nógrád;megye;69,1;14,3;83,4;75,3;158,7;22,8;52,6;17,2;43,5
Észak-Magyarország;régió;406,4;74,8;481,2;443,9;925,1;126,5;52,0;15,6;43,9
Hajdú-Bihar;megye;190,1;28,6;218,7;196,7;415,4;43,5;52,7;13,1;45,8
Jász-Nagykun-Szolnok;megye;148,2;15,0;163,3;137,8;301,0;27,7;54,2;9,2;49,2
Szabolcs-Szatmár-Bereg;megye;191,3;37,6;228,9;200,5;429,4;59,3;53,3;16,4;44,5
Észak-Alföld;régió;529,6;81,3;610,9;535,0;1 145,9;130,5;53,3;13,3;46,2
Bács-Kiskun;megye;203,0;20,8;223,8;180,8;404,6;36,3;55,3;9,3;50,2
Békés;megye;136,6;17,1;153,8;128,4;282,2;29,9;54,5;11,1;48,4
Csongrád-Csanád;megye;166,9;15,8;182,7;136,0;318,7;21,8;57,3;8,6;52,4
Dél-Alföld;régió;506,6;53,7;560,3;445,2;1 005,5;87,9;55,7;9,6;50,4
Alföld és Észak;nagyrégió;1 442,6;209,8;1 652,4;1 424,1;3 076,5;345,0;53,7;12,7;46,9
Összesen;ország;3 907,8;457,9;4 365,7;3 295,2;7 661,0;721,4;57,0;10,5;51,0
2010. IV. negyedév;;;;;;;;;;
Budapest;fõváros, régió;743,2;66,8;810,0;507,2;1 317,2;104,8;61,5;8,2;56,4
Pest;megye, régió;502,4;44,6;547,0;377,8;924,8;68,5;59,1;8,1;54,3
Közép-Magyarország;nagyrégió;1 245,7;111,4;1 357,0;885,0;2 242,0;173,3;60,5;8,2;55,6
Fejér;megye;176,1;14,8;190,9;138,9;329,8;22,8;57,9;7,8;53,4
Komárom-Esztergom;megye;133,1;11,8;145,0;94,4;239,3;18,1;60,6;8,2;55,6
Veszprém;megye;144,6;17,7;162,3;114,7;277,0;23,1;58,6;10,9;52,2
Közép-Dunántúl;régió;453,8;44,3;498,1;348,0;846,1;64,0;58,9;8,9;53,6
Gyõr-Moson-Sopron;megye;193,6;13,7;207,3;137,9;345,2;19,8;60,0;6,6;56,1
Vas;megye;110,5;10,4;120,9;80,9;201,8;14,1;59,9;8,6;54,7
Zala;megye;114,8;13,6;128,4;95,6;224,0;22,3;57,3;10,6;51,2
Nyugat-Dunántúl;régió;418,8;37,8;456,6;314,5;771,0;56,1;59,2;8,3;54,3
Baranya;megye;140,1;22,9;163,0;134,1;297,2;35,6;54,9;14,1;47,1
Somogy;megye;111,3;18,3;129,6;117,1;246,7;31,3;52,5;14,1;45,1
Tolna;megye;92,2;7,0;99,2;82,6;181,8;14,0;54,6;7,1;50,7
Dél-Dunántúl;régió;343,6;48,2;391,8;333,8;725,6;80,9;54,0;12,3;47,4
Dunántúl;nagyrégió;1 216,2;130,3;1 346,5;996,3;2 342,8;201,0;57,5;9,7;51,9
Borsod-Abaúj-Zemplén;megye;229,7;45,0;274,6;252,6;527,2;77,3;52,1;16,4;43,6
Heves;megye;111,7;15,2;126,9;110,9;237,8;24,6;53,3;12,0;47,0
Nógrád;megye;65,8;14,5;80,3;78,1;158,4;23,7;50,7;18,1;41,5
Észak-Magyarország;régió;407,1;74,7;481,8;441,6;923,4;125,7;52,2;15,5;44,1
Hajdú-Bihar;megye;190,2;28,0;218,2;197,3;415,5;45,0;52,5;12,8;45,8
Jász-Nagykun-Szolnok;megye;149,0;16,5;165,6;135,0;300,5;29,4;55,1;10,0;49,6
Szabolcs-Szatmár-Bereg;megye;187,5;39,4;226,9;202,3;429,2;60,6;52,9;17,4;43,7
Észak-Alföld;régió;526,7;83,9;610,6;534,5;1 145,2;135,0;53,3;13,7;46,0
Bács-Kiskun;megye;200,5;21,0;221,5;182,8;404,3;39,7;54,8;9,5;49,6
Békés;megye;135,8;16,6;152,4;129,2;281,6;29,5;54,1;10,9;48,2
Csongrád-Csanád;megye;162,7;16,2;178,9;139,4;318,4;23,0;56,2;9,1;51,1
Dél-Alföld;régió;499,0;53,8;552,8;451,4;1 004,2;92,1;55,1;9,7;49,7
Alföld és Észak;nagyrégió;1 432,8;212,4;1 645,2;1 427,5;3 072,7;352,8;53,5;12,9;46,6
Összesen;ország;3 894,7;454,1;4 348,8;3 308,8;7 657,6;727,1;56,8;10,4;50,9
2011. I. negyedév;;;;;;;;;;
Budapest;fõváros, régió;745,8;74,2;820,1;497,4;1 317,5;113,0;62,2;9,1;56,6
Pest;megye, régió;504,0;40,9;544,9;381,7;926,6;69,1;58,8;7,5;54,4
Közép-Magyarország;nagyrégió;1 249,9;115,1;1 365,0;879,1;2 244,1;182,1;60,8;8,4;55,7
Fejér;megye;179,3;16,3;195,6;134,3;329,9;26,2;59,3;8,3;54,4
Komárom-Esztergom;megye;131,7;12,5;144,2;94,8;239,1;19,5;60,3;8,7;55,1
Veszprém;megye;143,3;18,4;161,8;115,0;276,8;23,8;58,4;11,4;51,8
Közép-Dunántúl;régió;454,4;47,2;501,6;344,1;845,7;69,6;59,3;9,4;53,7
Gyõr-Moson-Sopron;megye;189,8;14,0;203,8;141,7;345,5;18,7;59,0;6,9;54,9
Vas;megye;110,4;9,7;120,1;81,6;201,6;13,0;59,5;8,1;54,8
Zala;megye;116,7;12,2;128,9;94,8;223,8;19,0;57,6;9,5;52,2
Nyugat-Dunántúl;régió;416,9;35,9;452,8;318,1;770,9;50,8;58,7;7,9;54,1
Baranya;megye;137,6;23,6;161,2;135,4;296,6;35,6;54,3;14,6;46,4
Somogy;megye;106,7;21,0;127,7;118,7;246,4;35,9;51,8;16,4;43,3
Tolna;megye;88,5;8,9;97,4;84,1;181,5;17,1;53,7;9,2;48,8
Dél-Dunántúl;régió;332,8;53,5;386,3;338,2;724,5;88,6;53,3;13,8;45,9
Dunántúl;nagyrégió;1 204,1;136,6;1 340,7;1 000,5;2 341,2;209,0;57,3;10,2;51,4
Borsod-Abaúj-Zemplén;megye;222,4;49,6;272,0;254,2;526,2;83,0;51,7;18,2;42,3
Heves;megye;109,1;16,0;125,0;112,3;237,4;28,9;52,7;12,8;45,9
Nógrád;megye;60,9;14,8;75,7;82,3;158,1;24,8;47,9;19,6;38,5
Észak-Magyarország;régió;392,4;80,4;472,8;448,9;921,6;136,7;51,3;17,0;42,6
Hajdú-Bihar;megye;185,7;31,9;217,6;198,0;415,5;52,8;52,4;14,7;44,7
Jász-Nagykun-Szolnok;megye;140,4;20,0;160,4;139,6;300,0;37,1;53,5;12,5;46,8
Szabolcs-Szatmár-Bereg;megye;172,7;46,2;219,0;210,0;428,9;74,9;51,1;21,1;40,3
Észak-Alföld;régió;498,8;98,1;597,0;547,5;1 144,5;164,9;52,2;16,4;43,6
Bács-Kiskun;megye;194,3;24,9;219,2;184,7;403,9;43,0;54,3;11,4;48,1
Békés;megye;130,2;19,9;150,1;130,8;280,9;33,0;53,4;13,3;46,3
Csongrád-Csanád;megye;162,3;17,1;179,4;138,6;318,0;23,4;56,4;9,5;51,0
Dél-Alföld;régió;486,7;62,0;548,7;454,1;1 002,8;99,3;54,7;11,3;48,5
Alföld és Észak;nagyrégió;1 378,0;240,5;1 618,4;1 450,5;3 068,9;400,9;52,7;14,9;44,9
