20.2.2.1. A 15–74 éves népesség gazdasági aktivitása, megye és régió szerint, negyedévente;;;;;;;;;;
Területi egység neve;Területi egység szintje;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–74 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
2009. I. negyedév;;;;;;;;;;
Budapest;fõváros, régió;768,2;39,9;808,1;507,4;1 315,4;67,1;61,4;4,9;58,4
Pest;megye, régió;505,6;32,5;538,1;374,2;912,4;49,2;59,0;6,0;55,4
Közép-Magyarország;nagyrégió;1 273,9;72,3;1 346,2;881,6;2 227,8;116,2;60,4;5,4;57,2
Fejér;megye;176,9;14,4;191,3;137,7;329,1;22,5;58,1;7,5;53,8
Komárom-Esztergom;megye;133,7;9,4;143,1;98,1;241,2;16,8;59,3;6,6;55,4
Veszprém;megye;141,3;17,4;158,7;120,2;278,9;24,4;56,9;10,9;50,7
Közép-Dunántúl;régió;452,0;41,2;493,2;356,0;849,2;63,8;58,1;8,3;53,2
Gyõr-Moson-Sopron;megye;191,8;12,1;203,9;139,4;343,2;16,4;59,4;5,9;55,9
Vas;megye;112,1;9,9;122,0;80,8;202,8;14,7;60,2;8,1;55,3
Zala;megye;118,5;12,2;130,7;95,0;225,7;18,7;57,9;9,4;52,5
Nyugat-Dunántúl;régió;422,4;34,2;456,6;315,1;771,7;49,8;59,2;7,5;54,7
Baranya;megye;141,0;16,6;157,5;143,3;300,9;30,7;52,4;10,5;46,9
Somogy;megye;107,6;13,0;120,6;128,2;248,8;28,4;48,5;10,8;43,2
Tolna;megye;88,9;10,5;99,3;84,5;183,8;16,1;54,0;10,5;48,3
Dél-Dunántúl;régió;337,4;40,1;377,5;356,0;733,4;75,3;51,5;10,6;46,0
Dunántúl;nagyrégió;1 211,8;115,4;1 327,2;1 027,1;2 354,3;188,9;56,4;8,7;51,5
Borsod-Abaúj-Zemplén;megye;226,1;43,7;269,8;264,2;534,0;73,4;50,5;16,2;42,3
Heves;megye;111,8;16,6;128,4;112,6;241,0;24,3;53,3;12,9;46,4
Nógrád;megye;70,5;13,4;83,9;76,7;160,6;20,1;52,2;16,0;43,9
Észak-Magyarország;régió;408,3;73,7;482,0;453,6;935,6;117,8;51,5;15,3;43,6
Hajdú-Bihar;megye;178,2;23,5;201,7;213,4;415,1;44,4;48,6;11,6;42,9
Jász-Nagykun-Szolnok;megye;146,8;18,2;165,0;139,2;304,2;32,8;54,2;11,0;48,3
Szabolcs-Szatmár-Bereg;megye;173,6;45,4;219,1;211,8;430,9;70,3;50,8;20,7;40,3
Észak-Alföld;régió;498,6;87,1;585,7;564,4;1 150,2;147,6;50,9;14,9;43,4
Bács-Kiskun;megye;196,9;22,5;219,4;187,2;406,6;37,6;54,0;10,2;48,4
Békés;megye;127,7;19,6;147,3;139,0;286,2;28,8;51,5;13,3;44,6
Csongrád-Csanád;megye;159,8;13,0;172,8;147,8;320,6;20,2;53,9;7,5;49,8
Dél-Alföld;régió;484,4;55,1;539,5;474,0;1 013,5;86,6;53,2;10,2;47,8
Alföld és Észak;nagyrégió;1 391,4;215,8;1 607,2;1 492,0;3 099,2;352,0;51,9;13,4;44,9
Összesen;ország;3 877,0;403,6;4 280,6;3 400,7;7 681,3;657,1;55,7;9,4;50,5
2009. II. negyedév;;;;;;;;;;
Budapest;fõváros, régió;767,3;44,4;811,7;504,0;1 315,7;72,4;61,7;5,5;58,3
Pest;megye, régió;508,8;33,8;542,6;371,5;914,1;52,4;59,4;6,2;55,7
Közép-Magyarország;nagyrégió;1 276,1;78,2;1 354,3;875,5;2 229,8;124,8;60,7;5,8;57,2
Fejér;megye;176,1;14,3;190,4;138,8;329,2;21,2;57,8;7,5;53,5
Komárom-Esztergom;megye;131,7;9,9;141,5;99,4;241,0;16,0;58,7;7,0;54,6
Veszprém;megye;146,7;15,2;161,8;116,8;278,6;20,5;58,1;9,4;52,6
Közép-Dunántúl;régió;454,4;39,3;493,8;355,0;848,8;57,7;58,2;8,0;53,5
Gyõr-Moson-Sopron;megye;192,3;11,8;204,2;139,3;343,5;16,7;59,4;5,8;56,0
Vas;megye;105,5;11,7;117,3;85,4;202,6;16,2;57,9;10,0;52,1
Zala;megye;122,4;13,7;136,1;89,4;225,5;19,0;60,4;10,1;54,3
Nyugat-Dunántúl;régió;420,2;37,3;457,5;314,1;771,6;51,8;59,3;8,2;54,5
Baranya;megye;146,8;18,4;165,3;135,0;300,3;31,4;55,0;11,2;48,9
Somogy;megye;108,6;15,2;123,8;124,7;248,5;27,9;49,8;12,3;43,7
Tolna;megye;88,0;9,6;97,6;85,9;183,5;16,0;53,2;9,8;48,0
Dél-Dunántúl;régió;343,5;43,3;386,7;345,6;732,4;75,3;52,8;11,2;46,9
Dunántúl;nagyrégió;1 218,1;119,9;1 338,0;1 014,7;2 352,7;184,8;56,9;9,0;51,8
Borsod-Abaúj-Zemplén;megye;233,6;41,4;275,1;258,0;533,0;70,9;51,6;15,1;43,8
Heves;megye;109,9;15,6;125,5;115,0;240,5;23,7;52,2;12,4;45,7
Nógrád;megye;69,7;12,2;81,9;78,3;160,3;20,3;51,1;14,9;43,5
Észak-Magyarország;régió;413,3;69,2;482,5;451,3;933,8;115,0;51,7;14,3;44,3
