20.2.2.12. A nyilvántartott álláskeresõk száma, megye és régió szerint, havi adatok [fõ];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2014. március;2014. június;2014. szeptember;2014. december;2015. március;2015. június;2015. szeptember;2015. december;2016. március;2016. június;2016. szeptember;2016. december;2017. március;2017. június;2017. szeptember;2017. december;2018. március;2018. június;2018. szeptember;2018. december;2019. március;2019. június;2019. szeptember;2019. december;2020. március;2020. június;2020. szeptember;2020. december;2021. március;2021. június;2021. szeptember;2021. december;2022. március;2022. június;2022. szeptember;2022. december
Nógrád ;megye;13 167;16 643;14 459;14 151;17 552;13 700;13 514;13 213;17 776;12 061;11 457;10 900;14 676;11 458;11 032;10 296;11 650;10 552;11 036;10 474;11 444;10 873;10 977;10 233;11 852;13 859;12 768;11 274;11 356;10 700;10 595;10 130;10 737;10 092;10 400;
Észak-Magyarország;régió;78 057;87 174;74 456;75 426;91 558;71 248;69 105;67 542;89 015;60 710;58 905;57 882;74 075;60 067;58 675;55 427;61 296;53 886;56 309;54 510;63 058;56 939;56 213;54 343;63 980;74 528;68 274;63 614;67 389;60 575;59 040;55 879;58 059;54 920;57 348;
Hajdú-Bihar;megye;37 463;38 374;32 859;32 190;42 996;32 194;30 527;29 442;41 907;24 509;24 692;24 330;33 556;24 728;23 943;22 309;27 352;21 785;22 657;21 484;25 135;22 184;20 941;17 994;22 885;29 505;23 793;21 169;23 719;20 890;19 397;18 210;20 052;18 315;18 802;
Jász-Nagykun-Szolnok;megye;23 303;22 169;19 227;19 488;24 243;19 832;19 250;19 254;22 573;16 166;14 855;15 650;18 660;15 736;14 884;13 880;14 478;12 840;13 838;13 128;14 867;13 703;13 784;13 284;15 951;19 959;17 448;15 725;16 172;14 555;13 730;12 984;13 623;12 451;12 451;
Szabolcs-Szatmár-Bereg;megye;48 297;50 358;38 415;41 502;53 231;37 833;31 164;34 297;49 517;30 551;28 116;28 416;43 228;31 581;27 906;30 174;33 886;27 227;27 519;27 732;34 655;29 022;25 550;23 832;31 208;33 769;28 681;26 378;30 056;28 735;25 777;24 198;26 800;24 059;25 124;
Észak-Alföld;régió;109 063;110 901;90 501;93 180;120 470;89 859;80 941;82 993;113 997;71 226;67 663;68 396;95 444;72 045;66 733;66 363;75 716;61 852;64 014;62 344;74 657;64 909;60 275;55 110;70 044;83 233;69 922;63 272;69 947;64 180;58 904;55 392;60 475;54 825;56 377;
Bács-Kiskun ;megye;25 272;24 595;22 049;23 349;25 491;22 234;20 229;19 066;20 848;15 819;15 520;14 442;17 755;14 839;14 314;13 224;14 576;12 109;12 873;12 020;13 589;12 484;12 260;11 578;13 668;19 343;15 780;14 179;14 547;12 656;11 870;11 237;12 072;11 026;11 219;
Békés;megye;19 034;17 921;15 143;15 298;17 769;14 427;11 564;12 611;15 742;11 537;11 365;10 864;14 369;11 546;11 432;10 154;12 691;10 426;11 261;10 473;12 280;11 136;11 486;10 852;12 678;16 611;14 159;13 326;14 004;12 595;11 804;11 609;12 130;11 175;11 371;
Csongrád-Csanád;megye;15 751;15 428;13 114;13 365;16 074;13 349;10 848;11 826;14 479;9 595;8 741;8 560;10 453;8 908;8 073;7 108;7 821;6 908;7 325;6 601;7 616;6 522;6 502;6 199;7 351;10 916;8 138;6 985;7 021;5 737;5 496;5 152;5 548;4 992;5 325;
Dél-Alföld;régió;60 057;57 944;50 306;52 012;59 334;50 010;42 641;43 503;51 069;36 951;35 626;33 866;42 577;35 293;33 819;30 486;35 088;29 443;31 459;29 094;33 485;30 142;30 248;28 629;33 697;46 870;38 077;34 490;35 572;30 988;29 170;27 998;29 750;27 193;27 915;
Alföld és Észak;nagyrégió;247 177;256 019;215 263;220 618;271 362;211 117;192 687;194 038;254 081;168 887;162 194;160 144;212 096;167 405;159 227;152 276;172 100;145 181;151 782;145 948;171 200;151 990;146 736;138 082;167 721;204 631;176 273;161 376;172 908;155 743;147 114;139 269;148 284;136 938;141 640;
Ország összesen;ország;431 474;438 571;380 242;391 040;462 037;366 885;341 740;337 478;420 670;291 637;282 049;273 498;350 831;279 566;268 449;254 749;284 565;240 711;251 047;241 898;278 835;248 199;243 356;234 903;281 273;376 290;323 408;290 694;303 631;265 497;250 286;238 712;251 297;230 309;238 242;
