21.1.1.48. A készletváltozás értéke [folyó áron, millió Ft];;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Nemzetgazdasági ág;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
A;Mezõgazdaság, erdõgazdálkodás, halászat;28 227;23 686;-133;-2 127;6 270;-12 279;20 967;-26 235;-10 047;47 793;-13 069;-17 107;10 286;71 213;2 022;-963;86 983;8 164;52 943;37 826;32 979;70 097;6 193;33 907;21 137;29 972;175 869
B;Bányászat, kõfejtés;-707;459;1 944;810;-3 872;-1 308;56;-3 223;548;2 458;3 458;-1 933;5 451;5 716;-3 066;-1 600;201;1 429;-871;-839;28;44 222;-6 391;-2 829;1 717;-1 983;-3 097
C;Feldolgozóipar;103 230;44 040;123 228;211 196;49 490;81 839;94 355;-46 986;5 613;293 207;66 432;267 404;158 667;29 108;-214 113;187 028;229 563;186 870;93 363;264 761;169 573;137 482;86 555;258 249;132 668;-188 354;1 077 080
D;Villamosenergia-, gáz-, gõzellátás, légkondicionálás;-2 442;328;7 385;28 359;-5 353;13 439;-7 897;-2 605;-13 285;-17 821;-18 796;6 285;-22 565;24 161;74 237;65 079;-46 992;-6 880;-14 255;38 235;-28 736;-67 586;12 360;-25 172;83 473;-100 175;-71 036
E;"Vízellátás; szennyvíz gyûjtése, kezelése, hulladékgazdálkodás, szennyezõdésmentesítés";-281;-24;1 624;3 639;1 426;311;-555;81;-247;2 115;997;1 808;983;3 686;1 144;2 627;1 042;5 170;9 314;1 125;5 528;-775;900;-1 382;-830;-1 615;-918
F;Építõipar;-3 363;9 545;-1 005;21 107;-7 949;29 728;54 579;12 354;3 298;100 263;127 299;5 280;-45 286;4 085;-9 368;-20 291;-532;-2 324;7 464;11 439;-17 092;87 305;28 614;64 657;-16 628;-87 286;41 706
G;Kereskedelem, gépjármûjavítás;-54 355;34 156;82 556;145 332;122 067;145 481;-103 988;139 833;94 310;172 105;68 030;163 462;89 381;193 658;-386 647;45 616;61 550;-6 899;27 619;222 316;164 659;264 678;59 465;289 827;131 774;190 295;284 274
H;Szállítás, raktározás;32;2 430;-1 052;3 110;2 545;-2 102;9 669;2 861;1 276;11 945;93 820;44 347;-72 630;-668;13 171;-7 228;35 294;7 210;27 393;-1 327;19 629;1 977;1 698;5 051;7 118;1 979;20 388
I;Szálláshely-szolgáltatás, vendéglátás;-321;101;-133;1 244;1 513;7 164;413;-643;2 670;1 032;-9 581;2 205;-2 243;1 194;272;-487;318;533;2 104;1 250;5 131;3 085;2 456;1 121;-773;1 141;-3 223
J;Információ, kommunikáció;-1 831;-1 940;10 393;10 363;8 556;-1 016;21 150;-818;-2 719;4 091;5 902;1 389;33;13 560;25 438;2 917;-2 004;18 505;10 350;15 120;28 158;30 160;5 272;10 010;-3 951;-40 013;-1 229
K;Pénzügyi, biztosítási tevékenység;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
L;Ingatlanügyletek;4 343;6 600;10 845;1 973;16 754;60 853;78 722;57 628;53 650;33 345;137 130;128 449;123 238;21 260;-20 054;-13 536;-17 026;22 480;8 858;-31 003;-3 635;69 177;45 504;113 283;162 143;49 714;73 154
M;Szakmai, tudományos, mûszaki tevékenység;2 636;5 271;8 665;5 528;1 815;-4 757;15 263;-6 434;7 001;9 215;-9 915;10 465;-666;27 547;10 400;7 366;-1 761;7 412;7 941;12 969;30 008;12 613;6 380;21 240;9 714;7 056;-2 062
N;Adminisztratív és szolgáltatást támogató tevékenység;-221;340;3 036;3 322;672;-920;4 899;-3 813;4 698;4 102;-2 053;5 143;-3 058;13 272;-948;3 871;-1 290;9 556;-2 260;7 359;7 432;8 636;3 279;8 757;10 589;837;3 204
O;"Közigazgatás, védelem; kötelezõ társadalombiztosítás";–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
P;Oktatás;-144;-78;142;190;154;-117;863;178;488;539;141;204;-204;-39;158;-23;139;-1;-12;712;477;517;57;478;1 969;1 336;-1 140
Q;Humán egészségügyi, szociális ellátás;-32;17;158;819;251;-546;-231;28;96;2 068;102;-671;1 367;-45;-426;1 334;-723;699;-89;455;1 216;878;229;242;4 543;1 772;-610
R;Mûvészet, szórakoztatás, szabadidõ;2 077;1 080;3 206;4 355;-624;-2 383;830;-881;247;1 786;4 240;-3 145;735;2 409;435;-631;177;-181;1 164;1 173;80;2 822;1 025;1 230;450;1 864;-1 461
S;Egyéb szolgáltatás;-556;202;768;1 435;1 167;957;28;2 591;358;594;-293;865;1 116;2 979;-1 402;125;1 210;572;164;183;2 927;432;559;441;554;1 618;-315
;Vállalatok és pénzügyi vállalatok összesen ;76 293;126 212;251 627;440 655;194 882;314 345;189 123;123 914;147 956;668 837;453 846;614 448;244 604;413 096;-508 748;271 204;346 150;252 313;231 190;581 756;418 362;665 721;254 155;779 109;545 668;-131 842;1 590 584
;Kormányzat;-1 560;5 552;7 008;-964;17 981;1 573;-10 057;482;3 252;958;2 336;13 676;12 306;27 209;56 368;-3 337;-31 305;2 132;-22 893;35 504;5 108;16 864;43 590;41 677;31 285;414 262;136 797
;Háztartások és háztartásokat segítõ nonprofit intézmények;-867;-1 740;756;27 160;19 473;11 603;16 807;11 774;16 991;13 214;3 380;14 618;8 879;-2 614;2 602;7 211;10 122;8 264;7 479;11 711;-1 043;9 249;7 281;12 021;8 825;15 439;23 122
;Összesen;73 866;130 024;259 391;466 851;232 336;327 521;195 873;136 170;168 199;683 009;459 562;642 742;265 789;437 691;-449 778;275 078;324 967;262 709;215 776;628 971;422 427;691 834;305 026;832 807;585 778;297 859;1 750 503
