20.2.1.2. A 15–74 éves népesség gazdasági aktivitása nemenként, havonta;;;;;;;;;;
Év;Hónap;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–74 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;;
2009.;január;3 860,3;373,0;4 233,3;3 449,1;7 682,4;629,2;55,1;8,8;50,2
;február;3 885,2;401,5;4 286,7;3 394,7;7 681,4;650,4;55,8;9,4;50,6
;március;3 885,6;436,2;4 321,8;3 358,4;7 680,2;691,8;56,3;10,1;50,6
;április;3 871,3;397,3;4 268,6;3 410,5;7 679,1;640,0;55,6;9,3;50,4
;május;3 936,8;391,7;4 328,5;3 349,5;7 678,0;638,0;56,4;9,0;51,3
;június;3 923,1;412,0;4 335,1;3 341,7;7 676,8;652,0;56,5;9,5;51,1
;július;3 903,4;410,6;4 314,0;3 361,7;7 675,7;670,8;56,2;9,5;50,9
;augusztus;3 910,5;426,8;4 337,3;3 337,3;7 674,6;685,4;56,5;9,8;51,0
;szeptember;3 884,3;456,1;4 340,5;3 332,9;7 673,3;721,0;56,6;10,5;50,6
;október;3 917,9;413,3;4 331,2;3 341,1;7 672,3;680,1;56,5;9,5;51,1
;november;3 887,2;444,1;4 331,3;3 339,8;7 671,1;713,9;56,5;10,3;50,7
;december;3 868,1;446,6;4 314,7;3 355,3;7 670,0;719,7;56,3;10,4;50,4
2010.;január;3 800,4;463,8;4 264,2;3 404,7;7 668,9;746,8;55,6;10,9;49,6
;február;3 830,9;507,4;4 338,3;3 329,4;7 667,7;783,0;56,6;11,7;50,0
;március;3 834,0;510,1;4 344,1;3 322,6;7 666,7;778,7;56,7;11,7;50,0
;április;3 850,5;460,8;4 311,3;3 354,1;7 665,4;726,3;56,2;10,7;50,2
;május;3 876,2;472,5;4 348,7;3 315,6;7 664,4;741,3;56,7;10,9;50,6
;június;3 885,8;478,4;4 364,3;3 299,0;7 663,3;736,9;57,0;11,0;50,7
;július;3 889,4;439,4;4 328,7;3 333,3;7 662,1;694,7;56,5;10,1;50,8
;augusztus;3 909,3;466,8;4 376,1;3 284,8;7 661,0;729,5;57,1;10,7;51,0
