20.2.1.32. A munkanélküliek száma a keresett munka jellege szerint, nemenként, negyedévente [ezer fõ];;;;;;;;
Év;Negyedév;Csak teljes munkaidõs;Csak részmunkaidõs;Elsõsorban teljes munkaidõs, de részmunkaidõst is elvállalna;Elsõsorban részmunkaidõs, de teljes munkaidõst is elvállalna;Bármilyen típusú munka megfelelne;Önálló vállalkozást szeretne indítani;Összesen
;IV.;49,2;0,8;22,5;1,4;9,2;...;83,0
2018.;I.;54,4;0,7;25,3;0,4;7,6;...;88,3
;II.;54,8;0,6;21,2;0,4;11,1;...;88,2
;III.;53,1;2,4;18,4;0,6;10,4;0,8;85,7
;IV.;54,3;2,6;21,5;0,8;9,8;1,2;90,2
2019.;I.;58,3;2,1;19,5;0,4;9,0;0,6;89,9
;II.;62,0;1,6;16,5;2,3;5,5;0,1;87,9
;III.;65,1;0,4;12,7;1,3;5,5;0,2;85,1
;IV.;59,8;0,6;15,4;0,1;5,4;0,2;81,5
2020.;I.;64,5;1,0;18,5;0,1;7,6;0,3;92,0
;II.;74,1;1,5;27,2;...;8,9;0,3;111,9
;III.;77,4;0,5;21,5;0,8;9,7;0,4;110,2
;IV.;66,1;0,2;27,8;0,1;8,2;0,2;102,7
nõ;;;;;;;;
2009.;I.;73,0;9,6;72,1;5,3;17,2;0,9;178,2
;II.;70,2;10,4;72,0;4,5;18,3;0,9;176,4
;III.;74,3;9,6;81,8;4,9;20,8;0,9;192,3
;IV.;70,5;9,1;91,5;4,1;19,8;0,6;195,6
2010.;I.;76,0;8,9;100,4;4,0;20,8;0,8;210,9
;II.;69,8;8,6;98,8;3,4;22,5;0,4;203,6
;III.;79,8;7,6;96,2;2,7;22,5;0,2;209,0
;IV.;74,9;7,1;98,7;2,7;22,5;...;205,9
2011.;I.;71,4;8,6;113,7;2,9;20,7;0,1;217,2
;II.;68,7;8,6;113,3;3,6;19,1;...;213,2
;III.;69,7;10,5;108,7;3,9;20,2;0,1;213,0
;IV.;65,8;10,0;111,3;3,5;21,3;0,4;212,4
2012.;I.;65,3;10,1;120,3;4,4;25,4;0,0;225,5
;II.;57,0;8,8;112,8;3,4;23,5;0,1;205,7
;III.;58,0;8,0;112,2;4,3;20,7;...;203,2
;IV.;61,4;7,8;117,2;3,6;17,8;0,5;208,4
2013.;I.;62,4;8,6;115,7;2,7;22,7;0,2;212,3
;II.;57,5;7,6;110,0;4,2;24,2;0,6;204,1
;III.;59,5;11,0;99,6;4,5;25,2;0,3;200,3
;IV.;55,3;8,4;92,3;5,9;24,8;0,4;187,2
2014.;I.;55,5;7,3;81,6;4,6;22,0;0,1;171,1
;II.;54,0;6,5;82,2;2,7;21,6;0,3;167,3
;III.;46,3;5,5;81,4;2,6;23,0;0,1;158,9
;IV.;44,9;6,3;73,9;4,1;18,2;...;147,3
2015.;I.;53,8;5,7;74,7;4,1;22,2;0,5;161,0
;II.;43,4;6,8;72,5;2,7;21,1;0,4;146,8
;III.;49,0;7,9;66,7;2,2;14,8;0,1;140,7
;IV.;48,2;7,4;60,8;3,9;14,2;...;134,4
2016.;I.;44,5;5,4;58,9;2,7;13,8;0,2;125,6
;II.;37,2;6,2;48,3;1,3;9,5;0,1;102,6
;III.;42,4;5,7;45,5;1,4;9,5;...;104,6
;IV.;35,4;4,7;41,9;1,2;11,6;0,3;95,0
2017.;I.;38,3;4,9;37,8;1,8;15,1;...;97,8
;II.;38,5;6,6;35,9;3,1;12,0;...;96,2
;III.;45,1;3,3;34,5;2,2;12,0;0,1;97,3
;IV.;39,6;3,1;34,5;1,9;12,5;0,5;92,2
2018.;I.;36,5;3,8;35,0;3,3;10,5;0,3;89,4
;II.;33,0;2,2;30,6;1,4;9,0;0,7;76,9
;III.;44,8;3,0;31,6;1,7;11,4;...;92,4
;IV.;29,3;4,5;28,7;1,8;11,6;0,2;76,1
2019.;I.;36,5;5,1;25,8;0,6;7,0;0,2;75,1
;II.;35,6;2,8;23,0;0,7;5,0;0,1;67,3
;III.;40,6;2,5;26,5;2,3;5,1;0,2;77,3
;IV.;37,9;3,9;23,5;1,8;4,1;0,4;71,6
2020.;I.;46,6;6,4;22,0;1,1;4,3;0,6;81,0
;II.;58,7;1,9;34,3;1,0;5,8;0,5;102,2
;III.;49,2;3,5;32,8;2,3;9,7;0,1;97,6
;IV.;44,8;5,1;33,3;2,3;7,0;0,1;92,7
