14.1.1.32. Az egy fõre jutó éves élelmiszer-fogyasztás mennyisége a referenciaszemély korcsoportja, iskolai végzettsége és a háztartástagok korösszetétele szerint [kilogramm];;;;;;;;;;;;;;;;
Megnevezés;Összesen;Referenciaszemély korcsoportja: 25 évesnél fiatalabb;Referenciaszemély korcsoportja: 25–54 éves;Referenciaszemély korcsoportja: 55–64 éves;Referenciaszemély korcsoportja: 65 éves és idõsebb;Referenciaszemély iskolai végzettsége: alapfokú vagy nincs iskolai végzettsége;Referenciaszemély iskolai végzettsége: középfokú érettségi nélkül;Referenciaszemély iskolai végzettsége: középfokú érettségivel;Referenciaszemély iskolai végzettsége: felsõfokú;A háztartástagok korösszetétele: csak fiatalok;A háztartástagok korösszetétele: csak középkorúak;A háztartástagok korösszetétele: csak idõsek;A háztartástagok korösszetétele: csak fiatalok és középkorúak;A háztartástagok korösszetétele: csak fiatalok és idõsek;A háztartástagok korösszetétele: csak középkorúak és idõsek;A háztartástagok korösszetétele: fiatalok, középkorúak és idõsek
Szalámi, szárazkolbász, sonka;8,1;7,5;6,8;9,8;11,2;8,3;8,9;8,0;7,1;6,3;11,2;11,8;6,2;8,6;9,6;5,4
Egyéb hentesáru;11,8;11,3;10,5;14,1;14,2;13,3;12,5;11,7;9,6;12,1;16,9;15,2;9,3;11,7;11,5;11,0
Belsõség;2,8;3,8;2,0;3,6;4,7;3,3;2,9;2,9;2,1;2,2;2,9;4,9;1,9;3,1;3,4;2,4
Mirelit hústermékek, húskonzervek;2,1;2,1;2,0;2,2;2,1;2,1;2,4;2,0;1,7;2,6;3,3;2,4;1,8;1,9;1,9;1,5
Juh-, kecske-, nyúl- és egyéb hús;0,2;0,0;0,2;0,1;0,2;0,1;0,2;0,2;0,3;0,0;0,1;0,1;0,2;0,5;0,6;0,1
Húsfélék összesen;63,3;56,7;53,7;76,8;86,1;73,5;69,6;60,3;51,4;48,4;83,2;91,3;48,9;69,9;75,4;47,2
Hal;1,1;0,7;0,9;1,3;1,6;0,7;1,0;1,1;1,6;0,9;1,2;1,6;0,9;0,6;1,3;1,0
Halkonzerv;0,5;0,3;0,4;0,6;0,6;0,3;0,4;0,5;0,7;0,4;0,9;0,6;0,3;0,3;0,5;0,3
Hal, halkonzerv;1,6;1,0;1,4;1,8;2,2;0,9;1,4;1,6;2,3;1,3;2,1;2,2;1,2;1,0;1,8;1,4
Tej, liter;53,4;43,7;47,3;60,6;69,9;49,9;53,9;55,6;52,5;55,2;62,2;75,5;44,4;56,5;55,2;39,2
Joghurt, kefir, tejföl, liter;13,6;10,3;11,9;15,4;18,8;11,0;12,5;14,5;16,1;12,8;18,3;20,1;10,7;11,8;14,6;9,0
Sajt, túró, tejkonzerv, tejpor;7,6;6,0;6,8;8,4;10,0;5,7;7,0;8,4;8,9;7,4;10,2;10,5;6,2;7,2;8,3;5,3
Tojás, db;142;129;115;175;211;163;152;137;119;118;199;221;102;145;163;99
Vaj, vajkrém;1,2;1,0;1,1;1,4;1,5;1,0;1,0;1,2;1,6;1,1;1,5;1,7;1,0;1,0;1,3;0,7
Margarin és növényi zsírok;3,4;2,9;2,8;4,0;5,0;3,5;3,6;3,6;2,8;2,9;4,2;5,3;2,5;3,6;3,9;2,8
Étolaj, olívaolaj;10,3;9,9;9,0;11,9;13,7;12,3;11,6;9,9;7,7;9,9;13,2;14,9;8,0;9,9;10,6;9,7
Állati zsíradék;1,9;1,6;1,4;2,4;3,2;3,6;2,2;1,2;1,0;0,5;2,2;3,4;1,2;1,6;2,9;1,4
Zsiradék összesen;16,8;15,4;14,2;19,7;23,5;20,4;18,4;15,9;13,0;14,5;21,0;25,2;12,7;16,1;18,6;14,5
Citrusfélék;7,7;3,9;6,5;9,6;11,0;4,4;6,8;8,8;10,3;7,7;12,1;12,1;5,3;7,3;8,2;5,2
Banán;5,6;5,1;5,2;6,2;6,7;3,4;5,1;6,0;7,6;7,5;8,3;7,2;4,5;5,1;6,0;3,6
Alma;10,5;6,5;8,7;12,0;16,1;9,6;9,5;11,8;10,6;7,5;15,5;16,8;6,9;11,3;11,2;10,5
Körte;1,2;0,8;1,0;1,3;1,8;0,9;1,3;1,2;1,3;0,9;1,8;1,8;0,8;1,1;1,3;1,0
Õszibarack;2,7;2,5;2,0;3,2;4,7;2,1;2,6;2,9;3,1;2,6;2,8;5,2;1,8;2,3;3,5;1,4
Sárgabarack;0,9;0,1;0,6;0,9;2,1;0,8;0,6;0,9;1,3;0,1;1,9;1,9;0,4;0,3;0,9;0,7
Cseresznye;0,6;1,2;0,5;0,6;1,1;0,5;0,7;0,6;0,7;0,2;0,8;0,9;0,4;0,2;0,8;1,2
Meggy;0,9;0,4;0,5;1,0;2,1;1,0;0,6;1,3;0,5;0,2;1,7;2,1;0,3;0,8;0,8;0,9
Szilva;1,2;1,0;0,6;1,2;3,4;1,0;1,4;1,5;0,7;0,4;1,6;3,3;0,5;0,5;1,1;0,6
Földieper, málna, ribizli;1,1;0,3;0,8;1,2;2,3;0,6;1,1;1,2;1,6;0,6;1,5;2,3;0,8;0,4;0,9;0,7
Szõlõ;2,0;1,9;1,4;1,5;5,0;0,9;1,9;1,7;3,6;0,7;2,0;5,0;1,3;0,7;1,5;1,2
Sárgadinnye;0,7;0,1;0,6;0,8;1,1;0,7;0,5;0,8;0,8;0,7;1,3;1,1;0,4;0,3;0,8;0,5
Görögdinnye;6,3;7,7;5,1;7,9;9,1;6,6;5,7;6,2;7,1;7,8;8,0;9,3;4,9;7,0;7,2;3,8
Egyéb gyümölcs;1,1;0,6;1,1;1,0;1,3;0,9;0,7;1,2;1,6;1,0;1,4;1,4;1,1;0,8;1,1;0,5
Dió, mák, mogyoró, mandula, magvak;1,4;1,1;1,4;1,5;1,7;0,7;1,1;1,7;2,1;1,1;2,9;1,8;1,0;1,3;1,5;0,9
Gyümölcskészítmények;0,6;0,2;0,6;0,6;0,8;0,4;0,5;0,8;0,9;0,5;0,7;0,9;0,6;0,2;0,7;0,2
Gyümölcs összesen;44,7;33,4;36,6;50,7;70,2;34,3;40,2;48,4;53,8;39,5;64,4;73,1;30,8;39,7;47,7;33,0
Leveles, száraz zöldségek;2,1;0,8;1,8;2,2;3,1;2,1;1,7;2,4;2,2;0,8;2,9;3,4;1,6;1,0;2,4;1,6
Káposztafélék;5,0;4,0;3,7;6,8;8,4;5,4;5,2;5,0;4,4;3,4;6,3;9,0;3,3;5,4;6,1;3,8
Uborka;3,2;3,0;2,3;4,2;5,3;3,0;3,4;3,6;2,5;2,6;4,3;5,8;1,9;3,2;4,4;2,5
Paradicsom;6,1;5,2;5,4;6,1;8,8;5,6;5,9;6,8;5,8;5,7;8,7;9,2;4,6;4,1;6,7;4,0
Zöldpaprika;4,8;4,1;3,9;5,3;7,3;4,1;4,6;5,3;4,8;5,0;7,2;7,8;3,1;3,7;5,6;3,2
Zöldbab;0,6;1,1;0,3;1,0;1,2;0,8;0,7;0,6;0,3;0,2;0,5;1,3;0,3;0,5;0,9;0,6
Zöldborsó;0,5;0,3;0,3;0,8;1,2;0,7;0,6;0,6;0,3;0,1;0,8;1,2;0,2;0,4;1,0;0,5
Szárazhüvelyesek;0,8;0,5;0,6;1,1;1,1;1,1;0,9;0,6;0,6;0,5;1,0;1,3;0,5;0,6;1,0;0,6
Gomba;0,9;0,6;0,7;1,1;1,1;0,7;0,7;1,0;1,0;0,7;1,1;1,2;0,7;0,6;1,0;0,8
Sárgarépa, petrezselyemgyökér;7,2;6,1;5,8;9,2;10,7;7,6;7,7;7,3;6,3;5,0;8,6;11,5;5,4;6,8;9,1;5,3
Vöröshagyma;8,6;6,6;6,8;10,7;13,6;10,8;9,1;8,6;6,3;5,9;11,1;14,2;6,1;6,0;10,6;6,7
Egyéb friss zöldség;4,2;2,8;3,8;4,4;5,7;2,4;5,1;4,2;4,7;1,4;4,9;6,1;3,8;2,4;4,9;2,1
Tartósított zöldség, zöldségkészítmények;7,8;6,3;6,7;9,4;10,3;6,6;8,2;8,0;7,9;7,0;10,7;11,2;6,0;6,1;8,7;6,0
Burgonya;28,9;24,6;24,7;34,2;39,5;39,5;33,5;24,4;20,5;26,5;41,0;41,5;22,2;27,9;30,3;21,0
Zöldség és burgonya összesen;80,7;66,0;66,9;96,6;117,4;90,5;87,3;78,3;67,8;64,8;109,1;124,7;59,7;68,6;92,6;58,7
Cukor;13,6;13,0;11,0;17,5;19,2;17,1;15,4;12,6;9,7;12,2;14,5;21,5;10,6;12,4;14,9;11,4
Ásványvíz, liter;76,6;64,7;72,0;83,2;88,3;50,5;76,0;85,6;86,5;57,9;118,6;98,1;63,9;57,9;77,2;49,5
Üdítõitalok, liter;33,6;36,5;35,3;30,9;29,3;33,9;35,5;33,5;30,9;37,1;45,1;30,1;33,4;24,7;33,7;24,9
Gyümölcslevek, liter;12,4;8,0;12,2;13,3;12,6;7,8;10,2;14,3;16,1;12,6;16,7;13,9;11,4;10,0;11,7;8,9
Bor, boralapú italok, liter;5,8;2,0;4,0;10,1;8,7;4,3;6,9;4,7;7,2;7,9;12,6;9,5;2,8;3,0;7,6;3,0
2017;;;;;;;;;;;;;;;;
Kenyér;36,7;34,0;33,0;43,6;44,0;52,8;41,1;31,9;26,1;36,9;50,5;47,5;29,6;27,1;40,5;30,6
Péksütemény;16,2;15,0;15,8;16,8;17,6;14,8;16,0;16,8;16,8;18,3;22,4;18,7;14,5;14,4;15,2;12,2
Egyéb cereáliák;33,4;33,8;28,9;38,7;44,1;37,1;33,5;33,1;30,8;34,0;41,6;46,1;26,1;32,0;37,5;29,1
Cereáliák összesen;86,3;82,8;77,7;99,1;105,7;104,8;90,6;81,7;73,7;89,2;114,5;112,4;70,3;73,5;93,2;71,9
Marha- és borjúhús;1,0;1,1;0,7;1,4;1,4;0,8;0,9;0,9;1,3;0,4;1,4;1,6;0,7;0,8;1,2;0,6
Sertéshús;17,0;15,2;14,3;22,2;22,1;20,8;20,0;15,5;12,8;12,1;22,5;24,0;12,9;14,6;21,3;14,3
Baromfihús;20,0;16,2;17,6;24,2;25,3;23,5;21,2;19,4;16,8;19,8;25,6;26,8;16,0;16,6;23,7;15,7
Szalámi, szárazkolbász, sonka;8,4;6,6;7,2;10,5;11,1;9,2;9,1;7,9;7,8;6,9;13,3;12,1;6,0;6,9;9,3;7,1
Egyéb hentesáru;9,4;8,9;8,5;11,2;11,1;10,4;10,0;9,2;8,5;9,0;14,1;11,6;7,6;9,9;10,4;7,4
Belsõség;2,3;1,6;1,7;3,0;3,8;2,6;2,8;2,1;1,8;1,0;3,4;4,0;1,3;3,6;3,4;1,4
Mirelit hústermékek, húskonzervek;2,7;2,7;2,7;3,2;2,4;3,2;2,9;2,8;2,1;2,5;4,2;2,8;2,5;2,6;2,3;2,4
Juh-, kecske-, nyúl- és egyéb hús;0,1;0,2;0,1;0,2;0,1;0,1;0,1;0,2;0,1;0,0;0,2;0,1;0,1;0,1;0,3;0,1
Húsfélék összesen;61,1;52,6;53,0;76,0;77,3;70,7;67,0;57,9;51,2;51,6;84,6;82,9;47,2;55,1;72,0;49,2
Hal;1,4;0,7;1,3;1,8;1,7;1,2;1,5;1,4;1,5;1,3;2,3;1,9;1,0;1,1;1,6;1,0
Halkonzerv;0,4;0,3;0,4;0,4;0,6;0,2;0,3;0,5;0,7;0,6;0,7;0,5;0,3;0,6;0,5;0,3
Hal, halkonzerv;1,8;1,0;1,7;2,2;2,3;1,4;1,8;1,8;2,3;1,9;3,1;2,4;1,4;1,7;2,0;1,3
Tej, liter;52,6;39,7;47,0;58,6;68,8;55,4;52,0;52,7;50,9;52,4;61,1;71,3;44,2;38,9;55,1;44,8
Joghurt, kefir, tejföl, liter;13,2;10,9;11,7;14,7;17,4;11,7;12,5;13,5;14,8;16,7;17,6;18,3;10,5;13,4;13,3;9,2
Sajt, túró, tejkonzerv, tejpor;7,6;5,6;7,0;8,5;9,4;6,8;6,9;7,9;8,6;8,5;10,4;9,9;6,0;7,3;9,3;5,5
Tojás, db;148;135;127;174;197;181;154;136;131;142;195;211;108;125;159;160
Vaj, vajkrém;1,3;1,2;1,1;1,5;1,7;1,1;1,1;1,3;1,6;1,8;1,7;1,8;1,0;1,0;1,4;0,7
Margarin és növényi zsírok;3,3;2,7;2,8;3,8;4,7;3,8;3,6;3,3;2,6;2,8;4,0;5,0;2,6;2,2;3,7;2,8
Étolaj, olívaolaj;11,1;10,1;9,8;13,1;14,2;13,6;12,4;10,6;8,5;12,0;15,2;15,3;8,5;9,8;12,5;9,2
Állati zsíradék;1,6;1,8;1,2;1,8;2,9;2,6;2,0;1,3;0,9;0,8;2,2;3,0;0,9;1,1;2,1;1,7
Zsiradék összesen;17,4;15,8;14,9;20,2;23,5;21,2;19,1;16,5;13,6;17,5;23,1;25,1;13,0;14,0;19,7;14,5
Citrusfélék;7,9;6,5;6,7;9,1;11,1;6,2;7,0;8,7;9,2;10,2;10,0;11,6;5,9;8,5;9,1;5,1
Banán;6,2;5,5;5,8;6,2;7,5;5,4;5,7;6,4;7,1;8,0;8,0;7,8;5,5;4,5;5,6;3,9
Alma;11,3;6,9;9,4;12,8;17,2;11,6;11,7;10,9;10,9;11,4;13,8;17,7;8,2;7,6;13,9;8,1
Körte;1,7;1,2;1,2;2,1;3,1;1,8;1,6;1,6;1,8;1,3;2,7;3,2;0,9;1,6;1,9;1,2
Õszibarack;3,2;2,4;2,3;4,5;5,5;3,0;3,1;3,1;3,6;2,0;3,5;5,8;2,0;2,5;4,7;2,1
Sárgabarack;1,3;0,3;1,2;1,1;1,9;1,5;1,4;0,9;1,5;1,7;1,1;1,8;1,2;0,5;0,9;1,1
Cseresznye;0,7;0,4;0,4;1,0;1,5;0,4;1,1;0,5;0,8;0,1;0,8;1,7;0,3;0,2;0,9;0,4
Meggy;0,9;0,3;0,4;1,6;2,4;0,9;1,3;0,7;0,8;0,1;1,0;2,5;0,3;0,2;1,7;0,3
Szilva;1,3;0,2;0,8;1,6;2,7;1,3;1,5;1,4;0,7;0,4;1,0;2,6;0,7;0,6;2,1;1,1
Földieper, málna, ribizli;1,2;0,4;1,0;1,4;1,7;0,8;1,1;1,2;1,7;0,8;1,5;2,0;0,9;0,7;1,2;0,8
Szõlõ;2,0;0,3;1,3;2,8;3,7;1,6;2,0;1,8;2,4;1,8;2,8;3,8;1,1;1,5;2,7;1,1
Sárgadinnye;0,8;0,2;0,7;0,9;1,3;0,5;0,7;0,8;1,2;0,6;1,4;1,2;0,5;0,8;0,9;0,4
Görögdinnye;7,0;7,5;6,4;8,0;8,3;6,8;7,3;7,1;6,6;7,6;10,1;9,2;6,2;6,9;5,5;3,3
Egyéb gyümölcs;1,2;1,3;1,1;1,2;1,4;0,5;0,7;1,4;1,9;2,5;1,9;1,4;1,0;1,5;1,1;0,6
Dió, mák, mogyoró, mandula, magvak;1,5;1,0;1,2;2,2;1,8;0,8;1,2;1,6;2,1;1,1;2,2;2,1;1,1;1,3;1,6;1,1
Gyümölcskészítmények;0,8;0,9;0,7;0,9;1,0;0,6;0,6;0,8;1,0;1,3;0,8;1,0;0,6;1,2;0,7;0,7
Gyümölcs összesen;48,8;35,2;40,6;57,1;72,3;43,8;48,1;49,0;53,3;50,9;62,7;75,5;36,6;39,9;54,6;31,3
Leveles, száraz zöldségek;1,5;1,7;1,4;1,6;1,8;1,0;1,2;1,5;2,1;2,0;2,3;2,0;1,1;1,5;1,6;1,0
Káposztafélék;6,1;4,2;4,8;7,0;10,4;6,9;6,7;5,7;5,4;5,5;7,3;10,4;4,2;5,0;8,0;4,2
Uborka;2,6;2,4;2,0;3,6;3,8;2,8;2,6;2,7;2,5;2,4;2,8;4,1;1,9;2,2;3,8;2,0
Paradicsom;5,6;3,5;4,5;6,8;8,7;6,6;4,6;5,4;6,4;6,6;7,4;9,9;3,9;5,1;5,8;2,5
Zöldpaprika;4,3;3,3;3,5;5,0;6,6;4,7;4,0;4,1;4,7;4,7;6,9;6,7;2,8;3,4;5,2;2,7
Zöldbab;0,5;0,1;0,3;1,0;1,1;0,8;0,6;0,5;0,4;0,2;0,6;1,1;0,3;1,1;0,7;0,3
Zöldborsó;0,6;0,1;0,4;0,8;1,1;0,7;0,9;0,4;0,4;0,0;0,5;1,2;0,3;0,3;0,8;0,5
Szárazhüvelyesek;0,9;0,5;0,7;1,1;1,5;1,3;0,9;0,8;0,7;0,6;1,1;1,4;0,6;0,8;1,3;0,6
Gomba;1,0;0,7;0,9;1,3;1,2;0,6;0,9;1,1;1,2;0,9;1,6;1,3;0,8;0,7;0,9;0,7
Sárgarépa, petrezselyemgyökér;7,5;5,1;6,1;9,8;11,0;9,0;8,1;7,0;6,4;7,7;10,0;11,8;5,2;6,0;9,6;5,3
Vöröshagyma;9,3;7,2;7,4;12,0;13,6;11,8;10,2;8,4;7,3;7,5;14,4;14,1;6,3;9,0;11,3;6,2
Egyéb friss zöldség;4,4;2,5;4,3;4,4;5,2;2,7;6,1;3,7;4,8;30,5;5,1;5,7;2,6;4,0;3,5;2,2
Tartósított zöldség, zöldségkészítmények;8,1;6,4;6,9;10,2;10,8;7,3;8,4;8,3;8,1;7,3;12,1;11,4;6,0;8,3;9,0;6,4
Burgonya;29,4;34,6;24,6;36,1;38,9;41,8;33,3;25,7;20,3;32,3;39,0;41,3;22,1;20,8;35,4;23,2
Zöldség és burgonya összesen;81,8;72,3;67,8;100,5;115,5;98,0;88,6;75,1;70,7;108,2;111,0;122,4;58,1;68,2;97,0;58,0
Cukor;15,2;12,3;12,1;19,6;22,4;18,4;17,0;13,7;12,6;12,5;19,2;23,6;10,2;10,4;19,3;16,3
Ásványvíz, liter;72,6;44,7;67,4;87,6;82,1;51,4;71,5;72,2;90,1;49,6;106,4;91,8;62,1;57,1;79,3;43,2
Üdítõitalok, liter;31,1;30,3;32,1;34,1;25,4;25,2;32,0;32,6;32,5;38,8;43,3;28,1;30,0;34,1;29,4;25,3
Gyümölcslevek, liter;12,5;7,8;12,8;11,7;13,2;6,9;9,7;13,2;19,1;15,1;15,6;13,8;12,3;9,9;10,9;7,5
Bor, boralapú italok, liter;5,3;3,1;4,2;6,5;8,3;3,5;4,4;5,3;7,6;7,5;8,4;8,2;3,1;7,1;7,4;3,1
2018;;;;;;;;;;;;;;;;
Kenyér;34,4;35,3;29,3;41,1;44,4;48,1;37,0;31,3;25,6;35,1;48,0;47,7;26,2;33,6;35,2;30,2
Péksütemény;19,9;16,1;18,8;21,4;22,6;18,3;20,3;20,8;19,2;25,5;27,6;24,2;16,9;16,6;19,4;15,0
Egyéb cereáliák;33,9;26,2;28,6;41,1;45,7;38,2;32,7;34,9;30,9;42,5;40,2;48,8;25,4;26,9;41,2;29,3
Cereáliák összesen;88,2;77,6;76,8;103,6;112,7;104,5;90,1;87,1;75,6;103,0;115,8;120,6;68,5;77,1;95,8;74,5
Marha- és borjúhús;1,1;0,7;0,8;1,6;1,3;0,9;0,9;1,1;1,3;0,2;1,3;1,7;0,8;0,7;1,6;0,6
Sertéshús;18,3;13,5;15,6;23,0;23,7;22,8;21,3;16,9;13,5;16,2;23,7;26,2;13,2;19,0;21,3;19,2
Baromfihús;20,9;19,3;17,2;25,9;28,6;25,4;21,4;20,3;18,0;20,2;27,7;30,8;15,4;24,8;23,9;15,6
Szalámi, szárazkolbász, sonka;9,7;6,4;8,4;11,2;12,9;10,7;9,8;9,3;9,1;10,1;14,2;14,0;6,8;9,9;10,1;8,5
Egyéb hentesáru;8,6;7,5;7,8;9,6;10,3;9,9;8,9;8,3;7,8;8,9;12,0;11,1;6,9;8,9;9,0;6,9
Belsõség;2,2;0,9;1,7;2,9;3,2;2,2;2,4;2,1;2,0;0,7;4,0;3,3;1,4;1,9;2,2;2,2
Mirelit hústermékek, húskonzervek;2,8;2,6;2,8;3,0;2,8;3,2;3,2;2,8;2,1;4,8;4,1;3,1;2,4;1,7;2,8;2,1
Juh-, kecske-, nyúl- és egyéb hús;0,2;0,0;0,2;0,4;0,1;0,0;0,2;0,3;0,3;0,0;0,9;0,1;0,2;0,1;0,2;0,0
Húsfélék összesen;63,8;50,8;54,7;77,6;82,9;75,1;68,1;61,1;53,9;61,2;87,9;90,3;47,1;66,9;71,1;55,0
Hal;1,7;1,3;1,5;1,7;2,3;1,5;1,6;1,5;2,1;1,7;2,1;2,3;1,3;2,0;1,9;1,2
Halkonzerv;0,4;0,3;0,4;0,6;0,5;0,2;0,4;0,5;0,7;0,7;0,6;0,5;0,3;0,3;0,6;0,4
Hal, halkonzerv;2,1;1,6;1,8;2,3;2,8;1,7;1,9;2,0;2,8;2,3;2,7;2,8;1,6;2,3;2,5;1,6
Tej, liter;54,6;43,9;47,7;62,7;71,9;57,2;53,9;56,0;51,8;59,5;74,5;74,8;42,2;48,4;57,8;46,5
Joghurt, kefir, tejföl, liter;13,3;8,9;11,5;14,4;18,7;11,7;12,2;13,8;14,9;12,5;18,1;19,7;10,1;10,4;13,9;9,4
Sajt, túró;7,9;5,8;6,8;9,3;10,6;6,8;7,0;8,4;9,2;8,0;10,8;11,3;6,1;6,7;9,0;5,6
Tojás, db;158;166;129;194;218;194;152;160;138;184;226;233;110;214;179;118
Vaj, vajkrém;1,2;1,1;1,0;1,5;1,7;1,1;0,9;1,3;1,6;1,9;1,8;1,8;0,9;0,6;1,2;1,0
Margarin és növényi zsírok;3,5;2,6;2,9;4,1;5,1;4,1;3,9;3,4;2,7;3,4;4,4;5,4;2,5;3,2;4,1;3,1
Étolaj, olívaolaj;12,4;12,7;10,5;14,7;16,4;14,6;13,3;12,2;10,0;16,1;18,6;17,5;8,9;10,3;14,3;8,7
Állati zsíradék;2,1;1,5;1,6;2,4;3,4;4,0;2,3;1,7;1,0;1,6;2,5;3,8;1,4;1,9;2,0;1,8
Zsiradék összesen;19,2;17,9;16,0;22,6;26,6;23,8;20,4;18,7;15,3;23,0;27,3;28,5;13,7;16,0;21,6;14,5
Citrusfélék;8,1;5,7;6,8;9,0;11,7;7,0;7,0;8,1;10,0;10,1;11,5;12,1;5,8;7,8;8,1;5,8
Banán;7,3;5,4;6,6;8,2;8,9;6,5;6,7;7,3;8,6;8,9;10,1;9,4;5,9;6,8;7,2;5,4
Alma;11,7;10,7;9,1;13,2;18,9;11,8;10,0;12,4;12,8;11,5;12,5;19,3;7,6;14,0;17,3;9,5
Körte;2,1;1,0;1,3;2,7;4,6;1,6;1,6;2,8;2,4;1,1;2,3;4,8;1,1;1,2;3,0;1,2
Õszibarack;3,3;0,8;2,3;4,2;5,9;3,2;2,7;3,7;3,5;0,6;3,6;6,5;2,0;3,7;4,7;1,5
Sárgabarack;0,8;0,2;0,4;0,8;2,3;0,6;0,6;0,6;1,5;0,2;0,5;2,5;0,4;0,2;0,7;0,4
Cseresznye;0,4;0,1;0,3;0,5;0,9;0,3;0,5;0,4;0,6;0,1;0,7;1,1;0,2;0,1;0,2;0,2
Meggy;0,8;0,1;0,4;1,0;1,9;1,0;0,5;0,9;0,9;0,0;0,7;2,3;0,3;0,2;0,9;0,6
Szilva;1,7;0,5;1,2;2,2;3,4;1,4;1,2;1,9;2,3;0,5;2,3;3,8;1,0;0,3;1,6;0,7
Földieper, málna, ribizli;1,1;0,2;1,1;1,3;1,4;0,6;1,0;1,0;2,0;0,4;2,7;1,5;0,8;0,2;0,9;0,8
Szõlõ;2,6;1,6;2,1;2,6;4,6;2,0;2,1;2,6;3,8;1,9;2,8;5,0;1,5;3,2;4,3;1,6
Sárgadinnye;0,9;0,3;0,7;1,2;1,5;0,7;0,7;1,0;1,3;0,8;1,7;2,0;0,5;0,4;0,6;0,2
Görögdinnye;7,3;2,3;6,0;9,8;10,1;6,8;6,1;8,4;7,6;4,4;11,4;11,8;5,2;8,0;6,1;4,8
Egyéb gyümölcs;1,2;0,3;1,2;1,4;1,4;0,6;1,1;1,2;2,0;1,3;2,0;1,5;1,0;0,2;1,4;1,3
Dió, mák, mogyoró, mandula, magvak;1,5;0,5;1,3;1,9;2,1;0,9;1,2;1,5;2,5;1,4;2,4;2,4;1,1;1,6;1,8;1,0
Gyümölcskészítmények;0,9;0,6;0,7;1,0;1,3;0,5;0,8;1,0;1,1;0,5;1,2;1,4;0,6;0,2;0,8;0,7
Gyümölcs összesen;51,9;30,3;41,7;61,0;80,9;45,4;43,6;54,7;63,0;43,6;68,6;87,2;35,2;48,0;59,5;35,9
Leveles, száraz zöldségek;1,8;1,4;1,6;1,7;2,5;0,9;1,2;1,7;3,1;2,9;2,1;2,5;1,4;1,7;2,0;1,3
Káposztafélék;5,9;3,5;4,6;7,0;9,7;6,7;5,8;5,7;5,8;5,7;7,8;10,1;3,9;5,3;7,6;3,4
Uborka;3,8;1,9;3,0;4,8;5,7;3,5;3,8;3,8;4,0;2,5;4,1;6,5;2,7;2,5;4,7;2,7
Paradicsom;7,6;3,9;6,4;8,4;11,3;6,2;6,5;7,9;9,5;8,0;9,1;12,3;5,6;4,2;7,8;5,6
Zöldpaprika;5,4;3,3;4,3;6,1;8,6;5,4;5,0;5,5;5,7;4,3;7,5;9,4;3,7;3,9;5,5;3,3
Zöldbab;0,5;0,0;0,3;0,7;1,2;0,8;0,5;0,5;0,4;0,0;0,5;1,4;0,2;0,3;0,5;0,5
Zöldborsó;0,3;0,2;0,2;0,3;0,7;0,4;0,3;0,2;0,4;0,0;0,4;0,8;0,2;0,3;0,3;0,1
Szárazhüvelyesek;0,9;0,8;0,6;1,2;1,4;1,1;0,9;0,8;0,8;1,0;0,9;1,4;0,5;0,6;1,6;0,7
Gomba;0,9;0,8;0,8;1,0;1,3;0,6;0,8;1,0;1,2;1,2;1,3;1,3;0,7;0,7;1,0;0,8
Sárgarépa, petrezselyemgyökér;6,6;4,3;5,2;8,2;10,1;8,0;6,6;6,5;5,8;4,9;8,6;10,7;4,7;6,2;7,2;4,9
Vöröshagyma;8,4;5,0;6,8;10,1;12,4;10,0;8,6;8,1;7,3;8,8;12,7;13,1;5,6;8,9;9,5;5,6
Egyéb friss zöldség;4,0;2,2;3,3;4,5;5,9;2,6;3,3;4,1;5,5;4,0;5,5;6,2;2,7;3,8;4,6;2,7
Tartósított zöldség, zöldségkészítmények;11,1;8,6;9,9;13,1;13,5;9,4;10,8;11,4;12,3;15,9;15,5;14,5;8,4;15,6;11,0;9,8
Burgonya;26,7;22,3;22,4;32,3;36,4;35,8;27,0;25,4;21,6;29,8;33,1;38,9;20,7;28,4;28,2;20,3
Zöldség és burgonya összesen;83,8;58,2;69,4;99,4;120,9;91,5;81,2;82,5;83,1;89,1;109,1;129,1;60,9;82,4;91,4;61,6
Cukor;11,8;6,1;10,0;13,1;17,4;14,9;13,1;11,5;8,2;9,7;14,5;18,3;8,4;10,6;14,1;10,3
Ásványvíz, liter;88,3;69,5;78,2;106,1;108,2;68,0;85,2;96,9;95,1;98,1;127,6;116,9;70,3;69,6;103,0;51,8
Üdítõitalok, liter;32,1;28,0;32,9;35,8;26,9;28,6;35,0;31,5;31,9;49,1;51,8;30,3;29,6;23,2;28,9;22,0
Gyümölcslevek, liter;13,0;10,9;12,7;15,0;12,5;7,1;10,3;14,1;19,0;13,8;20,1;14,1;11,9;10,2;9,8;10,2
Bor, boralapú italok, liter;5,1;2,1;4,0;5,8;8,2;3,4;4,0;4,6;8,1;4,1;9,8;8,3;2,8;3,3;6,2;2,7
2019;;;;;;;;;;;;;;;;
Kenyér;36,9;40,5;31,6;44,5;46,9;54,6;40,9;33,2;25,7;31,2;48,0;50,2;30,2;33,6;38,7;28,4
Péksütemény;22,8;18,5;21,1;26,3;25,9;21,9;23,9;22,5;22,7;25,1;31,1;27,1;19,9;14,9;23,4;18,0
Egyéb cereáliák;33,8;24,0;28,5;39,4;47,6;36,7;34,5;32,2;33,2;28,9;41,7;49,0;27,0;30,0;36,0;25,2
