14.1.1.32. Az egy fõre jutó éves élelmiszer-fogyasztás mennyisége a referenciaszemély korcsoportja, iskolai végzettsége és a háztartástagok korösszetétele szerint [kilogramm];;;;;;;;;;;;;;;;
Megnevezés;Összesen;Referenciaszemély korcsoportja: 25 évesnél fiatalabb;Referenciaszemély korcsoportja: 25–54 éves;Referenciaszemély korcsoportja: 55–64 éves;Referenciaszemély korcsoportja: 65 éves és idõsebb;Referenciaszemély iskolai végzettsége: alapfokú vagy nincs iskolai végzettsége;Referenciaszemély iskolai végzettsége: középfokú érettségi nélkül;Referenciaszemély iskolai végzettsége: középfokú érettségivel;Referenciaszemély iskolai végzettsége: felsõfokú;A háztartástagok korösszetétele: csak fiatalok;A háztartástagok korösszetétele: csak középkorúak;A háztartástagok korösszetétele: csak idõsek;A háztartástagok korösszetétele: csak fiatalok és középkorúak;A háztartástagok korösszetétele: csak fiatalok és idõsek;A háztartástagok korösszetétele: csak középkorúak és idõsek;A háztartástagok korösszetétele: fiatalok, középkorúak és idõsek
Sárgadinnye;0,7;0,6;0,5;1,0;0,8;0,4;0,6;0,8;1,2;0,8;0,9;1,0;0,5;0,6;0,8;0,4
Görögdinnye;4,2;3,5;3,8;5,3;4,8;3,8;3,8;4,7;6,2;3,6;5,9;4,9;3,7;4,1;6,2;2,7
Egyéb gyümölcs;0,8;0,3;0,7;1,2;1,0;0,5;0,7;1,0;1,8;0,8;1,1;1,3;0,6;0,7;1,2;0,4
Dió, mák, mogyoró, mandula, magvak;1,3;0,6;1,1;1,6;1,7;1,0;1,2;1,5;1,8;0,7;1,8;1,9;1,1;1,0;1,4;0,9
Gyümölcskészítmények;0,1;0,1;0,1;0,1;0,2;0,1;0,1;0,1;0,2;0,3;0,2;0,2;0,1;0,1;0,1;0,1
Gyümölcs összesen;37,8;29,9;30,4;47,9;56,5;35,5;34,9;41,4;48,5;29,4;50,2;62,7;29,1;29,8;45,0;25,9
Leveles, száraz zöldségek;2,9;2,4;2,2;4,1;4,5;2,2;2,7;3,4;4,6;1,6;3,5;5,6;2,2;1,0;3,3;2,2
Káposztafélék;5,7;3,7;4,4;7,7;9,1;6,6;5,6;5,3;5,3;2,9;7,0;9,8;4,1;6,5;7,9;5,2
Uborka;3,0;2,4;2,5;4,1;4,2;2,9;3,3;3,0;2,5;1,7;4,1;4,6;2,2;2,6;5,2;2,2
Paradicsom;4,5;3,1;3,7;5,3;6,8;4,3;4,5;4,4;5,7;4,8;6,4;7,7;3,2;4,8;4,9;3,2
Zöldpaprika;4,6;3,3;3,8;5,9;6,5;4,5;4,8;4,2;5,1;3,9;6,5;7,4;3,2;5,6;6,3;3,8
Zöldbab;0,9;0,6;0,7;1,2;1,5;1,2;0,9;0,8;0,5;0,2;1,0;1,6;0,6;0,8;1,8;0,7
Zöldborsó;0,9;0,7;0,7;1,1;1,2;1,0;0,9;0,7;0,4;0,2;0,8;1,4;0,7;0,1;1,7;0,7
Szárazhüvelyesek;1,0;0,8;0,9;1,3;1,4;1,4;1,0;0,9;0,6;0,5;1,4;1,5;0,8;0,5;1,4;0,8
