22.1.2.4. Népesség településtípus szerint, január 1.;;;;;;;;;;;;;;
Településtípus;1980;1990;2001;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Budapest;2 059 226;2 016 681;1 759 209;1 727 495;1 735 711;1 744 665;1 757 618;1 759 407;1 752 704;1 749 734;1 752 286;1 750 216;1 723 836;1 706 851
Többi város;5 386 877;5 373 300;5 399 655;5 263 268;5 242 403;5 220 586;5 200 140;5 182 238;5 161 784;5 151 512;5 148 236;5 142 186;5 115 208;5 083 374
Község;3 263 360;2 984 842;3 041 434;2 941 162;2 930 684;2 912 114;2 897 813;2 888 840;2 883 073;2 877 125;2 872 234;2 877 124;2 891 728;2 898 785
Összesen;10 709 463;10 374 823;10 200 298;9 931 925;9 908 798;9 877 365;9 855 571;9 830 485;9 797 561;9 778 371;9 772 756;9 769 526;9 730 772;9 689 010
