20.2.1.52. Fõbb kereseti adatok – nonprofit szervezetek, havonta valamint havi és negyedévente kumulált;;;;;;;;;;;;;;;;;
Év;Idõszak;Teljes munkaidõben alkalmazásban állók bruttó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók bruttó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók bruttó medián keresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók bruttó medián keresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók nettó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók nettó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók létszáma, ezer fõ;Teljes munkaidõben alkalmazásban állók létszáma, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó medián keresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó medián keresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül nettó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül nettó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül létszáma, ezer fõ;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül létszáma, elõzõ év azonos idõszaka = 100,0%
Havonta;;;;;;;;;;;;;;;;;
;december;456 506;110,0;353 689;104,9;303 577;110,0;137,7;107,0;478 584;110,2;369 179;105,5;318 258;110,2;130,0;107,0
2021.;január;362 885;108,8;313 588;107,5;241 319;108,8;138,0;107,5;378 743;108,4;324 000;108,0;251 864;108,4;130,5;108,2
;február;362 599;107,7;314 500;106,4;241 128;107,7;142,4;110,3;378 410;107,1;324 102;106,5;251 643;107,1;134,7;111,3
;március;383 635;109,0;324 237;108,0;255 117;109,0;141,4;111,5;397 786;109,0;333 820;108,0;264 528;109,0;134,9;111,6
;április;377 508;109,2;326 770;108,5;251 043;109,2;142,8;113,9;393 240;108,9;335 710;108,3;261 505;108,9;135,4;114,3
;május;382 675;112,0;328 400;109,5;254 479;112,0;142,8;114,8;398 757;111,6;337 516;110,2;265 174;111,6;135,3;115,5
;június;398 841;105,6;330 661;107,2;265 229;105,6;143,3;114,0;415 523;105,0;340 897;106,6;276 323;105,0;136,0;114,9
;július;390 173;107,0;327 806;103,9;259 465;107,0;143,6;112,7;406 080;106,2;336 699;103,0;270 043;106,2;136,4;113,9
;augusztus;424 817;118,6;345 045;111,1;282 504;118,6;178,2;135,0;438 897;117,0;351 698;109,9;291 866;117,0;171,0;137,6
;szeptember;421 811;119,5;340 600;111,7;280 504;119,5;181,5;134,5;434 763;117,9;348 957;111,0;289 117;117,9;174,7;137,2
;október;438 829;124,6;356 280;115,8;291 821;124,6;182,2;134,0;452 919;122,9;364 560;115,1;301 191;122,9;175,1;136,6
;november;472 574;125,2;373 693;116,2;314 262;125,2;182,8;133,8;488 138;123,5;382 456;115,2;324 612;123,5;175,7;136,4
;december;552 294;121,0;420 000;118,7;367 275;121,0;181,6;131,8;571 135;119,3;432 387;117,1;379 805;119,3;174,5;134,2
2022.;január;479 297;132,1;387 324;123,5;318 732;132,1;180,4;130,7;493 609;130,3;396 025;122,2;328 250;130,3;173,8;133,2
;február;490 508;135,3;390 673;124,2;326 188;135,3;181,3;127,4;506 136;133,8;400 000;123,4;336 580;133,8;174,3;129,4
;március;511 656;133,4;407 779;125,8;340 251;133,4;181,5;128,3;526 100;132,3;416 598;124,8;349 857;132,3;175,3;129,9
;április;510 779;135,3;408 322;125,0;339 668;135,3;182,8;128,0;526 499;133,9;416 881;124,2;350 122;133,9;176,0;130,0
;május;514 316;134,4;404 695;123,2;342 020;134,4;182,9;128,1;529 998;132,9;412 905;122,3;352 449;132,9;176,1;130,1
;június;527 584;132,3;417 948;126,4;350 844;132,3;182,6;127,4;543 667;130,8;426 212;125,0;361 538;130,8;175,9;129,4
;július;511 659;131,1;403 200;123,0;340 253;131,1;182,3;126,9;526 734;129,7;411 764;122,3;350 278;129,7;175,8;128,9
;augusztus;507 172;119,4;403 211;116,9;337 270;119,4;182,4;102,3;521 515;118,8;410 794;116,8;346 808;118,8;176,1;103,0
;szeptember;511 546;121,3;403 301;118,4;340 178;121,3;182,6;100,6;524 383;120,6;410 001;117,5;348 715;120,6;177,0;101,4
;október;;;;;;;;;;;;;;;;
;november;;;;;;;;;;;;;;;;
;december;;;;;;;;;;;;;;;;
Havi kumulált adatok;;;;;;;;;;;;;;;;;
2022.;január–január;479 297;132,1;387 324;123,5;318 732;132,1;180,4;130,7;493 609;130,3;396 025;122,2;328 250;130,3;173,8;133,2
;január–február;484 917;133,7;389 302;124,0;322 470;133,7;180,9;129,0;499 881;132,0;398 000;122,8;332 421;132,0;174,0;131,2
;január–március;493 850;133,6;396 000;124,4;328 410;133,6;181,1;128,8;508 662;132,1;402 566;122,8;338 260;132,1;174,4;130,7
;január–április;498 113;134,0;400 000;125,0;331 245;134,0;181,5;128,6;513 151;132,6;406 417;123,2;341 245;132,6;174,8;130,6
;január–május;501 373;134,1;400 000;124,4;333 413;134,1;181,8;128,5;516 540;132,6;407 825;123,2;343 499;132,6;175,1;130,5
;január–június;505 758;133,8;401 940;124,4;336 329;133,8;181,9;128,3;521 079;132,3;410 519;123,5;346 517;132,3;175,2;130,3
;január–július;506 602;133,4;402 000;124,2;336 890;133,4;182,0;128,1;521 889;131,9;410 704;123,3;347 056;131,9;175,3;130,1
;január–augusztus;506 674;131,0;402 100;123,0;336 938;131,0;182,0;124,2;521 842;129,7;410 714;122,2;347 025;129,7;175,4;125,9
;január–szeptember;507 217;129,6;402 260;122,3;337 299;129,6;182,1;121,0;522 127;128,4;410 630;121,5;347 214;128,4;175,6;122,6
;január–október;;;;;;;;;;;;;;;;
;január–november;;;;;;;;;;;;;;;;
;január–december;;;;;;;;;;;;;;;;
Negyedéves kumulált adatok;;;;;;;;;;;;;;;;;
2018.;I.;271 409;110,5;..;..;180 487;110,5;126,0;107,6;294 710;111,0;..;..;195 982;111,0;111,9;107,1
;I–II.;276 988;110,7;..;..;184 197;110,7;125,6;107,2;299 660;110,5;..;..;199 274;110,5;112,3;107,7
;I–III.;278 886;110,9;..;..;185 459;110,9;124,4;105,8;299 733;110,0;..;..;199 323;110,0;112,3;107,5
;I–IV.;286 317;110,7;..;..;190 401;110,7;124,1;105,2;306 913;109,6;..;..;204 097;109,6;112,6;107,1
2019.;I.;306 165;110,4;268 700;112,0;203 600;110,4;125,9;99,2;325 021;106,7;280 777;107,8;216 139;106,7;115,9;104,5
;I–II.;314 759;111,4;274 050;112,1;209 315;111,4;126,4;99,4;333 528;107,6;285 661;108,1;221 796;107,6;116,7;104,7
;I–III.;318 006;111,5;275 100;111,5;211 474;111,5;126,7;100,5;335 981;108,4;287 339;108,8;223 427;108,4;117,3;104,7
;I–IV.;328 712;112,1;280 990;112,4;218 593;112,1;127,4;101,1;346 967;109,2;292 824;109,2;230 733;109,2;118,3;105,0
2020.;I.;340 651;111,3;296 000;110,2;226 533;111,3;128,1;101,8;355 954;109,5;304 350;108,4;236 709;109,5;120,8;104,3
;I–II.;347 751;110,5;300 000;109,5;231 254;110,5;126,6;100,2;363 554;109,0;307 845;107,8;241 764;109,0;119,4;102,3
;I–III.;351 441;110,5;301 805;109,7;233 708;110,5;128,2;101,2;367 555;109,4;311 600;108,4;244 424;109,4;120,9;103,1
;I–IV.;363 037;110,4;307 729;109,5;241 420;110,4;130,4;102,3;379 828;109,5;318 061;108,6;252 585;109,5;122,9;103,9
2021.;I.;369 746;108,5;318 208;107,5;245 881;108,5;140,6;109,8;385 053;108,2;327 900;107,7;256 060;108,2;133,4;110,4
;I–II.;378 120;108,7;323 170;107,7;251 450;108,7;141,8;112,0;393 860;108,3;332 519;108,0;261 917;108,3;134,5;112,6
;I–III.;391 401;111,4;328 991;109,0;260 282;111,4;150,4;117,3;406 672;110,6;338 000;108,5;270 437;110,6;143,2;118,4
;I–IV.;419 126;115,4;341 649;111,0;278 719;115,4;158,4;121,5;434 844;114,5;350 141;110,1;289 171;114,5;151,2;123,0
2022.;I.;493 850;133,6;396 000;124,4;328 410;133,6;181,1;128,8;508 662;132,1;402 566;122,8;338 260;132,1;174,4;130,7
;I–II.;505 758;133,8;401 940;124,4;336 329;133,8;181,9;128,3;521 079;132,3;410 519;123,5;346 517;132,3;175,2;130,3
;I–III.;507 217;129,6;402 260;122,3;337 299;129,6;182,1;121,0;522 127;128,4;410 630;121,5;347 214;128,4;175,6;122,6
;I–IV.;;;;;;;;;;;;;;;;
