4.1.1.35. Krónikus betegség nem és korcsoport szerint ;;;;;;;;;;;;;;;;;
Év;Krónikus beteg 16–24 éves;Nem beteg 16–24 éves;Krónikus beteg 25–34 éves;Nem beteg 25–34 éves;Krónikus beteg 35–44 éves;Nem beteg 35–44 éves;Krónikus beteg 45–54 éves;Nem beteg 45–54 éves;Krónikus beteg 55–64 éves;Nem beteg 55–64 éves;Krónikus beteg 65–74 éves;Nem beteg 65–74 éves;Krónikus beteg 75– éves;Nem beteg 75– éves;Krónikus beteg együtt;Nem beteg együtt;Összesen
Férfiak becsült száma, ezer fõ;;;;;;;;;;;;;;;;;
2021;74,3;842,4;106,8;924,8;217,7;932,2;509,9;1 073,7;730,2;677,0;813,0;322,0;585,2;105,8;3 037,1;4 878,0;7 915,1
Férfiak megoszlása, %;;;;;;;;;;;;;;;;;
2010;9,3;90,7;10,9;89,1;19,4;80,6;35,3;64,7;53,1;46,9;69,8;30,2;82,4;17,6;32,8;67,2;100,0
2011;8,1;91,9;8,1;91,9;16,2;83,8;35,9;64,1;52,7;47,3;64,6;35,4;79,6;20,4;31,8;68,2;100,0
2012;8,7;91,3;7,7;92,3;17,0;83,0;34,6;65,4;53,0;47,0;68,1;31,9;76,1;23,9;32,3;67,7;100,0
2013;9,2;90,8;8,9;91,1;17,5;82,5;33,4;66,6;52,2;47,8;69,2;30,8;80,4;19,6;33,2;66,8;100,0
2014;6,6;93,4;7,9;92,1;17,3;82,7;33,9;66,1;52,9;47,1;68,1;31,9;79,5;20,5;32,8;67,2;100,0
2015;9,8;90,2;11,1;88,9;20,0;80,0;35,7;64,3;55,7;44,3;73,0;27,0;83,4;16,6;35,8;64,2;100,0
2016;8,6;91,4;10,5;89,5;17,6;82,4;31,1;68,9;54,3;45,7;69,4;30,6;82,3;17,7;34,0;66,0;100,0
2017;9,2;90,8;9,3;90,7;18,6;81,4;33,3;66,7;53,6;46,4;73,0;27,0;81,6;18,4;34,9;65,1;100,0
2018;9,3;90,7;10,1;89,9;21,1;78,9;31,3;68,7;54,5;45,5;69,0;31,0;79,7;20,3;35,7;64,3;100,0
2019;8,9;91,1;9,8;90,2;19,8;80,2;32,7;67,3;58,0;42,0;67,8;32,2;79,5;20,5;36,6;63,4;100,0
2020;10,2;89,8;11,3;88,7;19,3;80,7;31,8;68,2;54,0;46,0;69,5;30,5;80,0;20,0;35,8;64,2;100,0
2021;4,2;95,8;9,8;90,2;17,6;82,4;29,6;70,4;50,0;50,0;71,2;28,8;80,7;19,3;33,9;66,1;100,0
Nõk megoszlása, %;;;;;;;;;;;;;;;;;
