13.1.1.18. Az ipar exportértékesítése rendeltetés szerinti ágazatcsoportonként [folyó áron, millió Ft];;;;;;;
Év;Energia-termelõ ágazatok;Tovább-felhasználásra termelõ ágazatok;Energia- és tovább-felhasználásra termelõ ágazatok összesen;Beruházási javakat gyártó ágazatok;Tartós fogyasztási cikkeket gyártó ágazatok;Nem tartós fogyasztási cikkeket gyártó ágazatok;Fogyasztási cikkeket gyártó ágazatok összesen
2001;219 260;2 043 400;2 262 661;3 220 195;514 286;836 267;1 350 553
2002;207 142;2 111 600;2 318 742;3 188 629;566 131;830 650;1 396 780
2003;203 708;1 892 506;2 096 214;3 833 863;874 936;873 289;1 748 225
2004;274 315;2 236 936;2 511 251;4 274 250;1 048 237;936 304;1 984 540
2005;389 930;2 467 327;2 857 257;4 770 777;1 115 782;975 718;2 091 500
2006;485 196;2 898 454;3 383 650;5 883 893;1 355 342;1 115 488;2 470 830
2007;611 327;3 189 527;3 800 854;6 574 096;1 528 770;1 156 487;2 685 257
2008;796 694;3 362 913;4 159 607;6 462 361;1 459 716;1 195 874;2 655 589
2009;594 982;2 850 279;3 445 260;5 410 388;1 468 912;1 220 520;2 689 432
2010;835 391;3 477 972;4 313 363;6 368 400;1 710 745;1 300 706;3 011 451
2011;973 659;3 792 115;4 765 775;7 404 681;1 522 660;1 536 575;3 059 235
2012;991 863;3 993 857;4 985 720;7 581 008;1 281 355;1 748 905;3 030 260
2013;1 149 574;4 184 521;5 334 095;8 267 407;1 129 843;1 847 951;2 977 794
2014;1 248 006;4 544 070;5 792 076;9 539 005;1 176 909;1 998 335;3 175 244
2015;1 266 140;5 043 320;6 309 459;10 512 289;1 426 846;2 152 458;3 579 303
2016;961 359;5 388 608;6 349 967;10 424 666;1 414 355;2 085 937;3 500 293
2017;1 290 469;6 056 580;7 347 049;10 724 439;1 488 620;2 201 707;3 690 327
2018;1 640 493;6 788 501;8 428 993;11 058 600;1 521 352;2 253 149;3 774 501
2019;1 584 306;7 092 960;8 677 267;12 139 314;1 821 021;2 408 012;4 229 033
2020;1 241 480;8 163 460;9 404 940;11 124 434;1 986 129;2 574 313;4 560 442
2021;3 533 601;10 598 255;14 131 855;11 570 925;2 170 033;2 907 216;5 077 250
