20.2.1.14. A 15–74 éves népesség száma legmagasabb iskolai végzettség szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;
Év;Negyedév;8 általános iskolánál kevesebb;Általános iskola 8. osztálya;Középfokú végzettség érettségi nélkül, szakmai végzettséggel;Középfokú végzettség érettségivel, szakmai végzettség nélkül;Középfokú végzettség érettségivel, szakmai végzettséggel;Felsõfokú végzettség, fõiskola vagy alapképzés;Felsõfokú végzettség, egyetem vagy mesterképzés;Összesen
Együtt ;;;;;;;;;
;II.;66,2;857,8;1 156,2;299,6;717,2;297,2;277,2;3 671,4
;III.;62,2;848,2;1 160,5;303,6;711,4;299,9;284,9;3 670,7
;IV.;56,5;845,6;1 145,8;314,3;712,9;314,6;283,6;3 673,2
2012.;I.;55,6;837,7;1 159,2;312,7;710,5;315,8;287,2;3 678,7
;II.;60,5;832,0;1 157,3;309,0;716,5;322,1;279,3;3 676,6
;III.;50,7;811,9;1 166,1;314,9;723,6;333,6;274,6;3 675,4
;IV.;52,8;817,2;1 178,2;312,7;704,7;331,5;277,5;3 674,6
2013.;I.;56,4;802,6;1 187,1;310,2;694,4;335,1;286,7;3 672,6
;II.;57,6;786,3;1 190,3;327,9;687,7;328,6;290,5;3 668,9
;III.;50,7;776,8;1 190,1;333,0;692,2;331,0;292,3;3 666,0
;IV.;54,0;775,2;1 188,8;332,2;687,0;325,4;300,7;3 663,2
2014.;I.;53,5;771,7;1 180,0;326,1;694,4;333,7;300,2;3 659,6
;II.;56,2;754,0;1 179,7;335,7;688,3;335,2;306,3;3 655,3
;III.;53,3;739,8;1 158,6;348,5;699,9;338,8;313,2;3 652,0
;IV.;55,1;754,4;1 150,5;344,9;689,6;347,6;306,3;3 648,4
2015.;I.;60,0;745,6;1 144,6;347,2;691,7;347,9;307,0;3 644,0
;II.;57,8;735,2;1 137,2;363,1;685,6;347,5;314,7;3 641,3
;III.;49,0;724,0;1 138,8;376,4;699,8;344,5;308,8;3 641,3
;IV.;53,6;723,0;1 141,8;379,6;690,2;342,3;308,1;3 638,5
2016.;I.;55,7;723,1;1 141,6;385,4;682,0;349,9;296,2;3 633,8
