14.1.1.37. Az egy fõre jutó éves élelmiszer-fogyasztás mennyisége a gyermekes, a gyermek nélküli és az egyszemélyes háztartásokban [kilogramm];;;;;;;;;;;;;;;;
Megnevezés;Gyermekes háztartások: egy felnõtt egy vagy több gyermekkel;Gyermekes háztartások: kettõ felnõtt egy gyermekkel;Gyermekes háztartások: kettõ felnõtt kettõ gyermekkel;Gyermekes háztartások: kettõ felnõtt három és több gyermekkel;Gyermekes háztartások: egyéb;Gyermekes háztartások összesen;Gyermek nélküli háztartások: egyszemélyes;Gyermek nélküli háztartások: kettõ felnõtt mindketten 65 évnél fiatalabbak;Gyermek nélküli háztartások: kettõ felnõtt legalább az egyikük 65 éves vagy idõsebb;Gyermek nélküli háztartások: egyéb;Gyermek nélküli háztartások összesen;Egyszemélyes háztartások összesen;Egyszemélyes háztartásokból: férfiak;Egyszemélyes háztartásokból: nõk;Egyszemélyes háztartásokból: 65 év alattiak;Egyszemélyes háztartásból: 65 évesek és idõsebbek
Sárgabarack;0,8;0,9;0,2;0,4;0,2;0,4;1,9;1,0;1,5;1,1;1,4;1,9;1,2;2,4;1,6;2,3
Cseresznye;0,3;0,4;0,2;0,2;1,0;0,4;0,9;0,7;0,6;1,0;0,8;0,9;0,4;1,2;0,5;1,2
Meggy;0,8;0,4;0,2;0,5;0,5;0,4;1,7;1,3;1,6;0,7;1,4;1,7;1,0;2,3;1,4;2,1
Szilva;0,5;0,6;0,4;0,4;0,2;0,4;3,2;1,5;2,0;0,9;2,0;3,2;1,6;4,2;1,1;5,4
Földieper, málna, ribizli;0,7;0,6;0,8;1,2;0,7;0,8;1,9;1,2;2,2;0,6;1,5;1,9;0,9;2,6;1,8;1,9
Szõlõ;0,8;1,1;1,8;0,9;1,1;1,2;2,7;1,7;6,2;1,2;2,8;2,7;2,0;3,2;2,5;2,9
Sárgadinnye;0,4;0,4;0,5;0,5;0,3;0,4;1,5;1,0;0,6;0,6;1,0;1,5;1,5;1,5;1,5;1,5
Görögdinnye;5,2;5,5;4,5;4,6;4,1;4,7;9,7;6,1;8,3;7,6;7,9;9,7;9,3;10,0;7,5;12,0
Egyéb gyümölcs;0,7;1,2;1,3;0,9;0,6;1,0;1,7;1,4;1,0;0,7;1,2;1,7;1,4;1,9;1,4;1,9
Dió, mák, mogyoró, mandula, magvak;0,9;1,1;1,0;0,9;0,8;1,0;2,6;2,1;1,6;1,0;1,9;2,6;1,8;3,1;3,1;2,1
Gyümölcskészítmények;0,6;0,9;0,5;0,3;0,4;0,5;1,0;0,8;0,7;0,3;0,7;1,0;1,1;0,9;0,9;1,1
Gyümölcs összesen;29,8;35,6;30,9;27,3;27,7;30,5;77,6;54,1;62,2;36,9;58,5;77,6;67,2;84,7;70,0;85,5
Leveles, száraz zöldségek;2,2;1,8;1,6;1,0;1,5;1,6;3,2;2,6;3,1;1,4;2,6;3,2;2,3;3,8;3,0;3,4
Káposztafélék;3,2;3,4;3,0;3,4;3,7;3,4;8,1;6,3;7,5;4,5;6,7;8,1;4,8;10,4;6,9;9,4
Uborka;2,0;2,0;1,9;1,3;1,9;1,8;5,3;4,4;5,3;3,0;4,5;5,3;4,3;6,1;5,0;5,7
Paradicsom;3,6;4,9;4,8;2,4;3,4;4,0;10,5;7,7;7,3;6,6;8,1;10,5;9,3;11,2;9,5;11,4
Zöldpaprika;3,3;3,5;3,3;2,0;2,5;2,9;8,1;6,1;6,8;4,8;6,5;8,1;8,0;8,1;8,0;8,2
Zöldbab;0,5;0,2;0,5;0,2;0,3;0,3;0,9;0,8;1,0;0,8;0,9;0,9;0,4;1,3;0,6;1,2
Zöldborsó;0,3;0,2;0,4;0,0;0,2;0,2;0,9;0,9;0,9;0,6;0,8;0,9;0,3;1,3;0,4;1,5
Szárazhüvelyesek;0,6;0,4;0,3;0,5;0,6;0,5;1,2;1,0;1,1;0,9;1,1;1,2;1,1;1,3;1,2;1,2
Gomba;0,4;0,8;0,6;0,5;0,7;0,6;1,3;1,1;1,1;1,0;1,1;1,3;1,1;1,4;1,2;1,4
Sárgarépa, petrezselyemgyökér;5,5;6,5;4,9;3,7;4,8;5,1;11,0;9,3;10,0;6,6;9,3;11,0;7,8;13,2;9,5;12,6
Vöröshagyma;5,3;6,8;5,5;5,4;6,2;5,9;14,3;9,5;13,4;7,4;11,2;14,3;14,6;14,1;14,2;14,4
Egyéb friss zöldség;2,2;3,3;6,4;2,1;1,6;3,5;6,0;4,4;5,6;3,6;4,9;6,0;4,7;6,9;5,8;6,3
Tartósított zöldség, zöldségkészítmények;5,3;6,5;6,3;5,0;5,3;5,8;12,2;9,7;9,4;6,7;9,7;12,2;11,5;12,8;11,9;12,6
Burgonya;23,2;23,3;19,0;24,5;22,8;22,2;43,9;34,7;35,8;25,1;35,4;43,9;43,9;43,9;42,4;45,5
Zöldség és burgonya összesen;57,6;63,6;58,6;52,0;55,5;57,8;127,0;98,4;108,3;73,0;102,8;127,0;114,1;135,8;119,5;134,9
Cukor;9,5;11,1;9,7;9,2;12,0;10,5;18,3;15,8;19,6;12,3;16,5;18,3;14,6;20,9;15,7;21,0
Ásványvíz, liter;59,0;76,1;61,7;38,8;49,5;58,0;112,5;96,8;87,3;76,6;94,6;112,5;125,5;103,7;122,6;102,0
Üdítõitalok, liter;34,0;33,7;34,9;25,8;29,8;31,8;41,6;33,2;31,8;33,0;35,3;41,6;50,3;35,7;52,0;30,8
Gyümölcslevek, liter;8,8;12,7;13,2;8,8;9,4;11,0;17,0;14,8;10,9;10,7;13,6;17,0;16,0;17,7;18,7;15,3
Bor, boralapú italok, liter;4,2;2,8;2,8;2,4;2,3;2,7;12,0;7,8;7,9;7,1;8,8;12,0;19,2;7,1;13,7;10,2
2017;;;;;;;;;;;;;;;;
Kenyér;32,6;29,0;26,5;29,3;31,6;29,3;57,3;41,2;40,3;33,7;43,6;57,3;66,1;51,6;60,6;54,0
Péksütemény;16,9;16,1;14,2;12,7;11,4;13,9;25,4;17,9;15,7;13,6;18,4;25,4;27,1;24,3;28,7;22,1
Egyéb cereáliák;30,0;27,8;25,1;23,2;22,9;25,3;48,5;38,4;41,9;33,7;40,8;48,5;38,8;54,7;45,7;51,3
Cereáliák összesen;79,4;72,8;65,8;65,2;66,0;68,6;131,2;97,5;97,8;80,9;102,8;131,2;132,0;130,7;135,0;127,4
Marha- és borjúhús;0,4;0,9;0,5;0,7;0,4;0,6;1,5;1,2;1,6;0,8;1,3;1,5;1,8;1,2;1,5;1,4
Sertéshús;12,9;13,3;10,9;11,6;13,5;12,4;24,3;20,9;21,9;17,9;21,4;24,3;24,9;23,9;24,0;24,7
Baromfihús;19,8;16,3;14,1;13,2;15,0;15,2;28,4;24,2;24,8;19,9;24,4;28,4;24,4;31,0;27,9;29,0
Szalámi, szárazkolbász, sonka;5,2;6,6;5,1;5,3;6,0;5,7;14,1;10,6;10,5;8,1;11,0;14,1;18,9;11,1;15,1;13,2
Egyéb hentesáru;8,3;8,3;6,9;6,1;7,3;7,3;15,2;10,7;10,4;8,8;11,4;15,2;18,3;13,1;17,2;13,1
Belsõség;1,5;1,9;0,8;1,3;1,1;1,3;4,2;2,6;3,9;2,3;3,3;4,2;4,5;4,0;3,7;4,7
Mirelit hústermékek, húskonzervek;3,1;2,4;2,0;2,5;2,5;2,4;4,2;3,3;2,0;2,4;3,0;4,2;5,5;3,4;5,2;3,3
Juh-, kecske-, nyúl- és egyéb hús;0,0;0,1;0,2;0,0;0,1;0,1;0,1;0,1;0,1;0,2;0,1;0,1;0,0;0,1;0,1;0,0
Húsfélék összesen;51,2;50,0;40,5;40,9;46,0;45,1;92,0;73,8;75,2;60,5;75,9;92,0;98,3;87,9;94,7;89,3
Hal;1,2;1,1;1,1;1,0;0,9;1,0;2,2;2,1;1,6;1,0;1,8;2,2;2,8;1,9;2,3;2,2
Halkonzerv;0,3;0,4;0,3;0,2;0,2;0,3;0,7;0,5;0,5;0,4;0,5;0,7;0,8;0,6;0,8;0,6
Hal, halkonzerv;1,5;1,6;1,4;1,2;1,0;1,3;2,9;2,7;2,1;1,4;2,3;2,9;3,6;2,5;3,1;2,7
Tej, liter;43,3;48,3;40,5;44,2;39,7;43,0;79,0;54,1;62,2;48,5;61,4;79,0;70,7;84,4;76,1;82,0
Joghurt, kefir, tejföl, liter;12,6;11,8;10,5;8,7;8,5;10,2;21,5;15,9;15,5;10,4;16,0;21,5;18,1;23,8;21,1;22,0
Sajt, túró, tejkonzerv, tejpor;6,8;6,6;5,6;5,0;4,9;5,7;11,7;9,1;8,7;7,8;9,4;11,7;11,3;12,0;12,0;11,5
Tojás, db;126;115;98;98;134;114;243;169;171;125;180;243;241;245;239;248
Vaj, vajkrém;0,8;1,1;0,8;0,8;0,8;0,9;2,3;1,5;1,5;1,0;1,6;2,3;2,1;2,4;2,4;2,1
Margarin és növényi zsírok;2,7;2,4;2,3;2,4;2,5;2,4;5,3;3,6;4,2;3,3;4,1;5,3;4,3;6,0;5,0;5,7
Étolaj, olívaolaj;9,4;8,9;7,7;7,8;8,2;8,3;17,5;13,4;13,2;10,6;13,8;17,5;16,5;18,2;17,4;17,6
Állati zsíradék;0,7;1,1;0,6;0,9;1,0;0,9;2,9;1,8;2,6;2,0;2,3;2,9;3,7;2,4;2,1;3,7
Zsiradék összesen;13,7;13,7;11,4;12,0;12,5;12,5;28,0;20,3;21,6;16,9;21,9;28,0;26,6;28,9;26,9;29,1
Citrusfélék;6,4;6,9;6,0;4,3;5,0;5,7;13,2;9,4;10,2;6,5;9,9;13,2;11,1;14,6;12,5;14,0
Banán;6,9;5,9;5,8;4,3;4,0;5,2;9,4;6,8;6,7;4,9;7,0;9,4;9,1;9,7;9,5;9,4
Alma;9,2;9,8;8,3;7,5;7,8;8,5;20,1;11,9;14,8;7,9;13,8;20,1;19,8;20,3;17,9;22,3
Körte;1,0;0,8;1,1;0,5;1,0;0,9;3,6;2,4;2,2;1,2;2,4;3,6;3,5;3,7;2,8;4,4
Õszibarack;2,3;2,3;2,0;1,7;1,3;1,9;5,4;3,8;5,3;3,2;4,4;5,4;3,7;6,5;5,0;5,9
Sárgabarack;3,2;2,4;0,7;0,3;0,3;1,2;1,6;1,4;1,4;1,0;1,4;1,6;0,9;2,0;0,8;2,3
Cseresznye;0,3;0,1;0,5;0,0;0,5;0,3;1,6;0,5;1,4;0,7;1,0;1,6;1,8;1,4;1,0;2,1
Meggy;0,2;0,1;0,5;0,3;0,3;0,3;2,4;1,0;1,7;1,0;1,6;2,4;3,0;2,0;1,2;3,5
Szilva;0,7;0,6;0,4;0,4;0,9;0,6;2,3;1,5;2,0;1,7;1,9;2,3;1,5;2,8;0,9;3,7
Földieper, málna, ribizli;1,6;0,8;1,1;1,2;0,6;1,0;2,0;1,4;1,5;0,9;1,4;2,0;1,4;2,4;1,7;2,2
Szõlõ;1,1;1,1;1,1;0,7;0,7;0,9;3,8;3,0;2,8;2,1;3,0;3,8;2,9;4,4;3,0;4,6
Sárgadinnye;0,7;0,8;0,6;0,2;0,2;0,5;1,4;1,3;1,0;0,6;1,1;1,4;1,5;1,3;1,2;1,6
Görögdinnye;5,7;7,8;6,5;4,2;2,9;5,5;12,0;7,4;7,0;6,8;8,4;12,0;12,0;12,0;13,0;10,9
Egyéb gyümölcs;0,8;1,0;1,2;1,0;0,7;1,0;2,1;1,5;1,2;0,7;1,4;2,1;1,6;2,5;2,6;1,7
Dió, mák, mogyoró, mandula, magvak;1,4;1,3;1,4;0,6;0,8;1,1;2,4;1,9;1,8;1,2;1,9;2,4;1,6;2,9;2,7;2,1
Gyümölcskészítmények;0,6;0,7;0,7;0,5;0,5;0,6;1,2;0,6;0,9;0,9;0,9;1,2;0,8;1,5;1,0;1,4
Gyümölcs összesen;42,0;42,5;37,7;27,9;27,4;35,1;84,5;55,9;61,9;41,2;61,6;84,5;76,1;89,9;76,8;92,3
Leveles, száraz zöldségek;2,0;1,0;1,1;0,8;0,9;1,1;2,4;2,2;1,7;1,2;1,9;2,4;1,9;2,7;2,6;2,1
Káposztafélék;4,5;4,4;3,9;3,6;4,0;4,1;9,9;7,7;9,0;5,5;8,1;9,9;7,0;11,8;7,5;12,4
Uborka;2,8;1,9;1,7;1,2;1,6;1,8;3,9;3,3;4,1;2,4;3,4;3,9;4,2;3,8;4,0;3,9
Paradicsom;4,4;3,6;3,5;3,3;2,7;3,4;10,5;6,9;8,2;4,8;7,7;10,5;12,0;9,6;9,1;11,9
Zöldpaprika;2,7;3,2;3,0;2,3;2,3;2,7;8,1;5,6;5,8;3,4;5,8;8,1;8,0;8,2;7,8;8,4
Zöldbab;0,9;0,3;0,1;0,1;0,3;0,3;0,8;0,8;1,1;0,5;0,8;0,8;0,7;0,8;0,6;0,9
Zöldborsó;0,3;0,2;0,6;0,3;0,3;0,4;0,8;0,6;1,3;0,3;0,7;0,8;0,4;1,0;0,9;0,7
Szárazhüvelyesek;0,7;0,6;0,5;0,5;0,6;0,6;1,5;1,0;1,3;0,9;1,2;1,5;1,7;1,3;1,4;1,5
Gomba;0,7;0,9;0,8;0,6;0,6;0,7;1,6;1,3;1,0;0,9;1,2;1,6;1,5;1,6;1,7;1,4
Sárgarépa, petrezselyemgyökér;6,2;6,1;4,4;4,2;5,2;5,1;11,8;9,9;10,1;6,9;9,7;11,8;9,4;13,4;10,5;13,1
Vöröshagyma;7,6;6,9;5,7;5,0;5,7;6,0;16,4;12,4;12,1;7,5;12,2;16,4;18,5;15,0;16,6;16,2
Egyéb friss zöldség;3,5;3,2;8,7;1,7;2,0;4,1;5,9;4,9;4,5;3,3;4,7;5,9;5,0;6,5;5,4;6,3
Tartósított zöldség, zöldségkészítmények;6,3;6,6;5,7;5,1;4,7;5,6;13,5;10,2;9,7;7,8;10,4;13,5;12,9;13,9;13,7;13,3
Burgonya;28,9;24,8;17,8;23,1;22,4;22,4;47,0;32,9;34,8;27,1;35,8;47,0;44,5;48,6;45,2;48,9
Zöldség és burgonya összesen;71,2;63,8;57,5;51,9;53,4;58,3;134,0;99,5;104,7;72,6;103,7;134,0;127,8;138,1;127,0;141,2
Cukor;11,4;11,2;8,6;10,4;11,1;10,4;24,1;16,8;21,3;16,1;19,6;24,1;21,3;26,0;22,9;25,4
Ásványvíz, liter;51,4;65,7;55,9;39,1;48,2;53,4;106,0;95,0;82,8;75,7;90,6;106,0;108,4;104,4;113,8;98,1
Üdítõitalok, liter;33,4;31,2;30,7;22,6;27,4;29,0;42,3;31,8;26,8;30,2;33,1;42,3;46,1;39,9;57,3;27,2
Gyümölcslevek, liter;9,7;13,9;15,1;10,9;8,1;11,9;18,5;13,1;11,7;8,2;13,1;18,5;20,0;17,6;20,1;17,0
Bor, boralapú italok, liter;3,6;4,4;3,0;2,8;2,2;3,2;9,9;6,4;8,1;4,5;7,3;9,9;14,5;6,9;10,6;9,1
2018;;;;;;;;;;;;;;;;
Kenyér;27,6;28,3;22,4;24,3;27,3;25,8;57,1;38,2;39,6;33,5;42,6;57,1;64,9;51,5;58,8;55,4
Péksütemény;21,2;18,9;16,1;14,8;12,8;16,2;32,0;23,0;20,6;16,8;23,4;32,0;34,7;30,0;35,1;28,8
Egyéb cereáliák;36,3;29,6;23,0;21,1;22,7;25,3;51,6;40,1;42,7;32,3;42,0;51,6;43,4;57,6;48,4;54,9
Cereáliák összesen;85,2;76,8;61,6;60,1;62,7;67,2;140,7;101,3;103,0;82,6;108,0;140,7;142,9;139,1;142,3;139,1
Marha- és borjúhús;0,5;0,5;1,0;0,6;0,5;0,7;1,7;1,1;1,6;1,3;1,4;1,7;1,7;1,7;2,0;1,4
Sertéshús;16,5;13,0;11,6;12,8;16,9;13,9;24,4;23,4;23,7;18,5;22,5;24,4;23,6;24,9;22,8;26,0
Baromfihús;18,6;17,4;13,0;12,1;14,1;14,7;33,1;25,7;27,6;20,0;26,8;33,1;31,7;34,1;31,7;34,6
Szalámi, szárazkolbász, sonka;6,6;8,3;5,6;6,5;7,0;6,8;16,8;11,7;11,7;8,6;12,3;16,8;20,3;14,1;17,4;16,1
Egyéb hentesáru;7,6;7,5;6,3;6,3;6,2;6,6;14,0;10,2;9,4;7,8;10,5;14,0;16,5;12,1;15,1;12,8
Belsõség;1,0;1,2;1,3;1,3;1,5;1,3;3,6;3,0;3,1;2,2;3,0;3,6;3,9;3,4;3,7;3,6
Mirelit hústermékek, húskonzervek;3,3;3,1;1,7;2,3;2,2;2,4;4,4;3,6;2,4;2,4;3,2;4,4;4,9;4,0;4,9;3,8
Juh-, kecske-, nyúl- és egyéb hús;0,0;0,5;0,1;0,0;0,0;0,1;0,3;0,6;0,2;0,1;0,3;0,3;0,7;0,1;0,6;0,0
Húsfélék összesen;54,1;51,5;40,6;41,9;48,4;46,5;98,2;79,3;79,6;60,9;80,2;98,2;103,5;94,4;98,1;98,3
Hal;1,4;1,4;1,3;1,0;1,2;1,2;2,6;1,9;2,1;1,5;2,0;2,6;2,6;2,5;2,3;2,8
Halkonzerv;0,2;0,4;0,3;0,2;0,3;0,3;0,7;0,7;0,6;0,4;0,6;0,7;0,8;0,6;0,8;0,6
Hal, halkonzerv;1,6;1,8;1,6;1,2;1,5;1,6;3,2;2,6;2,6;1,9;2,6;3,2;3,5;3,1;3,0;3,5
Tej, liter;51,9;49,2;40,2;34,2;40,2;42,4;88,4;61,1;63,1;49,4;66,3;88,4;89,2;87,8;87,8;89,1
Joghurt, kefir, tejföl, liter;12,1;12,1;9,6;8,1;7,9;9,7;23,1;15,8;15,7;10,9;16,6;23,1;20,5;25,0;21,7;24,6
Sajt, túró;6,9;7,5;5,7;4,2;4,6;5,7;13,0;9,9;9,7;7,0;10,0;13,0;12,6;13,3;12,6;13,4
Tojás, db;127;119;100;89;110;108;279;199;191;145;206;279;290;271;278;280
Vaj, vajkrém;1,0;1,0;1,0;0,7;0,7;0,9;2,4;1,5;1,3;1,0;1,6;2,4;2,3;2,4;2,3;2,4
Margarin és növényi zsírok;3,8;2,6;2,2;2,0;2,3;2,4;5,5;4,2;4,7;3,5;4,5;5,5;4,7;6,1;4,7;6,4
Étolaj, olívaolaj;10,1;9,5;7,7;7,3;9,3;8,7;19,7;17,0;14,8;11,6;15,9;19,7;18,0;20,9;19,5;19,9
Állati zsíradék;1,6;1,3;1,1;2,2;1,5;1,5;4,3;2,0;2,7;1,5;2,7;4,3;4,7;4,0;3,7;4,8
Zsiradék összesen;16,4;14,4;12,1;12,2;13,7;13,4;31,9;24,7;23,5;17,6;24,7;31,9;29,7;33,4;30,3;33,5
Citrusfélék;6,7;6,9;5,8;4,2;4,3;5,5;14,9;9,7;10,3;6,4;10,5;14,9;14,5;15,3;14,9;14,9
Banán;6,5;6,5;6,1;4,8;5,0;5,8;12,2;7,7;8,2;6,4;8,7;12,2;12,5;11,9;13,4;10,8
Alma;9,4;8,9;7,4;7,0;7,7;7,9;22,2;10,8;16,2;11,1;15,3;22,2;21,4;22,9;18,8;25,8
Körte;0,5;1,6;0,9;0,9;0,9;1,0;4,9;1,6;4,4;1,7;3,2;4,9;3,2;6,2;3,0;6,9
Õszibarack;2,0;2,2;1,7;1,8;1,9;1,9;6,4;3,7;5,6;2,4;4,6;6,4;4,0;8,1;5,1;7,6
Sárgabarack;0,3;0,4;0,3;0,3;0,3;0,4;1,5;0,5;2,4;0,8;1,3;1,5;0,8;1,9;0,8;2,2
Cseresznye;0,1;0,1;0,1;0,1;0,4;0,2;1,2;0,5;0,7;0,3;0,7;1,2;0,8;1,5;1,2;1,2
Meggy;0,1;0,2;0,2;0,3;0,4;0,2;1,8;1,2;1,9;0,4;1,3;1,8;1,5;2,0;1,1;2,5
Szilva;0,2;1,2;0,9;0,9;0,5;0,8;4,3;1,4;2,5;2,0;2,6;4,3;4,3;4,2;3,4;5,1
Földieper, málna, ribizli;0,5;0,7;1,2;0,3;0,8;0,8;2,8;1,3;1,2;0,4;1,5;2,8;1,2;4,0;3,8;1,7
Szõlõ;1,2;1,5;1,9;1,6;1,3;1,6;4,6;2,6;4,4;3,0;3,7;4,6;4,2;4,8;3,6;5,6
Sárgadinnye;0,9;0,5;0,5;0,5;0,1;0,5;2,2;1,5;1,3;0,4;1,4;2,2;1,6;2,7;2,6;1,8
Görögdinnye;6,6;7,4;4,1;2,6;4,2;4,9;12,8;10,7;8,4;5,8;9,6;12,8;11,4;13,8;13,1;12,5
Egyéb gyümölcs;0,5;1,1;1,2;0,6;0,8;0,9;2,1;1,6;1,5;1,1;1,6;2,1;2,0;2,1;2,7;1,4
Dió, mák, mogyoró, mandula, magvak;1,0;1,5;1,1;0,7;0,6;1,0;2,3;1,9;2,2;1,8;2,1;2,3;2,2;2,4;2,5;2,2
Gyümölcskészítmények;0,8;0,4;0,7;0,4;0,7;0,6;1,6;1,1;1,1;0,6;1,1;1,6;1,4;1,7;1,5;1,6
Gyümölcs összesen;37,4;41,3;34,0;27,0;29,9;33,9;97,7;57,8;72,3;44,6;69,0;97,7;87,1;105,4;91,5;104,1
Leveles, száraz zöldségek;1,7;1,5;1,1;1,5;0,9;1,3;3,1;2,1;2,1;1,5;2,2;3,1;1,4;4,3;3,1;3,0
Káposztafélék;3,7;4,6;3,6;3,3;3,3;3,7;10,1;7,4;9,2;5,0;8,0;10,1;6,4;12,8;8,6;11,7
Uborka;2,9;2,7;2,7;2,6;2,6;2,7;5,8;4,4;5,2;3,6;4,8;5,8;4,3;7,0;5,0;6,7
Paradicsom;6,3;6,7;5,1;4,1;4,9;5,4;13,3;8,0;10,3;6,5;9,6;13,3;12,5;13,9;12,8;13,8
Zöldpaprika;3,8;4,2;2,9;3,5;3,0;3,4;10,9;5,7;7,5;4,5;7,3;10,9;11,0;10,9;10,9;10,9
Zöldbab;0,2;0,1;0,2;0,1;0,3;0,2;1,2;0,5;1,1;0,4;0,8;1,2;0,5;1,7;0,8;1,6
Zöldborsó;0,0;0,1;0,2;0,1;0,1;0,1;0,9;0,3;0,5;0,2;0,5;0,9;0,3;1,3;0,6;1,1
Szárazhüvelyesek;0,4;0,6;0,5;0,5;0,5;0,5;1,3;1,1;1,6;0,7;1,2;1,3;1,3;1,3;1,3;1,3
Gomba;0,3;0,8;0,8;0,4;0,6;0,7;1,5;1,1;1,3;0,7;1,2;1,5;1,1;1,7;1,6;1,4
Sárgarépa, petrezselyemgyökér;5,4;5,7;4,2;3,9;4,3;4,6;10,7;7,9;8,9;6,1;8,5;10,7;8,5;12,3;8,9;12,5
Vöröshagyma;6,7;6,6;4,4;4,9;5,0;5,4;15,7;9,8;11,2;7,7;11,3;15,7;17,0;14,7;16,6;14,7
Egyéb friss zöldség;2,4;3,5;2,4;3,1;1,7;2,6;7,0;5,2;5,7;2,8;5,2;7,0;4,9;8,6;6,3;7,7
Tartósított zöldség, zöldségkészítmények;9,5;9,8;8,3;6,5;7,3;8,2;18,1;13,4;11,7;11,5;13,8;18,1;18,1;18,2;19,5;16,7
Burgonya;21,7;23,6;18,9;21,1;17,7;20,3;43,0;29,4;33,2;24,3;32,8;43,0;43,6;42,5;42,6;43,4
Zöldség és burgonya összesen;65,0;70,6;55,4;55,7;52,3;59,0;142,5;96,4;109,6;75,8;107,2;142,5;130,7;151,1;138,6;146,5
Cukor;8,0;8,7;7,2;6,8;8,9;8,0;17,2;13,9;16,6;13,6;15,4;17,2;14,8;19,0;13,8;20,8
Ásványvíz, liter;62,7;79,3;69,0;36,4;59,5;63,5;142,4;111,4;101,3;87,8;111,8;142,4;157,6;131,3;153,4;131,0
Üdítõitalok, liter;28,8;34,6;26,0;23,9;25,1;27,7;44,9;41,2;27,4;30,1;36,3;44,9;52,8;39,1;60,6;28,7
Gyümölcslevek, liter;10,9;14,0;14,6;8,0;7,2;11,2;19,6;16,6;12,4;9,1;14,6;19,6;24,0;16,5;23,4;15,8
Bor, boralapú italok, liter;1,6;3,8;2,7;1,9;2,3;2,6;10,8;6,6;7,7;3,7;7,3;10,8;15,1;7,7;11,7;10,0
2019;;;;;;;;;;;;;;;;
Kenyér;29,9;29,8;25,6;33,6;31,1;29,5;58,3;39,8;41,6;34,4;43,9;58,3;65,3;53,5;57,8;58,7
Péksütemény;26,0;21,0;19,0;16,8;16,9;19,2;36,0;25,8;23,3;18,5;26,2;36,0;37,7;34,8;38,6;33,4
Egyéb cereáliák;34,7;31,0;24,1;20,7;23,1;26,0;50,7;39,4;43,3;29,9;41,1;50,7;44,6;54,9;46,8;54,7
Cereáliák összesen;90,5;81,8;68,7;71,1;71,1;74,7;145,0;105,0;108,1;82,8;111,1;145,0;147,6;143,2;143,2;146,8
Marha- és borjúhús;0,4;0,8;0,5;0,6;0,3;0,5;1,2;1,4;1,8;1,1;1,4;1,2;0,9;1,4;1,1;1,3
Sertéshús;16,6;15,9;12,6;9,7;13,3;13,5;25,9;23,4;27,9;20,7;24,5;25,9;24,4;26,9;24,0;27,9
Baromfihús;22,8;19,5;15,8;15,2;16,9;17,5;34,5;28,6;28,1;21,4;28,3;34,5;28,9;38,3;32,4;36,7
Szalámi, szárazkolbász, sonka;7,7;10,4;6,5;4,6;7,8;7,7;17,7;12,4;17,8;8,5;14,2;17,7;21,0;15,5;17,5;17,9
Egyéb hentesáru;9,1;8,5;6,4;6,6;6,5;7,2;15,2;11,0;10,7;9,3;11,6;15,2;16,4;14,3;16,1;14,2
Belsõség;1,1;1,8;0,8;0,8;1,4;1,2;3,3;2,9;3,6;2,3;3,0;3,3;1,6;4,5;2,8;3,9
Mirelit hústermékek, húskonzervek;3,0;2,5;1,9;2,6;2,2;2,3;4,5;3,0;2,6;2,1;3,1;4,5;5,3;3,9;5,8;3,1
Juh-, kecske-, nyúl- és egyéb hús;0,0;0,1;0,0;0,1;0,1;0,0;0,2;0,1;0,2;0,1;0,2;0,2;0,2;0,2;0,2;0,2
Húsfélék összesen;60,7;59,4;44,4;40,2;48,5;50,0;102,5;82,7;92,7;65,5;86,3;102,5;98,7;105,1;99,8;105,3
Hal;2,8;1,9;1,7;0,9;1,2;1,6;2,9;2,2;2,2;1,3;2,2;2,9;3,2;2,6;3,3;2,5
Halkonzerv;0,9;0,4;0,3;0,2;0,3;0,4;0,8;0,7;0,6;0,7;0,7;0,8;1,0;0,7;1,0;0,7
Hal, halkonzerv;3,7;2,4;2,1;1,1;1,4;2,0;3,7;2,9;2,8;2,0;2,9;3,7;4,3;3,4;4,3;3,2
Tej, liter;53,6;48,6;42,9;42,0;42,8;45,0;88,2;63,2;65,5;47,1;66,6;88,2;83,3;91,5;86,8;89,6
Joghurt, kefir, tejföl, liter;10,7;10,9;9,8;7,9;7,9;9,4;21,6;16,0;16,0;11,9;16,5;21,6;18,5;23,7;20,5;22,8
Sajt, túró;8,1;7,6;6,5;5,4;4,8;6,3;13,7;10,0;10,4;6,9;10,3;13,7;12,9;14,2;14,6;12,8
Tojás, db;131;131;101;118;104;114;287;192;197;136;205;287;297;281;283;292
Vaj, vajkrém;1,2;1,5;1,2;0,8;0,9;1,1;2,5;1,5;1,8;1,3;1,8;2,5;2,2;2,8;2,6;2,5
Margarin és növényi zsírok;3,8;2,5;2,4;2,2;2,5;2,5;6,1;4,4;4,6;2,9;4,5;6,1;5,8;6,3;6,2;6,1
Étolaj, olívaolaj;11,7;12,1;8,7;7,6;9,3;9,8;20,1;16,1;16,4;11,2;16,1;20,1;18,6;21,1;18,3;21,8
Állati zsíradék;1,8;1,7;1,0;1,7;1,3;1,4;3,7;2,7;3,9;1,5;3,0;3,7;4,0;3,6;3,4;4,1
Zsiradék összesen;18,5;17,8;13,3;12,3;14,0;14,9;32,5;24,6;26,8;16,9;25,4;32,5;30,5;33,8;30,4;34,5
Citrusfélék;7,6;6,8;4,8;3,5;4,1;5,2;14,1;9,9;10,9;5,9;10,3;14,1;12,1;15,4;12,4;15,7
