14.1.1.37. Az egy fõre jutó éves élelmiszer-fogyasztás mennyisége a gyermekes, a gyermek nélküli és az egyszemélyes háztartásokban [kilogramm];;;;;;;;;;;;;;;;
Megnevezés;Gyermekes háztartások: egy felnõtt egy vagy több gyermekkel;Gyermekes háztartások: kettõ felnõtt egy gyermekkel;Gyermekes háztartások: kettõ felnõtt kettõ gyermekkel;Gyermekes háztartások: kettõ felnõtt három és több gyermekkel;Gyermekes háztartások: egyéb;Gyermekes háztartások összesen;Gyermek nélküli háztartások: egyszemélyes;Gyermek nélküli háztartások: kettõ felnõtt mindketten 65 évnél fiatalabbak;Gyermek nélküli háztartások: kettõ felnõtt legalább az egyikük 65 éves vagy idõsebb;Gyermek nélküli háztartások: egyéb;Gyermek nélküli háztartások összesen;Egyszemélyes háztartások összesen;Egyszemélyes háztartásokból: férfiak;Egyszemélyes háztartásokból: nõk;Egyszemélyes háztartásokból: 65 év alattiak;Egyszemélyes háztartásból: 65 évesek és idõsebbek
Húsfélék összesen;50,1;51,3;38,8;38,8;46,1;44,7;89,2;76,6;76,6;61,2;76,2;89,2;90,9;88,0;89,0;89,5
Hal;1,0;0,9;0,7;0,2;0,6;0,7;1,5;1,7;1,4;0,9;1,4;1,5;1,6;1,4;1,3;1,7
Halkonzerv;0,3;0,4;0,4;0,2;0,2;0,3;0,9;0,7;0,6;0,3;0,6;0,9;1,1;0,8;1,1;0,8
Hal, halkonzerv;1,2;1,3;1,0;0,4;0,9;1,0;2,4;2,3;2,0;1,2;2,0;2,4;2,7;2,2;2,4;2,5
Tej, liter;48,5;49,9;43,9;36,6;37,9;43,1;80,4;55,7;64,0;48,6;62,5;80,4;79,0;81,4;76,4;84,9
Joghurt, kefir, tejföl, liter;12,2;11,4;10,8;7,4;8,5;10,0;21,4;15,8;16,4;11,1;16,3;21,4;18,0;23,9;20,2;22,8
Sajt, túró, tejkonzerv, tejpor;6,7;5,7;5,5;4,1;4,5;5,2;11,5;8,4;8,9;6,6;8,9;11,5;11,1;11,7;11,2;11,7
Tojás, db;113;112;84;80;95;96;239;169;192;130;183;239;234;243;230;249
Vaj, vajkrém;0,8;1,1;1,0;0,6;0,7;0,9;1,9;1,3;1,2;1,1;1,4;1,9;1,5;2,1;1,7;2,1
Margarin és növényi zsírok;3,4;2,9;2,6;2,4;2,6;2,7;5,5;4,3;5,1;3,5;4,6;5,5;4,6;6,1;5,1;5,9
Étolaj, olívaolaj;8,7;10,1;6,5;7,2;9,6;8,5;15,9;13,2;13,4;11,1;13,5;15,9;14,4;16,9;14,2;17,7
Állati zsíradék;0,9;0,7;0,9;1,0;1,4;1,0;3,0;1,8;2,8;1,9;2,4;3,0;3,3;2,7;2,8;3,1
Zsiradék összesen;13,9;14,9;10,9;11,3;14,3;13,1;26,2;20,7;22,6;17,6;21,9;26,2;23,8;27,9;23,9;28,9
Citrusfélék;6,0;6,2;4,4;2,8;4,0;4,6;12,9;9,9;9,4;6,2;9,7;12,9;11,0;14,4;12,3;13,8
Banán;6,3;4,4;4,8;2,9;2,9;4,1;9,1;6,6;6,4;3,8;6,5;9,1;8,7;9,5;9,1;9,3
Alma;11,4;8,9;9,4;5,8;7,4;8,4;18,8;13,4;17,7;7,2;14,3;18,8;16,8;20,3;17,4;20,5
Körte;3,4;1,5;1,7;0,4;1,1;1,5;4,1;2,4;3,5;1,5;2,8;4,1;4,5;3,7;3,8;4,3
Õszibarack;1,5;2,9;2,2;0,9;1,0;1,8;5,0;4,7;4,4;2,8;4,3;5,0;4,4;5,5;4,2;6,1
Sárgabarack;0,2;0,7;0,5;0,2;0,3;0,4;1,1;0,9;1,6;1,4;1,2;1,1;0,9;1,2;0,8;1,5
Cseresznye;0,1;0,0;0,2;0,3;0,0;0,1;1,1;0,8;1,8;1,0;1,1;1,1;0,5;1,5;0,7;1,4
Meggy;0,3;0,4;0,9;0,1;0,5;0,5;1,8;1,4;2,3;1,8;1,8;1,8;0,7;2,6;1,4;2,3
Szilva;0,6;0,9;0,6;0,3;0,6;0,6;2,8;1,9;1,9;1,0;1,9;2,8;2,6;2,9;2,3;3,4
Földieper, málna, ribizli;0,5;0,4;0,6;0,3;0,2;0,4;1,8;1,5;1,5;0,7;1,4;1,8;1,1;2,3;1,1;2,6
Szõlõ;1,7;1,2;1,5;0,9;0,6;1,1;3,0;1,6;3,0;1,3;2,2;3,0;2,8;3,1;2,6;3,4
