21.2.1.20. Hozzájárulás a bruttó hazai termék (GDP) változásához nemzetgazdasági áganként (termelési oldal), elõzõ év azonos idõszakához viszonyított negyedéves indexekbõl számítva[százalékpont];;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Termékadók és -támogatások egyenlege;GDP összesen (piaci beszerzési áron)
;IV.;0,0;0,2;-0,1;0,2;3,1;0,9;0,3;0,5;0,4;0,2;0,4;0,2;0,2;0,9;4,4
2020.;I.;-0,2;-0,4;-0,4;0,0;2,1;0,7;0,1;0,5;0,2;0,5;0,5;-0,4;0,0;0,6;2,1
;II.;-0,3;-4,7;-4,5;-0,6;-5,5;-1,4;-0,8;0,0;0,1;-0,2;-1,1;-1,6;-0,6;-1,8;-12,9
;III.;-0,4;-0,9;-0,7;-1,0;-1,6;-0,5;-0,6;0,3;0,1;0,1;-0,5;-0,2;-0,3;-0,3;-4,2
;IV.;-0,2;-0,1;0,0;-0,1;-2,1;-0,9;-0,7;0,3;0,1;-0,3;-0,2;-0,1;-0,3;-0,3;-2,8
2021.;I.;0,0;-0,4;0,1;-0,5;-1,1;-0,4;-0,9;0,6;0,3;-0,4;0,0;-0,2;-0,1;-0,3;-2,2
;II.;0,0;6,0;6,1;0,6;8,9;2,3;0,4;1,1;0,3;0,7;2,2;1,5;0,4;2,3;17,8
;III.;-0,1;-0,1;0,3;0,7;5,2;1,3;0,3;1,1;0,4;0,6;1,4;-0,1;0,4;0,5;6,2
;IV.;-0,2;-0,1;0,3;0,9;6,1;1,3;0,8;1,1;0,4;0,5;1,5;0,1;0,4;0,7;7,4
2022.;I.;-0,1;1,0;0,8;0,5;5,8;1,6;0,7;0,6;0,2;0,5;1,1;0,7;0,3;0,9;8,2
;II.;-1,2;0,8;0,9;0,0;5,8;1,4;0,7;0,6;0,2;0,6;1,2;0,8;0,4;1,0;6,5
;III.;-1,8;1,7;1,6;0,1;3,4;0,6;0,7;0,2;0,2;0,4;0,9;0,4;0,1;0,6;4,0
;IV.;;;;;;;;;;;;;;;
2022.;I–III.;-1,1;1,2;1,1;0,2;5,0;1,1;0,7;0,5;0,2;0,5;1,1;0,6;0,3;0,8;6,1
