13.1.3.8. Nyersacél-gyártás [ezer tonna];;;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Tajvan;16 896;17 261;18 226;18 828;19 593;18 942;20 000;20 903;19 882;15 814;19 755;20 178;20 664;22 282;23 121;21 392;21 751;22 438;23 240;21 954;20 959;23 233
Dél-afrikai Köztársaság;8 481;8 821;9 095;9 481;9 500;9 494;9 718;9 098;8 246;7 484;7 617;7 546;6 938;7 162;6 412;6 417;6 141;6 301;6 327;6 152;3 877;5 020
Egyiptom;2 838;3 799;4 316;4 398;4 810;5 603;6 045;6 224;6 198;5 541;6 676;6 485;6 627;6 754;6 485;5 506;5 036;6 870;7 807;7 257;8 229;10 294
Argentína;4 479;4 113;4 363;5 033;5 125;5 382;5 533;5 387;5 541;4 013;5 138;5 611;4 995;5 186;5 488;5 028;4 126;4 624;5 162;4 645;3 651;4 875
Brazília;27 865;28 717;29 604;31 147;32 909;31 610;30 901;33 782;33 716;26 506;32 948;35 220;34 524;34 163;33 897;33 258;31 642;34 778;35 407;32 569;31 415;36 174
Egyesült Államok;101 824;90 103;91 588;93 677;99 681;94 897;98 188;98 101;91 895;59 384;80 495;86 398;88 695;86 878;88 174;78 845;78 475;81 612;86 607;87 761;72 732;85 791
Kanada;16 496;15 179;15 907;15 831;16 428;15 327;15 493;15 572;14 945;9 292;13 009;12 891;13 507;12 417;12 730;12 473;12 646;13 208;13 443;12 897;10 986;12 976
Mexikó;15 631;13 300;14 010;15 178;17 100;16 195;16 447;17 573;17 209;14 132;16 870;18 110;18 073;18 242;18 930;18 218;18 824;19 924;20 204;18 387;16 803;18 454
Venezuela;3 835;3 813;4 164;3 930;4 561;4 910;4 864;5 005;4 224;3 808;2 207;2 980;2 359;2 139;1 485;1 345;553;444;129;51;29;29
Ausztrália;7 297;7 033;7 527;7 544;7 414;7 757;7 881;7 939;7 625;5 249;7 296;6 404;4 893;4 688;4 607;4 925;5 259;5 328;5 689;5 493;5 490;5 780
