20.2.1.36. A gazdaságilag nem aktívak száma korcsoportok szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;;;;;;
Év;Negyedév;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen
Együtt ;;;;;;;;;;;;;;
;IV.;525,9;312,9;100,2;79,7;94,8;83,8;84,0;118,9;300,5;559,5;494,0;420,8;3 175,1
2013.;I.;522,7;326,1;103,1;84,0;103,0;86,2;86,7;130,0;299,3;557,6;500,0;423,0;3 221,6
;II.;513,6;328,7;101,0;75,1;91,0;82,0;79,5;116,4;277,0;555,2;499,1;426,6;3 145,3
;III.;503,7;306,7;102,9;76,2;82,5;73,5;84,8;111,7;270,3;550,0;503,5;428,8;3 094,7
;IV.;501,9;309,9;109,9;73,3;85,2;77,7;83,3;111,5;263,5;546,7;507,6;428,9;3 099,4
2014.;I.;495,3;307,1;96,0;66,4;80,3;72,4;81,2;113,4;252,6;548,3;513,8;433,0;3 059,7
;II.;490,4;303,2;88,9;70,1;82,0;73,7;76,9;107,8;236,5;542,1;516,2;434,6;3 022,3
;III.;481,2;294,3;87,3;66,7;78,5;70,8;74,4;98,0;225,1;534,5;517,0;439,2;2 967,1
;IV.;479,4;294,5;91,1;64,2;83,0;70,1;79,3;101,6;217,9;538,9;520,7;441,3;2 982,0
2015.;I.;476,4;296,7;86,1;66,3;82,3;70,5;75,5;98,0;214,9;529,8;523,8;444,5;2 964,7
;II.;469,3;289,2;89,4;66,6;76,6;65,7;75,2;85,0;198,0;520,6;526,5;443,2;2 905,2
;III.;461,5;279,0;89,9;63,5;71,6;65,1;73,3;78,4;192,7;505,8;532,1;440,7;2 853,6
;IV.;456,5;282,9;92,2;61,4;72,0;64,8;76,4;80,3;193,7;500,0;537,9;439,2;2 857,2
2016.;I.;459,5;276,1;90,0;61,4;76,3;70,1;81,6;83,4;183,1;487,5;544,8;438,5;2 852,5
;II.;456,6;272,3;84,1;57,9;70,5;63,4;75,5;79,4;174,5;475,5;548,8;438,9;2 797,3
;III.;449,0;258,8;88,0;55,7;63,6;67,9;74,6;78,7;164,8;472,2;551,3;435,3;2 759,8
;IV.;450,5;253,7;88,5;57,7;66,9;67,9;72,3;79,8;162,5;464,9;552,4;436,6;2 753,8
2017.;I.;450,9;262,7;88,6;57,1;72,7;71,0;66,4;79,7;168,7;466,0;559,1;436,6;2 779,4
;II.;449,8;251,2;83,0;58,3;69,4;64,7;66,8;72,3;157,3;460,7;557,4;436,9;2 727,8
;III.;442,7;248,0;83,1;53,6;59,4;62,1;63,9;77,0;151,0;450,0;558,4;439,4;2 688,7
