21.2.1.29. A bruttó hazai termék (GDP) termelésében foglalkoztatottak száma negyedévente, szezonálisan és naptári hatással kiigazított és kiegyensúlyozott adatok [ezer fõ];;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás, szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Nemzetgazdaság összesen
;III.;209,5;1 031,5;920,9;311,3;2 575,6;1 020,1;90,8;88,8;65,3;265,8;878,5;169,1;4 127,6
;IV.;206,7;1 027,7;920,2;309,4;2 585,1;1 023,3;91,3;88,7;65,1;269,4;878,3;170,7;4 131,7
2006.;I.;207,0;1 035,6;918,8;311,0;2 592,7;1 022,5;98,3;91,0;65,7;257,5;891,0;168,8;4 144,0
;II.;206,0;1 028,1;917,8;315,9;2 610,3;1 031,4;98,1;90,5;65,8;262,3;890,6;170,3;4 159,2
;III.;204,4;1 019,2;915,2;315,6;2 613,1;1 040,6;103,6;91,6;66,0;268,0;873,2;172,1;4 153,6
;IV.;203,6;1 025,1;919,3;314,2;2 621,0;1 050,1;106,1;93,6;65,5;271,1;861,3;170,9;4 165,9
2007.;I.;199,9;1 007,5;909,4;316,5;2 631,4;1 051,8;101,5;92,4;65,4;276,3;858,4;190,6;4 154,6
;II.;194,8;1 010,2;909,3;320,8;2 616,7;1 056,2;100,8;93,7;65,4;274,8;840,2;185,6;4 143,2
;III.;192,9;1 004,2;903,0;322,1;2 597,4;1 048,5;102,2;93,7;65,5;276,6;825,7;184,7;4 116,0
;IV.;190,9;999,0;898,4;320,9;2 577,3;1 038,9;101,8;93,8;63,8;274,4;813,1;187,0;4 088,5
2008.;I.;185,3;1 004,9;892,8;315,0;2 566,6;1 030,3;97,7;96,5;67,7;291,9;803,4;183,9;4 074,0
;II.;183,7;983,5;885,8;319,1;2 557,3;1 016,4;99,9;98,8;68,3;294,3;802,8;178,3;4 048,4
;III.;180,5;970,7;880,7;320,5;2 587,9;1 019,6;107,1;103,1;63,3;311,9;809,0;173,1;4 058,8
;IV.;174,3;942,9;863,8;312,1;2 604,5;1 018,8;112,0;106,3;71,6;315,5;810,4;164,4;4 027,5
2009.;I.;172,9;919,5;823,9;288,9;2 636,4;1 016,6;116,3;101,2;62,8;319,1;862,4;161,0;4 026,2
;II.;164,4;889,7;803,8;287,8;2 641,4;1 019,9;105,8;100,3;66,1;337,4;857,6;152,8;3 991,7
;III.;160,5;877,8;794,6;286,8;2 616,7;1 005,7;101,0;96,5;67,5;342,9;855,7;147,5;3 941,2
;IV.;159,1;879,5;790,9;285,0;2 635,1;996,6;100,4;95,2;69,1;352,3;863,4;156,5;3 942,4
2010.;I.;167,0;864,5;776,6;261,8;2 615,0;985,0;104,1;94,2;64,0;335,8;885,5;149,6;3 924,0
;II.;161,8;878,9;786,4;265,9;2 630,0;987,8;102,7;95,5;67,4;347,3;879,4;154,4;3 939,5
;III.;162,0;878,0;787,3;270,1;2 653,8;986,1;101,4;95,0;69,0;350,7;889,6;159,3;3 956,1
;IV.;164,8;886,4;791,5;268,6;2 668,1;996,1;102,1;93,9;69,3;344,7;890,1;166,9;3 976,8
2011.;I.;157,7;863,5;789,4;265,2;2 635,7;989,8;105,8;95,5;66,6;340,3;867,9;157,8;3 940,7
;II.;160,6;873,8;790,0;261,7;2 645,8;989,6;109,5;93,8;67,8;365,3;864,3;164,1;3 942,5
