13.1.3.1. Az ipari termelés volumenének alakulása [az elõzõ évhez képest, százalék];;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Svájc;8,4;-0,7;-5,1;0,4;4,0;0,2;7,3;9,2;-0,2;-6,7;7,1;1,8;1,5;1,2;1,4;-1,4;0,3;5,4;5,9;4,4;-3,3
Szerbia;..;0,5;1,6;-3,0;6,1;1,1;4,4;4,0;1,1;-12,6;1,2;2,5;-2,6;6,1;-7,4;7,3;4,9;4,2;1,4;0,4;-0,2
Törökország;6,3;-8,4;9,0;8,9;9,2;14,4;7,4;8,4;-0,9;-10,8;13,7;14,8;4,1;7,2;5,7;5,8;3,4;9,0;1,3;-0,5;1,6
India;6,0;2,7;4,9;6,6;10,8;5,9;10,9;15,6;7,7;0,2;9,7;4,8;-0,2;1,6;4,5;2,5;5,2;3,5;5,2;0,7;-11,0
Izrael;10,0;-5,0;-1,9;-0,3;6,9;5,1;9,1;5,5;6,9;-5,8;8,0;2,2;4,7;-1,0;0,6;2,4;-0,3;1,8;2,5;3,9;2,5
Japán;4,9;-6,1;-1,2;3,9;4,7;1,6;4,1;2,9;-3,2;-20,8;15,0;-2,8;0,1;-0,6;1,8;-1,2;0,2;2,6;1,0;-2,6;-10,1
Koreai Köztársaság;16,9;0,6;8,0;5,5;10,4;6,3;8,4;6,9;3,4;-0,1;16,3;6,0;1,4;0,7;0,2;-0,3;2,2;2,5;1,5;0,3;-0,3
Brazília;6,6;1,6;2,8;0,3;8,3;2,8;2,7;5,9;3,1;-7,1;10,2;0,4;-2,3;2,1;-3,0;-8,2;-6,4;2,5;1,0;-1,1;-4,5
Egyesült Államok;3,8;-3,1;0,3;1,3;2,7;3,4;2,2;2,6;-3,5;-11,5;5,5;3,1;3,0;2,0;3,0;-1,4;-2,2;1,3;3,2;-0,8;-7,2
Kanada;7,0;-3,1;1,9;0,1;2,2;2,3;-0,2;-1,4;-3,3;-10,8;6,0;4,8;-0,1;1,7;4,9;-0,4;0,1;4,8;3,9;-0,1;-7,5
Mexikó;3,8;-2,5;-0,9;1,6;3,9;2,6;4,4;1,4;-0,6;-6,1;4,6;3,5;2,8;-0,4;2,7;1,0;-0,1;-0,5;..;..;..
Ausztrália;5,7;1,3;2,8;0,1;1,0;1,9;1,7;3,6;3,1;-0,9;4,2;1,0;3,6;2,4;5,0;2,2;2,1;1,3;3,8;2,2;-0,7
Új-Zéland;3,5;-0,2;5,7;3,3;3,6;0,3;-1,0;4,3;-1,8;-6,0;3,7;-2,8;0,6;0,5;3,1;1,5;1,6;1,4;1,4;2,0;-2,9
