13.2.1.22. Az ipari termelés volumenindexei rendeltetés szerinti ágazatcsoportonként havonta, évkezdettõl kumulált [az elõzõ év azonos idõszaka = 100,0%];;;;;;;;
Év;Idõszak;Energia-termelõ ágazatok;Tovább-felhasználásra termelõ ágazatok;Energia- és tovább-felhasználásra termelõ ágazatok összesen;Beruházási javakat gyártó ágazatok;Tartós fogyasztási cikkeket gyártó ágazatok;Nem tartós fogyasztási cikkeket gyártó ágazatok;Fogyasztási cikkeket gyártó ágazatok összesen
Havonta;;;;;;;;
2018.;január;93,9;115,0;109,3;105,3;99,7;111,3;107,7
;február;98,9;111,2;108,2;99,1;103,4;108,6;107,1
;március;105,5;101,8;102,6;96,4;90,3;98,3;96,0
;április;98,4;114,0;110,5;104,9;100,9;107,6;105,6
;május;89,7;111,0;106,3;94,0;98,9;101,8;101,0
;június;94,2;112,6;108,6;99,3;107,7;104,9;105,7
;július;113,0;113,5;113,4;98,1;108,9;106,9;107,3
;augusztus;108,4;107,7;107,9;96,0;95,6;101,3;99,8
;szeptember;106,1;105,1;105,3;94,1;94,5;98,9;97,6
;október;100,9;110,2;108,1;103,2;105,9;102,2;103,3
;november;97,3;106,9;104,6;103,0;101,1;102,3;101,9
;december;102,0;101,8;101,9;110,1;144,2;97,2;106,6
2019.;január;104,5;104,7;104,6;105,6;105,8;100,7;102,2
;február;94,3;105,7;103,1;110,3;117,4;100,9;105,6
;március;94,0;106,7;103,7;110,7;122,1;104,6;109,4
;április;105,6;106,4;106,2;107,7;110,0;102,8;104,8
;május;110,3;104,2;105,3;114,5;117,3;104,6;108,1
;június;100,9;95,9;96,9;99,3;106,6;97,9;100,3
;július;94,4;106,4;103,8;122,2;127,7;105,0;110,4
;augusztus;90,1;100,9;98,5;101,4;119,7;97,2;102,8
;szeptember;90,0;106,4;102,8;118,4;134,3;107,2;114,7
;október;100,7;104,2;103,5;107,1;118,4;105,6;109,4
;november;100,0;104,9;103,8;103,1;118,2;100,5;105,7
;december;103,0;104,2;103,8;93,2;100,0;102,4;101,8
2020.;január;95,5;104,4;102,3;102,6;115,2;104,0;107,2
;február;99,4;109,6;107,5;99,4;113,1;107,5;109,2
;március;86,2;110,5;106,0;81,1;94,3;106,2;102,7
;április;78,6;81,9;81,3;36,6;67,1;91,4;84,4
;május;77,3;80,8;80,2;53,7;73,1;87,2;83,2
;június;90,7;97,9;96,7;86,2;106,3;98,9;100,9
;július;94,3;98,3;97,6;83,8;112,4;97,0;101,1
;augusztus;93,9;101,7;100,3;93,1;122,4;98,8;105,4
;szeptember;95,9;109,9;107,6;97,8;119,7;100,6;106,5
;október;91,4;106,0;103,4;96,4;121,3;94,0;102,5
;november;103,0;110,7;109,3;97,8;123,3;99,0;106,7
;december;100,7;120,3;115,7;105,2;96,5;101,7;100,4
2021.;január;94,6;107,8;105,0;77,5;117,7;95,2;102,0
;február;107,9;109,4;109,2;95,1;109,5;96,0;100,1
;március;126,9;116,5;118,1;119,9;112,0;102,2;104,8
;április;114,9;142,7;137,7;243,4;174,2;113,0;126,6
;május;133,4;138,0;137,2;155,9;136,8;111,3;117,5
;június;125,2;132,3;131,1;114,9;117,3;112,3;113,7
;július;108,4;120,3;118,0;100,3;82,0;103,4;97,2
;augusztus;112,3;120,2;118,6;80,4;95,1;105,7;102,3
;szeptember;110,6;106,3;107,0;83,2;91,3;107,6;102,0
;október;122,1;105,1;108,1;79,4;94,7;106,2;102,1
;november;110,6;108,2;108,7;90,7;103,7;110,1;107,8
;december;117,9;110,6;112,3;91,8;145,6;111,5;119,5
2022.;január;114,1;105,2;107,0;108,1;104,1;110,2;108,2
;február;113,7;103,3;105,1;101,6;109,6;109,6;109,6
;március;122,1;104,0;107,3;93,8;122,1;109,4;112,8
;április;113,6;101,1;103,7;99,4;102,3;110,0;107,8
;május;86,5;109,9;104,4;113,8;117,4;114,9;115,5
;június;92,0;98,8;97,2;104,9;98,6;106,6;104,5
;július;96,2;98,7;98,1;111,1;117,3;106,1;108,5
;augusztus;92,1;105,1;101,2;145,0;103,4;113,1;110,6
;szeptember;92,0;109,9;105,1;125,0;107,2;104,9;105,5
;október;80,7;100,6;95,5;125,8;106,6;101,8;103,2
;november;;;;;;;
;december;;;;;;;
Évkezdettõl kumulált;;;;;;;;
2018.;január–december;100,5;109,2;107,1;100,1;102,7;103,2;103,0
2019.;január–december;98,9;104,2;103,0;107,7;116,6;102,5;106,4
2020.;január–december;92,7;102,4;100,6;85,6;106,4;98,7;100,9
2021.;január–december;114,8;116,9;116,5;101,6;109,8;106,2;107,3
2022.;január–október;97,3;103,6;102,1;112,0;108,4;108,3;108,3
